Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Sat Aug 5 2023,15:00,BST/+0100,Dundee FC,1-1,0-1,Motherwell FC,2023-08-05T14:00Z
,1,Sat Aug 5 2023,15:00,BST/+0100,Livingston FC,0-0,0-0,Aberdeen FC,2023-08-05T14:00Z
,1,Sat Aug 5 2023,15:00,BST/+0100,St. Johnstone FC,0-2,0-0,Heart of Midlothian,2023-08-05T14:00Z
,1,Sat Aug 5 2023,17:15,BST/+0100,Kilmarnock FC,1-0,0-0,Rangers FC,2023-08-05T16:15Z
,1,Sat Aug 5 2023,12:30,BST/+0100,Celtic FC,4-2,3-0,Ross County FC,2023-08-05T11:30Z
,1,Sun Aug 6 2023,15:00,BST/+0100,Hibernian FC,2-3,0-2,St. Mirren FC,2023-08-06T14:00Z
,2,Sat Aug 12 2023,15:00,BST/+0100,Rangers FC,4-0,1-0,Livingston FC,2023-08-12T14:00Z
,2,Sat Aug 12 2023,15:00,BST/+0100,Ross County FC,2-0,1-0,St. Johnstone FC,2023-08-12T14:00Z
,2,Sat Aug 12 2023,15:00,BST/+0100,St. Mirren FC,2-1,2-0,Dundee FC,2023-08-12T14:00Z
,2,Sun Aug 13 2023,15:00,BST/+0100,Heart of Midlothian,0-0,0-0,Kilmarnock FC,2023-08-13T14:00Z
,2,Sun Aug 13 2023,15:00,BST/+0100,Motherwell FC,2-1,0-0,Hibernian FC,2023-08-13T14:00Z
,2,Sun Aug 13 2023,12:00,BST/+0100,Aberdeen FC,1-3,1-2,Celtic FC,2023-08-13T11:00Z
,3,Sat Aug 26 2023,12:30,BST/+0100,Ross County FC,0-2,0-2,Rangers FC,2023-08-26T11:30Z
,3,Sat Aug 26 2023,15:00,BST/+0100,Celtic FC,0-0,0-0,St. Johnstone FC,2023-08-26T14:00Z
,3,Sat Aug 26 2023,15:00,BST/+0100,Hibernian FC,2-3,0-1,Livingston FC,2023-08-26T14:00Z
,3,Sat Aug 26 2023,15:00,BST/+0100,Motherwell FC,2-1,0-1,Kilmarnock FC,2023-08-26T14:00Z
,3,Sun Aug 27 2023,15:00,BST/+0100,St. Mirren FC,2-2,0-1,Aberdeen FC,2023-08-27T14:00Z
,3,Sun Aug 27 2023,15:00,BST/+0100,Dundee FC,1-0,0-0,Heart of Midlothian,2023-08-27T14:00Z
,4,Sat Sep 2 2023,15:00,BST/+0100,Livingston FC,1-1,0-0,St. Mirren FC,2023-09-02T14:00Z
,4,Sat Sep 2 2023,15:00,BST/+0100,St. Johnstone FC,2-2,0-1,Dundee FC,2023-09-02T14:00Z
,4,Sat Sep 2 2023,15:00,BST/+0100,Kilmarnock FC,0-1,0-0,Ross County FC,2023-09-02T14:00Z
,4,Sun Sep 3 2023,15:00,BST/+0100,Aberdeen FC,0-2,0-0,Hibernian FC,2023-09-03T14:00Z
,4,Sun Sep 3 2023,15:00,BST/+0100,Heart of Midlothian,0-1,0-1,Motherwell FC,2023-09-03T14:00Z
,4,Sun Sep 3 2023,12:00,BST/+0100,Rangers FC,0-1,0-1,Celtic FC,2023-09-03T11:00Z
,5,Sat Sep 16 2023,12:30,BST/+0100,St. Johnstone FC,0-2,0-1,Rangers FC,2023-09-16T11:30Z
,5,Sat Sep 16 2023,15:00,BST/+0100,Celtic FC,3-0,0-0,Dundee FC,2023-09-16T14:00Z
