Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
,1,Sat Jul 29 2023,18:55,CEST/+0200,FK Čukarički,2-0,0-0,Radnički Niš,,2023-07-29T16:55Z
,1,Sat Jul 29 2023,21:00,CEST/+0200,FK Voždovac,0-0,0-0,FK Javor,,2023-07-29T19:00Z
,1,Sat Jul 29 2023,21:00,CEST/+0200,TSC Bačka Topola,3-3,2-2,Partizan,,2023-07-29T19:00Z
,1,Sat Jul 29 2023,18:55,CEST/+0200,Spartak Subotica,2-1,1-1,IMT Beograd,,2023-07-29T16:55Z
,1,Sun Jul 30 2023,18:55,CEST/+0200,FK Novi Pazar,2-0,0-0,FK Radnički 1923,,2023-07-30T16:55Z
,1,Sun Jul 30 2023,20:00,CEST/+0200,Crvena Zvezda,5-0,2-0,Vojvodina,,2023-07-30T18:00Z
,1,Sun Jul 30 2023,20:00,CEST/+0200,FK Napredak,0-1,0-1,Železničar Pančevo,,2023-07-30T18:00Z
,1,Mon Jul 31 2023,19:00,CEST/+0200,Mladost Lučani,0-0,0-0,Radnik Surdulica,,2023-07-31T17:00Z
,2,Thu Aug 3 2023,17:55,CEST/+0200,Radnički Niš,0-3,0-0,TSC Bačka Topola,,2023-08-03T15:55Z
,2,Sat Aug 5 2023,20:30,CEST/+0200,Železničar Pančevo,0-2,0-2,Mladost Lučani,,2023-08-05T18:30Z
,2,Sat Aug 5 2023,18:00,CEST/+0200,FK Javor,3-1,1-0,FK Novi Pazar,,2023-08-05T16:00Z
,2,Sun Aug 6 2023,16:55,CEST/+0200,Crvena Zvezda,4-0,3-0,FK Napredak,,2023-08-06T14:55Z
,2,Sun Aug 6 2023,17:00,CEST/+0200,FK Radnički 1923,1-2,0-0,FK Čukarički,,2023-08-06T15:00Z
,2,Sun Aug 6 2023,19:00,CEST/+0200,Vojvodina,0-2,0-0,Partizan,,2023-08-06T17:00Z
,2,Sun Aug 6 2023,21:05,CEST/+0200,IMT Beograd,2-2,0-0,FK Voždovac,,2023-08-06T19:05Z
,2,Mon Aug 7 2023,18:00,CEST/+0200,Radnik Surdulica,2-0,1-0,Spartak Subotica,,2023-08-07T16:00Z
,3,Fri Aug 11 2023,18:55,CEST/+0200,Mladost Lučani,1-4,1-2,Crvena Zvezda,,2023-08-11T16:55Z
,3,Sat Aug 12 2023,18:55,CEST/+0200,TSC Bačka Topola,1-0,0-0,FK Radnički 1923,,2023-08-12T16:55Z
,3,Sat Aug 12 2023,21:00,CEST/+0200,FK Čukarički,2-2,1-1,FK Javor,,2023-08-12T19:00Z
,3,Sat Aug 12 2023,18:55,CEST/+0200,FK Voždovac,1-1,0-1,Radnik Surdulica,,2023-08-12T16:55Z
,3,Sun Aug 13 2023,18:55,CEST/+0200,FK Napredak,0-0,0-0,Vojvodina,,2023-08-13T16:55Z
,3,Sun Aug 13 2023,19:30,CEST/+0200,Partizan,2-1,0-1,Radnički Niš,,2023-08-13T17:30Z
,3,Sun Aug 13 2023,21:00,CEST/+0200,Spartak Subotica,3-0,1-0,Železničar Pančevo,,2023-08-13T19:00Z
,3,Mon Aug 14 2023,18:00,CEST/+0200,FK Novi Pazar,3-4,2-1,IMT Beograd,,2023-08-14T16:00Z
,4,Fri Aug 18 2023,18:00,CEST/+0200,IMT Beograd,3-0,1-0,FK Čukarički,,2023-08-18T16:00Z
,4,Sat Aug 19 2023,20:30,CEST/+0200,Crvena Zvezda,3-0,3-0,Spartak Subotica,,2023-08-19T18:30Z
,4,Sat Aug 19 2023,21:00,CEST/+0200,Železničar Pančevo,0-1,0-1,FK Voždovac,,2023-08-19T19:00Z
,4,Sat Aug 19 2023,19:00,CEST/+0200,Vojvodina,3-2,2-1,Radnički Niš,,2023-08-19T17:00Z
,4,Sun Aug 20 2023,17:15,CEST/+0200,Radnik Surdulica,0-0,0-0,FK Novi Pazar,,2023-08-20T15:15Z
,4,Sun Aug 20 2023,19:30,CEST/+0200,FK Javor,0-3,0-3,TSC Bačka Topola,,2023-08-20T17:30Z
,4,Sun Aug 20 2023,19:30,CEST/+0200,FK Napredak,0-1,0-0,Mladost Lučani,,2023-08-20T17:30Z
,5,Fri Aug 25 2023,18:30,CEST/+0200,Radnički Niš,4-1,2-0,FK Radnički 1923,,2023-08-25T16:30Z
,5,Sat Aug 26 2023,18:00,CEST/+0200,TSC Bačka Topola,1-0,0-0,IMT Beograd,,2023-08-26T16:00Z
,5,Sat Aug 26 2023,19:00,CEST/+0200,FK Voždovac,3-2,2-0,Crvena Zvezda,,2023-08-26T17:00Z
,5,Sat Aug 26 2023,20:30,CEST/+0200,Mladost Lučani,2-2,2-2,Vojvodina,,2023-08-26T18:30Z
,5,Sun Aug 27 2023,19:30,CEST/+0200,Spartak Subotica,1-3,0-2,FK Napredak,,2023-08-27T17:30Z
,5,Sun Aug 27 2023,17:30,CEST/+0200,FK Novi Pazar,1-0,1-0,Železničar Pančevo,,2023-08-27T15:30Z
,5,Sun Aug 27 2023,19:35,CEST/+0200,Partizan,3-1,1-0,FK Javor,,2023-08-27T17:35Z
,5,Sun Aug 27 2023,19:30,CEST/+0200,FK Čukarički,0-0,0-0,Radnik Surdulica,,2023-08-27T17:30Z
,6,Fri Sep 1 2023,19:00,CEST/+0200,Radnik Surdulica,0-1,0-1,TSC Bačka Topola,,2023-09-01T17:00Z
,6,Sat Sep 2 2023,21:00,CEST/+0200,Vojvodina,2-1,0-1,FK Radnički 1923,,2023-09-02T19:00Z
,6,Sat Sep 2 2023,18:00,CEST/+0200,FK Napredak,2-1,2-0,FK Voždovac,,2023-09-02T16:00Z
,6,Sat Sep 2 2023,20:00,CEST/+0200,FK Javor,1-0,1-0,Radnički Niš,,2023-09-02T18:00Z
,6,Sat Sep 2 2023,20:00,CEST/+0200,Crvena Zvezda,2-1,1-0,FK Novi Pazar,,2023-09-02T18:00Z
,6,Sun Sep 3 2023,19:30,CEST/+0200,Mladost Lučani,2-1,1-0,Spartak Subotica,,2023-09-03T17:30Z
,6,Sun Sep 3 2023,20:00,CEST/+0200,IMT Beograd,2-3,1-0,Partizan,,2023-09-03T18:00Z
,6,Mon Sep 4 2023,19:00,CEST/+0200,Železničar Pančevo,2-2,2-0,FK Čukarički,,2023-09-04T17:00Z
,7,Sat Sep 16 2023,18:05,CEST/+0200,FK Čukarički,2-1,1-0,Crvena Zvezda,,2023-09-16T16:05Z
,7,Sat Sep 16 2023,19:00,CEST/+0200,FK Voždovac,3-1,1-1,Mladost Lučani,,2023-09-16T17:00Z
,7,Sat Sep 16 2023,19:00,CEST/+0200,TSC Bačka Topola,6-3,3-0,Železničar Pančevo,,2023-09-16T17:00Z
,7,Sat Sep 16 2023,20:15,CEST/+0200,Spartak Subotica,2-0,1-0,Vojvodina,,2023-09-16T18:15Z
,7,Sun Sep 17 2023,19:35,CEST/+0200,Partizan,3-2,0-2,Radnik Surdulica,,2023-09-17T17:35Z
,7,Sun Sep 17 2023,16:00,CEST/+0200,FK Radnički 1923,2-0,1-0,FK Javor,,2023-09-17T14:00Z
,7,Sun Sep 17 2023,17:00,CEST/+0200,FK Novi Pazar,2-1,1-0,FK Napredak,,2023-09-17T15:00Z
,7,Sun Sep 17 2023,19:30,CEST/+0200,Radnički Niš,1-0,1-0,IMT Beograd,,2023-09-17T17:30Z
,8,Thu Sep 21 2023,16:30,CEST/+0200,IMT Beograd,1-0,1-0,FK Radnički 1923,,2023-09-21T14:30Z
,8,Fri Sep 22 2023,20:00,CEST/+0200,Železničar Pančevo,1-2,1-1,Partizan,,2023-09-22T18:00Z
,8,Fri Sep 22 2023,16:00,CEST/+0200,Radnik Surdulica,0-0,0-0,Radnički Niš,,2023-09-22T14:00Z
,8,Fri Sep 22 2023,18:00,CEST/+0200,Spartak Subotica,1-0,0-0,FK Voždovac,,2023-09-22T16:00Z
