Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 11 2023,20:15,WEST/+0100,Sporting Braga,1-2,1-0,FC Famalicão,2023-08-11T19:15Z
1,Sat Aug 12 2023,18:00,WEST/+0100,SC Farense,0-3,0-1,Casa Pia AC,2023-08-12T17:00Z
1,Sat Aug 12 2023,20:30,WEST/+0100,Sporting CP,3-2,2-0,FC Vizela,2023-08-12T19:30Z
1,Sat Aug 12 2023,15:30,WEST/+0100,Gil Vicente,5-0,2-0,Portimonense SC,2023-08-12T14:30Z
1,Sun Aug 13 2023,15:30,WEST/+0100,Rio Ave FC,2-0,0-0,GD Chaves,2023-08-13T14:30Z
1,Sun Aug 13 2023,18:00,WEST/+0100,Estrela Amadora,0-1,0-1,Vitória Guimarães,2023-08-13T17:00Z
1,Sun Aug 13 2023,20:30,WEST/+0100,FC Arouca,4-3,1-1,GD Estoril,2023-08-13T19:30Z
1,Mon Aug 14 2023,20:45,WEST/+0100,Boavista,3-2,0-1,SL Benfica,2023-08-14T19:45Z
1,Mon Aug 14 2023,18:45,WEST/+0100,Moreirense FC,1-2,0-0,FC Porto,2023-08-14T17:45Z
2,Fri Aug 18 2023,20:15,WEST/+0100,Casa Pia AC,1-2,0-1,Sporting CP,2023-08-18T19:15Z
2,Sat Aug 19 2023,18:00,WEST/+0100,GD Chaves,2-4,1-1,Sporting Braga,2023-08-19T17:00Z
2,Sat Aug 19 2023,20:30,WEST/+0100,SL Benfica,2-0,0-0,Estrela Amadora,2023-08-19T19:30Z
2,Sat Aug 19 2023,20:30,WEST/+0100,Portimonense SC,1-4,0-3,Boavista,2023-08-19T19:30Z
2,Sat Aug 19 2023,15:30,WEST/+0100,Vitória Guimarães,2-1,0-0,Gil Vicente,2023-08-19T14:30Z
2,Sun Aug 20 2023,18:00,WEST/+0100,FC Porto,2-1,1-1,SC Farense,2023-08-20T17:00Z
2,Sun Aug 20 2023,20:30,WEST/+0100,FC Vizela,2-2,1-1,FC Arouca,2023-08-20T19:30Z
2,Sun Aug 20 2023,15:30,WEST/+0100,GD Estoril,2-0,0-0,Rio Ave FC,2023-08-20T14:30Z
2,Mon Aug 21 2023,20:15,WEST/+0100,FC Famalicão,0-0,0-0,Moreirense FC,2023-08-21T19:15Z
3,Fri Aug 25 2023,20:15,WEST/+0100,Estrela Amadora,2-1,0-0,GD Estoril,2023-08-25T19:15Z
3,Sat Aug 26 2023,18:00,WEST/+0100,SC Farense,5-0,4-0,GD Chaves,2023-08-26T17:00Z
3,Sat Aug 26 2023,20:30,WEST/+0100,Gil Vicente,2-3,0-1,SL Benfica,2023-08-26T19:30Z
3,Sat Aug 26 2023,15:30,WEST/+0100,FC Arouca,1-1,0-1,Portimonense SC,2023-08-26T14:30Z
3,Sun Aug 27 2023,18:00,WEST/+0100,Vitória Guimarães,2-0,0-0,FC Vizela,2023-08-27T17:00Z
