Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Gruppe A,Thu Sep 21 2023,21:00,CEST/+0200,Olympiakos Piraeus,2-3,1-2,SC Freiburg,,,2023-09-21T19:00Z
Gruppe A,Thu Sep 21 2023,21:00,CEST/+0200,West Ham United,3-1,0-0,TSC Bačka Topola,,,2023-09-21T19:00Z
Gruppe D,Thu Sep 21 2023,21:00,CEST/+0200,Sturm Graz,1-2,0-0,Sporting CP,,,2023-09-21T19:00Z
Gruppe C,Thu Sep 21 2023,21:00,CEST/+0200,Rangers FC,1-0,0-0,Real Betis,,,2023-09-21T19:00Z
Gruppe C,Thu Sep 21 2023,21:00,CEST/+0200,AC Sparta Praha,3-2,2-1,Aris Limassol,,,2023-09-21T19:00Z
Gruppe E,Thu Sep 21 2023,18:45,CEST/+0200,Union Saint-Gilloise,1-1,0-1,Toulouse FC,,,2023-09-21T16:45Z
Gruppe G,Thu Sep 21 2023,18:45,CEST/+0200,Servette FC,0-2,0-1,Slavia Praha,,,2023-09-21T16:45Z
Gruppe G,Thu Sep 21 2023,18:45,CEST/+0200,FC Sheriff,1-2,0-1,AS Roma,,,2023-09-21T16:45Z
Gruppe E,Thu Sep 21 2023,18:45,CEST/+0200,LASK,1-3,1-0,Liverpool FC,,,2023-09-21T16:45Z
Gruppe H,Thu Sep 21 2023,18:45,CEST/+0200,Qarabağ FK,1-0,0-0,Molde FK,,,2023-09-21T16:45Z
Gruppe F,Thu Sep 21 2023,18:45,CEST/+0200,Panathinaikos,2-0,1-0,Villarreal CF,,,2023-09-21T16:45Z
Gruppe F,Thu Sep 21 2023,18:45,CEST/+0200,Stade Rennais,3-0,2-0,Maccabi Haifa,,,2023-09-21T16:45Z
Gruppe B,Thu Sep 21 2023,21:00,CEST/+0200,AFC Ajax,3-3,2-2,Olympique Marseille,,,2023-09-21T19:00Z
Gruppe B,Thu Sep 21 2023,21:00,CEST/+0200,Brighton & Hove Albion,2-3,1-2,AEK Athen,,,2023-09-21T19:00Z
Gruppe H,Thu Sep 21 2023,18:45,CEST/+0200,Bayer Leverkusen,4-0,2-0,BK Häcken,,,2023-09-21T16:45Z
Gruppe D,Thu Sep 21 2023,21:00,CEST/+0200,Atalanta,2-0,0-0,Raków Częstochowa,,,2023-09-21T19:00Z
Gruppe B,Thu Oct 5 2023,18:45,CEST/+0200,AEK Athen,1-1,0-1,AFC Ajax,,,2023-10-05T16:45Z
Gruppe F,Thu Oct 5 2023,21:00,CEST/+0200,Villarreal CF,1-0,1-0,Stade Rennais,,,2023-10-05T19:00Z
Gruppe E,Thu Oct 5 2023,21:00,CEST/+0200,Toulouse FC,1-0,1-0,LASK,,,2023-10-05T19:00Z
Gruppe E,Thu Oct 5 2023,21:00,CEST/+0200,Liverpool FC,2-0,1-0,Union Saint-Gilloise,,,2023-10-05T19:00Z
Gruppe F,Thu Oct 5 2023,21:00,CEST/+0200,Maccabi Haifa,0-0,0-0,Panathinaikos,,,2023-10-05T19:00Z
Gruppe G,Thu Oct 5 2023,21:00,CEST/+0200,AS Roma,4-0,1-0,Servette FC,,,2023-10-05T19:00Z
Gruppe H,Thu Oct 5 2023,21:00,CEST/+0200,Molde FK,1-2,0-2,Bayer Leverkusen,,,2023-10-05T19:00Z
Gruppe D,Thu Oct 5 2023,18:45,CEST/+0200,Sporting CP,1-2,0-2,Atalanta,,,2023-10-05T16:45Z
Gruppe G,Thu Oct 5 2023,21:00,CEST/+0200,Slavia Praha,6-0,3-0,FC Sheriff,,,2023-10-05T19:00Z
Gruppe A,Thu Oct 5 2023,18:45,CEST/+0200,TSC Bačka Topola,2-2,0-1,Olympiakos Piraeus,,,2023-10-05T16:45Z
Gruppe C,Thu Oct 5 2023,18:45,CEST/+0200,Aris Limassol,2-1,1-0,Rangers FC,,,2023-10-05T16:45Z
Gruppe C,Thu Oct 5 2023,18:45,CEST/+0200,Real Betis,2-1,1-1,AC Sparta Praha,,,2023-10-05T16:45Z
Gruppe D,Thu Oct 5 2023,18:45,CEST/+0200,Raków Częstochowa,0-1,0-1,Sturm Graz,,,2023-10-05T16:45Z
Gruppe A,Thu Oct 5 2023,18:45,CEST/+0200,SC Freiburg,1-2,0-1,West Ham United,,,2023-10-05T16:45Z
Gruppe B,Thu Oct 5 2023,18:45,CEST/+0200,Olympique Marseille,2-2,2-0,Brighton & Hove Albion,,,2023-10-05T16:45Z
Gruppe H,Thu Oct 5 2023,21:00,CEST/+0200,BK Häcken,0-1,0-0,Qarabağ FK,,,2023-10-05T19:00Z
Gruppe A,Thu Oct 26 2023,18:45,CEST/+0200,TSC Bačka Topola,1-3,1-0,SC Freiburg,,,2023-10-26T16:45Z
Gruppe G,Thu Oct 26 2023,21:00,CEST/+0200,FC Sheriff,1-1,0-1,Servette FC,,,2023-10-26T19:00Z
Gruppe H,Thu Oct 26 2023,18:45,CEST/+0200,Molde FK,5-1,3-1,BK Häcken,,,2023-10-26T16:45Z
Gruppe B,Thu Oct 26 2023,18:45,CEST/+0200,Olympique Marseille,3-1,1-0,AEK Athen,,,2023-10-26T16:45Z
Gruppe B,Thu Oct 26 2023,21:00,CEST/+0200,Brighton & Hove Albion,2-0,1-0,AFC Ajax,,,2023-10-26T19:00Z
Gruppe C,Thu Oct 26 2023,18:45,CEST/+0200,Aris Limassol,0-1,0-0,Real Betis,,,2023-10-26T16:45Z
Gruppe C,Thu Oct 26 2023,18:45,CEST/+0200,AC Sparta Praha,0-0,0-0,Rangers FC,,,2023-10-26T16:45Z
Gruppe H,Thu Oct 26 2023,21:00,CEST/+0200,Bayer Leverkusen,5-1,3-1,Qarabağ FK,,,2023-10-26T19:00Z
Gruppe D,Thu Oct 26 2023,18:45,CEST/+0200,Raków Częstochowa,1-1,0-1,Sporting CP,,,2023-10-26T16:45Z
Gruppe D,Thu Oct 26 2023,18:45,CEST/+0200,Sturm Graz,2-2,1-2,Atalanta,,,2023-10-26T16:45Z
Gruppe E,Thu Oct 26 2023,21:00,CEST/+0200,Union Saint-Gilloise,2-1,0-1,LASK,,,2023-10-26T19:00Z
Gruppe E,Thu Oct 26 2023,21:00,CEST/+0200,Liverpool FC,5-1,3-1,Toulouse FC,,,2023-10-26T19:00Z
Gruppe G,Thu Oct 26 2023,21:00,CEST/+0200,AS Roma,2-0,2-0,Slavia Praha,,,2023-10-26T19:00Z
Gruppe A,Thu Oct 26 2023,18:45,CEST/+0200,Olympiakos Piraeus,2-1,2-0,West Ham United,,,2023-10-26T16:45Z
Gruppe F,Thu Oct 26 2023,21:00,CEST/+0200,Panathinaikos,1-2,0-1,Stade Rennais,,,2023-10-26T19:00Z
Gruppe H,Thu Nov 9 2023,18:45,CET/+0100,Qarabağ FK,0-1,0-0,Bayer Leverkusen,,,2023-11-09T17:45Z
Gruppe A,Thu Nov 9 2023,21:00,CET/+0100,SC Freiburg,5-0,1-0,TSC Bačka Topola,,,2023-11-09T20:00Z
Gruppe A,Thu Nov 9 2023,21:00,CET/+0100,West Ham United,1-0,0-0,Olympiakos Piraeus,,,2023-11-09T20:00Z
Gruppe B,Thu Nov 9 2023,21:00,CET/+0100,AEK Athen,0-2,0-1,Olympique Marseille,,,2023-11-09T20:00Z
Gruppe B,Thu Nov 9 2023,18:45,CET/+0100,AFC Ajax,0-2,0-1,Brighton & Hove Albion,,,2023-11-09T17:45Z
Gruppe D,Thu Nov 9 2023,21:00,CET/+0100,Sporting CP,2-1,1-0,Raków Częstochowa,,,2023-11-09T20:00Z
Gruppe D,Thu Nov 9 2023,21:00,CET/+0100,Atalanta,1-0,0-0,Sturm Graz,,,2023-11-09T20:00Z
Gruppe E,Thu Nov 9 2023,18:45,CET/+0100,Toulouse FC,3-2,1-0,Liverpool FC,,,2023-11-09T17:45Z
Gruppe G,Thu Nov 9 2023,18:45,CET/+0100,Slavia Praha,2-0,0-0,AS Roma,,,2023-11-09T17:45Z
Gruppe G,Thu Nov 9 2023,18:45,CET/+0100,Servette FC,2-1,0-1,FC Sheriff,,,2023-11-09T17:45Z
Gruppe F,Thu Nov 9 2023,18:45,CET/+0100,Maccabi Haifa,1-2,1-0,Villarreal CF,,,2023-11-09T17:45Z
Gruppe C,Thu Nov 9 2023,21:00,CET/+0100,Rangers FC,2-1,2-0,AC Sparta Praha,,,2023-11-09T20:00Z
Gruppe C,Thu Nov 9 2023,21:00,CET/+0100,Real Betis,4-1,1-0,Aris Limassol,,,2023-11-09T20:00Z
Gruppe H,Thu Nov 9 2023,21:00,CET/+0100,BK Häcken,1-3,0-2,Molde FK,,,2023-11-09T20:00Z
Gruppe F,Thu Nov 9 2023,18:45,CET/+0100,Stade Rennais,3-1,1-1,Panathinaikos,,,2023-11-09T17:45Z
Gruppe E,Thu Nov 9 2023,18:45,CET/+0100,LASK,3-0,2-0,Union Saint-Gilloise,,,2023-11-09T17:45Z
Gruppe A,Thu Nov 30 2023,18:45,CET/+0100,SC Freiburg,5-0,4-0,Olympiakos Piraeus,,,2023-11-30T17:45Z
Gruppe A,Thu Nov 30 2023,18:45,CET/+0100,TSC Bačka Topola,0-1,0-0,West Ham United,,,2023-11-30T17:45Z
Gruppe H,Thu Nov 30 2023,21:00,CET/+0100,BK Häcken,0-2,0-1,Bayer Leverkusen,,,2023-11-30T20:00Z
Gruppe E,Thu Nov 30 2023,21:00,CET/+0100,Toulouse FC,0-0,0-0,Union Saint-Gilloise,,,2023-11-30T20:00Z
Gruppe F,Thu Nov 30 2023,18:45,CET/+0100,Maccabi Haifa,0-3,0-1,Stade Rennais,,,2023-11-30T17:45Z
Gruppe F,Thu Nov 30 2023,21:00,CET/+0100,Villarreal CF,3-2,2-0,Panathinaikos,,,2023-11-30T20:00Z
Gruppe G,Thu Nov 30 2023,21:00,CET/+0100,FC Sheriff,2-3,1-1,Slavia Praha,,,2023-11-30T20:00Z
Gruppe G,Thu Nov 30 2023,21:00,CET/+0100,Servette FC,1-1,0-1,AS Roma,,,2023-11-30T20:00Z
Gruppe E,Thu Nov 30 2023,21:00,CET/+0100,Liverpool FC,4-0,2-0,LASK,,,2023-11-30T20:00Z
Gruppe B,Thu Nov 30 2023,18:45,CET/+0100,AEK Athen,0-1,0-0,Brighton & Hove Albion,,,2023-11-30T17:45Z
Gruppe B,Thu Nov 30 2023,21:00,CET/+0100,Olympique Marseille,4-3,2-2,AFC Ajax,,,2023-11-30T20:00Z
Gruppe H,Thu Nov 30 2023,21:00,CET/+0100,Molde FK,2-2,0-1,Qarabağ FK,,,2023-11-30T20:00Z
Gruppe D,Thu Nov 30 2023,18:45,CET/+0100,Sturm Graz,0-1,0-0,Raków Częstochowa,,,2023-11-30T17:45Z
Gruppe D,Thu Nov 30 2023,18:45,CET/+0100,Atalanta,1-1,1-0,Sporting CP,,,2023-11-30T17:45Z
Gruppe C,Thu Nov 30 2023,21:00,CET/+0100,Rangers FC,1-1,0-1,Aris Limassol,,,2023-11-30T20:00Z
Gruppe C,Thu Nov 30 2023,18:45,CET/+0100,AC Sparta Praha,1-0,0-0,Real Betis,,,2023-11-30T17:45Z
Gruppe F,Wed Dec 6 2023,21:00,CET/+0100,Villarreal CF,0-0,0-0,Maccabi Haifa,,,2023-12-06T20:00Z
Gruppe F,Thu Dec 14 2023,18:45,CET/+0100,Stade Rennais,2-3,1-1,Villarreal CF,,,2023-12-14T17:45Z
Gruppe F,Thu Dec 14 2023,18:45,CET/+0100,Panathinaikos,1-2,0-1,Maccabi Haifa,,,2023-12-14T17:45Z
Gruppe G,Thu Dec 14 2023,18:45,CET/+0100,AS Roma,3-0,2-0,FC Sheriff,,,2023-12-14T17:45Z
Gruppe G,Thu Dec 14 2023,18:45,CET/+0100,Slavia Praha,4-0,4-0,Servette FC,,,2023-12-14T17:45Z
