Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Gruppe A,Sun Apr 17 2022,16:00,-0300,São Raimundo AM,2-1,0-1,São Raimundo RR,,,2022-04-17T19:00Z
Gruppe A,Sun Apr 17 2022,18:00,-0300,Humaitá AC,0-1,0-0,Amazonas FC AM,,,2022-04-17T21:00Z
Gruppe B,Sun Apr 17 2022,16:00,-0300,Tocantinópolis TO,3-1,0-0,Tuna Luso PA,,,2022-04-17T19:00Z
Gruppe B,Sun Apr 17 2022,16:00,-0300,4 de Julho PI,1-1,1-1,Pacajus CE,,,2022-04-17T19:00Z
Gruppe B,Sun Apr 17 2022,15:30,-0300,Juventude MA,2-4,1-2,Fluminense PI,,,2022-04-17T18:30Z
Gruppe B,Sun Apr 17 2022,15:00,-0300,Castanhal PA,3-0,2-0,Moto Club MA,,,2022-04-17T18:00Z
Gruppe D,Sun Apr 17 2022,16:00,-0300,Lagarto SE,0-0,0-0,Santa Cruz PE,,,2022-04-17T19:00Z
Gruppe D,Sun Apr 17 2022,16:00,-0300,Juazeirense BA,1-1,1-1,CSE AL,,,2022-04-17T19:00Z
Gruppe D,Sun Apr 17 2022,16:00,-0300,Jacuipense BA,1-1,1-1,Sergipe SE,,,2022-04-17T19:00Z
Gruppe H,Sun Apr 17 2022,16:00,-0300,Juventus SC,1-1,1-0,São Luiz RS,,,2022-04-17T19:00Z
Gruppe H,Sun Apr 17 2022,16:00,-0300,Cascavel FC PR,1-0,1-0,Próspera SC,,,2022-04-17T19:00Z
Gruppe H,Sun Apr 17 2022,15:00,-0300,Aimoré RS,3-2,1-1,Marcílio Dias SC,,,2022-04-17T18:00Z
Gruppe C,Sun Apr 17 2022,16:00,-0300,Retrô PE,2-0,0-0,Crato CE,,,2022-04-17T19:00Z
Gruppe C,Sun Apr 17 2022,16:00,-0300,Icasa CE,1-0,0-0,Globo RN,,,2022-04-17T19:00Z
Gruppe C,Sun Apr 17 2022,16:00,-0300,América RN,2-1,1-0,Sousa PB,,,2022-04-17T19:00Z
Gruppe C,Sun Apr 17 2022,15:00,-0300,São Paulo Crystal PB,1-0,1-0,Afogados da Ingazeira PE,,,2022-04-17T18:00Z
Gruppe F,Sun Apr 17 2022,17:30,-0300,Pouso Alegre MG,2-1,1-0,Real Noroeste ES,,,2022-04-17T20:30Z
Gruppe F,Sun Apr 17 2022,17:00,-0300,Ferroviária SP,8-0,2-0,U.R.T. MG,,,2022-04-17T20:00Z
Gruppe F,Sun Apr 17 2022,16:00,-0300,Caldense MG,0-0,0-0,Inter de Limeira SP,,,2022-04-17T19:00Z
Gruppe F,Sun Apr 17 2022,15:00,-0300,Nova Venécia ES,0-0,0-0,Bahia de Feira BA,,,2022-04-17T18:00Z
Gruppe G,Sun Apr 17 2022,16:00,-0300,São Bernardo FC SP,0-0,0-0,Portuguesa RJ,,,2022-04-17T19:00Z
Gruppe G,Sun Apr 17 2022,16:00,-0300,Oeste SP,0-0,0-0,Paraná Clube,,,2022-04-17T19:00Z
Gruppe G,Sun Apr 17 2022,15:00,-0300,Pérolas Negras RJ,1-2,1-0,Santo André SP,,,2022-04-17T18:00Z
Gruppe G,Sun Apr 17 2022,15:00,-0300,Nova Iguaçu RJ,1-3,0-2,Cianorte PR,,,2022-04-17T18:00Z
Gruppe D,Sun Apr 17 2022,16:00,-0300,ASA AL,1-0,0-0,Atlético de Alagoinhas BA,,,2022-04-17T19:00Z
Gruppe E,Sun Apr 17 2022,15:00,-0300,Ceilândia DF,1-0,0-0,Costa Rica MS,,,2022-04-17T18:00Z
Gruppe E,Sun Apr 17 2022,15:30,-0300,Iporá GO,0-1,0-0,Operário MT,,,2022-04-17T18:30Z
Gruppe E,Sun Apr 17 2022,16:00,-0300,Ação MT,1-3,1-1,Grêmio Anápolis GO,,,2022-04-17T19:00Z
Gruppe E,Sun Apr 17 2022,16:00,-0300,Anápolis FC GO,0-2,0-1,Brasiliense DF,,,2022-04-17T19:00Z
Gruppe A,Mon Apr 18 2022,20:30,-0300,Náutico RR,0-3,0-1,Porto Velho EC RO,,,2022-04-18T23:30Z
Gruppe A,Mon Apr 18 2022,20:15,-0300,Trem AP,2-2,1-0,Rio Branco AC,,,2022-04-18T23:15Z
Gruppe B,Fri Apr 22 2022,20:00,-0300,Pacajus CE,1-0,0-0,Castanhal PA,,,2022-04-22T23:00Z
Gruppe G,Sat Apr 23 2022,15:00,-0300,Santo André SP,0-1,0-0,Nova Iguaçu RJ,,,2022-04-23T18:00Z
Gruppe E,Sat Apr 23 2022,16:00,-0300,Operário MT,0-0,0-0,Anápolis FC GO,,,2022-04-23T19:00Z
Gruppe A,Sat Apr 23 2022,16:30,-0300,Porto Velho EC RO,3-2,1-2,Humaitá AC,,,2022-04-23T19:30Z
Gruppe D,Sat Apr 23 2022,16:00,-0300,CSE AL,3-3,1-2,Jacuipense BA,,,2022-04-23T19:00Z
Gruppe F,Sat Apr 23 2022,16:00,-0300,Inter de Limeira SP,3-0,0-0,Pouso Alegre MG,,,2022-04-23T19:00Z
Gruppe F,Sat Apr 23 2022,16:00,-0300,U.R.T. MG,0-3,0-1,Nova Venécia ES,,,2022-04-23T19:00Z
Gruppe D,Sat Apr 23 2022,16:00,-0300,Santa Cruz PE,1-2,0-1,ASA AL,,,2022-04-23T19:00Z
Gruppe H,Sat Apr 23 2022,16:00,-0300,São Luiz RS,2-0,0-0,Azuriz PR,,,2022-04-23T19:00Z
Gruppe H,Sat Apr 23 2022,15:30,-0300,Marcílio Dias SC,1-1,0-0,Cascavel FC PR,,,2022-04-23T18:30Z
Gruppe H,Sat Apr 23 2022,15:00,-0300,S.E.R. Caxias RS,1-0,1-0,Juventus SC,,,2022-04-23T18:00Z
Gruppe E,Sat Apr 23 2022,16:00,-0300,Grêmio Anápolis GO,0-0,0-0,Ceilândia DF,,,2022-04-23T19:00Z
Gruppe C,Sun Apr 24 2022,16:00,-0300,Afogados da Ingazeira PE,1-0,0-0,Icasa CE,,,2022-04-24T19:00Z
Gruppe C,Sun Apr 24 2022,15:00,-0300,Crato CE,0-0,0-0,América RN,,,2022-04-24T18:00Z
Gruppe F,Sun Apr 24 2022,16:00,-0300,Real Noroeste ES,2-1,1-0,Caldense MG,,,2022-04-24T19:00Z
Gruppe H,Sun Apr 24 2022,15:00,-0300,Próspera SC,0-1,0-0,Aimoré RS,,,2022-04-24T18:00Z
Gruppe C,Sun Apr 24 2022,16:00,-0300,Sousa PB,0-3,0-0,Retrô PE,,,2022-04-24T19:00Z
Gruppe A,Sun Apr 24 2022,18:00,-0300,São Raimundo RR,2-1,1-0,Trem AP,,,2022-04-24T21:00Z
Gruppe A,Sun Apr 24 2022,18:00,-0300,Rio Branco AC,1-0,0-0,São Raimundo AM,,,2022-04-24T21:00Z
