Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 1,Tue Feb 22 2022,19:00,-0300,U.R.T. MG,1-1,0-0,Avaí SC,,2022-02-22T22:00Z
Round 1,Tue Feb 22 2022,21:30,-0300,Cascavel FC PR,1-0,1-0,Ponte Preta,,2022-02-23T00:30Z
Round 1,Tue Feb 22 2022,16:30,-0300,Lagarto SE,0-0,0-0,Figueirense SC,,2022-02-22T19:30Z
Round 1,Wed Feb 23 2022,15:30,-0300,Tuntum MA,4-2,3-1,Volta Redonda RJ,,2022-02-23T18:30Z
Round 1,Wed Feb 23 2022,19:00,-0300,Azuriz PR,1-0,0-0,Botafogo SP,,2022-02-23T22:00Z
Round 1,Wed Feb 23 2022,19:00,-0300,ASA AL,0-2,0-1,Cuiabá MT,,2022-02-23T22:00Z
Round 1,Wed Feb 23 2022,19:00,-0300,Salgueiro PE,0-3,0-1,Santos FC,,2022-02-23T22:00Z
Round 1,Wed Feb 23 2022,20:00,-0300,Glória RS,1-0,0-0,Brasil de Pelotas RS,,2022-02-23T23:00Z
Round 1,Wed Feb 23 2022,20:30,-0300,Tocantinópolis TO,1-0,1-0,Náutico PE,,2022-02-23T23:30Z
Round 1,Wed Feb 23 2022,21:30,-0300,Atlético de Alagoinhas BA,1-1,1-1,CSA AL,,2022-02-24T00:30Z
Round 1,Wed Feb 23 2022,21:30,-0300,Sergipe SE,0-5,0-0,Cruzeiro,,2022-02-24T00:30Z
Round 1,Wed Feb 23 2022,22:00,-0300,Humaitá AC,2-2,1-1,Brasiliense DF,,2022-02-24T01:00Z
Round 1,Thu Feb 24 2022,15:30,-0300,Fluminense PI,2-0,1-0,Oeste SP,,2022-02-24T18:30Z
Round 1,Thu Feb 24 2022,16:30,-0300,São Raimundo AM,0-1,0-1,Manaus AM,,2022-02-24T19:30Z
Round 1,Thu Feb 24 2022,19:00,-0300,Bahia de Feira BA,2-5,1-2,Coritiba PR,,2022-02-24T22:00Z
Round 1,Thu Feb 24 2022,21:30,-0300,Campinense PB,0-0,0-0,São Paulo FC,,2022-02-25T00:30Z
Round 1,Thu Feb 24 2022,15:30,-0300,Nova Iguaçu RJ,0-0,0-0,Criciúma SC,,2022-02-24T18:30Z
Round 1,Tue Mar 1 2022,15:30,-0300,Icasa CE,0-0,0-0,Tombense MG,,2022-03-01T18:30Z
Round 1,Tue Mar 1 2022,16:00,-0300,Maricá RJ,0-1,0-0,Guarani SP,,2022-03-01T19:00Z
Round 1,Tue Mar 1 2022,19:00,-0300,Moto Club MA,3-2,1-2,Chapecoense,,2022-03-01T22:00Z
Round 1,Tue Mar 1 2022,19:00,-0300,Pouso Alegre MG,2-0,1-0,Paraná Clube,,2022-03-01T22:00Z
Round 1,Tue Mar 1 2022,21:30,-0300,Mirassol SP,3-2,2-2,Grêmio Porto Alegre,,2022-03-02T00:30Z
Round 1,Tue Mar 1 2022,21:30,-0300,Sousa PB,1-1,1-1,Goiás GO,,2022-03-02T00:30Z
Round 1,Wed Mar 2 2022,15:30,-0300,Ceilândia DF,2-0,1-0,Londrina PR,,2022-03-02T18:30Z
Round 1,Wed Mar 2 2022,15:30,-0300,Tuna Luso PA,1-0,1-0,Grêmio Novorizontino SP,,2022-03-02T18:30Z
Round 1,Wed Mar 2 2022,16:30,-0300,Porto Velho EC RO,1-2,1-1,Juventude RS,,2022-03-02T19:30Z
Round 1,Wed Mar 2 2022,16:30,-0300,Operário MT,1-2,0-0,Sampaio Corrêa MA,,2022-03-02T19:30Z
Round 1,Wed Mar 2 2022,19:00,-0300,Real Noroeste ES,2-1,2-1,Operário Ferroviário PR,,2022-03-02T22:00Z
Round 1,Wed Mar 2 2022,19:00,-0300,São Raimundo RR,0-3,0-1,Ceará CE,,2022-03-02T22:00Z
Round 1,Wed Mar 2 2022,19:00,-0300,Altos PI,1-0,0-0,Sport Recife PE,,2022-03-02T22:00Z
Round 1,Wed Mar 2 2022,20:00,-0300,Rio Branco AC,0-0,0-0,Vila Nova GO,,2022-03-02T23:00Z
Round 1,Wed Mar 2 2022,20:30,-0300,Grêmio Anápolis GO,0-0,0-0,Juazeirense BA,,2022-03-02T23:30Z
Round 1,Wed Mar 2 2022,20:30,-0300,Trem AP,0-3,0-1,Paysandu PA,,2022-03-02T23:30Z
Round 1,Wed Mar 2 2022,21:00,-0300,Costa Rica MS,0-3,0-1,ABC RN,,2022-03-03T00:00Z
Round 1,Wed Mar 2 2022,21:30,-0300,Ferroviária SP,0-1,0-1,Vasco da Gama RJ,,2022-03-03T00:30Z
Round 1,Wed Mar 2 2022,21:30,-0300,Portuguesa RJ,1-0,0-0,CR Brasil AL,,2022-03-03T00:30Z
Round 1,Thu Mar 3 2022,19:00,-0300,União Rondonópolis MT,0-3,0-1,Atlético Goianiense,,2022-03-03T22:00Z
Round 1,Thu Mar 3 2022,20:30,-0300,Castanhal PA,1-1,1-1,Vitória BA,,2022-03-03T23:30Z
Round 1,Thu Mar 3 2022,21:30,-0300,Globo RN,2-0,0-0,Internacional,,2022-03-04T00:30Z
Round 1,Thu Mar 3 2022,15:30,-0300,Nova Venécia ES,2-1,0-1,Ferroviário CE,,2022-03-03T18:30Z
Round 2,Tue Mar 8 2022,21:30,-0300,Figueirense SC,2-2,0-0,Cuiabá MT,2-4,2022-03-09T00:30Z
Round 2,Tue Mar 8 2022,21:30,-0300,Fluminense PI,1-1,1-0,Santos FC,4-5,2022-03-09T00:30Z
Round 2,Wed Mar 9 2022,21:30,-0300,Juazeirense BA,1-1,1-1,Vasco da Gama RJ,4-2,2022-03-10T00:30Z
Round 2,Wed Mar 9 2022,19:00,-0300,Azuriz PR,1-0,1-0,Mirassol SP,,2022-03-09T22:00Z
Round 2,Thu Mar 10 2022,21:30,-0300,Avaí SC,1-2,1-1,Ceilândia DF,,2022-03-11T00:30Z
Round 2,Thu Mar 10 2022,21:30,-0300,Pouso Alegre MG,1-1,0-0,Coritiba PR,2-3,2022-03-11T00:30Z
Round 2,Tue Mar 15 2022,16:00,-0300,Portuguesa RJ,2-0,0-0,Sampaio Corrêa MA,,2022-03-15T19:00Z
Round 2,Tue Mar 15 2022,19:00,-0300,Atlético Goianiense,2-1,2-1,Nova Venécia ES,,2022-03-15T22:00Z
Round 2,Tue Mar 15 2022,21:30,-0300,Ceará CE,2-0,0-0,Tuna Luso PA,,2022-03-16T00:30Z
Round 2,Tue Mar 15 2022,21:30,-0300,Guarani SP,2-2,1-1,Vila Nova GO,4-5,2022-03-16T00:30Z
Round 2,Wed Mar 16 2022,16:00,-0300,ABC RN,1-1,1-0,Altos PI,2-4,2022-03-16T19:00Z
Round 2,Wed Mar 16 2022,19:00,-0300,Moto Club MA,1-1,1-1,Tombense MG,2-4,2022-03-16T22:00Z
Round 2,Wed Mar 16 2022,20:30,-0300,Globo RN,1-1,0-0,Brasiliense DF,1-4,2022-03-16T23:30Z
Round 2,Wed Mar 16 2022,20:30,-0300,Tuntum MA,0-3,0-1,Cruzeiro,,2022-03-16T23:30Z
Round 2,Wed Mar 16 2022,20:30,-0300,Tocantinópolis TO,2-0,1-0,Cascavel FC PR,,2022-03-16T23:30Z
Round 2,Wed Mar 16 2022,21:30,-0300,CSA AL,4-1,1-0,Paysandu PA,,2022-03-17T00:30Z
Round 2,Wed Mar 16 2022,21:30,-0300,São Paulo FC,2-0,2-0,Manaus AM,,2022-03-17T00:30Z
Round 2,Thu Mar 17 2022,21:30,-0300,Goiás GO,1-0,0-0,Criciúma SC,,2022-03-18T00:30Z
Round 2,Thu Mar 17 2022,19:00,-0300,Real Noroeste ES,0-1,0-1,Juventude RS,,2022-03-17T22:00Z
Round 2,Wed Mar 23 2022,21:30,-0300,Vitória BA,2-0,0-0,Glória RS,,2022-03-24T00:30Z
Round 3,Tue Apr 19 2022,19:00,-0300,CSA AL,0-3,0-0,América MG,,2022-04-19T22:00Z
Round 3,Tue Apr 19 2022,19:30,-0300,Bahia BA,0-0,0-0,Azuriz PR,,2022-04-19T22:30Z
Round 3,Tue Apr 19 2022,21:30,-0300,Fluminense RJ,3-2,0-1,Vila Nova GO,,2022-04-20T00:30Z
Round 3,Tue Apr 19 2022,21:30,-0300,Remo PA,2-1,0-0,Cruzeiro,,2022-04-20T00:30Z
Round 3,Wed Apr 20 2022,19:00,-0300,Goiás GO,1-2,1-1,Red Bull Bragantino,,2022-04-20T22:00Z
Round 3,Wed Apr 20 2022,19:00,-0300,Atlético Mineiro,3-0,3-0,Brasiliense DF,,2022-04-20T22:00Z
Round 3,Wed Apr 20 2022,19:00,-0300,Fortaleza CE,3-0,2-0,Vitória BA,,2022-04-20T22:00Z
Round 3,Wed Apr 20 2022,19:00,-0300,Tocantinópolis TO,2-5,1-2,Athletico Paranaense,,2022-04-20T22:00Z
Round 3,Wed Apr 20 2022,19:30,-0300,Juventude RS,2-2,2-0,São Paulo FC,,2022-04-20T22:30Z
Round 3,Wed Apr 20 2022,19:30,-0300,Coritiba PR,1-0,1-0,Santos FC,,2022-04-20T22:30Z
Round 3,Wed Apr 20 2022,21:30,-0300,Tombense MG,0-2,0-1,Ceará CE,,2022-04-21T00:30Z
Round 3,Wed Apr 20 2022,21:30,-0300,Portuguesa RJ,1-1,1-1,Corinthians SP,,2022-04-21T00:30Z
Round 3,Wed Apr 20 2022,21:30,-0300,Ceilândia DF,0-3,0-1,Botafogo RJ,,2022-04-21T00:30Z
Round 3,Thu Apr 21 2022,21:30,-0300,Atlético Goianiense,1-1,0-0,Cuiabá MT,,2022-04-22T00:30Z
Round 3,Sat Apr 30 2022,21:00,-0300,Palmeiras,2-1,1-1,Juazeirense BA,,2022-05-01T00:00Z
Round 3,Sun May 1 2022,18:00,-0300,Altos PI,1-2,0-0,Flamengo RJ,,2022-05-01T21:00Z
Round 3,Tue May 10 2022,19:00,-0300,América MG,2-0,1-0,CSA AL,,2022-05-10T22:00Z
Round 3,Tue May 10 2022,20:30,-0300,Azuriz PR,1-1,1-0,Bahia BA,3-4,2022-05-10T23:30Z
