Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Tue Jan 25 2022,21:00,-0300,Caldense MG,2-1,1-0,América MG,,2022-01-26T00:00Z
,1,Wed Jan 26 2022,19:00,-0300,Villa Nova MG,1-1,1-0,Atlético Mineiro,,2022-01-26T22:00Z
,1,Wed Jan 26 2022,19:00,-0300,Tombense MG,1-1,1-0,Pouso Alegre MG,,2022-01-26T22:00Z
,1,Wed Jan 26 2022,20:00,-0300,Uberlândia MG,0-1,0-1,Athletic MG,,2022-01-26T23:00Z
,1,Wed Jan 26 2022,20:00,-0300,Democrata Gov. Valadares MG,1-1,1-0,Atlético Patrocinense MG,,2022-01-26T23:00Z
,1,Wed Jan 26 2022,17:00,-0300,Cruzeiro,3-0,1-0,U.R.T. MG,,2022-01-26T20:00Z
,2,Sat Jan 29 2022,16:30,-0300,Atlético Mineiro,3-0,1-0,Tombense MG,,2022-01-29T19:30Z
,2,Sun Jan 30 2022,11:00,-0300,Athletic MG,0-1,0-0,Cruzeiro,,2022-01-30T14:00Z
,2,Sun Jan 30 2022,16:00,-0300,U.R.T. MG,1-3,0-2,Caldense MG,,2022-01-30T19:00Z
,2,Sun Jan 30 2022,16:00,-0300,Atlético Patrocinense MG,1-2,0-1,Uberlândia MG,,2022-01-30T19:00Z
,2,Sun Jan 30 2022,17:00,-0300,Pouso Alegre MG,1-1,1-0,Villa Nova MG,,2022-01-30T20:00Z
,2,Sun Jan 30 2022,19:00,-0300,América MG,2-0,1-0,Democrata Gov. Valadares MG,,2022-01-30T22:00Z
,3,Wed Feb 2 2022,19:30,-0300,Pouso Alegre MG,1-4,1-1,Athletic MG,,2022-02-02T22:30Z
,3,Wed Feb 2 2022,20:00,-0300,Caldense MG,0-2,0-0,Tombense MG,,2022-02-02T23:00Z
,3,Wed Feb 2 2022,20:00,-0300,Atlético Patrocinense MG,1-0,0-0,U.R.T. MG,,2022-02-02T23:00Z
,3,Wed Feb 2 2022,20:30,-0300,Villa Nova MG,2-2,2-1,Democrata Gov. Valadares MG,,2022-02-02T23:30Z
,3,Wed Feb 2 2022,21:30,-0300,Cruzeiro,0-2,0-2,América MG,,2022-02-03T00:30Z
,3,Wed Feb 2 2022,19:30,-0300,Uberlândia MG,0-4,0-2,Atlético Mineiro,,2022-02-02T22:30Z
,4,Sat Feb 5 2022,16:00,-0300,Democrata Gov. Valadares MG,1-0,0-0,Pouso Alegre MG,,2022-02-05T19:00Z
,4,Sat Feb 5 2022,16:30,-0300,Caldense MG,1-2,1-0,Cruzeiro,,2022-02-05T19:30Z
,4,Sat Feb 5 2022,19:30,-0300,América MG,1-1,1-0,Athletic MG,,2022-02-05T22:30Z
,4,Sun Feb 6 2022,16:00,-0300,Tombense MG,2-1,1-0,Villa Nova MG,,2022-02-06T19:00Z
,4,Sun Feb 6 2022,16:00,-0300,U.R.T. MG,1-1,1-0,Uberlândia MG,,2022-02-06T19:00Z
,4,Sun Feb 6 2022,11:00,-0300,Atlético Mineiro,3-0,1-0,Atlético Patrocinense MG,,2022-02-06T14:00Z
,5,Tue Feb 8 2022,21:30,-0300,Pouso Alegre MG,0-1,0-0,América MG,,2022-02-09T00:30Z
,5,Wed Feb 9 2022,15:30,-0300,Athletic MG,1-0,1-0,Tombense MG,,2022-02-09T18:30Z
,5,Wed Feb 9 2022,19:30,-0300,Cruzeiro,1-0,0-0,Democrata Gov. Valadares MG,,2022-02-09T22:30Z
,5,Wed Feb 9 2022,20:00,-0300,Atlético Patrocinense MG,0-2,0-0,Caldense MG,,2022-02-09T23:00Z
,5,Wed Feb 9 2022,20:00,-0300,Uberlândia MG,0-0,0-0,Villa Nova MG,,2022-02-09T23:00Z
,5,Wed Feb 9 2022,21:30,-0300,U.R.T. MG,1-0,1-0,Atlético Mineiro,,2022-02-10T00:30Z
,6,Sat Feb 12 2022,16:30,-0300,América MG,0-2,0-0,Atlético Mineiro,,2022-02-12T19:30Z
,6,Sat Feb 12 2022,19:00,-0300,Tombense MG,0-3,0-1,Cruzeiro,,2022-02-12T22:00Z
,6,Sat Feb 12 2022,20:00,-0300,Democrata Gov. Valadares MG,3-0,1-0,Uberlândia MG,,2022-02-12T23:00Z
,6,Sat Feb 12 2022,15:00,-0300,Athletic MG,1-0,1-0,Atlético Patrocinense MG,,2022-02-12T18:00Z
,6,Sun Feb 13 2022,16:00,-0300,Villa Nova MG,1-1,1-0,U.R.T. MG,,2022-02-13T19:00Z
,6,Sun Feb 13 2022,11:00,-0300,Caldense MG,2-1,0-0,Pouso Alegre MG,,2022-02-13T14:00Z
,7,Tue Feb 15 2022,21:00,-0300,Atlético Mineiro,1-0,0-0,Athletic MG,,2022-02-16T00:00Z
,7,Wed Feb 16 2022,19:00,-0300,América MG,2-0,1-0,Atlético Patrocinense MG,,2022-02-16T22:00Z
,7,Wed Feb 16 2022,19:30,-0300,Pouso Alegre MG,1-1,1-0,U.R.T. MG,,2022-02-16T22:30Z
,7,Wed Feb 16 2022,20:00,-0300,Democrata Gov. Valadares MG,1-0,0-0,Tombense MG,,2022-02-16T23:00Z
,7,Wed Feb 16 2022,20:30,-0300,Villa Nova MG,2-0,1-0,Caldense MG,,2022-02-16T23:30Z
,7,Thu Feb 17 2022,20:00,-0300,Cruzeiro,2-1,1-0,Uberlândia MG,,2022-02-17T23:00Z
,8,Sat Feb 19 2022,16:30,-0300,U.R.T. MG,0-0,0-0,América MG,,2022-02-19T19:30Z
,8,Sat Feb 19 2022,15:00,-0300,Athletic MG,1-0,1-0,Democrata Gov. Valadares MG,,2022-02-19T18:00Z
,8,Sun Feb 20 2022,11:00,-0300,Cruzeiro,2-2,1-2,Villa Nova MG,,2022-02-20T14:00Z
,8,Sun Feb 20 2022,11:00,-0300,Atlético Patrocinense MG,2-1,0-1,Tombense MG,,2022-02-20T14:00Z
,8,Tue Feb 22 2022,19:00,-0300,Uberlândia MG,0-1,0-0,Caldense MG,,2022-02-22T22:00Z
