Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
Taça Guanabara,1,Tue Jan 25 2022,21:00,-0300,Boavista RJ,1-1,1-1,Botafogo RJ,,2022-01-26T00:00Z
Taça Guanabara,1,Wed Jan 26 2022,19:00,-0300,Volta Redonda RJ,2-4,1-3,Vasco da Gama RJ,,2022-01-26T22:00Z
Taça Guanabara,1,Wed Jan 26 2022,21:35,-0300,Flamengo RJ,2-1,1-0,Portuguesa RJ,,2022-01-27T00:35Z
Taça Guanabara,1,Wed Jan 26 2022,15:30,-0300,Audax RJ,0-0,0-0,Nova Iguaçu RJ,,2022-01-26T18:30Z
Taça Guanabara,1,Thu Jan 27 2022,15:30,-0300,Madureira RJ,1-0,1-0,Resende FC RJ,,2022-01-27T18:30Z
Taça Guanabara,1,Thu Jan 27 2022,20:30,-0300,Fluminense RJ,0-1,0-1,Bangu RJ,,2022-01-27T23:30Z
Taça Guanabara,2,Sat Jan 29 2022,18:00,-0300,Volta Redonda RJ,0-0,0-0,Flamengo RJ,,2022-01-29T21:00Z
Taça Guanabara,2,Sat Jan 29 2022,21:00,-0300,Vasco da Gama RJ,1-1,0-0,Boavista RJ,,2022-01-30T00:00Z
Taça Guanabara,2,Sat Jan 29 2022,15:30,-0300,Portuguesa RJ,1-0,0-0,Audax RJ,,2022-01-29T18:30Z
Taça Guanabara,2,Sun Jan 30 2022,11:00,-0300,Resende FC RJ,1-0,0-0,Nova Iguaçu RJ,,2022-01-30T14:00Z
Taça Guanabara,2,Sun Jan 30 2022,16:00,-0300,Botafogo RJ,2-0,1-0,Bangu RJ,,2022-01-30T19:00Z
Taça Guanabara,2,Sun Jan 30 2022,18:00,-0300,Madureira RJ,0-1,0-0,Fluminense RJ,,2022-01-30T21:00Z
Taça Guanabara,3,Wed Feb 2 2022,19:15,-0300,Flamengo RJ,3-0,1-0,Boavista RJ,,2022-02-02T22:15Z
Taça Guanabara,3,Wed Feb 2 2022,21:35,-0300,Vasco da Gama RJ,3-2,1-0,Nova Iguaçu RJ,,2022-02-03T00:35Z
Taça Guanabara,3,Wed Feb 2 2022,15:30,-0300,Bangu RJ,1-1,0-0,Volta Redonda RJ,,2022-02-02T18:30Z
Taça Guanabara,3,Thu Feb 3 2022,18:00,-0300,Botafogo RJ,4-2,0-1,Madureira RJ,,2022-02-03T21:00Z
Taça Guanabara,3,Thu Feb 3 2022,20:15,-0300,Fluminense RJ,1-0,1-0,Audax RJ,,2022-02-03T23:15Z
Taça Guanabara,3,Thu Feb 3 2022,15:30,-0300,Resende FC RJ,1-1,0-1,Portuguesa RJ,,2022-02-03T18:30Z
Taça Guanabara,4,Sat Feb 5 2022,16:00,-0300,Boavista RJ,1-0,1-0,Volta Redonda RJ,,2022-02-05T19:00Z
Taça Guanabara,4,Sun Feb 6 2022,15:30,-0300,Madureira RJ,1-3,0-2,Vasco da Gama RJ,,2022-02-06T18:30Z
Taça Guanabara,4,Sun Feb 6 2022,16:00,-0300,Flamengo RJ,0-1,0-0,Fluminense RJ,,2022-02-06T19:00Z
Taça Guanabara,4,Sun Feb 6 2022,19:00,-0300,Portuguesa RJ,1-0,1-0,Bangu RJ,,2022-02-06T22:00Z
Taça Guanabara,4,Mon Feb 7 2022,20:00,-0300,Botafogo RJ,2-0,0-0,Nova Iguaçu RJ,,2022-02-07T23:00Z
Taça Guanabara,4,Mon Feb 7 2022,15:30,-0300,Resende FC RJ,0-1,0-1,Audax RJ,,2022-02-07T18:30Z
Taça Guanabara,5,Wed Feb 9 2022,21:35,-0300,Vasco da Gama RJ,1-0,0-0,Portuguesa RJ,,2022-02-10T00:35Z
Taça Guanabara,5,Wed Feb 9 2022,15:30,-0300,Bangu RJ,0-0,0-0,Madureira RJ,,2022-02-09T18:30Z
Taça Guanabara,5,Thu Feb 10 2022,19:00,-0300,Audax RJ,1-2,0-1,Flamengo RJ,,2022-02-10T22:00Z
Taça Guanabara,5,Thu Feb 10 2022,20:00,-0300,Fluminense RJ,2-1,0-1,Botafogo RJ,,2022-02-10T23:00Z
Taça Guanabara,5,Thu Feb 10 2022,15:30,-0300,Nova Iguaçu RJ,1-1,1-1,Boavista RJ,,2022-02-10T18:30Z
Taça Guanabara,6,Sat Feb 12 2022,18:00,-0300,Volta Redonda RJ,0-1,0-0,Madureira RJ,,2022-02-12T21:00Z
Taça Guanabara,6,Sat Feb 12 2022,15:30,-0300,Bangu RJ,0-0,0-0,Resende FC RJ,,2022-02-12T18:30Z
Taça Guanabara,6,Sun Feb 13 2022,15:30,-0300,Audax RJ,2-0,0-0,Boavista RJ,,2022-02-13T18:30Z
Taça Guanabara,6,Sun Feb 13 2022,16:00,-0300,Fluminense RJ,1-0,0-0,Portuguesa RJ,,2022-02-13T19:00Z
Taça Guanabara,6,Sun Feb 13 2022,19:00,-0300,Flamengo RJ,5-0,2-0,Nova Iguaçu RJ,,2022-02-13T22:00Z
Taça Guanabara,6,Sun Feb 13 2022,20:00,-0300,Vasco da Gama RJ,0-1,0-1,Botafogo RJ,,2022-02-13T23:00Z
Taça Guanabara,7,Wed Feb 16 2022,15:30,-0300,Madureira RJ,1-2,1-0,Flamengo RJ,,2022-02-16T18:30Z
Taça Guanabara,7,Wed Feb 16 2022,19:00,-0300,Volta Redonda RJ,4-0,1-0,Audax RJ,,2022-02-16T22:00Z
Taça Guanabara,7,Wed Feb 16 2022,21:35,-0300,Nova Iguaçu RJ,0-1,0-1,Fluminense RJ,,2022-02-17T00:35Z
Taça Guanabara,7,Thu Feb 17 2022,20:30,-0300,Vasco da Gama RJ,2-0,0-0,Bangu RJ,,2022-02-17T23:30Z
Taça Guanabara,7,Thu Feb 17 2022,18:00,-0300,Botafogo RJ,2-1,2-1,Resende FC RJ,,2022-02-17T21:00Z
Taça Guanabara,7,Fri Feb 18 2022,11:00,-0300,Portuguesa RJ,1-2,0-0,Boavista RJ,,2022-02-18T14:00Z
Taça Guanabara,8,Sat Feb 19 2022,19:00,-0300,Fluminense RJ,3-0,1-0,Volta Redonda RJ,,2022-02-19T22:00Z
Taça Guanabara,8,Sun Feb 20 2022,11:00,-0300,Nova Iguaçu RJ,1-0,0-0,Bangu RJ,,2022-02-20T14:00Z
Taça Guanabara,8,Sun Feb 20 2022,18:30,-0300,Audax RJ,0-1,0-0,Vasco da Gama RJ,,2022-02-20T21:30Z
Taça Guanabara,8,Sun Feb 20 2022,15:30,-0300,Portuguesa RJ,0-0,0-0,Madureira RJ,,2022-02-20T18:30Z
Taça Guanabara,8,Mon Feb 21 2022,15:30,-0300,Resende FC RJ,4-2,4-2,Boavista RJ,,2022-02-21T18:30Z
Taça Guanabara,8,Wed Feb 23 2022,20:00,-0300,Botafogo RJ,1-3,0-2,Flamengo RJ,,2022-02-23T23:00Z
Taça Guanabara,9,Thu Feb 24 2022,15:30,-0300,Bangu RJ,2-0,1-0,Audax RJ,,2022-02-24T18:30Z
Taça Guanabara,9,Fri Feb 25 2022,16:00,-0300,Boavista RJ,1-2,1-0,Madureira RJ,,2022-02-25T19:00Z
Taça Guanabara,9,Sat Feb 26 2022,17:00,-0300,Fluminense RJ,2-0,2-0,Vasco da Gama RJ,,2022-02-26T20:00Z
Taça Guanabara,9,Sun Feb 27 2022,15:00,-0300,Volta Redonda RJ,2-3,0-1,Nova Iguaçu RJ,,2022-02-27T18:00Z
Taça Guanabara,9,Sun Feb 27 2022,16:00,-0300,Flamengo RJ,2-2,0-1,Resende FC RJ,,2022-02-27T19:00Z
Taça Guanabara,9,Sun Feb 27 2022,19:00,-0300,Portuguesa RJ,5-3,2-2,Botafogo RJ,,2022-02-27T22:00Z
Taça Guanabara,5,Wed Mar 2 2022,19:00,-0300,Volta Redonda RJ,1-2,0-0,Resende FC RJ,,2022-03-02T22:00Z
Taça Guanabara,10,Sat Mar 5 2022,16:00,-0300,Resende FC RJ,0-4,0-3,Fluminense RJ,,2022-03-05T19:00Z
Taça Guanabara,10,Sat Mar 5 2022,11:00,-0300,Nova Iguaçu RJ,1-0,0-0,Portuguesa RJ,,2022-03-05T14:00Z
Taça Guanabara,10,Sun Mar 6 2022,15:30,-0300,Boavista RJ,4-1,2-0,Bangu RJ,,2022-03-06T18:30Z
Taça Guanabara,10,Sun Mar 6 2022,16:00,-0300,Flamengo RJ,2-1,1-0,Vasco da Gama RJ,,2022-03-06T19:00Z
Taça Guanabara,10,Sun Mar 6 2022,11:00,-0300,Madureira RJ,1-3,0-0,Audax RJ,,2022-03-06T14:00Z
Taça Guanabara,10,Mon Mar 7 2022,19:30,-0300,Botafogo RJ,5-0,1-0,Volta Redonda RJ,,2022-03-07T22:30Z
Taça Guanabara,11,Sat Mar 12 2022,16:00,-0300,Boavista RJ,0-0,0-0,Fluminense RJ,,2022-03-12T19:00Z
Taça Guanabara,11,Sat Mar 12 2022,19:30,-0300,Bangu RJ,0-6,0-3,Flamengo RJ,,2022-03-12T22:30Z
Taça Guanabara,11,Sat Mar 12 2022,16:00,-0300,Portuguesa RJ,1-1,1-0,Volta Redonda RJ,,2022-03-12T19:00Z
Taça Guanabara,11,Sun Mar 13 2022,11:00,-0300,Nova Iguaçu RJ,3-0,0-0,Madureira RJ,,2022-03-13T14:00Z
Taça Guanabara,11,Sun Mar 13 2022,16:00,-0300,Vasco da Gama RJ,3-0,1-0,Resende FC RJ,,2022-03-13T19:00Z
Taça Guanabara,11,Sun Mar 13 2022,16:00,-0300,Audax RJ,2-2,1-0,Botafogo RJ,,2022-03-13T19:00Z
Taça Guanabara Finals,Semifinals,Wed Mar 16 2022,20:00,-0300,Vasco da Gama RJ,0-1,0-1,Flamengo RJ,,2022-03-16T23:00Z
Taça Rio,Semifinals,Sat Mar 19 2022,15:30,-0300,Audax RJ,1-2,1-2,Nova Iguaçu RJ,,2022-03-19T18:30Z
Taça Rio,Semifinals,Sun Mar 20 2022,15:30,-0300,Resende FC RJ,1-0,0-0,Portuguesa RJ,,2022-03-20T18:30Z
Taça Guanabara Finals,Semifinals,Sun Mar 20 2022,16:00,-0300,Flamengo RJ,1-0,0-0,Vasco da Gama RJ,,2022-03-20T19:00Z
Taça Guanabara Finals,Semifinals,Mon Mar 21 2022,20:00,-0300,Botafogo RJ,0-1,0-0,Fluminense RJ,,2022-03-21T23:00Z
Taça Rio,Semifinals,Wed Mar 23 2022,15:30,-0300,Nova Iguaçu RJ,2-1,1-1,Audax RJ,,2022-03-23T18:30Z
Taça Rio,Semifinals,Thu Mar 24 2022,20:00,-0300,Portuguesa RJ,2-2,0-1,Resende FC RJ,,2022-03-24T23:00Z
