Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
,5,Sun Jan 23 2022,16:00,-0300,Grêmio Novorizontino SP,0-2,0-1,Palmeiras,,,2022-01-23T19:00Z
,1,Tue Jan 25 2022,21:00,-0300,Corinthians SP,0-0,0-0,Ferroviária SP,,,2022-01-26T00:00Z
,1,Tue Jan 25 2022,19:00,-0300,Botafogo SP,0-0,0-0,Santo André SP,,,2022-01-25T22:00Z
,1,Wed Jan 26 2022,19:00,-0300,Inter de Limeira SP,0-0,0-0,Santos FC,,,2022-01-26T22:00Z
,1,Wed Jan 26 2022,19:00,-0300,Ituano SP,2-0,0-0,Grêmio Novorizontino SP,,,2022-01-26T22:00Z
,1,Wed Jan 26 2022,21:35,-0300,Palmeiras,3-0,3-0,Ponte Preta,,,2022-01-27T00:35Z
,1,Wed Jan 26 2022,15:00,-0300,Água Santa SP,0-1,0-1,São Bernardo FC SP,,,2022-01-26T18:00Z
,1,Thu Jan 27 2022,20:00,-0300,Mirassol SP,3-1,1-0,Red Bull Bragantino,,,2022-01-27T23:00Z
,1,Thu Jan 27 2022,21:30,-0300,Guarani SP,2-1,1-0,São Paulo FC,,,2022-01-28T00:30Z
,2,Sat Jan 29 2022,16:00,-0300,São Bernardo FC SP,1-1,1-0,Palmeiras,,,2022-01-29T19:00Z
,2,Sat Jan 29 2022,11:00,-0300,Santos FC,0-1,0-0,Botafogo SP,,,2022-01-29T14:00Z
,2,Sat Jan 29 2022,18:30,-0300,Ponte Preta,2-2,1-1,Inter de Limeira SP,,,2022-01-29T21:30Z
,2,Sat Jan 29 2022,18:30,-0300,Ferroviária SP,1-0,0-0,Água Santa SP,,,2022-01-29T21:30Z
,2,Sun Jan 30 2022,20:30,-0300,Grêmio Novorizontino SP,0-0,0-0,Mirassol SP,,,2022-01-30T23:30Z
,2,Sun Jan 30 2022,16:00,-0300,São Paulo FC,0-0,0-0,Ituano SP,,,2022-01-30T19:00Z
,2,Sun Jan 30 2022,18:30,-0300,Santo André SP,0-1,0-1,Corinthians SP,,,2022-01-30T21:30Z
,2,Mon Jan 31 2022,20:00,-0300,Red Bull Bragantino,1-0,0-0,Guarani SP,,,2022-01-31T23:00Z
,3,Tue Feb 1 2022,21:00,-0300,Botafogo SP,1-1,0-0,Ferroviária SP,,,2022-02-02T00:00Z
,3,Tue Feb 1 2022,19:00,-0300,Palmeiras,1-0,1-0,Água Santa SP,,,2022-02-01T22:00Z
,3,Wed Feb 2 2022,19:00,-0300,Ponte Preta,2-0,1-0,Grêmio Novorizontino SP,,,2022-02-02T22:00Z
,3,Wed Feb 2 2022,21:35,-0300,Corinthians SP,1-2,0-0,Santos FC,,,2022-02-03T00:35Z
,3,Wed Feb 2 2022,19:00,-0300,Santo André SP,1-0,0-0,São Bernardo FC SP,,,2022-02-02T22:00Z
,3,Thu Feb 3 2022,21:30,-0300,Red Bull Bragantino,4-3,2-1,São Paulo FC,,,2022-02-04T00:30Z
,3,Thu Feb 3 2022,19:00,-0300,Ituano SP,2-1,1-0,Inter de Limeira SP,,,2022-02-03T22:00Z
,3,Thu Feb 3 2022,19:00,-0300,Mirassol SP,2-0,1-0,Guarani SP,,,2022-02-03T22:00Z
,4,Sat Feb 5 2022,11:00,-0300,São Bernardo FC SP,2-0,1-0,Ponte Preta,,,2022-02-05T14:00Z
,4,Sat Feb 5 2022,15:00,-0300,Água Santa SP,1-0,1-0,Grêmio Novorizontino SP,,,2022-02-05T18:00Z
,4,Sun Feb 6 2022,18:30,-0300,Ituano SP,2-3,2-1,Corinthians SP,,,2022-02-06T21:30Z
,4,Sun Feb 6 2022,20:30,-0300,Inter de Limeira SP,3-0,0-0,Botafogo SP,,,2022-02-06T23:30Z
