Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Wed Jan 26 2022,19:00,-0300,Grêmio Porto Alegre,2-1,1-0,S.E.R. Caxias RS,2022-01-26T22:00Z
,1,Wed Jan 26 2022,20:00,-0300,União Frederiquense RS,1-1,0-1,Novo Hamburgo RS,2022-01-26T23:00Z
,1,Wed Jan 26 2022,21:30,-0300,Aimoré RS,0-0,0-0,Brasil de Pelotas RS,2022-01-27T00:30Z
,1,Wed Jan 26 2022,16:00,-0300,Juventude RS,1-2,0-0,Internacional,2022-01-26T19:00Z
,1,Thu Jan 27 2022,21:30,-0300,São José RS,1-0,1-0,Guarany de Bage RS,2022-01-28T00:30Z
,1,Thu Jan 27 2022,19:00,-0300,Ypiranga RS,2-1,2-1,São Luiz RS,2022-01-27T22:00Z
,2,Sat Jan 29 2022,19:00,-0300,Internacional,2-0,1-0,União Frederiquense RS,2022-01-29T22:00Z
,2,Sat Jan 29 2022,16:30,-0300,Brasil de Pelotas RS,1-1,0-0,Grêmio Porto Alegre,2022-01-29T19:30Z
,2,Sun Jan 30 2022,16:00,-0300,S.E.R. Caxias RS,1-1,0-0,São José RS,2022-01-30T19:00Z
,2,Sun Jan 30 2022,16:00,-0300,Guarany de Bage RS,0-1,0-0,Aimoré RS,2022-01-30T19:00Z
,2,Sun Jan 30 2022,19:00,-0300,São Luiz RS,1-0,0-0,Juventude RS,2022-01-30T22:00Z
,2,Sun Jan 30 2022,19:00,-0300,Novo Hamburgo RS,1-0,0-0,Ypiranga RS,2022-01-30T22:00Z
,3,Wed Feb 2 2022,19:00,-0300,São Luiz RS,0-0,0-0,Internacional,2022-02-02T22:00Z
,3,Wed Feb 2 2022,19:00,-0300,Ypiranga RS,3-1,2-0,União Frederiquense RS,2022-02-02T22:00Z
,3,Wed Feb 2 2022,21:30,-0300,Brasil de Pelotas RS,4-1,3-0,Guarany de Bage RS,2022-02-03T00:30Z
,3,Wed Feb 2 2022,16:30,-0300,Grêmio Porto Alegre,2-1,1-0,São José RS,2022-02-02T19:30Z
,3,Thu Feb 3 2022,21:30,-0300,Juventude RS,1-1,0-0,Novo Hamburgo RS,2022-02-04T00:30Z
,3,Thu Feb 3 2022,19:00,-0300,Aimoré RS,0-2,0-2,S.E.R. Caxias RS,2022-02-03T22:00Z
,4,Sat Feb 5 2022,16:30,-0300,Ypiranga RS,3-1,1-1,Internacional,2022-02-05T19:30Z
,4,Sun Feb 6 2022,18:30,-0300,União Frederiquense RS,2-1,1-0,Juventude RS,2022-02-06T21:30Z
,4,Sun Feb 6 2022,19:00,-0300,Novo Hamburgo RS,0-0,0-0,São Luiz RS,2022-02-06T22:00Z
,4,Sun Feb 6 2022,19:00,-0300,São José RS,0-2,0-1,Aimoré RS,2022-02-06T22:00Z
,4,Sun Feb 6 2022,19:30,-0300,Grêmio Porto Alegre,2-0,1-0,Guarany de Bage RS,2022-02-06T22:30Z
,4,Sun Feb 6 2022,16:00,-0300,S.E.R. Caxias RS,4-0,3-0,Brasil de Pelotas RS,2022-02-06T19:00Z
,5,Wed Feb 9 2022,19:00,-0300,São Luiz RS,1-0,0-0,União Frederiquense RS,2022-02-09T22:00Z
,5,Wed Feb 9 2022,20:30,-0300,Aimoré RS,1-2,0-0,Grêmio Porto Alegre,2022-02-09T23:30Z
,5,Wed Feb 9 2022,21:30,-0300,Internacional,1-1,0-0,Novo Hamburgo RS,2022-02-10T00:30Z
,5,Wed Feb 9 2022,21:30,-0300,Guarany de Bage RS,1-1,0-1,S.E.R. Caxias RS,2022-02-10T00:30Z
,5,Thu Feb 10 2022,19:00,-0300,Brasil de Pelotas RS,1-0,0-0,São José RS,2022-02-10T22:00Z
,5,Thu Feb 10 2022,19:00,-0300,Juventude RS,0-0,0-0,Ypiranga RS,2022-02-10T22:00Z
,6,Sat Feb 12 2022,18:00,-0300,Guarany de Bage RS,2-2,1-1,São Luiz RS,2022-02-12T21:00Z
,6,Sat Feb 12 2022,21:00,-0300,Aimoré RS,2-0,1-0,União Frederiquense RS,2022-02-13T00:00Z
,6,Sat Feb 12 2022,16:30,-0300,S.E.R. Caxias RS,0-1,0-0,Internacional,2022-02-12T19:30Z
,6,Sun Feb 13 2022,19:00,-0300,São José RS,0-0,0-0,Ypiranga RS,2022-02-13T22:00Z
,6,Sun Feb 13 2022,19:00,-0300,Grêmio Porto Alegre,1-1,0-0,Juventude RS,2022-02-13T22:00Z
,6,Sun Feb 13 2022,16:00,-0300,Brasil de Pelotas RS,1-1,1-1,Novo Hamburgo RS,2022-02-13T19:00Z
,7,Wed Feb 16 2022,19:00,-0300,União Frederiquense RS,3-1,1-1,Grêmio Porto Alegre,2022-02-16T22:00Z
,7,Wed Feb 16 2022,19:00,-0300,São Luiz RS,1-0,0-0,S.E.R. Caxias RS,2022-02-16T22:00Z
,7,Wed Feb 16 2022,21:30,-0300,Internacional,1-1,1-0,Brasil de Pelotas RS,2022-02-17T00:30Z
,7,Wed Feb 16 2022,21:30,-0300,Novo Hamburgo RS,2-0,1-0,Guarany de Bage RS,2022-02-17T00:30Z
,7,Thu Feb 17 2022,21:30,-0300,Juventude RS,2-0,0-0,São José RS,2022-02-18T00:30Z
,7,Thu Feb 17 2022,19:00,-0300,Ypiranga RS,3-0,2-0,Aimoré RS,2022-02-17T22:00Z
,8,Sat Feb 19 2022,19:00,-0300,Guarany de Bage RS,1-0,0-0,União Frederiquense RS,2022-02-19T22:00Z
,8,Sat Feb 19 2022,16:30,-0300,Grêmio Porto Alegre,4-0,2-0,São Luiz RS,2022-02-19T19:30Z
,8,Sun Feb 20 2022,19:00,-0300,S.E.R. Caxias RS,3-1,1-0,Novo Hamburgo RS,2022-02-20T22:00Z
,8,Sun Feb 20 2022,20:30,-0300,São José RS,3-2,0-1,Internacional,2022-02-20T23:30Z
,8,Sun Feb 20 2022,16:00,-0300,Brasil de Pelotas RS,1-1,0-0,Ypiranga RS,2022-02-20T19:00Z
,8,Mon Feb 21 2022,20:00,-0300,Aimoré RS,1-1,1-1,Juventude RS,2022-02-21T23:00Z
,9,Sat Feb 26 2022,16:30,-0300,Juventude RS,0-0,0-0,S.E.R. Caxias RS,2022-02-26T19:30Z
,9,Sat Feb 26 2022,16:30,-0300,São Luiz RS,0-3,0-1,São José RS,2022-02-26T19:30Z
,9,Sun Feb 27 2022,16:00,-0300,Novo Hamburgo RS,2-1,2-0,Aimoré RS,2022-02-27T19:00Z
,9,Sun Feb 27 2022,19:00,-0300,União Frederiquense RS,1-1,1-1,Brasil de Pelotas RS,2022-02-27T22:00Z
,9,Sun Feb 27 2022,16:00,-0300,Ypiranga RS,3-1,0-0,Guarany de Bage RS,2022-02-27T19:00Z
,10,Sat Mar 5 2022,16:30,-0300,Novo Hamburgo RS,1-1,1-0,Grêmio Porto Alegre,2022-03-05T19:30Z
,10,Sat Mar 5 2022,19:00,-0300,Ypiranga RS,2-0,0-0,S.E.R. Caxias RS,2022-03-05T22:00Z
,10,Sun Mar 6 2022,19:00,-0300,Juventude RS,2-0,1-0,Guarany de Bage RS,2022-03-06T22:00Z
,10,Sun Mar 6 2022,16:00,-0300,União Frederiquense RS,0-0,0-0,São José RS,2022-03-06T19:00Z
,10,Sun Mar 6 2022,18:15,-0300,Internacional,1-0,1-0,Aimoré RS,2022-03-06T21:15Z
,10,Sun Mar 6 2022,19:00,-0300,São Luiz RS,1-1,0-1,Brasil de Pelotas RS,2022-03-06T22:00Z
,9,Wed Mar 9 2022,21:00,-0300,Internacional,1-0,1-0,Grêmio Porto Alegre,2022-03-10T00:00Z
,11,Sat Mar 12 2022,16:30,-0300,Grêmio Porto Alegre,2-0,1-0,Ypiranga RS,2022-03-12T19:30Z
,11,Sat Mar 12 2022,16:30,-0300,Guarany de Bage RS,1-1,1-0,Internacional,2022-03-12T19:30Z
,11,Sat Mar 12 2022,16:30,-0300,Aimoré RS,1-0,0-0,São Luiz RS,2022-03-12T19:30Z
