Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Aug 15 2014,19:00,Chemnitzer FC,3-3,0-1,1. FSV Mainz 05,5-5,5-4
1. Runde,Fri Aug 15 2014,19:00,SV Alemannia Waldalgesheim,0-6,0-4,Bayer Leverkusen,,
1. Runde,Fri Aug 15 2014,20:00,MSV Duisburg,1-0,1-0,1. FC Nürnberg,,
1. Runde,Sat Aug 16 2014,15:30,FC 08 Homburg,1-3,1-2,Bor. Mönchengladbach,,
1. Runde,Sat Aug 16 2014,15:30,Optik Rathenow,1-3,0-2,FC St. Pauli,,
1. Runde,Sat Aug 16 2014,15:30,Bremer SV,0-1,0-0,Eintracht Braunschweig,,
1. Runde,Sat Aug 16 2014,15:30,VfL Bochum,2-0,1-0,VfB Stuttgart,,
1. Runde,Sat Aug 16 2014,15:30,Viktoria Köln,2-4,0-2,Hertha BSC,,
1. Runde,Sat Aug 16 2014,15:30,Stuttgarter Kickers,1-4,0-1,Borussia Dortmund,,
1. Runde,Sat Aug 16 2014,15:30,FC-Astoria Walldorf,1-3,0-1,Hannover 96,,
1. Runde,Sat Aug 16 2014,15:30,FT Braunschweig,0-4,0-0,1. FC Köln,,
1. Runde,Sat Aug 16 2014,15:30,SV Waldkirch,0-3,0-0,SpVgg Greuther Fürth,,
1. Runde,Sat Aug 16 2014,18:00,SV Wehen Wiesbaden,0-0,0-0,1. FC Kaiserslautern,0-0,3-5
1. Runde,Sat Aug 16 2014,20:30,FC Viktoria 1889 Berlin,0-2,0-1,Eintracht Frankfurt,,
1. Runde,Sat Aug 16 2014,20:30,Sportfreunde Siegen,2-2,2-1,FSV Frankfurt,3-3,4-5
1. Runde,Sun Aug 17 2014,14:30,Schwarz-Weiß Rehden,1-1,1-0,VfR Aalen,1-1,3-4
1. Runde,Sun Aug 17 2014,14:30,Holstein Kiel,1-2,1-0,TSV 1860 München,,
1. Runde,Sun Aug 17 2014,14:30,FV Illertissen,1-1,1-1,Werder Bremen,2-3,
1. Runde,Sun Aug 17 2014,14:30,FC Carl Zeiss Jena,0-1,0-1,Erzgebirge Aue,,
1. Runde,Sun Aug 17 2014,14:30,Uhlenhorster SC Paloma,0-9,0-7,1899 Hoffenheim,,
1. Runde,Sun Aug 17 2014,16:00,Eintracht Trier,0-2,0-0,SC Freiburg,,
1. Runde,Sun Aug 17 2014,16:00,Preußen Münster,1-4,0-2,Bayern München,,
1. Runde,Sun Aug 17 2014,16:00,Würzburger Kickers,2-2,0-1,Fortuna Düsseldorf,3-2,
1. Runde,Sun Aug 17 2014,16:00,1. FC Neubrandenburg 04,1-3,0-0,Karlsruher SC,,
1. Runde,Sun Aug 17 2014,16:00,Arminia Bielefeld,4-1,1-0,SV Sandhausen,,
1. Runde,Sun Aug 17 2014,18:30,1. FC Magdeburg,1-0,0-0,FC Augsburg,,
1. Runde,Sun Aug 17 2014,18:30,RB Leipzig,1-1,1-1,SC Paderborn 07,2-1,
1. Runde,Sun Aug 17 2014,20:30,SV Darmstadt 98,0-0,0-0,VfL Wolfsburg,0-0,4-5
1. Runde,Mon Aug 18 2014,18:30,1. FC Heidenheim 1846,2-1,0-0,1. FC Union Berlin,,
1. Runde,Mon Aug 18 2014,18:30,Kickers Offenbach,0-0,0-0,FC Ingolstadt 04,0-0,4-2
1. Runde,Mon Aug 18 2014,18:30,Energie Cottbus,1-1,1-0,Hamburger SV,2-2,1-4
1. Runde,Mon Aug 18 2014,20:30,Dynamo Dresden,2-1,1-0,FC Schalke 04,,
2. Runde,Tue Oct 28 2014,19:00,Chemnitzer FC,0-2,0-1,Werder Bremen,,
2. Runde,Tue Oct 28 2014,19:00,Arminia Bielefeld,0-0,0-0,Hertha BSC,0-0,4-2
2. Runde,Tue Oct 28 2014,19:00,VfR Aalen,2-0,1-0,Hannover 96,,
2. Runde,Tue Oct 28 2014,19:15,Kickers Offenbach,1-0,0-0,Karlsruher SC,,
2. Runde,Tue Oct 28 2014,20:30,Dynamo Dresden,1-1,0-0,VfL Bochum,2-1,
2. Runde,Tue Oct 28 2014,20:30,MSV Duisburg,0-0,0-0,1. FC Köln,0-0,1-4
2. Runde,Tue Oct 28 2014,20:30,1. FC Kaiserslautern,2-0,2-0,SpVgg Greuther Fürth,,
2. Runde,Tue Oct 28 2014,20:30,FC St. Pauli,0-3,0-2,Borussia Dortmund,,
2. Runde,Wed Oct 29 2014,19:00,1. FC Magdeburg,1-1,1-1,Bayer Leverkusen,2-2,4-5
2. Runde,Wed Oct 29 2014,19:00,Würzburger Kickers,0-1,0-0,Eintracht Braunschweig,,
2. Runde,Wed Oct 29 2014,19:00,TSV 1860 München,2-5,1-1,SC Freiburg,,
2. Runde,Wed Oct 29 2014,19:00,RB Leipzig,1-1,0-1,Erzgebirge Aue,3-1,
2. Runde,Wed Oct 29 2014,20:30,Hamburger SV,1-3,0-2,Bayern München,,
2. Runde,Wed Oct 29 2014,20:30,1899 Hoffenheim,5-1,2-0,FSV Frankfurt,,
2. Runde,Wed Oct 29 2014,20:30,VfL Wolfsburg,4-1,2-1,1. FC Heidenheim 1846,,
2. Runde,Wed Oct 29 2014,20:30,Eintracht Frankfurt,1-2,0-1,Bor. Mönchengladbach,,
Achtelfinale,Tue Mar 3 2015,19:00,Bayer Leverkusen,0-0,0-0,1. FC Kaiserslautern,2-0,
Achtelfinale,Tue Mar 3 2015,19:00,VfR Aalen,0-2,0-1,1899 Hoffenheim,,
Achtelfinale,Tue Mar 3 2015,20:30,SC Freiburg,2-1,2-0,1. FC Köln,,
Achtelfinale,Tue Mar 3 2015,20:30,Dynamo Dresden,0-2,0-0,Borussia Dortmund,,
Achtelfinale,Wed Mar 4 2015,19:00,RB Leipzig,0-2,0-1,VfL Wolfsburg,,
Achtelfinale,Wed Mar 4 2015,19:00,Arminia Bielefeld,3-1,1-0,Werder Bremen,,
Achtelfinale,Wed Mar 4 2015,20:30,Kickers Offenbach,0-2,0-0,Bor. Mönchengladbach,,
Achtelfinale,Wed Mar 4 2015,20:30,Bayern München,2-0,1-0,Eintracht Braunschweig,,
Viertelfinale,Tue Apr 7 2015,19:00,VfL Wolfsburg,1-0,0-0,SC Freiburg,,
Viertelfinale,Tue Apr 7 2015,20:30,Borussia Dortmund,2-2,1-2,1899 Hoffenheim,3-2,
Viertelfinale,Wed Apr 8 2015,19:00,Arminia Bielefeld,1-1,1-1,Bor. Mönchengladbach,1-1,5-4
Viertelfinale,Wed Apr 8 2015,20:30,Bayer Leverkusen,0-0,0-0,Bayern München,0-0,3-5
Halbfinale,Tue Apr 28 2015,20:30,Bayern München,1-1,1-0,Borussia Dortmund,1-1,0-2
Halbfinale,Wed Apr 29 2015,20:30,Arminia Bielefeld,0-4,0-2,VfL Wolfsburg,,
Finale,Sat May 30 2015,20:00,Borussia Dortmund,1-3,1-3,VfL Wolfsburg,,
