Round,Date,Time,Team 1,FT,HT,Team 2
15,Sun Nov 9 2014,17:00,SCR Altach,4-1,1-0,RB Salzburg
16,Sat Nov 22 2014,16:00,SV Grödig,3-1,2-1,Rapid Wien
16,Sat Nov 22 2014,18:30,Austria Wien,4-0,0-0,FC Admira Wacker
16,Sat Nov 22 2014,18:30,SV Ried,2-1,1-0,SCR Altach
16,Sat Nov 22 2014,18:30,SC Wiener Neustadt,2-0,0-0,Wolfsberger AC
16,Sun Nov 23 2014,16:30,Sturm Graz,1-2,0-1,RB Salzburg
17,Sat Nov 29 2014,18:30,Rapid Wien,3-0,1-0,SC Wiener Neustadt
17,Sat Nov 29 2014,16:00,SV Ried,1-1,0-1,Austria Wien
17,Sat Nov 29 2014,18:30,FC Admira Wacker,0-2,0-2,Sturm Graz
17,Sat Nov 29 2014,18:30,SCR Altach,3-1,2-1,SV Grödig
17,Sun Nov 30 2014,16:30,RB Salzburg,2-2,0-1,Wolfsberger AC
18,Sat Dec 6 2014,16:00,Austria Wien,2-4,2-0,RB Salzburg
18,Sat Dec 6 2014,18:30,SV Grödig,5-0,4-0,FC Admira Wacker
18,Sat Dec 6 2014,18:30,Sturm Graz,3-1,2-0,SV Ried
18,Sat Dec 6 2014,18:30,SC Wiener Neustadt,2-0,0-0,SCR Altach
18,Sun Dec 7 2014,16:30,Wolfsberger AC,1-1,0-0,Rapid Wien
19,Sat Dec 13 2014,18:30,Austria Wien,1-0,0-0,SV Grödig
19,Sat Dec 13 2014,18:30,FC Admira Wacker,2-1,1-0,Wolfsberger AC
19,Sat Dec 13 2014,18:30,SV Ried,6-0,2-0,SC Wiener Neustadt
19,Sat Dec 13 2014,16:00,SCR Altach,2-0,1-0,Sturm Graz
19,Sun Dec 14 2014,16:30,RB Salzburg,1-2,0-0,Rapid Wien
20,Sat Feb 14 2015,16:00,Rapid Wien,3-0,3-0,SV Ried
20,Sat Feb 14 2015,18:30,SC Wiener Neustadt,0-2,0-0,RB Salzburg
20,Sat Feb 14 2015,18:30,SCR Altach,2-0,1-0,FC Admira Wacker
20,Sun Feb 15 2015,15:30,Wolfsberger AC,1-0,1-0,Austria Wien
21,Sat Feb 21 2015,18:30,Sturm Graz,3-3,0-2,SC Wiener Neustadt
21,Sat Feb 21 2015,16:00,Austria Wien,5-2,2-0,SCR Altach
21,Sun Feb 22 2015,16:30,FC Admira Wacker,1-1,0-1,Rapid Wien
21,Sun Feb 22 2015,14:00,SV Ried,2-2,0-1,RB Salzburg
22,Sat Feb 28 2015,18:30,SC Wiener Neustadt,1-0,1-0,Austria Wien
22,Sat Feb 28 2015,18:30,SV Ried,2-2,0-0,FC Admira Wacker
22,Sat Feb 28 2015,18:30,Rapid Wien,1-0,1-0,Sturm Graz
22,Sat Feb 28 2015,16:00,SCR Altach,1-0,1-0,Wolfsberger AC
22,Sun Mar 1 2015,16:30,RB Salzburg,3-1,1-1,SV Grödig
23,Tue Mar 3 2015,19:00,Sturm Graz,2-1,0-0,Austria Wien
23,Wed Mar 4 2015,19:00,Rapid Wien,1-0,0-0,SCR Altach
23,Wed Mar 4 2015,19:00,FC Admira Wacker,1-4,0-2,RB Salzburg
23,Wed Mar 4 2015,19:00,Wolfsberger AC,1-2,1-1,SV Ried
23,Wed Mar 4 2015,19:00,SV Grödig,1-3,0-1,SC Wiener Neustadt
24,Sat Mar 7 2015,18:30,SV Ried,2-1,1-1,SV Grödig
24,Sat Mar 7 2015,18:30,SC Wiener Neustadt,0-0,0-0,FC Admira Wacker
24,Sat Mar 7 2015,18:30,RB Salzburg,0-1,0-0,SCR Altach
24,Sat Mar 7 2015,16:00,Sturm Graz,2-0,0-0,Wolfsberger AC
24,Sun Mar 8 2015,16:30,Austria Wien,2-1,1-1,Rapid Wien
20,Wed Mar 11 2015,18:30,SV Grödig,0-2,0-1,Sturm Graz
25,Sat Mar 14 2015,16:00,FC Admira Wacker,1-1,0-0,Austria Wien
25,Sat Mar 14 2015,18:30,Wolfsberger AC,2-0,1-0,SC Wiener Neustadt
25,Sat Mar 14 2015,18:30,Rapid Wien,4-0,2-0,SV Grödig
25,Sat Mar 14 2015,18:30,SCR Altach,2-1,1-0,SV Ried
25,Sun Mar 15 2015,16:30,RB Salzburg,2-1,1-1,Sturm Graz
21,Wed Mar 18 2015,18:30,SV Grödig,2-0,0-0,Wolfsberger AC
26,Sat Mar 21 2015,16:00,Austria Wien,0-1,0-0,SV Ried
26,Sat Mar 21 2015,18:30,SV Grödig,0-1,0-0,SCR Altach
26,Sat Mar 21 2015,18:30,Wolfsberger AC,3-2,2-2,RB Salzburg
26,Sat Mar 21 2015,18:30,Sturm Graz,3-1,1-0,FC Admira Wacker
26,Sun Mar 22 2015,16:30,SC Wiener Neustadt,0-1,0-0,Rapid Wien
27,Sat Apr 4 2015,18:30,Rapid Wien,4-1,2-0,Wolfsberger AC
27,Sat Apr 4 2015,16:00,RB Salzburg,3-1,2-1,Austria Wien
27,Sat Apr 4 2015,18:30,FC Admira Wacker,2-3,2-2,SV Grödig
27,Sun Apr 5 2015,16:30,SV Ried,1-2,0-0,Sturm Graz
28,Sat Apr 11 2015,18:30,SC Wiener Neustadt,0-1,0-1,SV Ried
28,Sat Apr 11 2015,16:00,Sturm Graz,5-0,2-0,SCR Altach
28,Sat Apr 11 2015,18:30,SV Grödig,1-1,0-1,Austria Wien
28,Sat Apr 11 2015,18:30,Wolfsberger AC,2-0,1-0,FC Admira Wacker
28,Sun Apr 12 2015,18:00,Rapid Wien,3-3,0-3,RB Salzburg
27,Wed Apr 15 2015,18:30,SCR Altach,3-1,2-0,SC Wiener Neustadt
29,Sat Apr 18 2015,16:00,SV Ried,0-1,0-1,Rapid Wien
29,Sat Apr 18 2015,18:30,RB Salzburg,6-0,2-0,SC Wiener Neustadt
29,Sat Apr 18 2015,18:30,Sturm Graz,2-1,1-1,SV Grödig
29,Sat Apr 18 2015,18:30,FC Admira Wacker,2-2,0-1,SCR Altach
29,Sun Apr 19 2015,16:30,Austria Wien,1-1,0-1,Wolfsberger AC
30,Sat Apr 25 2015,18:30,Rapid Wien,1-1,0-0,FC Admira Wacker
30,Sat Apr 25 2015,16:00,RB Salzburg,2-1,2-0,SV Ried
30,Sat Apr 25 2015,18:30,Wolfsberger AC,2-1,1-0,SV Grödig
30,Sat Apr 25 2015,18:30,SC Wiener Neustadt,4-4,2-0,Sturm Graz
30,Sun Apr 26 2015,16:30,SCR Altach,2-0,2-0,Austria Wien
31,Sat May 2 2015,18:30,SV Grödig,0-3,0-1,RB Salzburg
31,Sat May 2 2015,16:00,Wolfsberger AC,2-0,0-0,SCR Altach
31,Sat May 2 2015,18:30,Austria Wien,2-1,2-0,SC Wiener Neustadt
31,Sat May 2 2015,18:30,FC Admira Wacker,1-0,1-0,SV Ried
31,Sun May 3 2015,16:30,Sturm Graz,2-2,1-1,Rapid Wien
32,Sat May 9 2015,16:00,Austria Wien,0-0,0-0,Sturm Graz
32,Sat May 9 2015,18:30,RB Salzburg,4-0,2-0,FC Admira Wacker
32,Sat May 9 2015,18:30,SV Ried,4-0,2-0,Wolfsberger AC
32,Sat May 9 2015,18:30,SC Wiener Neustadt,2-4,1-2,SV Grödig
32,Sun May 10 2015,16:30,SCR Altach,1-3,1-0,Rapid Wien
33,Sat May 16 2015,16:00,SCR Altach,2-2,1-1,RB Salzburg
33,Sat May 16 2015,18:30,SV Grödig,3-2,2-0,SV Ried
33,Sat May 16 2015,18:30,Wolfsberger AC,1-0,0-0,Sturm Graz
33,Sat May 16 2015,18:30,FC Admira Wacker,0-0,0-0,SC Wiener Neustadt
33,Sun May 17 2015,16:30,Rapid Wien,4-1,1-0,Austria Wien
34,Tue May 19 2015,19:00,SV Ried,4-1,3-0,SCR Altach
34,Wed May 20 2015,20:30,SC Wiener Neustadt,2-0,1-0,Wolfsberger AC
34,Wed May 20 2015,20:30,Sturm Graz,0-0,0-0,RB Salzburg
34,Wed May 20 2015,20:30,Austria Wien,0-1,0-0,FC Admira Wacker
35,Sun May 24 2015,17:45,SCR Altach,2-0,0-0,SV Grödig
35,Sun May 24 2015,17:45,FC Admira Wacker,1-2,1-0,Sturm Graz
35,Sun May 24 2015,17:45,Rapid Wien,0-0,0-0,SC Wiener Neustadt
35,Sun May 24 2015,17:45,SV Ried,0-2,0-0,Austria Wien
35,Sun May 24 2015,17:45,RB Salzburg,3-0,2-0,Wolfsberger AC
34,Wed May 27 2015,18:30,SV Grödig,0-2,0-0,Rapid Wien
36,Sun May 31 2015,16:30,Sturm Graz,0-0,0-0,SV Ried
36,Sun May 31 2015,16:30,Austria Wien,1-1,0-0,RB Salzburg
36,Sun May 31 2015,16:30,SV Grödig,0-1,0-0,FC Admira Wacker
36,Sun May 31 2015,16:30,Wolfsberger AC,0-5,0-0,Rapid Wien
36,Sun May 31 2015,16:30,SC Wiener Neustadt,0-1,0-0,SCR Altach
