Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Aug 9 2014,12:15,BST/+0100,Sheffield United,1-2,1-1,Bristol City,2014-08-09T11:15Z
1,Sat Aug 9 2014,15:00,BST/+0100,Fleetwood Town,2-1,0-0,Crewe Alexandra,2014-08-09T14:00Z
1,Sat Aug 9 2014,15:00,BST/+0100,Colchester United,2-2,1-2,Oldham Athletic,2014-08-09T14:00Z
1,Sat Aug 9 2014,15:00,BST/+0100,Milton Keynes Dons,4-2,1-2,Gillingham FC,2014-08-09T14:00Z
1,Sat Aug 9 2014,15:00,BST/+0100,Yeovil Town,0-3,0-1,Doncaster Rovers,2014-08-09T14:00Z
1,Sat Aug 9 2014,15:00,BST/+0100,Leyton Orient,1-2,0-1,Chesterfield FC,2014-08-09T14:00Z
1,Sat Aug 9 2014,15:00,BST/+0100,Swindon Town,3-1,3-1,Scunthorpe United,2014-08-09T14:00Z
1,Sat Aug 9 2014,15:00,BST/+0100,Rochdale AFC,0-1,0-0,Peterborough United,2014-08-09T14:00Z
1,Sat Aug 9 2014,15:00,BST/+0100,Preston North End,1-1,0-0,Notts County,2014-08-09T14:00Z
1,Sat Aug 9 2014,15:00,BST/+0100,Port Vale FC,1-1,1-0,Walsall FC,2014-08-09T14:00Z
1,Sat Aug 9 2014,15:00,BST/+0100,Bradford City,3-2,1-1,Coventry City,2014-08-09T14:00Z
1,Sat Aug 9 2014,15:00,BST/+0100,Barnsley FC,0-1,0-0,Crawley Town,2014-08-09T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Chesterfield FC,2-1,1-0,Rochdale AFC,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Gillingham FC,2-0,1-0,Yeovil Town,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Notts County,0-1,0-1,Fleetwood Town,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Oldham Athletic,1-3,1-1,Leyton Orient,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Walsall FC,0-0,0-0,Bradford City,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Crewe Alexandra,1-2,1-0,Barnsley FC,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Bristol City,2-1,0-1,Colchester United,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Peterborough United,3-2,1-0,Milton Keynes Dons,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Coventry City,1-0,0-0,Sheffield United,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Doncaster Rovers,1-3,0-3,Port Vale FC,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Scunthorpe United,0-4,0-2,Preston North End,2014-08-16T14:00Z
2,Sat Aug 16 2014,15:00,BST/+0100,Crawley Town,1-0,0-0,Swindon Town,2014-08-16T14:00Z
3,Tue Aug 19 2014,19:30,BST/+0100,Peterborough United,1-2,1-1,Sheffield United,2014-08-19T18:30Z
3,Tue Aug 19 2014,19:45,BST/+0100,Coventry City,2-2,2-2,Barnsley FC,2014-08-19T18:45Z
3,Tue Aug 19 2014,19:45,BST/+0100,Gillingham FC,2-2,1-1,Swindon Town,2014-08-19T18:45Z
3,Tue Aug 19 2014,19:45,BST/+0100,Notts County,2-1,1-0,Colchester United,2014-08-19T18:45Z
3,Tue Aug 19 2014,19:45,BST/+0100,Doncaster Rovers,1-1,0-0,Preston North End,2014-08-19T18:45Z
3,Tue Aug 19 2014,19:45,BST/+0100,Oldham Athletic,1-1,0-1,Port Vale FC,2014-08-19T18:45Z
3,Tue Aug 19 2014,19:45,BST/+0100,Bristol City,0-0,0-0,Leyton Orient,2014-08-19T18:45Z
3,Tue Aug 19 2014,19:45,BST/+0100,Chesterfield FC,0-1,0-0,Milton Keynes Dons,2014-08-19T18:45Z
3,Tue Aug 19 2014,19:45,BST/+0100,Walsall FC,1-2,0-0,Yeovil Town,2014-08-19T18:45Z
3,Tue Aug 19 2014,19:45,BST/+0100,Crawley Town,1-3,0-0,Bradford City,2014-08-19T18:45Z
3,Tue Aug 19 2014,19:45,BST/+0100,Crewe Alexandra,2-5,1-2,Rochdale AFC,2014-08-19T18:45Z
3,Tue Aug 19 2014,19:45,BST/+0100,Scunthorpe United,0-2,0-0,Fleetwood Town,2014-08-19T18:45Z
4,Sat Aug 23 2014,15:00,BST/+0100,Rochdale AFC,1-1,0-1,Bristol City,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Leyton Orient,0-0,0-0,Walsall FC,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Preston North End,1-0,1-0,Oldham Athletic,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Bradford City,0-1,0-0,Peterborough United,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Yeovil Town,1-1,0-0,Scunthorpe United,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Port Vale FC,0-2,0-1,Notts County,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Sheffield United,1-0,0-0,Crawley Town,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Fleetwood Town,0-0,0-0,Chesterfield FC,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Barnsley FC,4-1,2-0,Gillingham FC,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Colchester United,0-1,0-0,Doncaster Rovers,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Milton Keynes Dons,0-0,0-0,Coventry City,2014-08-23T14:00Z
4,Sat Aug 23 2014,15:00,BST/+0100,Swindon Town,2-0,1-0,Crewe Alexandra,2014-08-23T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Milton Keynes Dons,2-0,1-0,Crawley Town,2014-08-30T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Fleetwood Town,1-1,0-1,Leyton Orient,2014-08-30T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Port Vale FC,1-2,1-1,Chesterfield FC,2014-08-30T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Scunthorpe United,2-1,0-0,Walsall FC,2014-08-30T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Colchester United,1-3,0-2,Peterborough United,2014-08-30T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Preston North End,1-1,1-1,Sheffield United,2014-08-30T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Gillingham FC,2-0,2-0,Crewe Alexandra,2014-08-30T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Doncaster Rovers,0-2,0-1,Oldham Athletic,2014-08-30T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Yeovil Town,1-1,0-1,Barnsley FC,2014-08-30T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Swindon Town,1-1,0-1,Coventry City,2014-08-30T14:00Z
5,Sat Aug 30 2014,15:00,BST/+0100,Rochdale AFC,0-2,0-0,Bradford City,2014-08-30T14:00Z
