Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 29 2014,20:30,AC Perugia Calcio,2-1,0-0,Bologna FC
1,Sat Aug 30 2014,20:30,AS Avellino,1-0,0-0,Pro Vercelli
1,Sat Aug 30 2014,20:30,Calcio Catania,3-3,1-0,Virtus Lanciano
1,Sat Aug 30 2014,20:30,FC Crotone,0-2,0-1,Ternana Calcio
1,Sat Aug 30 2014,20:30,Frosinone Calcio,1-0,0-0,Brescia Calcio
1,Sat Aug 30 2014,20:30,AS Livorno,1-1,1-0,Carpi FC
1,Sat Aug 30 2014,20:30,Virtus Entella,0-2,0-0,FC Bari 1908
1,Sat Aug 30 2014,20:30,AS Varese 1910,2-1,0-0,Spezia Calcio
1,Sat Aug 30 2014,20:30,Pescara Calcio,0-0,0-0,Trapani Calcio
1,Mon Sep 1 2014,20:30,Modena FC,1-1,0-1,AS Cittadella
2,Sat Sep 6 2014,20:30,Brescia Calcio,0-1,0-0,AS Livorno
2,Sat Sep 6 2014,18:00,Latina Calcio,1-0,0-0,FC Crotone
2,Sun Sep 7 2014,20:30,FC Bari 1908,0-2,0-1,AC Perugia Calcio
2,Sun Sep 7 2014,15:00,Bologna FC,1-1,0-1,Virtus Entella
2,Sun Sep 7 2014,15:00,Carpi FC,4-2,1-2,AS Varese 1910
2,Sun Sep 7 2014,18:00,Pro Vercelli,3-2,0-1,Calcio Catania
2,Sun Sep 7 2014,15:00,Spezia Calcio,2-1,2-1,Frosinone Calcio
2,Sun Sep 7 2014,15:00,Ternana Calcio,1-1,1-0,Pescara Calcio
2,Sun Sep 7 2014,15:00,Virtus Lanciano,2-0,1-0,Modena FC
2,Sun Sep 7 2014,15:00,Trapani Calcio,2-1,1-0,Vicenza Calcio
2,Sun Sep 7 2014,15:00,AS Cittadella,3-1,2-1,AS Avellino
1,Wed Sep 10 2014,20:30,Vicenza Calcio,0-0,0-0,Latina Calcio
3,Fri Sep 12 2014,20:30,Pescara Calcio,2-3,0-3,Bologna FC
3,Sat Sep 13 2014,15:00,Modena FC,1-0,0-0,Pro Vercelli
3,Sat Sep 13 2014,15:00,FC Crotone,1-1,1-0,Carpi FC
3,Sat Sep 13 2014,15:00,Frosinone Calcio,1-1,0-1,FC Bari 1908
3,Sat Sep 13 2014,15:00,AS Avellino,0-0,0-0,Spezia Calcio
3,Sat Sep 13 2014,15:00,AC Perugia Calcio,1-0,0-0,Calcio Catania
3,Sat Sep 13 2014,15:00,Trapani Calcio,2-1,1-1,AS Cittadella
3,Sat Sep 13 2014,15:00,AS Varese 1910,1-1,0-1,Virtus Lanciano
3,Sat Sep 13 2014,15:00,Virtus Entella,0-1,0-0,Brescia Calcio
3,Sun Sep 14 2014,18:00,Vicenza Calcio,0-1,0-1,Ternana Calcio
3,Mon Sep 15 2014,20:30,AS Livorno,1-1,0-0,Latina Calcio
4,Fri Sep 19 2014,19:00,Carpi FC,2-2,2-1,Trapani Calcio
4,Fri Sep 19 2014,21:00,Spezia Calcio,1-0,1-0,Virtus Entella
4,Sat Sep 20 2014,15:00,Brescia Calcio,0-0,0-0,Ternana Calcio
4,Sat Sep 20 2014,15:00,Bologna FC,0-2,0-0,FC Crotone
4,Sat Sep 20 2014,15:00,FC Bari 1908,2-0,1-0,AS Livorno
4,Sat Sep 20 2014,15:00,Calcio Catania,0-0,0-0,Modena FC
4,Sat Sep 20 2014,15:00,AS Cittadella,3-2,1-1,Pescara Calcio
4,Sat Sep 20 2014,15:00,Latina Calcio,1-2,1-1,AS Avellino
4,Sat Sep 20 2014,15:00,Pro Vercelli,4-0,2-0,AS Varese 1910
4,Sat Sep 20 2014,15:00,Virtus Lanciano,1-5,0-3,Frosinone Calcio
4,Sat Sep 20 2014,15:00,AC Perugia Calcio,2-2,1-2,Vicenza Calcio
5,Mon Sep 22 2014,20:30,Spezia Calcio,1-2,0-1,Carpi FC
5,Tue Sep 23 2014,20:30,AS Livorno,1-0,1-0,AS Varese 1910
5,Tue Sep 23 2014,20:30,AS Cittadella,1-2,1-1,Pro Vercelli
5,Tue Sep 23 2014,20:30,Vicenza Calcio,1-0,0-0,FC Bari 1908
5,Tue Sep 23 2014,20:30,Frosinone Calcio,0-0,0-0,AS Avellino
5,Tue Sep 23 2014,20:30,Brescia Calcio,1-1,1-0,Virtus Lanciano
5,Tue Sep 23 2014,20:30,Modena FC,0-0,0-0,AC Perugia Calcio
5,Tue Sep 23 2014,20:30,Pescara Calcio,1-1,1-1,Latina Calcio
5,Tue Sep 23 2014,20:30,Ternana Calcio,0-1,0-0,Bologna FC
5,Tue Sep 23 2014,20:30,Trapani Calcio,2-2,0-1,Virtus Entella
5,Tue Sep 23 2014,20:30,FC Crotone,1-1,0-1,Calcio Catania
6,Sat Sep 27 2014,15:00,AS Avellino,2-1,0-1,AS Livorno
6,Sat Sep 27 2014,15:00,Bologna FC,1-0,1-0,AS Cittadella
6,Sat Sep 27 2014,15:00,Latina Calcio,1-1,0-0,Ternana Calcio
6,Sat Sep 27 2014,15:00,Modena FC,2-0,0-0,Spezia Calcio
6,Sat Sep 27 2014,15:00,FC Crotone,0-0,0-0,Vicenza Calcio
6,Sat Sep 27 2014,15:00,Pro Vercelli,1-1,0-1,Frosinone Calcio
6,Sat Sep 27 2014,15:00,AS Varese 1910,5-2,4-0,Trapani Calcio
6,Sat Sep 27 2014,15:00,Virtus Entella,2-0,1-0,Carpi FC
6,Sat Sep 27 2014,15:00,AC Perugia Calcio,1-0,0-0,Brescia Calcio
6,Sun Sep 28 2014,18:00,Calcio Catania,2-1,1-1,Pescara Calcio
6,Mon Sep 29 2014,20:30,Virtus Lanciano,1-1,1-0,FC Bari 1908
7,Fri Oct 3 2014,20:30,AS Livorno,1-0,0-0,FC Crotone
7,Sat Oct 4 2014,15:00,Carpi FC,1-0,1-0,Pro Vercelli
7,Sat Oct 4 2014,15:00,Brescia Calcio,1-1,0-0,AS Varese 1910
