Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Fri Jul 11 2014,18:00,CEST/+0200,FC Hard,1-2,1-1,SC Ritzing,,,2014-07-11T16:00Z
Round 1,Fri Jul 11 2014,19:00,CEST/+0200,SV Wallern,0-0,0-0,Union St. Florian,1-1,5-3,2014-07-11T17:00Z
Round 1,Fri Jul 11 2014,19:00,CEST/+0200,ATSV Wolfsberg,2-1,1-1,FC Dornbirn,,,2014-07-11T17:00Z
Round 1,Fri Jul 11 2014,19:00,CEST/+0200,SC Schwaz,1-4,0-1,Sturm Graz,,,2014-07-11T17:00Z
Round 1,Fri Jul 11 2014,19:00,CEST/+0200,SC Weiz,2-4,1-2,Wolfsberger AC,,,2014-07-11T17:00Z
Round 1,Fri Jul 11 2014,19:00,CEST/+0200,SV Seekirchen,1-4,0-0,LASK Linz,,,2014-07-11T17:00Z
Round 1,Fri Jul 11 2014,19:00,CEST/+0200,WSG Wattens,1-1,1-1,SCR Altach,2-4,,2014-07-11T17:00Z
Round 1,Fri Jul 11 2014,19:00,CEST/+0200,SC Kalsdorf,1-1,1-1,TSV Hartberg,2-2,3-4,2014-07-11T17:00Z
Round 1,Fri Jul 11 2014,19:00,CEST/+0200,SC/ESV Parndorf,2-3,1-2,SV Ried,,,2014-07-11T17:00Z
Round 1,Fri Jul 11 2014,19:30,CEST/+0200,SK Austria Klagenfurt,1-3,1-1,Vorwärts Steyr,,,2014-07-11T17:30Z
Round 1,Fri Jul 11 2014,19:30,CEST/+0200,ASK Kottingbrunn,0-7,0-2,Kapfenberger SV 1919,,,2014-07-11T17:30Z
Round 1,Fri Jul 11 2014,19:30,CEST/+0200,SKU Amstetten,0-0,0-0,Rapid Wien,0-1,,2014-07-11T17:30Z
Round 1,Fri Jul 11 2014,19:30,CEST/+0200,SV Schwechat,1-4,1-2,Floridsdorfer AC,,,2014-07-11T17:30Z
Round 1,Fri Jul 11 2014,19:30,CEST/+0200,FC Lendorf,0-7,0-1,FC Admira Wacker,,,2014-07-11T17:30Z
Round 1,Fri Jul 11 2014,20:30,CEST/+0200,First Vienna FC,0-6,0-2,Austria Wien,,,2014-07-11T18:30Z
Round 1,Sat Jul 12 2014,15:30,CEST/+0200,ATSV Ober-Grafendorf,1-4,0-3,FC Lankowitz,,,2014-07-12T13:30Z
Round 1,Sat Jul 12 2014,16:00,CEST/+0200,SC Sollenau,1-10,1-5,RB Salzburg,,,2014-07-12T14:00Z
Round 1,Sat Jul 12 2014,16:30,CEST/+0200,Union Gurten,0-6,0-2,1. Wiener Neustädter SC,,,2014-07-12T14:30Z
Round 1,Sat Jul 12 2014,17:00,CEST/+0200,VfB Hohenems,5-1,4-1,USC Eugendorf,,,2014-07-12T15:00Z
Round 1,Sat Jul 12 2014,17:00,CEST/+0200,FC Kitzbühel,5-1,0-0,SC Retz,,,2014-07-12T15:00Z
Round 1,Sat Jul 12 2014,17:00,CEST/+0200,FC Höchst,1-2,0-1,SV Mattersburg,,,2014-07-12T15:00Z
Round 1,Sat Jul 12 2014,17:00,CEST/+0200,SV Wimpassing,0-3,0-2,SV Horn,,,2014-07-12T15:00Z
Round 1,Sat Jul 12 2014,17:00,CEST/+0200,Wiener Sportklub,3-2,0-0,Austria Lustenau,,,2014-07-12T15:00Z
Round 1,Sat Jul 12 2014,17:00,CEST/+0200,SR Donaufeld,1-1,0-0,FC Wacker Innsbruck,1-3,,2014-07-12T15:00Z
Round 1,Sat Jul 12 2014,17:30,CEST/+0200,TSV St. Johann,3-0,2-0,ASV Spratzern,,,2014-07-12T15:30Z
Round 1,Sat Jul 12 2014,18:00,CEST/+0200,SC Neusiedl/See 1919,5-1,2-0,TSV Neumarkt,,,2014-07-12T16:00Z
Round 1,Sat Jul 12 2014,18:30,CEST/+0200,SAK Klagenfurt,1-4,0-2,SV Lafnitz,,,2014-07-12T16:30Z
Round 1,Sat Jul 12 2014,18:30,CEST/+0200,SV Grün-Weiß Micheldorf,2-1,1-0,USV Allerheiligen,,,2014-07-12T16:30Z
Round 1,Sun Jul 13 2014,16:30,CEST/+0200,Admira Landhaus,0-8,0-3,SKN St. Pölten,,,2014-07-13T14:30Z
Round 1,Sun Jul 13 2014,16:45,CEST/+0200,SV Leobendorf,1-7,0-3,SV Grödig,,,2014-07-13T14:45Z
Round 1,Sun Jul 13 2014,10:30,CEST/+0200,FC Gleisdorf 09,1-2,0-0,FC Kufstein,,,2014-07-13T08:30Z
Round 1,Wed Jul 16 2014,19:33,CEST/+0200,Austria Salzburg,2-0,1-0,FC Blau Weiß Linz,,,2014-07-16T17:33Z
Round 2,Mon Sep 22 2014,19:00,CEST/+0200,FC Lankowitz,0-3,0-1,LASK Linz,,,2014-09-22T17:00Z
Round 2,Tue Sep 23 2014,18:00,CEST/+0200,FC Kufstein,1-6,0-2,Floridsdorfer AC,,,2014-09-23T16:00Z
Round 2,Tue Sep 23 2014,18:30,CEST/+0200,SV Grün-Weiß Micheldorf,0-4,0-2,SV Mattersburg,,,2014-09-23T16:30Z
Round 2,Tue Sep 23 2014,19:00,CEST/+0200,SC Neusiedl/See 1919,1-4,1-2,Kapfenberger SV 1919,,,2014-09-23T17:00Z
Round 2,Tue Sep 23 2014,19:00,CEST/+0200,TSV St. Johann,1-1,0-1,SKN St. Pölten,1-1,6-7,2014-09-23T17:00Z
Round 2,Tue Sep 23 2014,19:00,CEST/+0200,Vorwärts Steyr,0-2,0-0,SV Grödig,,,2014-09-23T17:00Z
Round 2,Tue Sep 23 2014,19:00,CEST/+0200,ATSV Wolfsberg,0-3,0-0,FC Wacker Innsbruck,,,2014-09-23T17:00Z
Round 2,Tue Sep 23 2014,19:00,CEST/+0200,SV Lafnitz,0-2,0-0,TSV Hartberg,,,2014-09-23T17:00Z
Round 2,Tue Sep 23 2014,19:00,CEST/+0200,SC Ritzing,2-0,1-0,SV Horn,,,2014-09-23T17:00Z
Round 2,Tue Sep 23 2014,19:00,CEST/+0200,SV Ried,0-1,0-0,Wolfsberger AC,,,2014-09-23T17:00Z
Round 2,Tue Sep 23 2014,20:30,CEST/+0200,Austria Salzburg,0-5,0-2,Sturm Graz,,,2014-09-23T18:30Z
Round 2,Wed Sep 24 2014,18:00,CEST/+0200,SV Wallern,0-1,0-1,Rapid Wien,,,2014-09-24T16:00Z
Round 2,Wed Sep 24 2014,18:30,CEST/+0200,FC Kitzbühel,0-5,0-3,Austria Wien,,,2014-09-24T16:30Z
Round 2,Wed Sep 24 2014,18:30,CEST/+0200,VfB Hohenems,0-5,0-1,SCR Altach,,,2014-09-24T16:30Z
Round 2,Wed Sep 24 2014,19:00,CEST/+0200,1. Wiener Neustädter SC,2-2,1-1,FC Admira Wacker,2-2,5-3,2014-09-24T17:00Z
Round 2,Wed Sep 24 2014,20:30,CEST/+0200,Wiener Sportklub,1-12,1-4,RB Salzburg,,,2014-09-24T18:30Z
Round of 16,Tue Oct 28 2014,19:30,CET/+0100,SC Ritzing,1-3,1-0,Floridsdorfer AC,,,2014-10-28T18:30Z
Round of 16,Tue Oct 28 2014,20:30,CET/+0100,TSV Hartberg,0-6,0-3,Austria Wien,,,2014-10-28T19:30Z
Round of 16,Tue Oct 28 2014,18:30,CET/+0100,Wolfsberger AC,3-2,1-1,1. Wiener Neustädter SC,,,2014-10-28T17:30Z
Round of 16,Wed Oct 29 2014,18:00,CET/+0100,FC Wacker Innsbruck,0-0,0-0,RB Salzburg,1-2,,2014-10-29T17:00Z
Round of 16,Wed Oct 29 2014,18:30,CET/+0100,SCR Altach,1-1,0-1,SV Mattersburg,1-1,4-2,2014-10-29T17:30Z
Round of 16,Wed Oct 29 2014,18:30,CET/+0100,Kapfenberger SV 1919,5-3,3-3,LASK Linz,,,2014-10-29T17:30Z
Round of 16,Wed Oct 29 2014,19:00,CET/+0100,SKN St. Pölten,0-1,0-1,SV Grödig,,,2014-10-29T18:00Z
Round of 16,Wed Oct 29 2014,20:30,CET/+0100,Rapid Wien,1-0,1-0,Sturm Graz,,,2014-10-29T19:30Z
Quarterfinals,Tue Apr 7 2015,18:30,CEST/+0200,SV Grödig,2-1,2-1,Floridsdorfer AC,,,2015-04-07T16:30Z
Quarterfinals,Tue Apr 7 2015,20:30,CEST/+0200,Kapfenberger SV 1919,0-2,0-1,Austria Wien,,,2015-04-07T18:30Z
Quarterfinals,Tue Apr 7 2015,18:00,CEST/+0200,Wolfsberger AC,2-1,2-0,Rapid Wien,,,2015-04-07T16:00Z
Quarterfinals,Wed Apr 8 2015,20:30,CEST/+0200,SCR Altach,0-4,0-3,RB Salzburg,,,2015-04-08T18:30Z
Semifinals,Tue Apr 28 2015,18:00,CEST/+0200,SV Grödig,0-2,0-0,RB Salzburg,,,2015-04-28T16:00Z
Semifinals,Wed Apr 29 2015,20:30,CEST/+0200,Wolfsberger AC,0-3,0-0,Austria Wien,,,2015-04-29T18:30Z
Final,Wed Jun 3 2015,20:30,CEST/+0200,Austria Wien,0-0,0-0,RB Salzburg,0-2,,2015-06-03T18:30Z
