Round,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 23 2014,19:00,CA Osasuna,2-0,1-0,FC Barcelona B
1,Sat Aug 23 2014,19:00,Recreativo Huelva,0-0,0-0,Real Zaragoza
1,Sat Aug 23 2014,19:00,Real Valladolid,2-1,1-0,RCD Mallorca
1,Sat Aug 23 2014,21:00,UD Las Palmas,2-0,1-0,UE Llagostera
1,Sat Aug 23 2014,21:00,CD Numancia,1-2,0-0,Sporting Gijón
1,Sun Aug 24 2014,19:00,CD Leganés,1-1,1-0,CD Alavés
1,Sun Aug 24 2014,19:00,CD Mirandés,0-0,0-0,CD Lugo
1,Sun Aug 24 2014,19:00,CE Sabadell,2-3,0-2,Real Betis
1,Sun Aug 24 2014,21:00,SD Ponferradina,1-0,1-0,CD Tenerife
1,Sun Aug 24 2014,21:00,Albacete,2-3,1-1,AD Alcorcón
1,Sun Aug 24 2014,21:00,Girona FC,1-0,1-0,Racing Santander
2,Sat Aug 30 2014,19:00,FC Barcelona B,3-1,1-1,CE Sabadell
2,Sat Aug 30 2014,19:00,Real Zaragoza,1-1,1-0,CA Osasuna
2,Sat Aug 30 2014,19:00,CD Lugo,1-0,0-0,Real Valladolid
2,Sat Aug 30 2014,21:00,AD Alcorcón,1-2,0-0,Girona FC
2,Sat Aug 30 2014,23:00,Racing Santander,1-2,0-1,CD Mirandés
2,Sat Aug 30 2014,23:00,CD Tenerife,1-1,0-1,Albacete
2,Sun Aug 31 2014,19:00,UE Llagostera,2-0,1-0,CD Leganés
2,Sun Aug 31 2014,19:00,Sporting Gijón,2-1,0-0,SD Ponferradina
2,Sun Aug 31 2014,19:00,Real Betis,2-1,1-1,CD Numancia
2,Sun Aug 31 2014,21:00,CD Alavés,0-0,0-0,Recreativo Huelva
2,Sun Aug 31 2014,21:00,RCD Mallorca,1-1,1-1,UD Las Palmas
3,Sat Sep 6 2014,16:00,Recreativo Huelva,2-0,1-0,UE Llagostera
3,Sat Sep 6 2014,18:00,Albacete,1-1,1-0,Sporting Gijón
3,Sat Sep 6 2014,21:00,Girona FC,2-0,1-0,CD Tenerife
3,Sat Sep 6 2014,19:00,CE Sabadell,0-3,0-2,CD Numancia
3,Sat Sep 6 2014,18:15,CA Osasuna,1-3,0-1,CD Alavés
3,Sun Sep 7 2014,12:00,SD Ponferradina,4-1,0-1,Real Betis
3,Sun Sep 7 2014,17:00,CD Mirandés,1-2,0-2,AD Alcorcón
3,Sun Sep 7 2014,18:15,Real Valladolid,3-1,1-0,Racing Santander
3,Sun Sep 7 2014,19:00,FC Barcelona B,4-1,1-1,Real Zaragoza
3,Sun Sep 7 2014,21:00,CD Leganés,3-1,0-1,RCD Mallorca
3,Sun Sep 7 2014,21:00,UD Las Palmas,3-0,0-0,CD Lugo
4,Sat Sep 13 2014,16:00,CD Numancia,1-3,1-1,SD Ponferradina
4,Sat Sep 13 2014,18:15,RCD Mallorca,1-2,0-1,Recreativo Huelva
4,Sat Sep 13 2014,18:30,CD Alavés,2-3,0-3,FC Barcelona B
4,Sat Sep 13 2014,20:00,Racing Santander,1-2,1-0,UD Las Palmas
4,Sat Sep 13 2014,20:30,UE Llagostera,0-0,0-0,CA Osasuna
4,Sun Sep 14 2014,12:00,Sporting Gijón,1-1,1-0,Girona FC
4,Sun Sep 14 2014,17:00,Real Zaragoza,1-1,1-0,CE Sabadell
4,Sun Sep 14 2014,17:00,CD Lugo,0-0,0-0,CD Leganés
4,Sun Sep 14 2014,21:00,CD Tenerife,1-0,1-0,CD Mirandés
4,Sun Sep 14 2014,21:00,AD Alcorcón,0-1,0-1,Real Valladolid
4,Sun Sep 14 2014,18:15,Real Betis,0-1,0-0,Albacete
5,Sat Sep 20 2014,16:00,Recreativo Huelva,0-0,0-0,CD Lugo
5,Sat Sep 20 2014,18:00,FC Barcelona B,0-1,0-1,UE Llagostera
5,Sat Sep 20 2014,18:00,CD Mirandés,0-2,0-1,Sporting Gijón
5,Sat Sep 20 2014,18:15,Real Zaragoza,1-0,1-0,CD Alavés
5,Sat Sep 20 2014,20:00,CE Sabadell,1-0,0-0,SD Ponferradina
5,Sat Sep 20 2014,20:00,UD Las Palmas,4-1,1-0,AD Alcorcón
5,Sun Sep 21 2014,12:00,CA Osasuna,6-4,1-1,RCD Mallorca
5,Sun Sep 21 2014,17:00,Girona FC,1-3,1-2,Real Betis
5,Sun Sep 21 2014,18:15,CD Leganés,2-2,0-2,Racing Santander
5,Sun Sep 21 2014,20:00,Real Valladolid,2-1,1-0,CD Tenerife
5,Sun Sep 21 2014,21:00,Albacete,0-1,0-1,CD Numancia
6,Sat Sep 27 2014,16:00,UE Llagostera,0-1,0-1,Real Zaragoza
6,Sat Sep 27 2014,16:00,CD Lugo,4-3,2-2,CA Osasuna
6,Sat Sep 27 2014,18:15,Racing Santander,3-0,2-0,Recreativo Huelva
6,Sat Sep 27 2014,18:00,CD Alavés,3-1,2-0,CE Sabadell
6,Sun Sep 28 2014,18:15,Real Betis,2-0,1-0,CD Mirandés
6,Sun Sep 28 2014,17:00,RCD Mallorca,3-3,2-2,FC Barcelona B
6,Sun Sep 28 2014,17:00,Sporting Gijón,1-1,0-0,Real Valladolid
6,Sun Sep 28 2014,17:00,CD Numancia,2-2,1-0,Girona FC
6,Sun Sep 28 2014,18:00,AD Alcorcón,1-0,0-0,CD Leganés
6,Sun Sep 28 2014,12:00,CD Tenerife,2-1,1-1,UD Las Palmas
6,Mon Sep 29 2014,20:30,SD Ponferradina,1-0,1-0,Albacete
7,Sat Oct 4 2014,16:00,CD Alavés,0-0,0-0,UE Llagostera
7,Sat Oct 4 2014,16:00,FC Barcelona B,0-1,0-0,CD Lugo
7,Sat Oct 4 2014,18:00,Girona FC,3-0,1-0,SD Ponferradina
7,Sat Oct 4 2014,18:15,CA Osasuna,0-2,0-1,Racing Santander
7,Sat Oct 4 2014,20:00,UD Las Palmas,1-1,0-1,Sporting Gijón
7,Sun Oct 5 2014,12:00,Real Valladolid,0-0,0-0,Real Betis
7,Sun Oct 5 2014,17:00,Recreativo Huelva,2-1,2-0,AD Alcorcón
7,Sun Oct 5 2014,17:00,CE Sabadell,6-1,2-0,Albacete
7,Sun Oct 5 2014,21:00,CD Mirandés,2-0,1-0,CD Numancia
7,Sun Oct 5 2014,19:00,CD Leganés,2-0,1-0,CD Tenerife
7,Sun Oct 5 2014,18:15,Real Zaragoza,2-0,0-0,RCD Mallorca
8,Sat Oct 11 2014,16:00,RCD Mallorca,2-0,0-0,CD Alavés
8,Sat Oct 11 2014,16:00,SD Ponferradina,1-0,0-0,CD Mirandés
8,Sat Oct 11 2014,21:00,CD Numancia,0-1,0-1,Real Valladolid
8,Sat Oct 11 2014,18:15,AD Alcorcón,2-0,2-0,CA Osasuna
8,Sat Oct 11 2014,20:00,Albacete,0-1,0-1,Girona FC
8,Sat Oct 11 2014,21:00,CD Tenerife,0-2,0-1,Recreativo Huelva
8,Sat Oct 11 2014,18:00,Racing Santander,0-0,0-0,FC Barcelona B
8,Sun Oct 12 2014,12:00,Real Betis,0-0,0-0,UD Las Palmas
8,Sun Oct 12 2014,17:00,Sporting Gijón,2-1,0-0,CD Leganés
8,Sun Oct 12 2014,18:15,CD Lugo,3-3,1-2,Real Zaragoza
8,Sun Oct 12 2014,18:45,UE Llagostera,0-1,0-0,CE Sabadell
9,Sat Oct 18 2014,16:00,Real Valladolid,0-0,0-0,SD Ponferradina
9,Sat Oct 18 2014,18:00,CD Alavés,1-0,0-0,CD Lugo
9,Sat Oct 18 2014,18:00,CD Mirandés,3-2,1-2,Albacete
9,Sat Oct 18 2014,18:15,Real Zaragoza,2-1,1-1,Racing Santander
9,Sat Oct 18 2014,20:00,CE Sabadell,0-2,0-2,Girona FC
9,Sat Oct 18 2014,20:00,CA Osasuna,3-2,1-1,CD Tenerife
9,Sun Oct 19 2014,12:00,Recreativo Huelva,1-1,1-1,Sporting Gijón
9,Sun Oct 19 2014,17:00,UE Llagostera,1-4,0-1,RCD Mallorca
9,Sun Oct 19 2014,18:15,CD Leganés,1-0,0-0,Real Betis
9,Sun Oct 19 2014,19:00,UD Las Palmas,2-0,1-0,CD Numancia
9,Sun Oct 19 2014,21:00,FC Barcelona B,4-1,3-1,AD Alcorcón
10,Sat Oct 25 2014,16:00,RCD Mallorca,1-0,0-0,CE Sabadell
10,Sat Oct 25 2014,18:00,Racing Santander,1-1,1-0,CD Alavés
10,Sat Oct 25 2014,20:00,SD Ponferradina,2-2,1-0,UD Las Palmas
10,Sat Oct 25 2014,18:15,Real Betis,3-2,2-1,Recreativo Huelva
10,Sun Oct 26 2014,12:00,Albacete,3-4,1-3,Real Valladolid
10,Sun Oct 26 2014,17:00,CD Lugo,1-1,0-0,UE Llagostera
10,Sun Oct 26 2014,17:00,Sporting Gijón,2-0,1-0,CA Osasuna
10,Sun Oct 26 2014,21:00,CD Numancia,1-1,1-1,CD Leganés
10,Sun Oct 26 2014,18:15,AD Alcorcón,1-3,1-1,Real Zaragoza
10,Sun Oct 26 2014,19:00,CD Tenerife,2-0,1-0,FC Barcelona B
10,Sun Oct 26 2014,17:00,Girona FC,3-0,1-0,CD Mirandés
