Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Jul 18 2014,18:30,SV Mattersburg,2-0,1-0,FC Wacker Innsbruck
1,Fri Jul 18 2014,18:30,LASK Linz,2-1,2-1,Kapfenberger SV
1,Fri Jul 18 2014,18:30,Austria Lustenau,0-0,0-0,Floridsdorfer AC
1,Fri Jul 18 2014,18:30,TSV Hartberg,0-3,0-2,FC Liefering
1,Mon Jul 21 2014,19:30,SKN St. Pölten,3-0,1-0,SV Horn
2,Fri Jul 25 2014,18:30,FC Wacker Innsbruck,1-2,1-0,Austria Lustenau
2,Fri Jul 25 2014,18:30,FC Liefering,1-1,0-0,Floridsdorfer AC
2,Fri Jul 25 2014,18:30,LASK Linz,0-0,0-0,TSV Hartberg
2,Fri Jul 25 2014,18:30,SV Horn,0-0,0-0,SV Mattersburg
2,Mon Jul 28 2014,19:30,Kapfenberger SV,2-2,1-0,SKN St. Pölten
3,Fri Aug 1 2014,20:30,TSV Hartberg,0-4,0-2,SV Mattersburg
3,Fri Aug 1 2014,18:30,Kapfenberger SV,0-0,0-0,FC Wacker Innsbruck
3,Fri Aug 1 2014,18:30,Floridsdorfer AC,2-1,0-0,SV Horn
3,Fri Aug 1 2014,18:30,FC Liefering,2-0,0-0,Austria Lustenau
4,Mon Aug 4 2014,18:30,SV Mattersburg,4-0,1-0,SKN St. Pölten
4,Tue Aug 5 2014,18:30,FC Wacker Innsbruck,0-1,0-0,FC Liefering
4,Tue Aug 5 2014,18:30,SV Horn,3-0,2-0,TSV Hartberg
4,Tue Aug 5 2014,18:30,Austria Lustenau,1-2,1-0,LASK Linz
4,Tue Aug 5 2014,18:30,Floridsdorfer AC,2-2,0-1,Kapfenberger SV
5,Fri Aug 8 2014,20:30,FC Wacker Innsbruck,2-1,0-1,Floridsdorfer AC
5,Fri Aug 8 2014,18:30,Austria Lustenau,5-0,2-0,TSV Hartberg
5,Fri Aug 8 2014,18:30,Kapfenberger SV,0-0,0-0,SV Horn
5,Fri Aug 8 2014,18:30,LASK Linz,1-0,0-0,SV Mattersburg
3,Mon Aug 11 2014,19:30,SKN St. Pölten,1-0,1-0,LASK Linz
6,Fri Aug 15 2014,20:30,SV Horn,0-2,0-1,LASK Linz
6,Fri Aug 15 2014,18:30,SV Mattersburg,2-0,1-0,Austria Lustenau
6,Fri Aug 15 2014,18:30,FC Liefering,3-2,1-1,Kapfenberger SV
6,Fri Aug 15 2014,18:30,TSV Hartberg,0-3,0-2,FC Wacker Innsbruck
6,Fri Aug 15 2014,18:30,Floridsdorfer AC,0-1,0-1,SKN St. Pölten
5,Mon Aug 18 2014,19:30,SKN St. Pölten,2-3,2-1,FC Liefering
7,Fri Aug 22 2014,18:30,SV Mattersburg,2-0,0-0,Floridsdorfer AC
7,Fri Aug 22 2014,18:30,Austria Lustenau,0-1,0-0,SV Horn
7,Fri Aug 22 2014,18:30,TSV Hartberg,1-3,1-1,Kapfenberger SV
7,Fri Aug 22 2014,18:30,LASK Linz,2-0,0-0,FC Liefering
7,Fri Aug 22 2014,20:30,SKN St. Pölten,0-1,0-0,FC Wacker Innsbruck
8,Fri Aug 29 2014,18:30,SKN St. Pölten,1-1,1-0,Austria Lustenau
8,Fri Aug 29 2014,18:30,Kapfenberger SV,2-2,0-0,SV Mattersburg
8,Fri Aug 29 2014,18:30,FC Liefering,4-1,1-0,SV Horn
8,Fri Aug 29 2014,18:30,Floridsdorfer AC,3-2,2-1,TSV Hartberg
8,Fri Aug 29 2014,20:30,FC Wacker Innsbruck,1-0,0-0,LASK Linz
9,Fri Sep 12 2014,18:30,SV Mattersburg,3-6,3-2,FC Liefering
9,Fri Sep 12 2014,18:30,Austria Lustenau,1-3,0-2,Kapfenberger SV
