Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Apertura,1,Fri Feb 16 2024,20:30,-0300,Nacional,2-1,0-0,River Plate,,2024-02-16T23:30Z
Apertura,1,Sat Feb 17 2024,19:15,-0300,Miramar Misiones,2-3,0-2,Progreso,,2024-02-17T22:15Z
Apertura,1,Sat Feb 17 2024,21:30,-0300,Deportivo Maldonado,1-2,0-0,Boston River,,2024-02-18T00:30Z
Apertura,1,Sat Feb 17 2024,17:00,-0300,Fénix,1-2,1-1,Danubio,,2024-02-17T20:00Z
Apertura,1,Sun Feb 18 2024,10:00,-0300,CA Cerro,1-1,1-0,Montevideo Wanderers,,2024-02-18T13:00Z
Apertura,1,Sun Feb 18 2024,17:00,-0300,Racing,2-2,1-0,Liverpool,,2024-02-18T20:00Z
Apertura,1,Sun Feb 18 2024,20:00,-0300,Cerro Largo,1-2,1-0,Peñarol,,2024-02-18T23:00Z
Apertura,2,Fri Feb 23 2024,17:00,-0300,River Plate,3-1,1-0,Deportivo Maldonado,,2024-02-23T20:00Z
Apertura,2,Fri Feb 23 2024,20:30,-0300,Montevideo Wanderers,0-1,0-0,Racing,,2024-02-23T23:30Z
Apertura,2,Sat Feb 24 2024,20:00,-0300,Peñarol,2-0,2-0,Miramar Misiones,,2024-02-24T23:00Z
Apertura,2,Sat Feb 24 2024,17:00,-0300,Boston River,0-0,0-0,Danubio,,2024-02-24T20:00Z
Apertura,2,Sun Feb 25 2024,10:00,-0300,Cerro Largo,0-0,0-0,Fénix,,2024-02-25T13:00Z
Apertura,2,Sun Feb 25 2024,17:00,-0300,Liverpool,1-1,1-0,Nacional,,2024-02-25T20:00Z
Apertura,2,Sun Feb 25 2024,19:30,-0300,Defensor Sporting,5-0,1-0,CA Cerro,,2024-02-25T22:30Z
Apertura,3,Fri Mar 1 2024,19:30,-0300,Miramar Misiones,1-2,0-0,Cerro Largo,,2024-03-01T22:30Z
Apertura,3,Fri Mar 1 2024,17:00,-0300,CA Cerro,2-3,2-1,Progreso,,2024-03-01T20:00Z
Apertura,3,Sat Mar 2 2024,17:00,-0300,River Plate,1-0,0-0,Danubio,,2024-03-02T20:00Z
Apertura,3,Sat Mar 2 2024,10:00,-0300,Racing,1-2,1-1,Defensor Sporting,,2024-03-02T13:00Z
Apertura,3,Sat Mar 2 2024,20:00,-0300,Nacional,3-0,1-0,Montevideo Wanderers,,2024-03-02T23:00Z
Apertura,3,Sun Mar 3 2024,17:00,-0300,Liverpool,1-2,1-2,Deportivo Maldonado,,2024-03-03T20:00Z
Apertura,3,Sun Mar 3 2024,20:00,-0300,Rampla Juniors,0-3,0-1,Peñarol,,2024-03-03T23:00Z
