Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Gruppe A,Sat Apr 27 2024,16:00,-0300,Manauara AM,3-1,2-0,Rio Branco AC,,,2024-04-27T19:00Z
Gruppe A,Sat Apr 27 2024,18:00,-0300,Princesa do Solimões AM,2-0,1-0,São Raimundo RR,,,2024-04-27T21:00Z
Gruppe C,Sat Apr 27 2024,15:00,-0300,Santa Cruz de Natal RN,3-4,2-0,Treze PB,,,2024-04-27T18:00Z
Gruppe C,Sat Apr 27 2024,16:00,-0300,Atlético Cearense CE,1-2,1-1,Potiguar de Mossoró RN,,,2024-04-27T19:00Z
Gruppe B,Sat Apr 27 2024,16:00,-0300,River PI,2-1,1-1,Águia de Marabá PA,,,2024-04-27T19:00Z
Gruppe H,Sat Apr 27 2024,15:30,-0300,Avenida RS,1-2,0-1,Cascavel FC PR,,,2024-04-27T18:30Z
Gruppe H,Sat Apr 27 2024,18:00,-0300,Cianorte PR,0-0,0-0,Hercílio Luz SC,,,2024-04-27T21:00Z
Gruppe G,Sat Apr 27 2024,18:00,-0300,São José SP,0-0,0-0,Costa Rica MS,,,2024-04-27T21:00Z
Gruppe G,Sat Apr 27 2024,16:00,-0300,Atlético Patrocinense MG,0-2,0-0,Água Santa SP,,,2024-04-27T19:00Z
Gruppe G,Sat Apr 27 2024,16:00,-0300,Inter de Limeira SP,1-0,0-0,Pouso Alegre MG,,,2024-04-27T19:00Z
Gruppe D,Sat Apr 27 2024,16:00,-0300,Sergipe SE,2-3,2-1,ASA AL,,,2024-04-27T19:00Z
Gruppe D,Sat Apr 27 2024,16:00,-0300,Petrolina PE,0-0,0-0,Jacuipense BA,,,2024-04-27T19:00Z
Gruppe D,Sat Apr 27 2024,16:00,-0300,Juazeirense BA,1-1,0-1,Itabaiana SE,,,2024-04-27T19:00Z
Gruppe D,Sat Apr 27 2024,19:00,-0300,CSE AL,0-0,0-0,Retrô PE,,,2024-04-27T22:00Z
Gruppe F,Sat Apr 27 2024,18:30,-0300,Portuguesa RJ,0-0,0-0,Ipatinga MG,,,2024-04-27T21:30Z
Gruppe F,Sat Apr 27 2024,16:00,-0300,Serra ES,1-0,0-0,Audax RJ,,,2024-04-27T19:00Z
Gruppe F,Sat Apr 27 2024,16:00,-0300,Democrata de Sete Lagoas MG,1-1,0-0,Nova Iguaçu RJ,,,2024-04-27T19:00Z
Gruppe E,Sat Apr 27 2024,15:00,-0300,Iporá GO,2-2,1-1,União Rondonópolis MT,,,2024-04-27T18:00Z
Gruppe E,Sat Apr 27 2024,16:00,-0300,Capital TO,2-0,0-0,Real Brasilia DF,,,2024-04-27T19:00Z
Gruppe E,Sun Apr 28 2024,15:30,-0300,Brasiliense DF,1-0,0-0,Anápolis FC GO,,,2024-04-28T18:30Z
Gruppe E,Sun Apr 28 2024,18:00,-0300,Mixto MT,1-1,1-0,CRAC GO,,,2024-04-28T21:00Z
Gruppe B,Sun Apr 28 2024,16:00,-0300,Fluminense PI,1-2,1-1,Maranhão MA,,,2024-04-28T19:00Z
Gruppe B,Sun Apr 28 2024,16:00,-0300,Cametá PA,0-1,0-0,Altos PI,,,2024-04-28T19:00Z
Gruppe F,Sun Apr 28 2024,16:00,-0300,Itabuna BA,0-0,0-0,Real Noroeste ES,,,2024-04-28T19:00Z
Gruppe H,Sun Apr 28 2024,16:00,-0300,Barra SC,1-1,1-0,Novo Hamburgo RS,,,2024-04-28T19:00Z
Gruppe H,Sun Apr 28 2024,17:00,-0300,Concórdia SC,2-0,0-0,Brasil de Pelotas RS,,,2024-04-28T20:00Z
Gruppe B,Sun Apr 28 2024,16:00,-0300,Moto Club MA,2-2,1-1,Tocantinópolis TO,,,2024-04-28T19:00Z
Gruppe C,Sun Apr 28 2024,16:00,-0300,Sousa PB,0-0,0-0,Iguatu CE,,,2024-04-28T19:00Z
Gruppe C,Sun Apr 28 2024,15:30,-0300,Maracanã CE,1-1,0-1,América RN,,,2024-04-28T18:30Z
Gruppe A,Sun Apr 28 2024,16:00,-0300,Trem AP,0-0,0-0,Manaus AM,,,2024-04-28T19:00Z
Gruppe G,Mon Apr 29 2024,19:30,-0300,Maringá PR,2-1,1-0,Santo André SP,,,2024-04-29T22:30Z
Gruppe A,Wed May 1 2024,17:00,-0300,Humaitá AC,0-1,0-0,Porto Velho EC RO,,,2024-05-01T20:00Z
Gruppe C,Fri May 3 2024,19:00,-0300,Iguatu CE,2-0,0-0,Santa Cruz de Natal RN,,,2024-05-03T22:00Z
Gruppe G,Sat May 4 2024,18:00,-0300,Água Santa SP,2-1,1-1,Maringá PR,,,2024-05-04T21:00Z
Gruppe A,Sat May 4 2024,17:30,-0300,São Raimundo RR,0-1,0-1,Manauara AM,,,2024-05-04T20:30Z
Gruppe E,Sat May 4 2024,19:00,-0300,União Rondonópolis MT,0-0,0-0,Capital TO,,,2024-05-04T22:00Z
Gruppe D,Sat May 4 2024,17:00,-0300,ASA AL,1-0,1-0,Petrolina PE,,,2024-05-04T20:00Z
Gruppe D,Sat May 4 2024,15:00,-0300,Jacuipense BA,1-1,1-0,Sergipe SE,,,2024-05-04T18:00Z
Gruppe G,Sat May 4 2024,17:00,-0300,Pouso Alegre MG,3-0,1-0,São José SP,,,2024-05-04T20:00Z
Gruppe F,Sat May 4 2024,17:00,-0300,Ipatinga MG,2-3,1-1,Itabuna BA,,,2024-05-04T20:00Z
Gruppe F,Sat May 4 2024,15:30,-0300,Real Noroeste ES,1-1,1-0,Portuguesa RJ,,,2024-05-04T18:30Z
Gruppe F,Sat May 4 2024,16:00,-0300,Nova Iguaçu RJ,4-0,1-0,Serra ES,,,2024-05-04T19:00Z
Gruppe B,Sat May 4 2024,17:00,-0300,Tocantinópolis TO,1-0,0-0,Cametá PA,,,2024-05-04T20:00Z
Gruppe B,Sat May 4 2024,16:00,-0300,Altos PI,1-2,1-1,Moto Club MA,,,2024-05-04T19:00Z
Gruppe E,Sat May 4 2024,15:00,-0300,Real Brasilia DF,0-2,0-1,Iporá GO,,,2024-05-04T18:00Z
Gruppe A,Sat May 4 2024,19:00,-0300,Rio Branco AC,0-0,0-0,Princesa do Solimões AM,,,2024-05-04T22:00Z
Gruppe G,Sat May 4 2024,15:00,-0300,Santo André SP,0-0,0-0,Atlético Patrocinense MG,,,2024-05-04T18:00Z
Gruppe B,Sat May 4 2024,16:00,-0300,Maranhão MA,1-0,1-0,River PI,,,2024-05-04T19:00Z
Gruppe G,Sun May 5 2024,17:00,-0300,Costa Rica MS,0-3,0-2,Inter de Limeira SP,,,2024-05-05T20:00Z
Gruppe H,Sun May 5 2024,16:00,-0300,Cascavel FC PR,1-2,1-1,Cianorte PR,,,2024-05-05T19:00Z
Gruppe C,Sun May 5 2024,16:00,-0300,Potiguar de Mossoró RN,1-2,1-0,Maracanã CE,,,2024-05-05T19:00Z
Gruppe C,Sun May 5 2024,16:00,-0300,Treze PB,2-0,0-0,Sousa PB,,,2024-05-05T19:00Z
Gruppe A,Sun May 5 2024,16:30,-0300,Porto Velho EC RO,2-1,1-1,Trem AP,,,2024-05-05T19:30Z
Gruppe E,Sun May 5 2024,16:00,-0300,Anápolis FC GO,1-1,1-0,Mixto MT,,,2024-05-05T19:00Z
Gruppe D,Sun May 5 2024,16:00,-0300,Retrô PE,1-0,0-0,Juazeirense BA,,,2024-05-05T19:00Z
Gruppe C,Sun May 5 2024,18:00,-0300,América RN,3-0,2-0,Atlético Cearense CE,,,2024-05-05T21:00Z
Gruppe D,Sun May 5 2024,16:00,-0300,Itabaiana SE,3-1,1-1,CSE AL,,,2024-05-05T19:00Z
Gruppe A,Sun May 5 2024,16:30,-0300,Manaus AM,1-0,1-0,Humaitá AC,,,2024-05-05T19:30Z
Gruppe E,Sun May 5 2024,17:00,-0300,CRAC GO,1-0,0-0,Brasiliense DF,,,2024-05-05T20:00Z
Gruppe B,Mon May 6 2024,20:00,-0300,Águia de Marabá PA,1-1,0-1,Fluminense PI,,,2024-05-06T23:00Z
Gruppe F,Tue May 7 2024,15:30,-0300,Audax RJ,0-1,0-0,Democrata de Sete Lagoas MG,,,2024-05-07T18:30Z
Gruppe A,Sat May 11 2024,17:30,-0300,São Raimundo RR,1-2,1-0,Trem AP,,,2024-05-11T20:30Z
Gruppe A,Sat May 11 2024,17:00,-0300,Humaitá AC,1-2,0-0,Rio Branco AC,,,2024-05-11T20:00Z
Gruppe H,Sat May 11 2024,17:30,-0300,Hercílio Luz SC,1-1,1-0,Concórdia SC,,,2024-05-11T20:30Z
Gruppe B,Sat May 11 2024,17:00,-0300,River PI,1-1,0-0,Altos PI,,,2024-05-11T20:00Z
Gruppe B,Sat May 11 2024,17:00,-0300,Águia de Marabá PA,1-1,1-0,Cametá PA,,,2024-05-11T20:00Z
Gruppe E,Sat May 11 2024,16:00,-0300,Capital TO,1-2,0-0,Anápolis FC GO,,,2024-05-11T19:00Z
Gruppe E,Sat May 11 2024,15:00,-0300,Iporá GO,1-1,0-0,CRAC GO,,,2024-05-11T18:00Z
Gruppe D,Sat May 11 2024,15:00,-0300,Jacuipense BA,2-1,2-0,Juazeirense BA,,,2024-05-11T18:00Z
Gruppe D,Sat May 11 2024,16:00,-0300,Sergipe SE,1-3,0-1,Retrô PE,,,2024-05-11T19:00Z
Gruppe D,Sat May 11 2024,16:00,-0300,Petrolina PE,0-2,0-0,Itabaiana SE,,,2024-05-11T19:00Z
Gruppe D,Sat May 11 2024,19:00,-0300,CSE AL,1-1,0-1,ASA AL,,,2024-05-11T22:00Z
Gruppe F,Sat May 11 2024,18:30,-0300,Portuguesa RJ,1-0,0-0,Nova Iguaçu RJ,,,2024-05-11T21:30Z
Gruppe F,Sat May 11 2024,17:00,-0300,Real Noroeste ES,0-0,0-0,Serra ES,,,2024-05-11T20:00Z
Gruppe C,Sat May 11 2024,15:00,-0300,Santa Cruz de Natal RN,3-2,0-0,América RN,,,2024-05-11T18:00Z
Gruppe C,Sat May 11 2024,16:00,-0300,Iguatu CE,1-0,0-0,Atlético Cearense CE,,,2024-05-11T19:00Z
Gruppe G,Sat May 11 2024,16:00,-0300,Inter de Limeira SP,1-0,1-0,Água Santa SP,,,2024-05-11T19:00Z
Gruppe G,Sat May 11 2024,17:00,-0300,Pouso Alegre MG,4-1,2-0,Atlético Patrocinense MG,,,2024-05-11T20:00Z
Gruppe G,Sat May 11 2024,18:00,-0300,São José SP,0-0,0-0,Santo André SP,,,2024-05-11T21:00Z
Gruppe F,Sun May 12 2024,16:00,-0300,Itabuna BA,1-0,0-0,Audax RJ,,,2024-05-12T19:00Z
Gruppe B,Sun May 12 2024,16:00,-0300,Moto Club MA,2-1,0-1,Maranhão MA,,,2024-05-12T19:00Z
Gruppe B,Sun May 12 2024,16:00,-0300,Fluminense PI,1-0,1-0,Tocantinópolis TO,,,2024-05-12T19:00Z
Gruppe H,Sun May 12 2024,16:00,-0300,Barra SC,3-0,1-0,Cascavel FC PR,,,2024-05-12T19:00Z
Gruppe C,Sun May 12 2024,15:30,-0300,Maracanã CE,0-4,0-2,Treze PB,,,2024-05-12T18:30Z
Gruppe C,Sun May 12 2024,16:00,-0300,Sousa PB,1-0,1-0,Potiguar de Mossoró RN,,,2024-05-12T19:00Z
Gruppe G,Sun May 12 2024,19:30,-0300,Maringá PR,2-0,0-0,Costa Rica MS,,,2024-05-12T22:30Z
Gruppe E,Sun May 12 2024,18:00,-0300,Mixto MT,1-1,1-1,União Rondonópolis MT,,,2024-05-12T21:00Z
Gruppe E,Sun May 12 2024,15:00,-0300,Real Brasilia DF,1-2,0-0,Brasiliense DF,,,2024-05-12T18:00Z
