Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Feb 16 2024,21:30,-03/-0300,Ñublense,0-0,0-0,Coquimbo Unido,,2024-02-17T00:30Z
1,Sat Feb 17 2024,20:30,-03/-0300,Copiapó,1-3,0-2,O'Higgins,,2024-02-17T23:30Z
1,Sat Feb 17 2024,18:00,-03/-0300,Unión Española,0-3,0-2,Colo-Colo,,2024-02-17T21:00Z
1,Sun Feb 18 2024,20:30,-03/-0300,Cobreloa,1-1,1-1,Huachipato,,2024-02-18T23:30Z
1,Mon Feb 19 2024,20:00,-03/-0300,Audax Italiano,2-3,1-1,Deportes Iquique,,2024-02-19T23:00Z
2,Fri Feb 23 2024,21:30,-03/-0300,Coquimbo Unido,3-1,1-1,Copiapó,,2024-02-24T00:30Z
2,Fri Feb 23 2024,19:00,-03/-0300,Universidad Católica,0-1,0-0,Ñublense,,2024-02-23T22:00Z
2,Sat Feb 24 2024,18:00,-03/-0300,Universidad de Chile,1-0,0-0,Audax Italiano,,2024-02-24T21:00Z
2,Sat Feb 24 2024,18:00,-03/-0300,Palestino,5-0,3-0,Cobreloa,,2024-02-24T21:00Z
2,Sun Feb 25 2024,20:30,-03/-0300,Cobresal,2-2,1-1,Unión Española,,2024-02-25T23:30Z
2,Sun Feb 25 2024,18:00,-03/-0300,O'Higgins,1-0,1-0,Colo-Colo,,2024-02-25T21:00Z
2,Sun Feb 25 2024,12:00,-03/-0300,Deportes Iquique,1-1,1-1,Everton,,2024-02-25T15:00Z
2,Sun Feb 25 2024,12:00,-03/-0300,Huachipato,0-1,0-0,Unión La Calera,,2024-02-25T15:00Z
3,Fri Mar 1 2024,20:30,-03/-0300,Cobreloa,2-1,0-0,Cobresal,,2024-03-01T23:30Z
3,Sat Mar 2 2024,18:00,-03/-0300,O'Higgins,2-1,1-1,Everton,,2024-03-02T21:00Z
3,Sat Mar 2 2024,20:30,-03/-0300,Unión Española,1-0,1-0,Coquimbo Unido,,2024-03-02T23:30Z
3,Sat Mar 2 2024,20:30,-03/-0300,Ñublense,1-2,0-1,Audax Italiano,,2024-03-02T23:30Z
3,Sat Mar 2 2024,18:00,-03/-0300,Palestino,0-2,0-1,Universidad Católica,,2024-03-02T21:00Z
3,Sun Mar 3 2024,20:30,-03/-0300,Unión La Calera,1-3,0-1,Deportes Iquique,,2024-03-03T23:30Z
3,Sun Mar 3 2024,18:00,-03/-0300,Colo-Colo,2-0,0-0,Huachipato,,2024-03-03T21:00Z
3,Mon Mar 4 2024,19:00,-03/-0300,Copiapó,1-3,1-1,Universidad de Chile,,2024-03-04T22:00Z
4,Sat Mar 9 2024,20:30,-03/-0300,Unión Española,3-0,1-0,Audax Italiano,,2024-03-09T23:30Z
4,Sat Mar 9 2024,20:25,-03/-0300,O'Higgins,0-1,0-0,Palestino,,2024-03-09T23:25Z
4,Sat Mar 9 2024,18:00,-03/-0300,Cobresal,1-2,0-2,Huachipato,,2024-03-09T21:00Z
4,Sun Mar 10 2024,18:00,-03/-0300,Colo-Colo,0-1,0-1,Universidad de Chile,,2024-03-10T21:00Z
4,Sun Mar 10 2024,12:00,-03/-0300,Deportes Iquique,4-2,2-1,Coquimbo Unido,,2024-03-10T15:00Z
4,Sun Mar 10 2024,21:00,-03/-0300,Ñublense,1-0,0-0,Copiapó,,2024-03-11T00:00Z
4,Mon Mar 11 2024,21:30,-03/-0300,Unión La Calera,0-2,0-0,Cobreloa,,2024-03-12T00:30Z
4,Mon Mar 11 2024,19:00,-03/-0300,Universidad Católica,2-4,1-2,Everton,,2024-03-11T22:00Z
5,Fri Mar 15 2024,20:30,-03/-0300,Deportes Iquique,1-0,0-0,Cobresal,,2024-03-15T23:30Z
5,Sat Mar 16 2024,12:00,-03/-0300,Everton,3-2,2-1,Ñublense,,2024-03-16T15:00Z
5,Sat Mar 16 2024,20:30,-03/-0300,Cobreloa,1-0,0-0,Unión Española,,2024-03-16T23:30Z
5,Sat Mar 16 2024,18:00,-03/-0300,Universidad de Chile,1-0,1-0,O'Higgins,,2024-03-16T21:00Z
5,Sun Mar 17 2024,20:30,-03/-0300,Universidad Católica,0-0,0-0,Audax Italiano,,2024-03-17T23:30Z
5,Sun Mar 17 2024,18:00,-03/-0300,Palestino,0-0,0-0,Unión La Calera,,2024-03-17T21:00Z
5,Sun Mar 17 2024,12:00,-03/-0300,Coquimbo Unido,0-0,0-0,Colo-Colo,,2024-03-17T15:00Z
5,Sun Mar 17 2024,12:00,-03/-0300,Huachipato,2-1,2-1,Copiapó,,2024-03-17T15:00Z
1,Fri Mar 22 2024,19:00,-03/-0300,Unión La Calera,0-0,0-0,Universidad Católica,,2024-03-22T22:00Z
1,Sat Mar 23 2024,18:00,-03/-0300,Everton,0-0,0-0,Palestino,,2024-03-23T21:00Z
1,Mon Mar 25 2024,19:00,-03/-0300,Universidad de Chile,2-2,1-1,Cobresal,,2024-03-25T22:00Z
6,Thu Mar 28 2024,20:30,-03/-0300,O'Higgins,0-3,0-1,Deportes Iquique,,2024-03-28T23:30Z
6,Thu Mar 28 2024,18:00,-03/-0300,Audax Italiano,0-1,0-1,Coquimbo Unido,,2024-03-28T21:00Z
6,Fri Mar 29 2024,20:30,-03/-0300,Cobresal,0-2,0-0,Palestino,,2024-03-29T23:30Z
6,Sat Mar 30 2024,18:00,-03/-0300,Colo-Colo,4-1,1-1,Everton,,2024-03-30T21:00Z
6,Sat Mar 30 2024,20:30,-03/-0300,Copiapó,2-0,1-0,Unión La Calera,,2024-03-30T23:30Z
6,Sat Mar 30 2024,12:00,-03/-0300,Huachipato,0-0,0-0,Universidad Católica,,2024-03-30T15:00Z
6,Sun Mar 31 2024,20:30,-03/-0300,Unión Española,5-3,2-1,Ñublense,,2024-03-31T23:30Z
6,Sun Mar 31 2024,18:00,-03/-0300,Cobreloa,1-3,0-1,Universidad de Chile,,2024-03-31T21:00Z
7,Sat Apr 6 2024,12:30,-03/-0300,Copiapó,3-0,2-0,Deportes Iquique,,2024-04-06T15:30Z
7,Sat Apr 6 2024,15:00,-03/-0300,Ñublense,3-0,1-0,Colo-Colo,,2024-04-06T18:00Z
7,Sat Apr 6 2024,17:30,-03/-0300,Universidad Católica,2-0,2-0,Cobresal,,2024-04-06T20:30Z
7,Sat Apr 6 2024,20:00,-03/-0300,Everton,2-0,0-0,Audax Italiano,,2024-04-06T23:00Z
7,Sun Apr 7 2024,17:30,-04/-0400,Coquimbo Unido,2-1,1-1,Cobreloa,,2024-04-07T21:30Z
7,Sun Apr 7 2024,20:00,-04/-0400,Unión Española,0-1,0-0,Universidad de Chile,,2024-04-08T00:00Z
7,Sun Apr 7 2024,15:00,-04/-0400,Unión La Calera,2-3,0-1,O'Higgins,,2024-04-07T19:00Z
8,Sat Apr 13 2024,17:30,-04/-0400,Unión Española,4-2,1-0,Everton,,2024-04-13T21:30Z
8,Sat Apr 13 2024,20:00,-04/-0400,Deportes Iquique,2-3,1-2,Universidad Católica,,2024-04-14T00:00Z
8,Sun Apr 14 2024,20:00,-04/-0400,Audax Italiano,2-2,1-1,Unión La Calera,,2024-04-15T00:00Z
8,Sun Apr 14 2024,12:30,-04/-0400,Universidad de Chile,1-1,0-0,Coquimbo Unido,,2024-04-14T16:30Z
8,Sun Apr 14 2024,12:30,-04/-0400,O'Higgins,0-0,0-0,Huachipato,,2024-04-14T16:30Z
8,Sun Apr 14 2024,15:00,-04/-0400,Ñublense,0-2,0-1,Palestino,,2024-04-14T19:00Z
8,Mon Apr 15 2024,18:00,-04/-0400,Cobresal,3-0,1-0,Copiapó,,2024-04-15T22:00Z
8,Mon Apr 15 2024,20:30,-04/-0400,Colo-Colo,0-2,0-1,Cobreloa,,2024-04-16T00:30Z
7,Wed Apr 17 2024,15:30,-04/-0400,Palestino,2-0,2-0,Huachipato,,2024-04-17T19:30Z
9,Fri Apr 19 2024,20:30,-04/-0400,Unión La Calera,0-1,0-0,Everton,,2024-04-20T00:30Z
9,Sat Apr 20 2024,15:00,-04/-0400,Cobresal,2-2,1-2,Ñublense,,2024-04-20T19:00Z
9,Sat Apr 20 2024,17:30,-04/-0400,Universidad Católica,0-1,0-1,Colo-Colo,,2024-04-20T21:30Z
9,Sat Apr 20 2024,20:30,-04/-0400,Coquimbo Unido,2-0,2-0,O'Higgins,,2024-04-21T00:30Z
9,Sun Apr 21 2024,15:00,-04/-0400,Palestino,2-2,1-1,Universidad de Chile,,2024-04-21T19:00Z
9,Sun Apr 21 2024,17:30,-04/-0400,Unión Española,5-3,3-1,Copiapó,,2024-04-21T21:30Z
9,Sun Apr 21 2024,20:00,-04/-0400,Cobreloa,0-3,0-2,Audax Italiano,,2024-04-22T00:00Z
9,Sun Apr 21 2024,12:30,-04/-0400,Huachipato,2-1,1-1,Deportes Iquique,,2024-04-21T16:30Z
10,Fri Apr 26 2024,19:00,-04/-0400,O'Higgins,2-2,1-1,Unión Española,,2024-04-26T23:00Z
10,Sat Apr 27 2024,15:00,-04/-0400,Copiapó,0-1,0-0,Universidad Católica,,2024-04-27T19:00Z
10,Sat Apr 27 2024,17:30,-04/-0400,Ñublense,6-0,5-0,Cobreloa,,2024-04-27T21:30Z
10,Sun Apr 28 2024,15:00,-04/-0400,Huachipato,0-4,0-2,Universidad de Chile,,2024-04-28T19:00Z
10,Sun Apr 28 2024,18:10,-04/-0400,Colo-Colo,3-1,1-1,Unión La Calera,,2024-04-28T22:10Z
10,Sun Apr 28 2024,20:30,-04/-0400,Deportes Iquique,2-1,1-0,Palestino,,2024-04-29T00:30Z
10,Sun Apr 28 2024,12:30,-04/-0400,Everton,1-2,0-0,Coquimbo Unido,,2024-04-28T16:30Z
10,Mon Apr 29 2024,20:30,-04/-0400,Audax Italiano,0-1,0-0,Cobresal,,2024-04-30T00:30Z
11,Fri May 3 2024,15:30,-04/-0400,Palestino,3-1,3-1,Copiapó,,2024-05-03T19:30Z
11,Fri May 3 2024,19:00,-04/-0400,Coquimbo Unido,3-1,2-0,Huachipato,,2024-05-03T23:00Z
11,Sat May 4 2024,20:00,-04/-0400,Unión Española,1-2,0-0,Universidad Católica,,2024-05-05T00:00Z
11,Sat May 4 2024,15:00,-04/-0400,Cobresal,2-2,1-2,Colo-Colo,,2024-05-04T19:00Z
