Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
Primera Etapa,1,Fri Mar 1 2024,19:00,-05/-0500,Delfín SC,0-1,0-0,Independiente del Valle,2024-03-02T00:00Z
Primera Etapa,1,Sat Mar 2 2024,15:30,-05/-0500,Aucas,2-0,1-0,Orense SC,2024-03-02T20:30Z
Primera Etapa,1,Sat Mar 2 2024,18:00,-05/-0500,Deportivo Cuenca,1-2,0-0,Emelec,2024-03-02T23:00Z
Primera Etapa,1,Sat Mar 2 2024,13:00,-05/-0500,Mushuc Runa,2-1,0-1,Libertad de Loja,2024-03-02T18:00Z
Primera Etapa,1,Sun Mar 3 2024,13:00,-05/-0500,Universidad Catolica,3-0,1-0,El Nacional,2024-03-03T18:00Z
Primera Etapa,1,Sun Mar 3 2024,15:30,-05/-0500,Técnico Universitario,1-0,1-0,Cumbayá,2024-03-03T20:30Z
Primera Etapa,1,Sun Mar 3 2024,18:00,-05/-0500,Barcelona,2-0,1-0,Imbabura,2024-03-03T23:00Z
Primera Etapa,1,Mon Mar 4 2024,19:00,-05/-0500,LDU Quito,2-1,2-1,Macará,2024-03-05T00:00Z
Primera Etapa,2,Fri Mar 8 2024,19:00,-05/-0500,Emelec,0-0,0-0,Mushuc Runa,2024-03-09T00:00Z
Primera Etapa,2,Sat Mar 9 2024,15:30,-05/-0500,Imbabura,3-0,3-0,Delfín SC,2024-03-09T20:30Z
Primera Etapa,2,Sat Mar 9 2024,18:00,-05/-0500,Independiente del Valle,3-1,3-1,Barcelona,2024-03-09T23:00Z
Primera Etapa,2,Sat Mar 9 2024,13:00,-05/-0500,Macará,1-0,0-0,El Nacional,2024-03-09T18:00Z
Primera Etapa,2,Sun Mar 10 2024,13:00,-05/-0500,Aucas,3-1,2-1,Técnico Universitario,2024-03-10T18:00Z
Primera Etapa,2,Sun Mar 10 2024,15:30,-05/-0500,Orense SC,1-1,0-1,Deportivo Cuenca,2024-03-10T20:30Z
Primera Etapa,2,Sun Mar 10 2024,18:00,-05/-0500,Cumbayá,1-3,0-1,LDU Quito,2024-03-10T23:00Z
Primera Etapa,2,Mon Mar 11 2024,19:00,-05/-0500,Libertad de Loja,0-1,0-1,Universidad Catolica,2024-03-12T00:00Z
