Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Mar 15 2024,19:00,+0300,FK Slaviya Mozyr,2-0,1-0,Dnepr Mogilev,,2024-03-15T16:00Z
1,Fri Mar 15 2024,17:00,+0300,FK Isloch Minsk,1-1,1-0,Dinamo Brest,,2024-03-15T14:00Z
1,Sat Mar 16 2024,15:00,+0300,Neman Grodno,2-1,1-1,Naftan Novopolotsk,,2024-03-16T12:00Z
1,Sat Mar 16 2024,17:00,+0300,Dinamo Minsk,5-0,4-0,FK Smorgon,,2024-03-16T14:00Z
1,Sat Mar 16 2024,13:00,+0300,FK Minsk,0-1,0-0,BATE Borisov,,2024-03-16T10:00Z
1,Sun Mar 17 2024,13:00,+0300,Arsenal Dzerzhinsk,0-1,0-0,Torpedo-BelAZ Zhodino,,2024-03-17T10:00Z
1,Sun Mar 17 2024,15:00,+0300,FK Slutsk,1-1,0-0,FK Gomel,,2024-03-17T12:00Z
1,Sun Mar 17 2024,17:00,+0300,Shakhter Soligorsk,1-0,1-0,FK Vitebsk,,2024-03-17T14:00Z
2,Fri Mar 29 2024,19:00,+0300,Dinamo Brest,4-1,3-0,FK Smorgon,,2024-03-29T16:00Z
2,Fri Mar 29 2024,17:00,+0300,Dnepr Mogilev,0-0,0-0,Arsenal Dzerzhinsk,,2024-03-29T14:00Z
2,Sat Mar 30 2024,16:00,+0300,FK Vitebsk,2-3,2-2,FK Slaviya Mozyr,,2024-03-30T13:00Z
2,Sat Mar 30 2024,18:00,+0300,FK Isloch Minsk,0-0,0-0,Shakhter Soligorsk,,2024-03-30T15:00Z
2,Sat Mar 30 2024,14:00,+0300,Naftan Novopolotsk,0-0,0-0,BATE Borisov,,2024-03-30T11:00Z
2,Sun Mar 31 2024,13:00,+0300,FK Gomel,2-3,1-1,Neman Grodno,,2024-03-31T10:00Z
2,Sun Mar 31 2024,15:00,+0300,Torpedo-BelAZ Zhodino,1-0,0-0,FK Slutsk,,2024-03-31T12:00Z
2,Sun Mar 31 2024,17:00,+0300,FK Minsk,0-0,0-0,Dinamo Minsk,,2024-03-31T14:00Z
3,Fri Apr 5 2024,19:00,+0300,FK Minsk,2-3,1-2,FK Smorgon,,2024-04-05T16:00Z
3,Fri Apr 5 2024,17:00,+0300,Arsenal Dzerzhinsk,1-1,1-1,FK Vitebsk,,2024-04-05T14:00Z
3,Sat Apr 6 2024,16:00,+0300,BATE Borisov,1-3,0-2,FK Gomel,,2024-04-06T13:00Z
3,Sat Apr 6 2024,18:00,+0300,Shakhter Soligorsk,0-4,0-3,Dinamo Brest,,2024-04-06T15:00Z
3,Sat Apr 6 2024,14:00,+0300,FK Slutsk,0-1,0-1,Dnepr Mogilev,,2024-04-06T11:00Z
3,Sun Apr 7 2024,14:00,+0300,FK Slaviya Mozyr,2-1,1-0,FK Isloch Minsk,,2024-04-07T11:00Z
3,Sun Apr 7 2024,16:00,+0300,Neman Grodno,1-0,1-0,Torpedo-BelAZ Zhodino,,2024-04-07T13:00Z
3,Sun Apr 7 2024,18:00,+0300,Dinamo Minsk,2-2,1-2,Naftan Novopolotsk,,2024-04-07T15:00Z
4,Fri Apr 12 2024,17:30,+0300,FK Vitebsk,2-0,0-0,FK Slutsk,,2024-04-12T14:30Z
4,Sat Apr 13 2024,16:00,+0300,FK Gomel,0-1,0-1,Dinamo Minsk,,2024-04-13T13:00Z
4,Sat Apr 13 2024,18:00,+0300,FK Isloch Minsk,0-2,0-1,Arsenal Dzerzhinsk,,2024-04-13T15:00Z
4,Sat Apr 13 2024,20:00,+0300,Torpedo-BelAZ Zhodino,2-0,0-0,BATE Borisov,,2024-04-13T17:00Z
4,Sat Apr 13 2024,14:00,+0300,Dnepr Mogilev,0-2,0-1,Neman Grodno,,2024-04-13T11:00Z
4,Sun Apr 14 2024,14:00,+0300,Naftan Novopolotsk,1-1,0-0,FK Smorgon,,2024-04-14T11:00Z
4,Sun Apr 14 2024,16:00,+0300,Shakhter Soligorsk,1-3,0-2,FK Slaviya Mozyr,,2024-04-14T13:00Z
4,Sun Apr 14 2024,18:00,+0300,Dinamo Brest,3-0,1-0,FK Minsk,,2024-04-14T15:00Z
5,Fri Apr 19 2024,19:30,+0300,BATE Borisov,1-1,0-0,Dnepr Mogilev,,2024-04-19T16:30Z
5,Fri Apr 19 2024,17:00,+0300,FK Smorgon,2-2,1-1,FK Gomel,,2024-04-19T14:00Z
5,Sat Apr 20 2024,16:00,+0300,Arsenal Dzerzhinsk,2-0,2-0,Shakhter Soligorsk,,2024-04-20T13:00Z
5,Sat Apr 20 2024,18:00,+0300,FK Slaviya Mozyr,1-1,1-1,Dinamo Brest,,2024-04-20T15:00Z
5,Sat Apr 20 2024,14:10,+0300,FK Minsk,1-1,1-1,Naftan Novopolotsk,,2024-04-20T11:10Z
5,Sun Apr 21 2024,14:00,+0300,FK Slutsk,1-3,0-2,FK Isloch Minsk,,2024-04-21T11:00Z
5,Sun Apr 21 2024,16:00,+0300,Dinamo Minsk,0-0,0-0,Torpedo-BelAZ Zhodino,,2024-04-21T13:00Z
5,Sun Apr 21 2024,18:00,+0300,Neman Grodno,0-1,0-0,FK Vitebsk,,2024-04-21T15:00Z
6,Fri Apr 26 2024,20:30,+0300,Dinamo Brest,2-2,1-0,Naftan Novopolotsk,,2024-04-26T17:30Z
6,Fri Apr 26 2024,18:30,+0300,FK Vitebsk,1-0,1-0,BATE Borisov,,2024-04-26T15:30Z
6,Sat Apr 27 2024,18:00,+0300,Torpedo-BelAZ Zhodino,2-0,1-0,FK Smorgon,,2024-04-27T15:00Z
6,Sat Apr 27 2024,20:15,+0300,Dnepr Mogilev,0-2,0-0,Dinamo Minsk,,2024-04-27T17:15Z
6,Sat Apr 27 2024,16:00,+0300,FK Isloch Minsk,2-0,1-0,Neman Grodno,,2024-04-27T13:00Z
6,Sun Apr 28 2024,16:00,+0300,FK Gomel,2-0,1-0,FK Minsk,,2024-04-28T13:00Z
6,Sun Apr 28 2024,18:00,+0300,FK Slaviya Mozyr,3-0,1-0,Arsenal Dzerzhinsk,,2024-04-28T15:00Z
6,Sun Apr 28 2024,20:00,+0300,Shakhter Soligorsk,1-2,1-2,FK Slutsk,,2024-04-28T17:00Z
7,Wed May 1 2024,16:00,+0300,FK Smorgon,0-0,0-0,Dnepr Mogilev,,2024-05-01T13:00Z
7,Thu May 2 2024,20:30,+0300,Neman Grodno,1-0,0-0,Shakhter Soligorsk,,2024-05-02T17:30Z
7,Thu May 2 2024,18:15,+0300,Dinamo Minsk,1-1,0-1,FK Vitebsk,,2024-05-02T15:15Z
7,Fri May 3 2024,20:00,+0300,BATE Borisov,1-1,1-0,FK Isloch Minsk,,2024-05-03T17:00Z
7,Fri May 3 2024,18:00,+0300,FK Minsk,1-2,0-0,Torpedo-BelAZ Zhodino,,2024-05-03T15:00Z
7,Sat May 4 2024,14:30,+0300,Naftan Novopolotsk,0-2,0-2,FK Gomel,,2024-05-04T11:30Z
7,Sat May 4 2024,16:30,+0300,FK Slutsk,1-0,0-0,FK Slaviya Mozyr,,2024-05-04T13:30Z
7,Sat May 4 2024,18:30,+0300,Arsenal Dzerzhinsk,0-2,0-0,Dinamo Brest,,2024-05-04T15:30Z
8,Fri May 10 2024,21:00,+0300,Dnepr Mogilev,1-1,0-1,FK Minsk,,2024-05-10T18:00Z
8,Fri May 10 2024,19:00,+0300,FK Vitebsk,0-1,0-0,FK Smorgon,,2024-05-10T16:00Z
8,Sat May 11 2024,17:00,+0300,Arsenal Dzerzhinsk,1-0,1-0,FK Slutsk,,2024-05-11T14:00Z
8,Sat May 11 2024,19:00,+0300,Shakhter Soligorsk,1-3,1-1,BATE Borisov,,2024-05-11T16:00Z
8,Sat May 11 2024,21:00,+0300,Dinamo Brest,1-1,1-0,FK Gomel,,2024-05-11T18:00Z
8,Sun May 12 2024,18:00,+0300,Torpedo-BelAZ Zhodino,2-1,1-1,Naftan Novopolotsk,,2024-05-12T15:00Z
8,Sun May 12 2024,20:00,+0300,FK Slaviya Mozyr,0-1,0-0,Neman Grodno,,2024-05-12T17:00Z
8,Sun May 12 2024,16:00,+0300,FK Isloch Minsk,0-1,0-0,Dinamo Minsk,,2024-05-12T13:00Z
9,Thu May 16 2024,20:45,+0300,Neman Grodno,1-0,0-0,Arsenal Dzerzhinsk,,2024-05-16T17:45Z
9,Thu May 16 2024,18:50,+0300,FK Smorgon,1-1,0-1,FK Isloch Minsk,,2024-05-16T15:50Z
9,Fri May 17 2024,18:55,+0300,FK Slutsk,1-4,0-1,Dinamo Brest,,2024-05-17T15:55Z
9,Fri May 17 2024,20:30,+0300,BATE Borisov,1-0,1-0,FK Slaviya Mozyr,,2024-05-17T17:30Z
9,Sat May 18 2024,18:00,+0300,FK Minsk,1-2,0-0,FK Vitebsk,,2024-05-18T15:00Z
9,Sat May 18 2024,21:00,+0300,FK Gomel,0-0,0-0,Torpedo-BelAZ Zhodino,,2024-05-18T18:00Z
9,Sat May 18 2024,16:00,+0300,Naftan Novopolotsk,2-1,0-0,Dnepr Mogilev,,2024-05-18T13:00Z
9,Sun May 19 2024,20:00,+0300,Dinamo Minsk,3-2,1-1,Shakhter Soligorsk,,2024-05-19T17:00Z
10,Tue May 21 2024,18:45,+0300,FK Slutsk,2-0,1-0,Neman Grodno,,2024-05-21T15:45Z
10,Tue May 21 2024,16:45,+0300,FK Isloch Minsk,3-0,1-0,FK Minsk,,2024-05-21T13:45Z
10,Fri May 24 2024,19:00,+0300,FK Vitebsk,2-0,2-0,Naftan Novopolotsk,,2024-05-24T16:00Z
10,Fri May 24 2024,21:00,+0300,Dinamo Brest,0-1,0-0,Torpedo-BelAZ Zhodino,,2024-05-24T18:00Z
10,Sun May 26 2024,17:00,+0300,Shakhter Soligorsk,2-2,0-0,FK Smorgon,,2024-05-26T14:00Z
10,Sun May 26 2024,19:00,+0300,FK Slaviya Mozyr,1-1,1-1,Dinamo Minsk,,2024-05-26T16:00Z
10,Sun May 26 2024,15:00,+0300,Arsenal Dzerzhinsk,2-0,2-0,BATE Borisov,,2024-05-26T12:00Z
10,Mon May 27 2024,20:00,+0300,Dnepr Mogilev,0-1,0-0,FK Gomel,,2024-05-27T17:00Z
11,Thu May 30 2024,19:00,+0300,FK Minsk,0-0,0-0,Shakhter Soligorsk,,2024-05-30T16:00Z
11,Fri May 31 2024,19:30,+0300,BATE Borisov,6-0,2-0,FK Slutsk,,2024-05-31T16:30Z
11,Fri May 31 2024,17:30,+0300,FK Smorgon,3-3,0-1,FK Slaviya Mozyr,,2024-05-31T14:30Z
11,Sat Jun 1 2024,16:00,+0300,Naftan Novopolotsk,2-1,1-0,FK Isloch Minsk,,2024-06-01T13:00Z
11,Sat Jun 1 2024,18:00,+0300,Arsenal Dzerzhinsk,1-2,1-1,Dinamo Minsk,,2024-06-01T15:00Z
11,Sat Jun 1 2024,20:00,+0300,Neman Grodno,2-0,2-0,Dinamo Brest,,2024-06-01T17:00Z
11,Sun Jun 2 2024,19:00,+0300,FK Gomel,0-0,0-0,FK Vitebsk,,2024-06-02T16:00Z
11,Sun Jun 2 2024,16:00,+0300,Torpedo-BelAZ Zhodino,4-2,1-1,Dnepr Mogilev,,2024-06-02T13:00Z
12,Fri Jun 14 2024,19:45,+0300,FK Vitebsk,0-1,0-0,Torpedo-BelAZ Zhodino,,2024-06-14T16:45Z
12,Fri Jun 14 2024,18:00,+0300,FK Isloch Minsk,1-0,1-0,FK Gomel,,2024-06-14T15:00Z
12,Sat Jun 15 2024,16:00,+0300,FK Slutsk,0-5,0-3,Dinamo Minsk,,2024-06-15T13:00Z
12,Sat Jun 15 2024,18:00,+0300,Dinamo Brest,6-1,2-0,Dnepr Mogilev,,2024-06-15T15:00Z
12,Sat Jun 15 2024,20:00,+0300,Neman Grodno,1-0,0-0,BATE Borisov,,2024-06-15T17:00Z
12,Sun Jun 16 2024,18:00,+0300,Shakhter Soligorsk,0-0,0-0,Naftan Novopolotsk,,2024-06-16T15:00Z
12,Sun Jun 16 2024,20:00,+0300,FK Slaviya Mozyr,1-1,0-0,FK Minsk,,2024-06-16T17:00Z
12,Sun Jun 16 2024,16:00,+0300,Arsenal Dzerzhinsk,2-0,0-0,FK Smorgon,,2024-06-16T13:00Z
13,Fri Jun 21 2024,20:00,+0300,FK Gomel,1-2,0-0,Shakhter Soligorsk,,2024-06-21T17:00Z
13,Fri Jun 21 2024,18:00,+0300,FK Smorgon,4-1,2-1,FK Slutsk,,2024-06-21T15:00Z
13,Sat Jun 22 2024,16:00,+0300,Naftan Novopolotsk,0-1,0-0,FK Slaviya Mozyr,,2024-06-22T13:00Z
13,Sat Jun 22 2024,18:00,+0300,FK Minsk,1-2,0-2,Arsenal Dzerzhinsk,,2024-06-22T15:00Z
13,Sat Jun 22 2024,20:00,+0300,BATE Borisov,3-1,3-0,Dinamo Brest,,2024-06-22T17:00Z
13,Sun Jun 23 2024,18:00,+0300,Torpedo-BelAZ Zhodino,1-0,0-0,FK Isloch Minsk,,2024-06-23T15:00Z
13,Sun Jun 23 2024,20:00,+0300,Dinamo Minsk,2-1,1-0,Neman Grodno,,2024-06-23T17:00Z
13,Sun Jun 23 2024,16:00,+0300,Dnepr Mogilev,1-2,0-1,FK Vitebsk,,2024-06-23T13:00Z
14,Fri Jun 28 2024,20:45,+0300,Dinamo Brest,1-1,0-0,FK Vitebsk,,2024-06-28T17:45Z
14,Fri Jun 28 2024,19:00,+0300,FK Slaviya Mozyr,0-0,0-0,FK Gomel,,2024-06-28T16:00Z
14,Sat Jun 29 2024,16:00,+0300,Shakhter Soligorsk,1-0,0-0,Torpedo-BelAZ Zhodino,,2024-06-29T13:00Z
14,Sat Jun 29 2024,18:00,+0300,Neman Grodno,2-1,1-1,FK Smorgon,,2024-06-29T15:00Z
14,Sat Jun 29 2024,20:00,+0300,BATE Borisov,0-2,0-1,Dinamo Minsk,,2024-06-29T17:00Z
14,Sun Jun 30 2024,18:00,+0300,FK Isloch Minsk,1-1,0-0,Dnepr Mogilev,,2024-06-30T15:00Z
14,Sun Jun 30 2024,20:00,+0300,Arsenal Dzerzhinsk,0-3,0-3,Naftan Novopolotsk,,2024-06-30T17:00Z
14,Sun Jun 30 2024,16:00,+0300,FK Slutsk,1-0,0-0,FK Minsk,,2024-06-30T13:00Z
15,Thu Jul 4 2024,20:00,+0300,Dinamo Minsk,1-0,1-0,Dinamo Brest,,2024-07-04T17:00Z
15,Fri Jul 5 2024,21:00,+0300,Torpedo-BelAZ Zhodino,3-0,3-0,FK Slaviya Mozyr,,2024-07-05T18:00Z
15,Sat Jul 6 2024,17:00,+0300,FK Smorgon,0-0,0-0,BATE Borisov,,2024-07-06T14:00Z
15,Sat Jul 6 2024,19:00,+0300,FK Vitebsk,0-1,0-0,FK Isloch Minsk,,2024-07-06T16:00Z
15,Sat Jul 6 2024,21:00,+0300,FK Gomel,5-0,2-0,Arsenal Dzerzhinsk,,2024-07-06T18:00Z
15,Sun Jul 7 2024,18:00,+0300,Naftan Novopolotsk,1-4,0-1,FK Slutsk,,2024-07-07T15:00Z
15,Sun Jul 7 2024,20:00,+0300,Dnepr Mogilev,2-3,1-1,Shakhter Soligorsk,,2024-07-07T17:00Z
15,Sun Jul 7 2024,16:00,+0300,FK Minsk,0-2,0-1,Neman Grodno,,2024-07-07T13:00Z
16,Fri Aug 2 2024,18:30,+0300,FK Vitebsk,2-1,1-1,Shakhter Soligorsk,,2024-08-02T15:30Z
16,Fri Aug 2 2024,20:30,+0300,BATE Borisov,0-1,0-1,FK Minsk,,2024-08-02T17:30Z
16,Sat Aug 3 2024,20:00,+0300,Dnepr Mogilev,1-2,0-0,FK Slaviya Mozyr,,2024-08-03T17:00Z
