Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
,1,Sat Jan 20 2024,18:00,-0300,Botafogo SP,0-1,0-0,Santos FC,,2024-01-20T21:00Z
,1,Sat Jan 20 2024,20:00,-0300,São Paulo FC,3-1,3-1,Santo André SP,,2024-01-20T23:00Z
,1,Sat Jan 20 2024,20:15,-0300,Ponte Preta,1-1,1-1,Mirassol SP,,2024-01-20T23:15Z
,1,Sat Jan 20 2024,17:15,-0300,Red Bull Bragantino,0-1,0-0,Água Santa SP,,2024-01-20T20:15Z
,1,Sun Jan 21 2024,16:00,-0300,Grêmio Novorizontino SP,1-1,0-0,Palmeiras,,2024-01-21T19:00Z
,1,Sun Jan 21 2024,16:00,-0300,São Bernardo FC SP,2-0,1-0,Ituano SP,,2024-01-21T19:00Z
,1,Sun Jan 21 2024,18:00,-0300,Corinthians SP,1-0,1-0,Guarani SP,,2024-01-21T21:00Z
,1,Sun Jan 21 2024,18:00,-0300,Inter de Limeira SP,2-3,1-1,Portuguesa SP,,2024-01-21T21:00Z
,2,Tue Jan 23 2024,21:30,-0300,Água Santa SP,0-1,0-0,Botafogo SP,,2024-01-24T00:30Z
,2,Tue Jan 23 2024,19:30,-0300,Mirassol SP,1-1,1-1,São Paulo FC,,2024-01-23T22:30Z
,2,Wed Jan 24 2024,19:30,-0300,Ituano SP,1-0,0-0,Corinthians SP,,2024-01-24T22:30Z
,2,Wed Jan 24 2024,19:30,-0300,Portuguesa SP,1-2,0-2,Red Bull Bragantino,,2024-01-24T22:30Z
,2,Wed Jan 24 2024,21:30,-0300,Guarani SP,0-0,0-0,São Bernardo FC SP,,2024-01-25T00:30Z
,2,Wed Jan 24 2024,21:35,-0300,Palmeiras,3-2,2-1,Inter de Limeira SP,,2024-01-25T00:35Z
,2,Thu Jan 25 2024,21:00,-0300,Santo André SP,0-0,0-0,Grêmio Novorizontino SP,,2024-01-26T00:00Z
,2,Thu Jan 25 2024,19:30,-0300,Santos FC,3-1,2-0,Ponte Preta,,2024-01-25T22:30Z
,3,Sat Jan 27 2024,17:15,-0300,Red Bull Bragantino,1-1,1-0,Botafogo SP,,2024-01-27T20:15Z
,3,Sat Jan 27 2024,18:00,-0300,São Paulo FC,1-0,1-0,Portuguesa SP,,2024-01-27T21:00Z
,3,Sat Jan 27 2024,20:00,-0300,Ituano SP,0-3,0-1,Guarani SP,,2024-01-27T23:00Z
,3,Sat Jan 27 2024,20:00,-0300,São Bernardo FC SP,1-0,1-0,Corinthians SP,,2024-01-27T23:00Z
,3,Sun Jan 28 2024,18:00,-0300,Palmeiras,2-1,0-0,Santos FC,,2024-01-28T21:00Z
,3,Sun Jan 28 2024,19:00,-0300,Mirassol SP,1-1,0-0,Grêmio Novorizontino SP,,2024-01-28T22:00Z
,3,Sun Jan 28 2024,19:00,-0300,Santo André SP,0-0,0-0,Água Santa SP,,2024-01-28T22:00Z
,3,Sun Jan 28 2024,16:00,-0300,Ponte Preta,0-0,0-0,Inter de Limeira SP,,2024-01-28T19:00Z
,4,Tue Jan 30 2024,19:30,-0300,Corinthians SP,1-2,0-1,São Paulo FC,,2024-01-30T22:30Z
,4,Wed Jan 31 2024,19:30,-0300,Portuguesa SP,0-2,0-1,Ponte Preta,,2024-01-31T22:30Z
,4,Wed Jan 31 2024,19:30,-0300,Red Bull Bragantino,0-1,0-0,Palmeiras,,2024-01-31T22:30Z
,4,Wed Jan 31 2024,21:35,-0300,Guarani SP,2-3,1-1,Mirassol SP,,2024-02-01T00:35Z
,4,Wed Jan 31 2024,21:35,-0300,Água Santa SP,0-1,0-0,Santos FC,,2024-02-01T00:35Z
,4,Thu Feb 1 2024,19:00,-0300,Inter de Limeira SP,2-0,2-0,São Bernardo FC SP,,2024-02-01T22:00Z
,4,Thu Feb 1 2024,19:00,-0300,Grêmio Novorizontino SP,2-0,0-0,Ituano SP,,2024-02-01T22:00Z
,4,Thu Feb 1 2024,19:00,-0300,Botafogo SP,1-0,1-0,Santo André SP,,2024-02-01T22:00Z
,5,Sat Feb 3 2024,18:00,-0300,Água Santa SP,2-1,0-1,Mirassol SP,,2024-02-03T21:00Z
,5,Sun Feb 4 2024,11:00,-0300,Corinthians SP,1-3,0-1,Grêmio Novorizontino SP,,2024-02-04T14:00Z
,5,Sun Feb 4 2024,11:00,-0300,Santo André SP,1-2,0-0,Red Bull Bragantino,,2024-02-04T14:00Z
,5,Sun Feb 4 2024,18:00,-0300,Ituano SP,0-0,0-0,Botafogo SP,,2024-02-04T21:00Z
,5,Sun Feb 4 2024,18:00,-0300,Santos FC,2-0,0-0,Guarani SP,,2024-02-04T21:00Z
,5,Sun Feb 4 2024,20:00,-0300,Ponte Preta,3-3,2-2,São Bernardo FC SP,,2024-02-04T23:00Z
,6,Wed Feb 7 2024,21:30,-0300,São Bernardo FC SP,1-0,1-0,Portuguesa SP,,2024-02-08T00:30Z
,6,Wed Feb 7 2024,19:00,-0300,Botafogo SP,0-3,0-2,Ponte Preta,,2024-02-07T22:00Z
,6,Wed Feb 7 2024,19:30,-0300,Santos FC,1-0,1-0,Corinthians SP,,2024-02-07T22:30Z
,6,Wed Feb 7 2024,21:00,-0300,Grêmio Novorizontino SP,0-2,0-0,Red Bull Bragantino,,2024-02-08T00:00Z
,6,Wed Feb 7 2024,21:35,-0300,São Paulo FC,3-0,1-0,Água Santa SP,,2024-02-08T00:35Z
,6,Thu Feb 8 2024,21:00,-0300,Palmeiras,2-0,1-0,Ituano SP,,2024-02-09T00:00Z
,6,Thu Feb 8 2024,21:30,-0300,Guarani SP,0-1,0-0,Inter de Limeira SP,,2024-02-09T00:30Z
,6,Thu Feb 8 2024,19:00,-0300,Mirassol SP,4-0,3-0,Santo André SP,,2024-02-08T22:00Z
,7,Sat Feb 10 2024,18:00,-0300,Ponte Preta,2-0,0-0,São Paulo FC,,2024-02-10T21:00Z
,7,Sat Feb 10 2024,20:15,-0300,Red Bull Bragantino,1-1,0-0,São Bernardo FC SP,,2024-02-10T23:15Z
,7,Sun Feb 11 2024,18:00,-0300,Mirassol SP,2-2,1-1,Santos FC,,2024-02-11T21:00Z
,7,Sun Feb 11 2024,18:00,-0300,Água Santa SP,2-0,0-0,Ituano SP,,2024-02-11T21:00Z
,7,Sun Feb 11 2024,16:00,-0300,Corinthians SP,2-0,1-0,Portuguesa SP,,2024-02-11T19:00Z
,7,Sun Feb 11 2024,16:00,-0300,Inter de Limeira SP,2-0,2-0,Botafogo SP,,2024-02-11T19:00Z
,7,Mon Feb 12 2024,19:00,-0300,Santo André SP,1-1,0-0,Palmeiras,,2024-02-12T22:00Z
,7,Mon Feb 12 2024,21:00,-0300,Grêmio Novorizontino SP,2-0,0-0,Guarani SP,,2024-02-13T00:00Z
,8,Wed Feb 14 2024,21:35,-0300,Botafogo SP,1-4,1-1,Corinthians SP,,2024-02-15T00:35Z
,8,Wed Feb 14 2024,19:00,-0300,Ituano SP,1-1,0-0,Mirassol SP,,2024-02-14T22:00Z
,8,Wed Feb 14 2024,19:30,-0300,São Paulo FC,0-1,0-0,Santos FC,,2024-02-14T22:30Z
,8,Wed Feb 14 2024,21:30,-0300,Red Bull Bragantino,1-0,0-0,Ponte Preta,,2024-02-15T00:30Z
,8,Thu Feb 15 2024,21:30,-0300,Portuguesa SP,1-1,1-0,Água Santa SP,,2024-02-16T00:30Z
,8,Thu Feb 15 2024,19:30,-0300,São Bernardo FC SP,0-1,0-0,Palmeiras,,2024-02-15T22:30Z
,8,Thu Feb 15 2024,19:00,-0300,Inter de Limeira SP,3-1,1-1,Grêmio Novorizontino SP,,2024-02-15T22:00Z
,8,Thu Feb 15 2024,19:30,-0300,Guarani SP,2-2,2-0,Santo André SP,,2024-02-15T22:30Z
,9,Sat Feb 17 2024,20:00,-0300,Ponte Preta,1-1,1-0,Ituano SP,,2024-02-17T23:00Z
,9,Sat Feb 17 2024,18:00,-0300,São Paulo FC,2-2,0-1,Red Bull Bragantino,,2024-02-17T21:00Z
,9,Sat Feb 17 2024,18:00,-0300,Mirassol SP,2-1,1-1,Botafogo SP,,2024-02-17T21:00Z
,9,Sun Feb 18 2024,18:00,-0300,Portuguesa SP,1-0,1-0,Guarani SP,,2024-02-18T21:00Z
,9,Sun Feb 18 2024,16:00,-0300,Santos FC,1-2,0-2,Grêmio Novorizontino SP,,2024-02-18T19:00Z
,9,Sun Feb 18 2024,18:00,-0300,Palmeiras,2-2,1-0,Corinthians SP,,2024-02-18T21:00Z
,9,Sun Feb 18 2024,20:00,-0300,Água Santa SP,2-1,0-1,Inter de Limeira SP,,2024-02-18T23:00Z
,9,Mon Feb 19 2024,19:00,-0300,São Bernardo FC SP,1-0,0-0,Santo André SP,,2024-02-19T22:00Z
,10,Sat Feb 24 2024,18:00,-0300,Santo André SP,0-0,0-0,Inter de Limeira SP,,2024-02-24T21:00Z
,10,Sat Feb 24 2024,18:00,-0300,Palmeiras,3-1,1-1,Mirassol SP,,2024-02-24T21:00Z
,10,Sat Feb 24 2024,16:00,-0300,Ituano SP,0-1,0-1,Red Bull Bragantino,,2024-02-24T19:00Z
,10,Sat Feb 24 2024,16:00,-0300,Grêmio Novorizontino SP,1-0,1-0,Água Santa SP,,2024-02-24T19:00Z
,10,Sun Feb 25 2024,18:00,-0300,Botafogo SP,2-1,1-0,Portuguesa SP,,2024-02-25T21:00Z
,10,Sun Feb 25 2024,18:00,-0300,Guarani SP,1-1,1-1,São Paulo FC,,2024-02-25T21:00Z
,10,Sun Feb 25 2024,11:00,-0300,Santos FC,2-1,1-0,São Bernardo FC SP,,2024-02-25T14:00Z
,10,Sun Feb 25 2024,20:00,-0300,Corinthians SP,0-1,0-1,Ponte Preta,,2024-02-25T23:00Z
,5,Wed Feb 28 2024,21:35,-0300,Inter de Limeira SP,0-3,0-1,São Paulo FC,,2024-02-29T00:35Z
,5,Wed Feb 28 2024,19:30,-0300,Portuguesa SP,0-2,0-0,Palmeiras,,2024-02-28T22:30Z
,11,Fri Mar 1 2024,18:30,-0300,Botafogo SP,1-1,1-0,Guarani SP,,2024-03-01T21:30Z
,11,Sat Mar 2 2024,18:00,-0300,Portuguesa SP,1-0,1-0,Mirassol SP,,2024-03-02T21:00Z
,11,Sat Mar 2 2024,20:00,-0300,Inter de Limeira SP,2-0,1-0,Ituano SP,,2024-03-02T23:00Z
,11,Sat Mar 2 2024,16:00,-0300,Corinthians SP,3-2,1-0,Santo André SP,,2024-03-02T19:00Z
,11,Sun Mar 3 2024,16:00,-0300,São Bernardo FC SP,2-0,0-0,Água Santa SP,,2024-03-03T19:00Z
,11,Sun Mar 3 2024,17:00,-0300,Ponte Preta,1-1,0-1,Grêmio Novorizontino SP,,2024-03-03T20:00Z
,11,Sun Mar 3 2024,18:00,-0300,Red Bull Bragantino,1-0,1-0,Santos FC,,2024-03-03T21:00Z
,11,Sun Mar 3 2024,20:00,-0300,São Paulo FC,1-1,1-0,Palmeiras,,2024-03-03T23:00Z
,12,Sat Mar 9 2024,18:00,-0300,Santos FC,3-2,1-2,Inter de Limeira SP,,2024-03-09T21:00Z
,12,Sat Mar 9 2024,18:00,-0300,Palmeiras,1-0,0-0,Botafogo SP,,2024-03-09T21:00Z
