Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
Apertura,1,Fri Feb 2 2024,20:20,-05/-0500,Deportes Quindío,0-3 (*),,Atlético Huila,,awd.,2024-02-03T01:20Z
Apertura,1,Fri Feb 2 2024,16:00,-05/-0500,Bogotá FC,0-2,0-1,Unión Magdalena,,,2024-02-02T21:00Z
Apertura,1,Sat Feb 3 2024,15:30,-05/-0500,Barranquilla FC,2-2,0-0,Tigres FC,,,2024-02-03T20:30Z
Apertura,1,Sat Feb 3 2024,15:30,-05/-0500,Llaneros FC,2-0,1-0,Boca Juniors de Cali,,,2024-02-03T20:30Z
Apertura,1,Sat Feb 3 2024,15:45,-05/-0500,Real Cartagena,2-0,1-0,Internacional de Palmira,,,2024-02-03T20:45Z
Apertura,1,Sat Feb 3 2024,15:30,-05/-0500,Real Santander,0-0,0-0,Leones FC,,,2024-02-03T20:30Z
Apertura,1,Sun Feb 4 2024,15:30,-05/-0500,Atlético FC,0-1,0-0,Cúcuta Deportivo,,,2024-02-04T20:30Z
Apertura,1,Sun Feb 4 2024,15:30,-05/-0500,Orsomarso SC,1-1,0-1,Real Soacha Cundinamarca,,,2024-02-04T20:30Z
Apertura,2,Fri Feb 9 2024,15:30,-05/-0500,Tigres FC,0-0,0-0,Deportes Quindío,,,2024-02-09T20:30Z
Apertura,2,Fri Feb 9 2024,16:00,-05/-0500,Cúcuta Deportivo,2-1,1-1,Barranquilla FC,,,2024-02-09T21:00Z
Apertura,2,Sat Feb 10 2024,15:30,-05/-0500,Real Soacha Cundinamarca,4-2,1-0,Real Santander,,,2024-02-10T20:30Z
Apertura,2,Sat Feb 10 2024,15:30,-05/-0500,Boca Juniors de Cali,1-2,1-0,Bogotá FC,,,2024-02-10T20:30Z
Apertura,2,Sun Feb 11 2024,15:30,-05/-0500,Internacional de Palmira,0-1,0-0,Orsomarso SC,,,2024-02-11T20:30Z
Apertura,2,Mon Feb 12 2024,18:00,-05/-0500,Unión Magdalena,1-1,1-0,Llaneros FC,,,2024-02-12T23:00Z
Apertura,2,Mon Feb 12 2024,18:05,-05/-0500,Atlético Huila,2-0,1-0,Real Cartagena,,,2024-02-12T23:05Z
Apertura,2,Mon Feb 12 2024,16:00,-05/-0500,Leones FC,2-0,2-0,Atlético FC,,,2024-02-12T21:00Z
Apertura,3,Thu Feb 15 2024,15:30,-05/-0500,Real Santander,0-3,0-1,Tigres FC,,,2024-02-15T20:30Z
Apertura,3,Fri Feb 16 2024,15:30,-05/-0500,Orsomarso SC,1-3,0-2,Unión Magdalena,,,2024-02-16T20:30Z
Apertura,3,Fri Feb 16 2024,15:30,-05/-0500,Barranquilla FC,2-2,1-1,Leones FC,,,2024-02-16T20:30Z
Apertura,3,Fri Feb 16 2024,15:00,-05/-0500,Bogotá FC,2-2,1-1,Atlético FC,,,2024-02-16T20:00Z
Apertura,3,Sat Feb 17 2024,15:30,-05/-0500,Boca Juniors de Cali,0-2,0-2,Atlético Huila,,,2024-02-17T20:30Z
Apertura,3,Sat Feb 17 2024,15:30,-05/-0500,Deportes Quindío,3-2,1-1,Real Soacha Cundinamarca,,,2024-02-17T20:30Z
Apertura,3,Sat Feb 17 2024,16:00,-05/-0500,Real Cartagena,1-1,0-0,Cúcuta Deportivo,,,2024-02-17T21:00Z
Apertura,3,Sat Feb 17 2024,15:00,-05/-0500,Llaneros FC,1-2,1-1,Internacional de Palmira,,,2024-02-17T20:00Z
Apertura,4,Tue Feb 20 2024,15:30,-05/-0500,Tigres FC,0-1,0-0,Orsomarso SC,,,2024-02-20T20:30Z
Apertura,4,Tue Feb 20 2024,17:00,-05/-0500,Cúcuta Deportivo,1-0,0-0,Boca Juniors de Cali,,,2024-02-20T22:00Z
Apertura,4,Tue Feb 20 2024,18:00,-05/-0500,Unión Magdalena,1-3,0-1,Barranquilla FC,,,2024-02-20T23:00Z
Apertura,4,Tue Feb 20 2024,19:40,-05/-0500,Atlético Huila,1-0,0-0,Real Soacha Cundinamarca,,,2024-02-21T00:40Z
Apertura,4,Wed Feb 21 2024,16:00,-05/-0500,Internacional de Palmira,2-2,2-1,Leones FC,,,2024-02-21T21:00Z
Apertura,4,Thu Feb 22 2024,18:00,-05/-0500,Deportes Quindío,4-0,2-0,Real Santander,,,2024-02-22T23:00Z
Apertura,4,Fri Feb 23 2024,15:30,-05/-0500,Atlético FC,0-3,0-0,Llaneros FC,,,2024-02-23T20:30Z
Apertura,4,Fri Feb 23 2024,15:30,-05/-0500,Real Cartagena,3-0,1-0,Bogotá FC,,,2024-02-23T20:30Z
Apertura,5,Sat Feb 24 2024,15:30,-05/-0500,Orsomarso SC,0-1,0-1,Cúcuta Deportivo,,,2024-02-24T20:30Z
Apertura,5,Mon Feb 26 2024,15:30,-05/-0500,Leones FC,2-3,2-1,Tigres FC,,,2024-02-26T20:30Z
Apertura,5,Mon Feb 26 2024,16:00,-05/-0500,Boca Juniors de Cali,1-0,1-0,Barranquilla FC,,,2024-02-26T21:00Z
Apertura,5,Mon Feb 26 2024,15:00,-05/-0500,Real Soacha Cundinamarca,2-1,1-1,Internacional de Palmira,,,2024-02-26T20:00Z
Apertura,5,Tue Feb 27 2024,15:30,-05/-0500,Real Santander,1-1,1-1,Atlético FC,,,2024-02-27T20:30Z
