Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri Apr 19 2024,19:00,-03/-0300,Grêmio Novorizontino - SP,2-1,0-1,CR Brasil - AL,,2024-04-19T22:00Z
1,Fri Apr 19 2024,21:00,-03/-0300,Operário Ferroviário - PR,1-0,0-0,Avaí - SC,,2024-04-20T00:00Z
1,Fri Apr 19 2024,19:00,-03/-0300,Botafogo - SP,1-1,0-0,América - MG,,2024-04-19T22:00Z
1,Sat Apr 20 2024,15:30,-03/-0300,Chapecoense,3-1,1-0,Ituano - SP,,2024-04-20T18:30Z
1,Sat Apr 20 2024,16:30,-03/-0300,Santos FC,2-0,0-0,Paysandu - PA,,2024-04-20T19:30Z
1,Sat Apr 20 2024,17:00,-03/-0300,Amazonas FC - AM,2-3,0-1,Sport Recife - PE,,2024-04-20T20:00Z
1,Sat Apr 20 2024,18:00,-03/-0300,Ceará - CE,1-1,1-1,Goiás - GO,,2024-04-20T21:00Z
1,Sun Apr 21 2024,18:00,-03/-0300,Ponte Preta,1-1,1-0,Coritiba - PR,,2024-04-21T21:00Z
1,Mon Apr 22 2024,21:00,-03/-0300,Vila Nova - GO,2-0,1-0,Guarani - SP,,2024-04-23T00:00Z
1,Tue Apr 23 2024,21:00,-03/-0300,Brusque - SC,3-1,1-0,Mirassol - SP,,2024-04-24T00:00Z
2,Fri Apr 26 2024,19:00,-03/-0300,Ituano - SP,0-2,0-1,Operário Ferroviário - PR,,2024-04-26T22:00Z
2,Fri Apr 26 2024,19:00,-03/-0300,Sport Recife - PE,2-0,1-0,Vila Nova - GO,,2024-04-26T22:00Z
2,Fri Apr 26 2024,20:00,-03/-0300,Avaí - SC,0-2,0-0,Santos FC,,2024-04-26T23:00Z
2,Fri Apr 26 2024,21:00,-03/-0300,Guarani - SP,0-1,0-1,Chapecoense,,2024-04-27T00:00Z
2,Sat Apr 27 2024,17:00,-03/-0300,Paysandu - PA,1-1,0-0,Botafogo - SP,,2024-04-27T20:00Z
