Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
Apertura,2,Sat Jan 27 2024,20:20,-05/-0500,Independiente Medellín,1-0,0-0,Deportivo Pereira,,,2024-01-28T01:20Z
Apertura,2,Sat Jan 27 2024,16:00,-05/-0500,Santa Fe,3-1,2-1,Envigado FC,,,2024-01-27T21:00Z
Apertura,2,Sun Jan 28 2024,16:00,-05/-0500,Boyacá Chicó,2-2,2-1,Atlético Junior,,,2024-01-28T21:00Z
Apertura,2,Sun Jan 28 2024,18:10,-05/-0500,América de Cali,4-1,2-0,Atlético Nacional,,,2024-01-28T23:10Z
Apertura,2,Sun Jan 28 2024,20:20,-05/-0500,Atlético Bucaramanga,0-0,0-0,Millonarios,,,2024-01-29T01:20Z
Apertura,3,Tue Jan 30 2024,18:15,-05/-0500,Deportivo Cali,2-0,1-0,Fortaleza FC,,,2024-01-30T23:15Z
Apertura,3,Tue Jan 30 2024,20:30,-05/-0500,La Equidad,1-0,1-0,Santa Fe,,,2024-01-31T01:30Z
Apertura,3,Tue Jan 30 2024,16:00,-05/-0500,Patriotas FC,0-0,0-0,Águilas Doradas,,,2024-01-30T21:00Z
Apertura,3,Wed Jan 31 2024,16:00,-05/-0500,Deportivo Pereira,0-1,0-0,Deportivo Pasto,,,2024-01-31T21:00Z
Apertura,3,Wed Jan 31 2024,18:10,-05/-0500,Millonarios,1-1,0-1,Alianza FC,,,2024-01-31T23:10Z
Apertura,3,Wed Jan 31 2024,20:20,-05/-0500,Deportes Tolima,2-1,1-0,América de Cali,,,2024-02-01T01:20Z
Apertura,3,Thu Feb 1 2024,18:10,-05/-0500,Atlético Nacional,1-1,1-1,Once Caldas,,,2024-02-01T23:10Z
Apertura,3,Thu Feb 1 2024,20:20,-05/-0500,Atlético Junior,3-0,1-0,Independiente Medellín,,,2024-02-02T01:20Z
Apertura,3,Thu Feb 1 2024,16:00,-05/-0500,Envigado FC,2-0,0-0,Boyacá Chicó,,,2024-02-01T21:00Z
Apertura,3,Fri Feb 2 2024,18:10,-05/-0500,Jaguares de Córdoba,0-1,0-1,Atlético Bucaramanga,,,2024-02-02T23:10Z
Apertura,4,Sat Feb 3 2024,18:00,-05/-0500,Deportes Tolima,2-0,2-0,Millonarios,,,2024-02-03T23:00Z
Apertura,4,Sat Feb 3 2024,20:10,-05/-0500,América de Cali,1-0,0-0,Patriotas FC,,,2024-02-04T01:10Z
Apertura,4,Sun Feb 4 2024,18:10,-05/-0500,Águilas Doradas,0-3,0-2,Atlético Nacional,,,2024-02-04T23:10Z
Apertura,4,Sun Feb 4 2024,20:20,-05/-0500,Alianza FC,0-1,0-0,Atlético Junior,,,2024-02-05T01:20Z
Apertura,4,Sun Feb 4 2024,16:00,-05/-0500,Fortaleza FC,1-1,1-1,Envigado FC,,,2024-02-04T21:00Z
Apertura,4,Mon Feb 5 2024,16:00,-05/-0500,Boyacá Chicó,1-2,0-1,Deportivo Pereira,,,2024-02-05T21:00Z
Apertura,4,Mon Feb 5 2024,18:10,-05/-0500,Deportivo Pasto,1-1,0-0,Jaguares de Córdoba,,,2024-02-05T23:10Z
Apertura,4,Mon Feb 5 2024,20:20,-05/-0500,Independiente Medellín,1-0,1-0,Deportivo Cali,,,2024-02-06T01:20Z
Apertura,4,Tue Feb 6 2024,20:20,-05/-0500,Santa Fe,0-1,0-0,Atlético Bucaramanga,,,2024-02-07T01:20Z
Apertura,4,Tue Feb 6 2024,18:10,-05/-0500,Once Caldas,0-0,0-0,La Equidad,,,2024-02-06T23:10Z
Apertura,5,Wed Feb 7 2024,20:00,-05/-0500,Millonarios,1-0,0-0,América de Cali,,,2024-02-08T01:00Z
Apertura,5,Wed Feb 7 2024,16:00,-05/-0500,Envigado FC,1-2,0-0,Alianza FC,,,2024-02-07T21:00Z
Apertura,5,Thu Feb 8 2024,16:00,-05/-0500,Deportivo Pereira,2-0,1-0,Fortaleza FC,,,2024-02-08T21:00Z
Apertura,5,Thu Feb 8 2024,18:10,-05/-0500,Atlético Junior,2-0,1-0,Deportivo Pasto,,,2024-02-08T23:10Z
Apertura,5,Thu Feb 8 2024,20:20,-05/-0500,Patriotas FC,0-0,0-0,Atlético Nacional,,,2024-02-09T01:20Z
Apertura,5,Fri Feb 9 2024,20:20,-05/-0500,Deportivo Cali,4-0,3-0,Boyacá Chicó,,,2024-02-10T01:20Z
Apertura,5,Fri Feb 9 2024,18:10,-05/-0500,Jaguares de Córdoba,1-0,0-0,Águilas Doradas,,,2024-02-09T23:10Z
Apertura,5,Sat Feb 10 2024,16:00,-05/-0500,La Equidad,1-1,1-1,Deportes Tolima,,,2024-02-10T21:00Z
Apertura,5,Sat Feb 10 2024,18:10,-05/-0500,Atlético Bucaramanga,1-1,0-0,Once Caldas,,,2024-02-10T23:10Z
Apertura,5,Sat Feb 10 2024,20:20,-05/-0500,Independiente Medellín,1-1,0-0,Santa Fe,,,2024-02-11T01:20Z
Apertura,6,Sun Feb 11 2024,18:10,-05/-0500,Atlético Nacional,0-1,0-1,Millonarios,,,2024-02-11T23:10Z
Apertura,6,Sun Feb 11 2024,20:20,-05/-0500,Alianza FC,1-2,0-1,Deportivo Pereira,,,2024-02-12T01:20Z
Apertura,6,Sun Feb 11 2024,16:00,-05/-0500,Fortaleza FC,2-0,1-0,Atlético Junior,,,2024-02-11T21:00Z
Apertura,6,Mon Feb 12 2024,20:10,-05/-0500,Deportivo Pasto,0-1,0-1,Envigado FC,,,2024-02-13T01:10Z
