Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 3,Tue Apr 16 2024,19:00,EDT/-0400,Louisville City FC,3-1,1-0,Greenville Triumph SC,,,2024-04-16T23:00Z
Round 3,Tue Apr 16 2024,19:00,EDT/-0400,Detroit City FC,1-0,0-0,Michigan Stars FC,,,2024-04-16T23:00Z
Round 3,Tue Apr 16 2024,21:00,EDT/-0400,New Mexico United,3-1,0-0,Lubbock Matadors,,,2024-04-17T01:00Z
Round 3,Tue Apr 16 2024,22:30,EDT/-0400,Oakland Roots,1-1,1-1,El Farolito SC,2-1,,2024-04-17T02:30Z
Round 3,Tue Apr 16 2024,19:00,EDT/-0400,Charlotte Independence,3-3,2-2,Rhode Island FC,4-4,5-4,2024-04-16T23:00Z
Round 3,Wed Apr 17 2024,19:00,EDT/-0400,Hartford Athletic,1-1,0-0,New York City FC 2,2-3,,2024-04-17T23:00Z
Round 3,Wed Apr 17 2024,19:00,EDT/-0400,Richmond Kickers,0-0,0-0,Loudoun United,0-0,4-5,2024-04-17T23:00Z
Round 3,Wed Apr 17 2024,19:00,EDT/-0400,North Carolina FC,1-0,0-0,Carolina Core FC,,,2024-04-17T23:00Z
Round 3,Wed Apr 17 2024,19:30,EDT/-0400,Miami FC,2-4,2-1,Tormenta FC,,,2024-04-17T23:30Z
Round 3,Wed Apr 17 2024,19:30,EDT/-0400,Memphis 901,2-0,1-0,Miami United,,,2024-04-17T23:30Z
Round 3,Wed Apr 17 2024,20:00,EDT/-0400,Birmingham Legion,2-2,0-1,Chattanooga Red Wolves,4-2,,2024-04-18T00:00Z
Round 3,Wed Apr 17 2024,20:00,EDT/-0400,Chicago Fire 2,0-1,0-1,Indy Eleven,,,2024-04-18T00:00Z
Round 3,Wed Apr 17 2024,20:00,EDT/-0400,FC Tulsa,2-1,2-0,Northern Colorado Hailstorm,,,2024-04-18T00:00Z
Round 3,Wed Apr 17 2024,20:00,EDT/-0400,Union Omaha,0-0,0-0,El Paso Locomotive,0-0,5-3,2024-04-18T00:00Z
Round 3,Wed Apr 17 2024,22:30,EDT/-0400,Las Vegas Lights FC,1-1,0-0,Spokane Velocity,2-1,,2024-04-18T02:30Z
Round 3,Wed Apr 17 2024,22:30,EDT/-0400,Monterey Bay FC,2-1,1-0,Irvine Zeta FC,,,2024-04-18T02:30Z
Round 4,Tue May 7 2024,19:30,EDT/-0400,Atlanta United FC,3-0,0-0,Charlotte Independence,,,2024-05-07T23:30Z
Round 4,Tue May 7 2024,20:00,EDT/-0400,Houston Dynamo,3-3,2-1,Detroit City FC,3-3,9-10,2024-05-08T00:00Z
Round 4,Tue May 7 2024,20:30,EDT/-0400,FC Dallas,1-0,0-0,Memphis 901,,,2024-05-08T00:30Z
Round 4,Tue May 7 2024,22:00,EDT/-0400,San Jose Earthquakes,1-0,0-0,Oakland Roots,,,2024-05-08T02:00Z
Round 4,Tue May 7 2024,22:00,EDT/-0400,Orange County SC,1-2,0-1,Loudoun United,,,2024-05-08T02:00Z
Round 4,Tue May 7 2024,22:30,EDT/-0400,Sacramento Republic,2-0,2-0,Monterey Bay FC,,,2024-05-08T02:30Z
Round 4,Tue May 7 2024,19:00,EDT/-0400,Pittsburgh Riverhounds,0-1,0-0,FC Tulsa,,,2024-05-07T23:00Z
Round 4,Wed May 8 2024,19:00,EDT/-0400,Charleston Battery,2-2,2-1,Tormenta FC,3-2,,2024-05-08T23:00Z
Round 4,Wed May 8 2024,19:00,EDT/-0400,North Carolina FC,1-1,0-1,Phoenix Rising,1-2,,2024-05-08T23:00Z
Round 4,Wed May 8 2024,19:00,EDT/-0400,Indy Eleven,2-0,2-0,San Antonio FC,,,2024-05-08T23:00Z
Round 4,Wed May 8 2024,19:30,EDT/-0400,Tampa Bay Rowdies,4-4,3-0,Birmingham Legion,6-4,,2024-05-08T23:30Z
Round 4,Wed May 8 2024,19:30,EDT/-0400,New York City FC 2,1-0,1-0,Colorado Springs Switchbacks,,,2024-05-08T23:30Z
Round 4,Wed May 8 2024,20:00,EDT/-0400,Union Omaha,1-1,1-0,Sporting Kansas City,1-2,,2024-05-09T00:00Z
Round 4,Wed May 8 2024,21:00,EDT/-0400,New Mexico United,4-2,3-1,Real Salt Lake,,,2024-05-09T01:00Z
Round 4,Wed May 8 2024,22:30,EDT/-0400,Seattle Sounders,2-2,1-0,Louisville City FC,2-2,5-4,2024-05-09T02:30Z
Round 4,Wed May 8 2024,22:30,EDT/-0400,Las Vegas Lights FC,1-3,0-0,Los Angeles FC,,,2024-05-09T02:30Z
Round of 16,Tue May 21 2024,20:05,EDT/-0400,New York City FC 2,0-3,0-0,New Mexico United,,,2024-05-22T00:05Z
Round of 16,Tue May 21 2024,20:30,EDT/-0400,Sporting Kansas City,4-0,2-0,FC Tulsa,,,2024-05-22T00:30Z
Round of 16,Tue May 21 2024,22:00,EDT/-0400,Sacramento Republic,2-2,2-1,San Jose Earthquakes,4-3,,2024-05-22T02:00Z
Round of 16,Tue May 21 2024,22:30,EDT/-0400,Los Angeles FC,3-0,1-0,Loudoun United,,,2024-05-22T02:30Z
Round of 16,Tue May 21 2024,19:00,EDT/-0400,Charleston Battery,0-0,0-0,Atlanta United FC,0-0,4-5,2024-05-21T23:00Z
Round of 16,Wed May 22 2024,19:00,EDT/-0400,Indy Eleven,3-0,3-0,Detroit City FC,,,2024-05-22T23:00Z
Round of 16,Wed May 22 2024,19:30,EDT/-0400,Tampa Bay Rowdies,1-2,0-2,FC Dallas,,,2024-05-22T23:30Z
Round of 16,Wed May 22 2024,22:30,EDT/-0400,Seattle Sounders,2-1,0-1,Phoenix Rising,,,2024-05-23T02:30Z
Quarterfinals,Tue Jul 9 2024,23:00,EDT/-0400,Sacramento Republic,1-2,0-2,Seattle Sounders,,,2024-07-10T03:00Z
Quarterfinals,Tue Jul 9 2024,19:00,EDT/-0400,Atlanta United FC,1-2,0-1,Indy Eleven,,,2024-07-09T23:00Z
Quarterfinals,Wed Jul 10 2024,23:00,EDT/-0400,Los Angeles FC,3-1,2-0,New Mexico United,,,2024-07-11T03:00Z
Quarterfinals,Wed Jul 10 2024,21:00,EDT/-0400,Sporting Kansas City,1-1,0-0,FC Dallas,2-1,,2024-07-11T01:00Z
Semifinals,Tue Aug 27 2024,20:00,EDT/-0400,Sporting Kansas City,2-0,2-0,Indy Eleven,,,2024-08-28T00:00Z
Semifinals,Wed Aug 28 2024,22:30,EDT/-0400,Seattle Sounders,0-1,0-0,Los Angeles FC,,,2024-08-29T02:30Z
Final,Wed Sep 25 2024,22:30,EDT/-0400,Los Angeles FC,,,Sporting Kansas City,,,2024-09-26T02:30Z
