Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sun Mar 31 2024,18:00,CEST/+0200,Odds BK,1-2,0-1,FK Haugesund,2024-03-31T16:00Z
1,Mon Apr 1 2024,14:30,CEST/+0200,Fredrikstad FK,0-2,0-0,FK Bodø/Glimt,2024-04-01T12:30Z
1,Mon Apr 1 2024,17:00,CEST/+0200,Lillestrøm SK,2-3,0-1,Kristiansund BK,2024-04-01T15:00Z
1,Mon Apr 1 2024,17:00,CEST/+0200,Molde FK,4-0,1-0,Strømsgodset IF,2024-04-01T15:00Z
1,Mon Apr 1 2024,17:00,CEST/+0200,Rosenborg BK,2-0,0-0,Sandefjord Fotball,2024-04-01T15:00Z
1,Mon Apr 1 2024,17:00,CEST/+0200,Tromsø IL,2-4,0-2,SK Brann,2024-04-01T15:00Z
1,Mon Apr 1 2024,19:15,CEST/+0200,Viking FK,1-0,1-0,Sarpsborg 08,2024-04-01T17:15Z
1,Tue Apr 2 2024,19:00,CEST/+0200,KFUM Oslo,1-1,0-1,Hamarkameratene,2024-04-02T17:00Z
2,Sat Apr 6 2024,18:00,CEST/+0200,FK Bodø/Glimt,1-0,0-0,Viking FK,2024-04-06T16:00Z
2,Sun Apr 7 2024,14:30,CEST/+0200,Kristiansund BK,1-1,1-1,KFUM Oslo,2024-04-07T12:30Z
2,Sun Apr 7 2024,17:00,CEST/+0200,FK Haugesund,0-2,0-2,Lillestrøm SK,2024-04-07T15:00Z
2,Sun Apr 7 2024,17:00,CEST/+0200,Hamarkameratene,0-1,0-1,Molde FK,2024-04-07T15:00Z
2,Sun Apr 7 2024,17:00,CEST/+0200,Sarpsborg 08,0-1,0-1,Odds BK,2024-04-07T15:00Z
2,Sun Apr 7 2024,17:00,CEST/+0200,Strømsgodset IF,1-0,0-0,Rosenborg BK,2024-04-07T15:00Z
2,Sun Apr 7 2024,19:15,CEST/+0200,SK Brann,0-2,0-1,Fredrikstad FK,2024-04-07T17:15Z
3,Sat Apr 13 2024,18:00,CEST/+0200,Fredrikstad FK,2-2,0-1,Sarpsborg 08,2024-04-13T16:00Z
3,Sun Apr 14 2024,14:30,CEST/+0200,Viking FK,1-1,1-0,SK Brann,2024-04-14T12:30Z
3,Sun Apr 14 2024,17:00,CEST/+0200,Molde FK,2-0,1-0,Kristiansund BK,2024-04-14T15:00Z
3,Sun Apr 14 2024,19:15,CEST/+0200,Lillestrøm SK,0-5,0-1,FK Bodø/Glimt,2024-04-14T17:15Z
3,Sun Apr 14 2024,17:00,CEST/+0200,Rosenborg BK,1-0,1-0,Hamarkameratene,2024-04-14T15:00Z
3,Sun Apr 14 2024,17:00,CEST/+0200,Tromsø IL,0-1,0-1,FK Haugesund,2024-04-14T15:00Z
3,Sun Apr 14 2024,17:00,CEST/+0200,Odds BK,2-2,1-1,Sandefjord Fotball,2024-04-14T15:00Z
3,Tue Apr 16 2024,19:00,CEST/+0200,KFUM Oslo,1-3,0-2,Strømsgodset IF,2024-04-16T17:00Z
17,Wed Apr 17 2024,18:00,CEST/+0200,Molde FK,1-2,1-1,Odds BK,2024-04-17T16:00Z
16,Wed Apr 17 2024,18:00,CEST/+0200,SK Brann,1-0,0-0,Hamarkameratene,2024-04-17T16:00Z
4,Sun Apr 21 2024,17:00,CEST/+0200,SK Brann,2-0,1-0,Odds BK,2024-04-21T15:00Z
4,Sun Apr 21 2024,17:00,CEST/+0200,FK Haugesund,1-3,0-2,Rosenborg BK,2024-04-21T15:00Z
4,Sun Apr 21 2024,17:00,CEST/+0200,Kristiansund BK,1-0,1-0,Tromsø IL,2024-04-21T15:00Z
4,Sun Apr 21 2024,17:00,CEST/+0200,Sandefjord Fotball,0-1,0-0,Lillestrøm SK,2024-04-21T15:00Z
4,Sun Apr 21 2024,17:00,CEST/+0200,Sarpsborg 08,0-2,0-2,KFUM Oslo,2024-04-21T15:00Z
4,Sun Apr 21 2024,17:00,CEST/+0200,Viking FK,1-1,1-1,Fredrikstad FK,2024-04-21T15:00Z
4,Sun Apr 21 2024,19:15,CEST/+0200,FK Bodø/Glimt,1-1,1-0,Molde FK,2024-04-21T17:15Z
4,Sun Apr 21 2024,14:30,CEST/+0200,Hamarkameratene,0-1,0-1,Strømsgodset IF,2024-04-21T12:30Z
5,Sat Apr 27 2024,18:00,CEST/+0200,Rosenborg BK,1-3,0-2,FK Bodø/Glimt,2024-04-27T16:00Z
5,Sun Apr 28 2024,17:00,CEST/+0200,KFUM Oslo,0-0,0-0,SK Brann,2024-04-28T15:00Z
5,Sun Apr 28 2024,17:00,CEST/+0200,Lillestrøm SK,1-1,1-0,Hamarkameratene,2024-04-28T15:00Z
5,Sun Apr 28 2024,17:00,CEST/+0200,Molde FK,2-1,2-0,FK Haugesund,2024-04-28T15:00Z
5,Sun Apr 28 2024,17:00,CEST/+0200,Strømsgodset IF,2-2,0-2,Kristiansund BK,2024-04-28T15:00Z
5,Sun Apr 28 2024,17:00,CEST/+0200,Tromsø IL,0-3,0-2,Sarpsborg 08,2024-04-28T15:00Z
5,Sun Apr 28 2024,19:15,CEST/+0200,Odds BK,3-3,2-1,Viking FK,2024-04-28T17:15Z
5,Sun Apr 28 2024,17:00,CEST/+0200,Fredrikstad FK,1-0,1-0,Sandefjord Fotball,2024-04-28T15:00Z
6,Sat May 4 2024,18:00,CEST/+0200,SK Brann,3-0,1-0,Rosenborg BK,2024-05-04T16:00Z
6,Sun May 5 2024,17:00,CEST/+0200,FK Haugesund,0-1,0-1,KFUM Oslo,2024-05-05T15:00Z
6,Sun May 5 2024,17:00,CEST/+0200,FK Bodø/Glimt,1-0,0-0,Strømsgodset IF,2024-05-05T15:00Z
6,Sun May 5 2024,17:00,CEST/+0200,Odds BK,0-2,0-0,Fredrikstad FK,2024-05-05T15:00Z
