Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
,1,Wed Jan 24 2024,19:00,-0300,Tombense MG,2-2,1-1,Uberlândia MG,,2024-01-24T22:00Z
,1,Wed Jan 24 2024,20:00,-0300,Athletic MG,2-1,0-0,Ipatinga MG,,2024-01-24T23:00Z
,1,Wed Jan 24 2024,20:30,-0300,Democrata Gov. Valadares MG,1-3,1-0,Itabirito MG,,2024-01-24T23:30Z
,1,Wed Jan 24 2024,21:30,-0300,Atlético Patrocinense MG,2-1,1-1,Atlético Mineiro,,2024-01-25T00:30Z
,1,Wed Jan 24 2024,19:00,-0300,Villa Nova MG,1-2,1-1,Cruzeiro,,2024-01-24T22:00Z
,1,Thu Jan 25 2024,19:00,-0300,América MG,6-0,4-0,Pouso Alegre MG,,2024-01-25T22:00Z
,2,Sat Jan 27 2024,16:30,-0300,Cruzeiro,1-1,0-0,Athletic MG,,2024-01-27T19:30Z
,2,Sun Jan 28 2024,16:00,-0300,Atlético Mineiro,4-0,3-0,Democrata Gov. Valadares MG,,2024-01-28T19:00Z
,2,Sun Jan 28 2024,17:00,-0300,Pouso Alegre MG,1-2,0-0,Tombense MG,,2024-01-28T20:00Z
,2,Sun Jan 28 2024,20:00,-0300,Ipatinga MG,1-6,1-2,América MG,,2024-01-28T23:00Z
,2,Sun Jan 28 2024,11:00,-0300,Itabirito MG,0-2,0-0,Villa Nova MG,,2024-01-28T14:00Z
,2,Mon Jan 29 2024,20:00,-0300,Uberlândia MG,1-1,0-1,Atlético Patrocinense MG,,2024-01-29T23:00Z
,3,Sat Feb 3 2024,15:30,-0300,Ipatinga MG,1-0,1-0,Pouso Alegre MG,,2024-02-03T18:30Z
,3,Sat Feb 3 2024,16:30,-0300,Itabirito MG,0-0,0-0,América MG,,2024-02-03T19:30Z
,3,Sat Feb 3 2024,17:00,-0300,Uberlândia MG,0-1,0-0,Democrata Gov. Valadares MG,,2024-02-03T20:00Z
,3,Sat Feb 3 2024,19:00,-0300,Tombense MG,1-0,0-0,Athletic MG,,2024-02-03T22:00Z
,3,Sat Feb 3 2024,19:30,-0300,Atlético Mineiro,0-2,0-0,Cruzeiro,,2024-02-03T22:30Z
