Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Fri May 10 2024,21:15,-03/-0300,Argentinos Juniors,3-2,2-2,Rosario Central,,2024-05-11T00:15Z
1,Fri May 10 2024,21:15,-03/-0300,Newell's Old Boys,2-0,0-0,Platense,,2024-05-11T00:15Z
1,Fri May 10 2024,19:00,-03/-0300,Sarmiento de Junín,1-2,0-1,Instituto de Córdoba,,2024-05-10T22:00Z
1,Sat May 11 2024,15:30,-03/-0300,Godoy Cruz,0-1,0-0,Barracas Central,,2024-05-11T18:30Z
1,Sat May 11 2024,17:30,-03/-0300,Independiente,1-3,1-1,Talleres de Córdoba,,2024-05-11T20:30Z
1,Sat May 11 2024,19:45,-03/-0300,River Plate,3-0,2-0,Central Córdoba SdE,,2024-05-11T22:45Z
1,Sat May 11 2024,14:30,-03/-0300,Huracán,3-1,1-0,Defensa y Justicia,,2024-05-11T17:30Z
1,Sun May 12 2024,15:30,-03/-0300,Tigre,0-1,0-1,Estudiantes,,2024-05-12T18:30Z
1,Sun May 12 2024,15:30,-03/-0300,Deportivo Riestra,1-0,1-0,San Lorenzo,,2024-05-12T18:30Z
1,Sun May 12 2024,17:45,-03/-0300,Belgrano de Córdoba,4-4,1-3,Racing Club,,2024-05-12T20:45Z
1,Sun May 12 2024,17:45,-03/-0300,Lanús,0-2,0-1,Independiente Rivadavia,,2024-05-12T20:45Z
1,Sun May 12 2024,20:15,-03/-0300,Atlético Tucumán,1-0,1-0,Boca Juniors,,2024-05-12T23:15Z
1,Mon May 13 2024,21:00,-03/-0300,Unión de Santa Fe,1-0,0-0,Banfield,,2024-05-14T00:00Z
1,Mon May 13 2024,19:00,-03/-0300,Gimnasia de La Plata,3-1,1-0,Vélez Sarsfield,,2024-05-13T22:00Z
2,Sat May 18 2024,18:00,-03/-0300,River Plate,3-0,1-0,Belgrano de Córdoba,,2024-05-18T21:00Z
2,Sat May 18 2024,20:00,-03/-0300,Defensa y Justicia,1-1,0-1,Gimnasia de La Plata,,2024-05-18T23:00Z
2,Sat May 18 2024,20:30,-03/-0300,Instituto de Córdoba,1-1,1-1,Unión de Santa Fe,,2024-05-18T23:30Z
2,Sat May 18 2024,15:30,-03/-0300,Independiente Rivadavia,0-0,0-0,Godoy Cruz,,2024-05-18T18:30Z
