Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Mar 1 2024,19:35,CST/+0800,Qingdao West Coast,1-1,0-1,Henan FC,2024-03-01T11:35Z
1,Fri Mar 1 2024,20:00,CST/+0800,Shanghai Port FC,3-1,1-1,Wuhan Three Towns,2024-03-01T12:00Z
1,Fri Mar 1 2024,18:00,CST/+0800,Shandong Taishan,4-2,3-0,Changchun Yatai,2024-03-01T10:00Z
1,Sat Mar 2 2024,15:30,CST/+0800,Cangzhou Mighty Lions,0-2,0-1,Beijing Guoan,2024-03-02T07:30Z
1,Sat Mar 2 2024,15:30,CST/+0800,Tianjin Jinmen Tiger,1-1,0-0,Nantong Zhiyun,2024-03-02T07:30Z
1,Sat Mar 2 2024,19:35,CST/+0800,Chengdu Rongcheng,2-0,1-0,Qingdao Hainiu,2024-03-02T11:35Z
1,Sun Mar 3 2024,20:00,CST/+0800,Meizhou Hakka,0-2,0-0,Shanghai Shenhua,2024-03-03T12:00Z
1,Sun Mar 3 2024,19:35,CST/+0800,Zhejiang Professional,1-0,1-0,Shenzhen Peng City,2024-03-03T11:35Z
2,Fri Mar 8 2024,20:00,CST/+0800,Shanghai Shenhua,2-0,2-0,Qingdao West Coast,2024-03-08T12:00Z
2,Fri Mar 8 2024,19:35,CST/+0800,Qingdao Hainiu,0-1,0-0,Changchun Yatai,2024-03-08T11:35Z
2,Sat Mar 9 2024,15:30,CST/+0800,Henan FC,2-2,1-1,Meizhou Hakka,2024-03-09T07:30Z
2,Sat Mar 9 2024,19:35,CST/+0800,Shandong Taishan,0-0,0-0,Beijing Guoan,2024-03-09T11:35Z
2,Sat Mar 9 2024,19:35,CST/+0800,Zhejiang Professional,0-0,0-0,Shanghai Port FC,2024-03-09T11:35Z
2,Sat Mar 9 2024,20:00,CST/+0800,Nantong Zhiyun,1-3,0-1,Wuhan Three Towns,2024-03-09T12:00Z
2,Sun Mar 10 2024,20:00,CST/+0800,Shenzhen Peng City,0-4,0-1,Tianjin Jinmen Tiger,2024-03-10T12:00Z
2,Sun Mar 10 2024,15:30,CST/+0800,Cangzhou Mighty Lions,1-0,0-0,Chengdu Rongcheng,2024-03-10T07:30Z
3,Fri Mar 29 2024,19:35,CST/+0800,Shenzhen Peng City,2-2,2-1,Cangzhou Mighty Lions,2024-03-29T11:35Z
3,Sat Mar 30 2024,15:30,CST/+0800,Wuhan Three Towns,0-1,0-0,Beijing Guoan,2024-03-30T07:30Z
3,Sat Mar 30 2024,19:00,CST/+0800,Chengdu Rongcheng,1-0,1-0,Nantong Zhiyun,2024-03-30T11:00Z
3,Sat Mar 30 2024,19:35,CST/+0800,Qingdao West Coast,1-0,1-0,Qingdao Hainiu,2024-03-30T11:35Z
3,Sat Mar 30 2024,20:00,CST/+0800,Shanghai Port FC,3-1,0-0,Henan FC,2024-03-30T12:00Z
3,Sun Mar 31 2024,19:35,CST/+0800,Shandong Taishan,0-3,0-2,Shanghai Shenhua,2024-03-31T11:35Z
3,Sun Mar 31 2024,20:00,CST/+0800,Meizhou Hakka,1-2,0-0,Zhejiang Professional,2024-03-31T12:00Z
3,Sun Mar 31 2024,15:30,CST/+0800,Changchun Yatai,0-1,0-1,Tianjin Jinmen Tiger,2024-03-31T07:30Z
4,Thu Apr 4 2024,19:35,CST/+0800,Wuhan Three Towns,2-3,0-1,Cangzhou Mighty Lions,2024-04-04T11:35Z
4,Fri Apr 5 2024,15:30,CST/+0800,Changchun Yatai,1-2,1-1,Shanghai Shenhua,2024-04-05T07:30Z
4,Fri Apr 5 2024,19:00,CST/+0800,Henan FC,0-2,0-0,Shenzhen Peng City,2024-04-05T11:00Z
4,Fri Apr 5 2024,19:35,CST/+0800,Beijing Guoan,2-2,1-1,Shanghai Port FC,2024-04-05T11:35Z
4,Fri Apr 5 2024,19:35,CST/+0800,Qingdao Hainiu,0-1,0-0,Shandong Taishan,2024-04-05T11:35Z
4,Fri Apr 5 2024,20:00,CST/+0800,Nantong Zhiyun,1-0,0-0,Meizhou Hakka,2024-04-05T12:00Z
4,Sat Apr 6 2024,19:35,CST/+0800,Zhejiang Professional,1-2,0-1,Qingdao West Coast,2024-04-06T11:35Z
4,Sat Apr 6 2024,15:30,CST/+0800,Tianjin Jinmen Tiger,2-3,0-1,Chengdu Rongcheng,2024-04-06T07:30Z
5,Tue Apr 9 2024,19:35,CST/+0800,Beijing Guoan,1-2,0-1,Shenzhen Peng City,2024-04-09T11:35Z
5,Tue Apr 9 2024,19:35,CST/+0800,Shandong Taishan,2-2,0-0,Henan FC,2024-04-09T11:35Z
