Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
Apertura,1,Fri Feb 2 2024,20:30,-03/-0300,San Martín de Burzaco,0-0,0-0,Argentino de Merlo,,2024-02-02T23:30Z
Apertura,1,Fri Feb 2 2024,20:00,-03/-0300,Excursionistas,1-2,1-1,Comunicaciones de Buenos Aires,,2024-02-02T23:00Z
Apertura,1,Sat Feb 3 2024,17:00,-03/-0300,Laferrere,1-1,0-1,Fénix,,2024-02-03T20:00Z
Apertura,1,Sat Feb 3 2024,17:00,-03/-0300,Sacachispas,1-0,0-0,Armenio,,2024-02-03T20:00Z
Apertura,1,Sat Feb 3 2024,17:00,-03/-0300,Acassuso,0-0,0-0,Liniers de La Matanza,,2024-02-03T20:00Z
Apertura,1,Sat Feb 3 2024,17:00,-03/-0300,Colegiales de Munro,2-1,1-1,Villa San Carlos,,2024-02-03T20:00Z
Apertura,1,Sat Feb 3 2024,21:10,-03/-0300,Villa Dálmine,1-1,1-0,CA Los Andes,,2024-02-04T00:10Z
Apertura,1,Sun Feb 4 2024,17:00,-03/-0300,UAI Urquiza,0-1,0-0,Sportivo Italiano,,2024-02-04T20:00Z
Apertura,1,Sun Feb 4 2024,17:00,-03/-0300,Deportivo Merlo,0-1,0-1,Argentino de Quilmes,,2024-02-04T20:00Z
Apertura,1,Mon Feb 5 2024,17:00,-03/-0300,Dock Sud,2-2,1-0,Flandria,,2024-02-05T20:00Z
Apertura,2,Fri Feb 9 2024,20:30,-03/-0300,Argentino de Merlo,1-2,1-0,Acassuso,,2024-02-09T23:30Z
Apertura,2,Fri Feb 9 2024,17:00,-03/-0300,Ferrocarril Midland,0-1,0-1,CA Los Andes,,2024-02-09T20:00Z
Apertura,2,Sat Feb 10 2024,17:00,-03/-0300,Flandria,0-0,0-0,Colegiales de Munro,,2024-02-10T20:00Z
Apertura,2,Sat Feb 10 2024,17:00,-03/-0300,Villa San Carlos,3-1,1-1,UAI Urquiza,,2024-02-10T20:00Z
Apertura,2,Sat Feb 10 2024,17:00,-03/-0300,Armenio,2-0,1-0,Deportivo Merlo,,2024-02-10T20:00Z
Apertura,2,Sun Feb 11 2024,17:00,-03/-0300,Sportivo Italiano,1-1,1-1,San Martín de Burzaco,,2024-02-11T20:00Z
Apertura,2,Sun Feb 11 2024,17:00,-03/-0300,Dock Sud,2-0,0-0,Villa Dálmine,,2024-02-11T20:00Z
Apertura,2,Mon Feb 12 2024,17:00,-03/-0300,Argentino de Quilmes,1-1,0-1,Laferrere,,2024-02-12T20:00Z
Apertura,2,Mon Feb 12 2024,17:00,-03/-0300,Fénix,0-0,0-0,Cañuelas,,2024-02-12T20:00Z
Apertura,2,Mon Feb 12 2024,21:05,-03/-0300,Comunicaciones de Buenos Aires,4-0,2-0,Sacachispas,,2024-02-13T00:05Z
Apertura,2,Tue Feb 13 2024,17:00,-03/-0300,Liniers de La Matanza,0-1,0-1,Excursionistas,,2024-02-13T20:00Z
Apertura,3,Fri Feb 16 2024,21:00,-03/-0300,San Martín de Burzaco,1-0,0-0,Villa San Carlos,,2024-02-17T00:00Z
Apertura,3,Fri Feb 16 2024,17:00,-03/-0300,CA Los Andes,1-0,0-0,Fénix,,2024-02-16T20:00Z
Apertura,3,Fri Feb 16 2024,17:00,-03/-0300,Cañuelas,0-0,0-0,Argentino de Quilmes,,2024-02-16T20:00Z
Apertura,3,Fri Feb 16 2024,17:00,-03/-0300,Sacachispas,1-0,1-0,Liniers de La Matanza,,2024-02-16T20:00Z
Apertura,3,Fri Feb 16 2024,17:00,-03/-0300,Acassuso,0-0,0-0,Sportivo Italiano,,2024-02-16T20:00Z
Apertura,3,Fri Feb 16 2024,17:00,-03/-0300,UAI Urquiza,0-0,0-0,Flandria,,2024-02-16T20:00Z
Apertura,3,Sat Feb 17 2024,17:00,-03/-0300,Villa Dálmine,1-2,0-2,Ferrocarril Midland,,2024-02-17T20:00Z
Apertura,3,Sat Feb 17 2024,17:00,-03/-0300,Laferrere,2-1,1-1,Armenio,,2024-02-17T20:00Z
Apertura,3,Sat Feb 17 2024,17:00,-03/-0300,Deportivo Merlo,0-0,0-0,Comunicaciones de Buenos Aires,,2024-02-17T20:00Z
Apertura,3,Sat Feb 17 2024,17:00,-03/-0300,Excursionistas,0-0,0-0,Argentino de Merlo,,2024-02-17T20:00Z
Apertura,3,Sat Feb 17 2024,17:00,-03/-0300,Colegiales de Munro,1-2,1-1,Dock Sud,,2024-02-17T20:00Z
Apertura,4,Tue Feb 20 2024,20:30,-03/-0300,Argentino de Merlo,3-0,1-0,Sacachispas,,2024-02-20T23:30Z
Apertura,4,Tue Feb 20 2024,17:00,-03/-0300,Dock Sud,1-0,0-0,UAI Urquiza,,2024-02-20T20:00Z
Apertura,4,Tue Feb 20 2024,17:00,-03/-0300,Flandria,1-0,1-0,San Martín de Burzaco,,2024-02-20T20:00Z
Apertura,4,Tue Feb 20 2024,17:00,-03/-0300,Villa San Carlos,0-0,0-0,Acassuso,,2024-02-20T20:00Z
Apertura,4,Tue Feb 20 2024,17:00,-03/-0300,Sportivo Italiano,0-3,0-1,Excursionistas,,2024-02-20T20:00Z
Apertura,4,Tue Feb 20 2024,17:00,-03/-0300,Armenio,2-0,1-0,Cañuelas,,2024-02-20T20:00Z
Apertura,4,Tue Feb 20 2024,17:00,-03/-0300,Fénix,1-1,1-1,Ferrocarril Midland,,2024-02-20T20:00Z
Apertura,4,Tue Feb 20 2024,17:05,-03/-0300,Argentino de Quilmes,2-1,2-1,CA Los Andes,,2024-02-20T20:05Z
Apertura,4,Tue Feb 20 2024,20:00,-03/-0300,Colegiales de Munro,0-0,0-0,Villa Dálmine,,2024-02-20T23:00Z
Apertura,4,Tue Feb 20 2024,21:10,-03/-0300,Comunicaciones de Buenos Aires,4-1,1-0,Laferrere,,2024-02-21T00:10Z
Apertura,4,Wed Feb 21 2024,17:00,-03/-0300,Liniers de La Matanza,0-0,0-0,Deportivo Merlo,,2024-02-21T20:00Z
Apertura,5,Sat Feb 24 2024,17:00,-03/-0300,Ferrocarril Midland,0-3,0-1,Argentino de Quilmes,,2024-02-24T20:00Z
Apertura,5,Sat Feb 24 2024,17:00,-03/-0300,Cañuelas,2-1,1-1,Comunicaciones de Buenos Aires,,2024-02-24T20:00Z
Apertura,5,Sat Feb 24 2024,17:00,-03/-0300,Excursionistas,1-0,0-0,Villa San Carlos,,2024-02-24T20:00Z
Apertura,5,Sat Feb 24 2024,17:00,-03/-0300,Acassuso,0-2,0-0,Flandria,,2024-02-24T20:00Z
Apertura,5,Sun Feb 25 2024,17:00,-03/-0300,Deportivo Merlo,2-1,0-1,Argentino de Merlo,,2024-02-25T20:00Z
Apertura,5,Sun Feb 25 2024,17:00,-03/-0300,UAI Urquiza,0-3,0-0,Colegiales de Munro,,2024-02-25T20:00Z
Apertura,5,Mon Feb 26 2024,17:00,-03/-0300,Villa Dálmine,0-3,0-1,Fénix,,2024-02-26T20:00Z
Apertura,5,Mon Feb 26 2024,21:05,-03/-0300,San Martín de Burzaco,1-0,0-0,Dock Sud,,2024-02-27T00:05Z
Apertura,5,Mon Feb 26 2024,21:10,-03/-0300,CA Los Andes,2-2,2-1,Armenio,,2024-02-27T00:10Z
Apertura,5,Tue Feb 27 2024,17:00,-03/-0300,Sacachispas,2-2,1-0,Sportivo Italiano,,2024-02-27T20:00Z
Apertura,5,Wed Feb 28 2024,17:00,-03/-0300,Laferrere,0-2,0-1,Liniers de La Matanza,,2024-02-28T20:00Z
Apertura,6,Sat Mar 2 2024,17:05,-03/-0300,Comunicaciones de Buenos Aires,0-1,0-1,CA Los Andes,,2024-03-02T20:05Z
Apertura,6,Sat Mar 2 2024,17:00,-03/-0300,Colegiales de Munro,1-1,0-1,San Martín de Burzaco,,2024-03-02T20:00Z
Apertura,6,Sat Mar 2 2024,17:00,-03/-0300,Flandria,1-0,0-0,Excursionistas,,2024-03-02T20:00Z
Apertura,6,Sat Mar 2 2024,17:00,-03/-0300,Villa San Carlos,3-0,0-0,Sacachispas,,2024-03-02T20:00Z
Apertura,6,Sat Mar 2 2024,17:00,-03/-0300,Sportivo Italiano,1-0,0-0,Deportivo Merlo,,2024-03-02T20:00Z
Apertura,6,Sat Mar 2 2024,17:00,-03/-0300,Argentino de Merlo,2-2,0-1,Laferrere,,2024-03-02T20:00Z
Apertura,6,Sat Mar 2 2024,17:00,-03/-0300,Liniers de La Matanza,1-2,0-1,Cañuelas,,2024-03-02T20:00Z
Apertura,6,Sat Mar 2 2024,17:00,-03/-0300,Armenio,0-1,0-0,Ferrocarril Midland,,2024-03-02T20:00Z
Apertura,6,Sat Mar 2 2024,17:00,-03/-0300,Argentino de Quilmes,1-1,1-0,Fénix,,2024-03-02T20:00Z
Apertura,6,Sun Mar 3 2024,17:00,-03/-0300,UAI Urquiza,0-0,0-0,Villa Dálmine,,2024-03-03T20:00Z
Apertura,6,Mon Mar 4 2024,17:00,-03/-0300,Dock Sud,1-0,1-0,Acassuso,,2024-03-04T20:00Z
Apertura,7,Fri Mar 8 2024,20:00,-03/-0300,Excursionistas,2-1,1-0,Dock Sud,,2024-03-08T23:00Z
Apertura,7,Sat Mar 9 2024,17:00,-03/-0300,Villa Dálmine,0-2,0-1,Argentino de Quilmes,,2024-03-09T20:00Z
Apertura,7,Sat Mar 9 2024,17:00,-03/-0300,Acassuso,2-0,1-0,Colegiales de Munro,,2024-03-09T20:00Z
Apertura,7,Sat Mar 9 2024,17:00,-03/-0300,Ferrocarril Midland,0-0,0-0,Comunicaciones de Buenos Aires,,2024-03-09T20:00Z
Apertura,7,Sat Mar 9 2024,17:00,-03/-0300,Cañuelas,1-0,0-0,Argentino de Merlo,,2024-03-09T20:00Z
Apertura,7,Sat Mar 9 2024,17:00,-03/-0300,Sacachispas,1-0,1-0,Flandria,,2024-03-09T20:00Z
Apertura,7,Sun Mar 10 2024,17:00,-03/-0300,San Martín de Burzaco,1-0,0-0,UAI Urquiza,,2024-03-10T20:00Z
Apertura,7,Sun Mar 10 2024,17:00,-03/-0300,CA Los Andes,1-0,0-0,Liniers de La Matanza,,2024-03-10T20:00Z
