Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Sat Apr 6 2024,17:00,EEST/+0300,Ilves Tampere,0-0,0-0,FC Lahti,2024-04-06T14:00Z
,1,Sat Apr 6 2024,17:00,EEST/+0300,SJK Seinäjoki,2-1,1-0,AC Oulu,2024-04-06T14:00Z
,1,Sat Apr 6 2024,17:00,EEST/+0300,IFK Mariehamn,3-2,2-2,Ekenäs IF,2024-04-06T14:00Z
,1,Sat Apr 6 2024,17:00,EEST/+0300,Haka Valkeakoski,1-2,0-2,Vaasan PS,2024-04-06T14:00Z
,1,Sat Apr 6 2024,19:00,EEST/+0300,Kuopion PS,3-1,1-0,HJK Helsinki,2024-04-06T16:00Z
,1,Sat Apr 6 2024,15:00,EEST/+0300,IF Gnistan,2-1,2-1,Inter Turku,2024-04-06T12:00Z
,2,Thu Apr 11 2024,18:00,EEST/+0300,HJK Helsinki,4-0,2-0,FC Lahti,2024-04-11T15:00Z
,2,Fri Apr 12 2024,18:00,EEST/+0300,Haka Valkeakoski,2-1,1-0,Ekenäs IF,2024-04-12T15:00Z
,2,Fri Apr 12 2024,19:00,EEST/+0300,Vaasan PS,1-1,0-0,SJK Seinäjoki,2024-04-12T16:00Z
,2,Fri Apr 12 2024,20:00,EEST/+0300,Inter Turku,3-3,1-1,AC Oulu,2024-04-12T17:00Z
,2,Sat Apr 13 2024,17:00,EEST/+0300,IFK Mariehamn,2-2,1-1,Kuopion PS,2024-04-13T14:00Z
,2,Sat Apr 13 2024,14:00,EEST/+0300,Ilves Tampere,4-6,2-0,IF Gnistan,2024-04-13T11:00Z
,3,Fri Apr 19 2024,18:00,EEST/+0300,Inter Turku,1-1,1-0,Kuopion PS,2024-04-19T15:00Z
,3,Fri Apr 19 2024,18:00,EEST/+0300,SJK Seinäjoki,1-0,1-0,Ilves Tampere,2024-04-19T15:00Z
,3,Sat Apr 20 2024,16:15,EEST/+0300,FC Lahti,1-1,0-1,Haka Valkeakoski,2024-04-20T13:15Z
,3,Sat Apr 20 2024,18:30,EEST/+0300,Vaasan PS,3-2,2-1,IF Gnistan,2024-04-20T15:30Z
,3,Sat Apr 20 2024,15:00,EEST/+0300,HJK Helsinki,2-1,1-0,IFK Mariehamn,2024-04-20T12:00Z
,3,Sun Apr 21 2024,18:30,EEST/+0300,Ekenäs IF,1-1,1-0,AC Oulu,2024-04-21T15:30Z
,15,Wed Apr 24 2024,19:00,EEST/+0300,SJK Seinäjoki,3-3,1-1,HJK Helsinki,2024-04-24T16:00Z
,4,Fri Apr 26 2024,18:00,EEST/+0300,Inter Turku,2-1,1-0,Ekenäs IF,2024-04-26T15:00Z
,4,Sat Apr 27 2024,17:00,EEST/+0300,FC Lahti,0-1,0-1,Kuopion PS,2024-04-27T14:00Z
,4,Sat Apr 27 2024,15:00,EEST/+0300,Haka Valkeakoski,1-1,1-0,HJK Helsinki,2024-04-27T12:00Z
,4,Sat Apr 27 2024,18:30,EEST/+0300,AC Oulu,1-2,0-0,Vaasan PS,2024-04-27T15:30Z
,4,Sun Apr 28 2024,18:30,EEST/+0300,IFK Mariehamn,0-1,0-0,Ilves Tampere,2024-04-28T15:30Z
