Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 1,Tue Mar 5 2024,16:00,-05/-0500,Envigado FC,1-0,0-0,Orsomarso SC,,2024-03-05T21:00Z
Round 1,Wed Mar 6 2024,18:00,-05/-0500,Bogotá FC,0-2,0-1,Once Caldas,,2024-03-06T23:00Z
Round 1,Wed Mar 6 2024,20:00,-05/-0500,Santa Fe,3-1,1-1,Boca Juniors de Cali,,2024-03-07T01:00Z
Round 1,Wed Mar 6 2024,15:30,-05/-0500,Atlético FC,1-2,0-1,Jaguares de Córdoba,,2024-03-06T20:30Z
Round 1,Thu Mar 7 2024,15:30,-05/-0500,Tigres FC,2-1,1-0,Unión Magdalena,,2024-03-07T20:30Z
Round 1,Thu Mar 7 2024,16:00,-05/-0500,Barranquilla FC,1-3,0-2,Atlético Huila,,2024-03-07T21:00Z
Round 1,Thu Mar 7 2024,18:00,-05/-0500,Atlético Bucaramanga,6-2,2-2,Real Santander,,2024-03-07T23:00Z
Round 1,Thu Mar 7 2024,20:00,-05/-0500,Deportivo Pereira,2-0,2-0,Real Soacha Cundinamarca,,2024-03-08T01:00Z
Round 1,Tue Mar 19 2024,18:10,-05/-0500,Jaguares de Córdoba,2-1,2-0,Atlético FC,,2024-03-19T23:10Z
Round 1,Wed Mar 20 2024,16:00,-05/-0500,Real Santander,3-4,0-1,Atlético Bucaramanga,,2024-03-20T21:00Z
Round 1,Wed Mar 20 2024,16:00,-05/-0500,Orsomarso SC,0-1,0-1,Envigado FC,,2024-03-20T21:00Z
Round 1,Wed Mar 20 2024,18:00,-05/-0500,Real Soacha Cundinamarca,0-0,0-0,Deportivo Pereira,,2024-03-20T23:00Z
Round 1,Wed Mar 20 2024,20:00,-05/-0500,Boca Juniors de Cali,1-1,0-1,Santa Fe,,2024-03-21T01:00Z
Round 1,Thu Mar 21 2024,16:00,-05/-0500,Atlético Huila,1-1,1-1,Barranquilla FC,,2024-03-21T21:00Z
