Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Round 1,Tue Feb 20 2024,20:00,-0300,Nova Venécia ES,1-2,1-0,Botafogo SP,,2024-02-20T23:00Z
Round 1,Tue Feb 20 2024,16:30,-0300,Porto Velho EC RO,1-0,1-0,Remo PA,,2024-02-20T19:30Z
Round 1,Wed Feb 21 2024,15:30,-0300,Real Brasilia DF,2-1,1-0,São Raimundo RR,,2024-02-21T18:30Z
Round 1,Wed Feb 21 2024,16:00,-0300,River PI,1-1,0-0,Ypiranga RS,,2024-02-21T19:00Z
Round 1,Wed Feb 21 2024,16:30,-0300,Manauara AM,1-2,1-1,Retrô PE,,2024-02-21T19:30Z
Round 1,Wed Feb 21 2024,19:15,-0300,Sousa PB,2-0,0-0,Cruzeiro,,2024-02-21T22:15Z
Round 1,Wed Feb 21 2024,19:30,-0300,Anápolis FC GO,1-0,0-0,Tombense MG,,2024-02-21T22:30Z
Round 1,Wed Feb 21 2024,19:30,-0300,Audax RJ,0-0,0-0,Portuguesa RJ,,2024-02-21T22:30Z
Round 1,Wed Feb 21 2024,19:30,-0300,Treze PB,1-1,1-0,ABC RN,,2024-02-21T22:30Z
Round 1,Wed Feb 21 2024,19:30,-0300,Itabaiana SE,0-1,0-1,Brasiliense DF,,2024-02-21T22:30Z
Round 1,Wed Feb 21 2024,20:00,-0300,Moto Club MA,0-4,0-1,Bahia BA,,2024-02-21T23:00Z
Round 1,Wed Feb 21 2024,20:30,-0300,Independente AP,0-1,0-0,Amazonas FC AM,,2024-02-21T23:30Z
Round 1,Wed Feb 21 2024,20:30,-0300,São Luiz RS,2-1,0-0,Ituano SP,,2024-02-21T23:30Z
Round 1,Wed Feb 21 2024,20:30,-0300,Costa Rica MS,1-2,0-1,América RN,,2024-02-21T23:30Z
Round 1,Wed Feb 21 2024,20:30,-0300,Capital TO,2-1,2-0,Tocantinópolis TO,,2024-02-21T23:30Z
Round 1,Wed Feb 21 2024,21:30,-0300,União Rondonópolis MT,1-3,0-1,Atlético Goianiense,,2024-02-22T00:30Z
Round 1,Wed Feb 21 2024,21:30,-0300,Rio Branco AC,0-0,0-0,CR Brasil AL,,2024-02-22T00:30Z
Round 1,Thu Feb 22 2024,20:00,-0300,Cianorte PR,0-3,0-2,Corinthians SP,,2024-02-22T23:00Z
Round 1,Thu Feb 22 2024,20:00,-0300,Águia de Marabá PA,3-2,1-1,Coritiba PR,,2024-02-22T23:00Z
Round 1,Thu Feb 22 2024,17:30,-0300,Real Noroeste ES,1-4,0-3,Cuiabá MT,,2024-02-22T20:30Z
Round 1,Tue Feb 27 2024,20:00,-0300,Iguatu CE,0-0,0-0,Juventude RS,,2024-02-27T23:00Z
Round 1,Tue Feb 27 2024,21:30,-0300,Marcílio Dias SC,1-3,1-2,Vasco da Gama RJ,,2024-02-28T00:30Z
Round 1,Tue Feb 27 2024,19:15,-0300,Athletic MG,1-0,1-0,Volta Redonda RJ,,2024-02-27T22:15Z
Round 1,Wed Feb 28 2024,15:30,-0300,Olária RJ,0-1,0-0,São Bernardo FC SP,,2024-02-28T18:30Z
Round 1,Wed Feb 28 2024,19:15,-0300,Maringá PR,2-0,0-0,América MG,,2024-02-28T22:15Z
Round 1,Wed Feb 28 2024,19:30,-0300,Petrolina PE,3-2,1-0,Cascavel FC PR,,2024-02-28T22:30Z
Round 1,Wed Feb 28 2024,19:30,-0300,Maranhão MA,1-2,1-1,Ferroviário CE,,2024-02-28T22:30Z
Round 1,Wed Feb 28 2024,19:30,-0300,Murici AL,2-1,0-0,Confiança SE,,2024-02-28T22:30Z
Round 1,Wed Feb 28 2024,19:30,-0300,Itabuna BA,0-8,0-3,Nova Iguaçu RJ,,2024-02-28T22:30Z
Round 1,Wed Feb 28 2024,20:00,-0300,ASA AL,0-2,0-1,Internacional,,2024-02-28T23:00Z
Round 1,Wed Feb 28 2024,20:30,-0300,GA Sampaio RR,0-1,0-1,Brusque SC,,2024-02-28T23:30Z
Round 1,Wed Feb 28 2024,20:30,-0300,Villa Nova MG,1-0,0-0,Aparecidense GO,,2024-02-28T23:30Z
Round 1,Wed Feb 28 2024,20:30,-0300,Portuguesa Santista SP,0-1,0-1,S.E.R. Caxias RS,,2024-02-28T23:30Z
Round 1,Wed Feb 28 2024,20:30,-0300,Água Santa SP,2-1,0-1,Jacuipense BA,,2024-02-28T23:30Z
Round 1,Wed Feb 28 2024,21:30,-0300,Humaitá AC,1-1,0-0,Sampaio Corrêa MA,,2024-02-29T00:30Z
Round 1,Wed Feb 28 2024,21:30,-0300,Operário de Campo Grande MS,0-0,0-0,Operário Ferroviário PR,,2024-02-29T00:30Z
Round 1,Wed Feb 28 2024,21:30,-0300,Trem AP,0-4,0-2,Sport Recife PE,,2024-02-29T00:30Z
Round 1,Wed Feb 28 2024,21:30,-0300,Operário MT,0-0,0-0,Criciúma SC,,2024-02-29T00:30Z
Round 1,Thu Feb 29 2024,21:30,-0300,Ji-Paraná RO,0-0,0-0,Paysandu PA,,2024-03-01T00:30Z
Round 1,Mon Mar 4 2024,16:00,-0300,Fluminense PI,0-3,0-0,Fortaleza CE,,2024-03-04T19:00Z
Round 2,Wed Mar 6 2024,20:00,-0300,Real Brasilia DF,1-3,1-1,Atlético Goianiense,,2024-03-06T23:00Z
Round 2,Thu Mar 7 2024,19:00,-0300,Villa Nova MG,0-2,0-2,Operário Ferroviário PR,,2024-03-07T22:00Z
Round 2,Thu Mar 7 2024,20:00,-0300,Vasco da Gama RJ,3-3,2-1,Água Santa SP,4-1,2024-03-07T23:00Z
Round 2,Thu Mar 7 2024,20:30,-0300,Sousa PB,1-0,1-0,Petrolina PE,,2024-03-07T23:30Z
Round 2,Tue Mar 12 2024,20:00,-0300,Portuguesa RJ,0-0,0-0,Cuiabá MT,3-4,2024-03-12T23:00Z
Round 2,Tue Mar 12 2024,21:30,-0300,ABC RN,1-1,1-0,Brusque SC,4-5,2024-03-13T00:30Z
Round 2,Tue Mar 12 2024,21:30,-0300,S.E.R. Caxias RS,2-2,1-2,Bahia BA,5-6,2024-03-13T00:30Z
Round 2,Tue Mar 12 2024,19:00,-0300,CR Brasil AL,2-0,1-0,Athletic MG,,2024-03-12T22:00Z
Round 2,Wed Mar 13 2024,19:00,-0300,Ypiranga RS,2-0,2-0,Porto Velho EC RO,,2024-03-13T22:00Z
Round 2,Wed Mar 13 2024,19:00,-0300,Sport Recife PE,1-1,1-0,Murici AL,5-4,2024-03-13T22:00Z
Round 2,Wed Mar 13 2024,20:00,-0300,Nova Iguaçu RJ,0-2,0-1,Internacional,,2024-03-13T23:00Z
Round 2,Wed Mar 13 2024,21:30,-0300,Juventude RS,3-1,2-0,Paysandu PA,,2024-03-14T00:30Z
Round 2,Wed Mar 13 2024,21:30,-0300,Sampaio Corrêa MA,0-0,0-0,Ferroviário CE,5-3,2024-03-14T00:30Z
Round 2,Wed Mar 13 2024,21:30,-0300,América RN,3-0,1-0,São Luiz RS,,2024-03-14T00:30Z
Round 2,Thu Mar 14 2024,20:00,-0300,São Bernardo FC SP,0-2,0-2,Corinthians SP,,2024-03-14T23:00Z
Round 2,Thu Mar 14 2024,20:30,-0300,Águia de Marabá PA,3-0,1-0,Capital TO,,2024-03-14T23:30Z
Round 2,Thu Mar 14 2024,21:30,-0300,Botafogo SP,2-1,2-1,Anápolis FC GO,,2024-03-15T00:30Z
Round 2,Thu Mar 14 2024,21:30,-0300,Fortaleza CE,0-0,0-0,Retrô PE,3-2,2024-03-15T00:30Z
Round 2,Thu Mar 14 2024,21:30,-0300,Maringá PR,0-1,0-0,Amazonas FC AM,,2024-03-15T00:30Z
Round 2,Thu Mar 14 2024,19:00,-0300,Brasiliense DF,1-1,0-1,Criciúma SC,1-3,2024-03-14T22:00Z
Round 3,Tue Apr 30 2024,19:00,-0300,Bahia BA,1-0,0-0,Criciúma SC,,2024-04-30T22:00Z
Round 3,Tue Apr 30 2024,20:00,-0300,Operário Ferroviário PR,0-0,0-0,Grêmio Porto Alegre,,2024-04-30T23:00Z
Round 3,Tue Apr 30 2024,21:30,-0300,Atlético Mineiro,2-0,1-0,Sport Recife PE,,2024-05-01T00:30Z
Round 3,Wed May 1 2024,16:00,-0300,Sampaio Corrêa MA,0-2,0-1,Fluminense RJ,,2024-05-01T19:00Z
Round 3,Wed May 1 2024,16:00,-0300,Brusque SC,0-1,0-0,Atlético Goianiense,,2024-05-01T19:00Z
Round 3,Wed May 1 2024,18:00,-0300,Sousa PB,1-1,0-1,Red Bull Bragantino,,2024-05-01T21:00Z
Round 3,Wed May 1 2024,18:00,-0300,Ypiranga RS,2-1,0-1,Athletico Paranaense,,2024-05-01T21:00Z
Round 3,Wed May 1 2024,19:00,-0300,Fortaleza CE,0-0,0-0,Vasco da Gama RJ,,2024-05-01T22:00Z
Round 3,Wed May 1 2024,20:00,-0300,América RN,1-2,1-1,Corinthians SP,,2024-05-01T23:00Z
Round 3,Wed May 1 2024,21:30,-0300,Flamengo RJ,1-0,1-0,Amazonas FC AM,,2024-05-02T00:30Z
Round 3,Thu May 2 2024,19:30,-0300,Águia de Marabá PA,1-3,1-2,São Paulo FC,,2024-05-02T22:30Z
Round 3,Thu May 2 2024,20:30,-0300,CR Brasil AL,1-0,0-0,Ceará CE,,2024-05-02T23:30Z
Round 3,Thu May 2 2024,21:30,-0300,Goiás GO,1-0,1-0,Cuiabá MT,,2024-05-03T00:30Z
Round 3,Thu May 2 2024,21:30,-0300,Palmeiras,2-1,0-0,Botafogo SP,,2024-05-03T00:30Z
Round 3,Thu May 2 2024,19:00,-0300,Botafogo RJ,1-0,0-0,Vitória BA,,2024-05-02T22:00Z
Round 3,Tue May 21 2024,21:30,-0300,Vasco da Gama RJ,3-3,1-1,Fortaleza CE,5-4,2024-05-22T00:30Z
Round 3,Tue May 21 2024,19:30,-0300,Red Bull Bragantino,3-0,1-0,Sousa PB,,2024-05-21T22:30Z
Round 3,Wed May 22 2024,19:00,-0300,Fluminense RJ,2-0,1-0,Sampaio Corrêa MA,,2024-05-22T22:00Z
Round 3,Wed May 22 2024,19:00,-0300,Vitória BA,1-2,0-1,Botafogo RJ,,2024-05-22T22:00Z
Round 3,Wed May 22 2024,19:00,-0300,Atlético Goianiense,4-2,3-1,Brusque SC,,2024-05-22T22:00Z
Round 3,Wed May 22 2024,20:00,-0300,Corinthians SP,2-1,1-0,América RN,,2024-05-22T23:00Z
Round 3,Wed May 22 2024,20:00,-0300,Sport Recife PE,1-0,1-0,Atlético Mineiro,,2024-05-22T23:00Z
Round 3,Wed May 22 2024,21:30,-0300,Amazonas FC AM,0-1,0-0,Flamengo RJ,,2024-05-23T00:30Z
Round 3,Thu May 23 2024,19:00,-0300,Criciúma SC,0-2,0-0,Bahia BA,,2024-05-23T22:00Z
Round 3,Thu May 23 2024,21:30,-0300,São Paulo FC,2-0,2-0,Águia de Marabá PA,,2024-05-24T00:30Z
Round 3,Thu May 23 2024,19:00,-0300,Botafogo SP,0-0,0-0,Palmeiras,,2024-05-23T22:00Z
Round 3,Thu May 23 2024,19:30,-0300,Cuiabá MT,1-0,0-0,Goiás GO,1-3,2024-05-23T22:30Z
Round 3,Thu May 23 2024,21:30,-0300,Ceará CE,0-1,0-1,CR Brasil AL,,2024-05-24T00:30Z
Round 3,Thu Jul 11 2024,,,Internacional,1-2,0-1,Juventude RS,,
Round 3,Sat Jul 13 2024,18:00,-0300,Athletico Paranaense,3-0,1-0,Ypiranga RS,,2024-07-13T21:00Z
Round 3,Sat Jul 13 2024,16:00,-0300,Juventude RS,1-1,1-0,Internacional,,2024-07-13T19:00Z
Round 3,Sun Jul 14 2024,11:00,-0300,Grêmio Porto Alegre,3-1,2-1,Operário Ferroviário PR,,2024-07-14T14:00Z
Round of 16,Tue Jul 30 2024,21:30,-0300,Botafogo RJ,1-1,1-1,Bahia BA,,2024-07-31T00:30Z
Round of 16,Tue Jul 30 2024,20:00,-0300,São Paulo FC,2-0,0-0,Goiás GO,,2024-07-30T23:00Z
Round of 16,Wed Jul 31 2024,19:00,-0300,Athletico Paranaense,2-0,2-0,Red Bull Bragantino,,2024-07-31T22:00Z
Round of 16,Wed Jul 31 2024,19:00,-0300,CR Brasil AL,2-2,2-1,Atlético Mineiro,,2024-07-31T22:00Z
Round of 16,Wed Jul 31 2024,20:00,-0300,Flamengo RJ,2-0,0-0,Palmeiras,,2024-07-31T23:00Z
Round of 16,Wed Jul 31 2024,21:30,-0300,Atlético Goianiense,1-1,1-0,Vasco da Gama RJ,,2024-08-01T00:30Z
Round of 16,Wed Jul 31 2024,21:30,-0300,Corinthians SP,0-0,0-0,Grêmio Porto Alegre,,2024-08-01T00:30Z
Round of 16,Thu Aug 1 2024,19:00,-0300,Juventude RS,3-2,0-1,Fluminense RJ,,2024-08-01T22:00Z
Round of 16,Tue Aug 6 2024,21:45,-0300,Vasco da Gama RJ,1-0,1-0,Atlético Goianiense,,2024-08-07T00:45Z
Round of 16,Wed Aug 7 2024,19:00,-0300,Red Bull Bragantino,2-3,0-1,Athletico Paranaense,,2024-08-07T22:00Z
Round of 16,Wed Aug 7 2024,19:00,-0300,Atlético Mineiro,3-0,2-0,CR Brasil AL,,2024-08-07T22:00Z
Round of 16,Wed Aug 7 2024,19:00,-0300,Bahia BA,1-0,0-0,Botafogo RJ,,2024-08-07T22:00Z
Round of 16,Wed Aug 7 2024,20:00,-0300,Palmeiras,1-0,1-0,Flamengo RJ,,2024-08-07T23:00Z
Round of 16,Wed Aug 7 2024,21:30,-0300,Grêmio Porto Alegre,0-0,0-0,Corinthians SP,1-3,2024-08-08T00:30Z
Round of 16,Wed Aug 7 2024,21:30,-0300,Fluminense RJ,2-2,0-1,Juventude RS,,2024-08-08T00:30Z
Round of 16,Thu Aug 8 2024,20:00,-0300,Goiás GO,0-0,0-0,São Paulo FC,,2024-08-08T23:00Z
Quarterfinals,Wed Aug 28 2024,21:30,-0300,São Paulo FC,0-1,0-0,Atlético Mineiro,,2024-08-29T00:30Z
Quarterfinals,Wed Aug 28 2024,21:30,-0300,Bahia BA,0-1,0-0,Flamengo RJ,,2024-08-29T00:30Z
Quarterfinals,Thu Aug 29 2024,20:00,-0300,Juventude RS,2-1,0-0,Corinthians SP,,2024-08-29T23:00Z
Quarterfinals,Thu Aug 29 2024,20:00,-0300,Vasco da Gama RJ,2-1,0-1,Athletico Paranaense,,2024-08-29T23:00Z
Quarterfinals,Wed Sep 11 2024,21:00,-0300,Corinthians SP,3-1,1-1,Juventude RS,,2024-09-12T00:00Z
Quarterfinals,Wed Sep 11 2024,21:30,-0300,Athletico Paranaense,2-1,2-1,Vasco da Gama RJ,4-5,2024-09-12T00:30Z
Quarterfinals,Thu Sep 12 2024,21:45,-0300,Atlético Mineiro,0-0,0-0,São Paulo FC,,2024-09-13T00:45Z
Quarterfinals,Thu Sep 12 2024,21:45,-0300,Flamengo RJ,1-0,0-0,Bahia BA,,2024-09-13T00:45Z
Semifinals,Wed Oct 2 2024,,,Vasco da Gama RJ,,,Atlético Mineiro,,
Semifinals,Wed Oct 2 2024,,,Flamengo RJ,,,Corinthians SP,,
Semifinals,Thu Oct 17 2024,,,Atlético Mineiro,,,Vasco da Gama RJ,,
Semifinals,Thu Oct 17 2024,,,Corinthians SP,,,Flamengo RJ,,
