Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Fri Aug 28 2020,18:00,CEST/+0200,Wolfsberger AC,2-2,1-0,SC Neusiedl/See 1919,5-2,,2020-08-28T16:00Z
Round 1,Fri Aug 28 2020,19:00,CEST/+0200,WSC Hertha,0-3,0-2,FC Admira Wacker,,,2020-08-28T17:00Z
Round 1,Fri Aug 28 2020,19:00,CEST/+0200,SK Austria Klagenfurt,7-1,2-0,ATSV Stadl-Paura,,,2020-08-28T17:00Z
Round 1,Fri Aug 28 2020,19:00,CEST/+0200,SV Grödig,1-2,0-1,SKU Amstetten,,,2020-08-28T17:00Z
Round 1,Fri Aug 28 2020,19:00,CEST/+0200,SK Treibach,1-2,0-2,SV Horn,,,2020-08-28T17:00Z
Round 1,Fri Aug 28 2020,19:00,CEST/+0200,FC Gleisdorf 09,1-1,0-1,SV Ried,1-1,3-5,2020-08-28T17:00Z
Round 1,Fri Aug 28 2020,19:00,CEST/+0200,First Vienna FC,4-0,2-0,FC Marchfeld Donauauen,,,2020-08-28T17:00Z
Round 1,Fri Aug 28 2020,19:00,CEST/+0200,SV Wörgl,4-2,2-2,Union Vöcklamarkt,,,2020-08-28T17:00Z
Round 1,Fri Aug 28 2020,19:30,CEST/+0200,Kapfenberger SV 1919,5-1,5-1,USK Maximarkt Anif,,,2020-08-28T17:30Z
Round 1,Fri Aug 28 2020,20:30,CEST/+0200,Sturm Graz,8-0,5-0,SV Innsbruck,,,2020-08-28T18:30Z
Round 1,Sat Aug 29 2020,17:00,CEST/+0200,ATSV Wolfsberg,1-3,0-2,SKN St. Pölten,,,2020-08-29T15:00Z
Round 1,Sat Aug 29 2020,17:00,CEST/+0200,FC Dornbirn,1-3,0-3,USV Allerheiligen,,,2020-08-29T15:00Z
Round 1,Sat Aug 29 2020,17:30,CEST/+0200,Floridsdorfer AC,3-0,1-0,ASV Draßburg,,,2020-08-29T15:30Z
Round 1,Sat Aug 29 2020,18:00,CEST/+0200,ASV Schrems,1-3,1-3,FC Wacker Innsbruck,,,2020-08-29T16:00Z
Round 1,Sat Aug 29 2020,18:00,CEST/+0200,Austria Lustenau,1-2,0-0,SV Stripfing/Weiden,,,2020-08-29T16:00Z
Round 1,Sat Aug 29 2020,18:00,CEST/+0200,TuS Bad Gleichenberg,0-0,0-0,SV Lafnitz,0-1,,2020-08-29T16:00Z
Round 1,Sat Aug 29 2020,19:00,CEST/+0200,WSG Tirol,3-1,0-1,USV St. Anna,,,2020-08-29T17:00Z
Round 1,Sat Aug 29 2020,20:30,CEST/+0200,ASV Siegendorf,0-3,0-0,LASK,,,2020-08-29T18:30Z
Round 1,Sun Aug 30 2020,11:15,CEST/+0200,Austria Wien,5-0,1-0,SC Retz,,,2020-08-30T09:15Z
Round 1,Sun Aug 30 2020,17:30,CEST/+0200,Rapid Wien,5-0,2-0,TSV St. Johann,,,2020-08-30T15:30Z
Round 1,Sun Aug 30 2020,18:00,CEST/+0200,Grazer AK,0-1,0-1,SV Seekirchen,,,2020-08-30T16:00Z
Round 1,Sun Aug 30 2020,19:00,CEST/+0200,FC Blau Weiß Linz,5-1,3-0,SC Team Wiener Linien,,,2020-08-30T17:00Z
Round 1,Sun Aug 30 2020,11:00,CEST/+0200,Dornbirner SV,0-7,0-3,TSV Hartberg,,,2020-08-30T09:00Z
Round 1,Tue Sep 8 2020,19:00,CEST/+0200,FC Deutschkreutz,0-3,0-0,1. Wiener Neustädter SC,,,2020-09-08T17:00Z
