Round,Date,Time,Team 1,FT,HT,Team 2,Comments
6,Fri Oct 23 2020,18:30,FC Wacker Innsbruck,0-4,0-2,FC Blau Weiß Linz,
6,Fri Oct 23 2020,18:30,Vorwärts Steyr,1-1,0-1,Rapid Wien II,
6,Fri Oct 23 2020,18:30,SV Lafnitz,2-1,0-1,SK Austria Klagenfurt,
6,Fri Oct 23 2020,18:30,FC Juniors OÖ,0-5,0-2,Kapfenberger SV,
6,Fri Oct 23 2020,18:30,FC Dornbirn,0-0,0-0,SV Horn,
6,Fri Oct 23 2020,18:30,Grazer AK,2-1,1-1,SKU Amstetten,
6,Fri Oct 23 2020,20:25,Floridsdorfer AC,1-3,0-1,FC Liefering,
7,Mon Oct 26 2020,10:30,Floridsdorfer AC,2-1,0-1,Young Violets,
7,Mon Oct 26 2020,10:30,Kapfenberger SV,1-1,0-0,SK Austria Klagenfurt,
7,Mon Oct 26 2020,10:30,Rapid Wien II,1-2,0-1,Austria Lustenau,
7,Mon Oct 26 2020,14:30,FC Liefering,1-0,0-0,SV Lafnitz,
7,Mon Oct 26 2020,14:30,FC Dornbirn,0-1,0-1,FC Wacker Innsbruck,
7,Mon Oct 26 2020,17:00,Grazer AK,3-1,1-0,FC Blau Weiß Linz,
7,Mon Oct 26 2020,18:30,SKU Amstetten,3-3,2-2,FC Juniors OÖ,
7,Mon Oct 26 2020,18:30,SV Horn,0-0,0-0,Vorwärts Steyr,
8,Fri Oct 30 2020,18:30,Young Violets,0-2,0-2,FC Liefering,
8,Fri Oct 30 2020,18:30,FC Wacker Innsbruck,3-2,1-1,SV Horn,
8,Fri Oct 30 2020,18:30,Vorwärts Steyr,3-3,1-1,Floridsdorfer AC,
8,Fri Oct 30 2020,18:30,SV Lafnitz,2-0,1-0,Kapfenberger SV,
8,Fri Oct 30 2020,18:30,FC Juniors OÖ,2-0,0-0,Grazer AK,
8,Sat Oct 31 2020,12:00,FC Blau Weiß Linz,3-1,2-0,Rapid Wien II,
8,Sat Oct 31 2020,14:30,SK Austria Klagenfurt,3-0,1-0,SKU Amstetten,
8,Sun Nov 1 2020,10:30,Austria Lustenau,0-1,0-1,FC Dornbirn,
9,Fri Nov 6 2020,18:30,FC Liefering,0-3,0-2,SKU Amstetten,
9,Fri Nov 6 2020,18:30,SV Horn,3-2,1-2,Rapid Wien II,
9,Fri Nov 6 2020,18:30,Floridsdorfer AC,2-1,1-0,FC Juniors OÖ,
9,Fri Nov 6 2020,20:25,Grazer AK,1-1,0-1,SK Austria Klagenfurt,
9,Sat Nov 7 2020,20:25,FC Dornbirn,0-3,0-0,SV Lafnitz,
9,Sun Nov 8 2020,10:30,Vorwärts Steyr,1-1,0-1,FC Blau Weiß Linz,
9,Sun Nov 8 2020,12:30,FC Wacker Innsbruck,3-0,3-0,Young Violets,
10,Fri Nov 20 2020,18:00,FC Blau Weiß Linz,,,SV Horn,
10,Fri Nov 20 2020,18:30,FC Liefering,,,Kapfenberger SV,
10,Fri Nov 20 2020,18:30,SKU Amstetten,,,Young Violets,
10,Fri Nov 20 2020,18:30,SV Lafnitz,,,Vorwärts Steyr,
10,Fri Nov 20 2020,18:30,Austria Lustenau,,,Floridsdorfer AC,
10,Fri Nov 20 2020,20:25,SK Austria Klagenfurt,,,FC Wacker Innsbruck,
10,Sat Nov 21 2020,14:30,FC Juniors OÖ,,,FC Dornbirn,
10,Sun Nov 22 2020,10:30,Rapid Wien II,,,Grazer AK,
9,Tue Nov 24 2020,18:00,Kapfenberger SV,,,Austria Lustenau,postponed
11,Fri Nov 27 2020,18:30,Young Violets,,,SV Lafnitz,
11,Fri Nov 27 2020,18:30,FC Dornbirn,,,FC Liefering,
11,Fri Nov 27 2020,18:30,SV Horn,,,Grazer AK,
11,Fri Nov 27 2020,18:30,Floridsdorfer AC,,,FC Blau Weiß Linz,
11,Fri Nov 27 2020,18:30,Kapfenberger SV,,,SKU Amstetten,
11,Sat Nov 28 2020,14:30,FC Wacker Innsbruck,,,Rapid Wien II,
11,Sat Nov 28 2020,14:30,Vorwärts Steyr,,,FC Juniors OÖ,
11,Sun Nov 29 2020,10:30,SK Austria Klagenfurt,,,Austria Lustenau,
12,Fri Dec 4 2020,18:30,SKU Amstetten,,,Austria Lustenau,
12,Fri Dec 4 2020,18:30,FC Juniors OÖ,,,SK Austria Klagenfurt,
12,Fri Dec 4 2020,18:30,SV Horn,,,Floridsdorfer AC,
12,Fri Dec 4 2020,18:30,Rapid Wien II,,,Kapfenberger SV,
12,Fri Dec 4 2020,20:25,Grazer AK,,,FC Wacker Innsbruck,
12,Sat Dec 5 2020,14:30,FC Dornbirn,,,Young Violets,
12,Sat Dec 5 2020,20:25,FC Liefering,,,Vorwärts Steyr,
12,Sun Dec 6 2020,10:30,SV Lafnitz,,,FC Blau Weiß Linz,
13,Fri Dec 11 2020,18:30,FC Wacker Innsbruck,,,SV Lafnitz,
13,Fri Dec 11 2020,18:30,FC Blau Weiß Linz,,,FC Juniors OÖ,
13,Fri Dec 11 2020,18:30,Austria Lustenau,,,Grazer AK,
13,Fri Dec 11 2020,18:30,Floridsdorfer AC,,,SKU Amstetten,
13,Fri Dec 11 2020,18:30,Kapfenberger SV,,,SV Horn,
13,Fri Dec 11 2020,20:25,Young Violets,,,Rapid Wien II,
13,Sat Dec 12 2020,14:30,Vorwärts Steyr,,,FC Dornbirn,
13,Sun Dec 13 2020,10:30,SK Austria Klagenfurt,,,FC Liefering,
14,Fri Feb 12 2021,,FC Liefering,,,Austria Lustenau,
14,Fri Feb 12 2021,,Young Violets,,,FC Blau Weiß Linz,
14,Fri Feb 12 2021,,FC Wacker Innsbruck,,,Vorwärts Steyr,
14,Fri Feb 12 2021,,SV Lafnitz,,,FC Juniors OÖ,
14,Fri Feb 12 2021,,FC Dornbirn,,,Kapfenberger SV,
14,Fri Feb 12 2021,,SV Horn,,,SK Austria Klagenfurt,
14,Fri Feb 12 2021,,Grazer AK,,,Floridsdorfer AC,
14,Fri Feb 12 2021,,Rapid Wien II,,,SKU Amstetten,
15,Fri Feb 19 2021,,SK Austria Klagenfurt,,,Rapid Wien II,
15,Fri Feb 19 2021,,SKU Amstetten,,,SV Horn,
15,Fri Feb 19 2021,,Vorwärts Steyr,,,Young Violets,
15,Fri Feb 19 2021,,FC Juniors OÖ,,,FC Wacker Innsbruck,
15,Fri Feb 19 2021,,FC Blau Weiß Linz,,,FC Liefering,
15,Fri Feb 19 2021,,Austria Lustenau,,,SV Lafnitz,
15,Fri Feb 19 2021,,Floridsdorfer AC,,,FC Dornbirn,
15,Fri Feb 19 2021,,Kapfenberger SV,,,Grazer AK,
16,Fri Feb 26 2021,,FC Blau Weiß Linz,,,SK Austria Klagenfurt,
16,Fri Feb 26 2021,,Rapid Wien II,,,FC Liefering,
16,Fri Feb 26 2021,,Vorwärts Steyr,,,SKU Amstetten,
16,Fri Feb 26 2021,,Young Violets,,,FC Juniors OÖ,
16,Fri Feb 26 2021,,SV Horn,,,Austria Lustenau,
16,Fri Feb 26 2021,,SV Lafnitz,,,Floridsdorfer AC,
16,Fri Feb 26 2021,,FC Dornbirn,,,Grazer AK,
16,Fri Feb 26 2021,,FC Wacker Innsbruck,,,Kapfenberger SV,
17,Fri Mar 5 2021,,Grazer AK,,,Young Violets,
17,Fri Mar 5 2021,,Floridsdorfer AC,,,FC Wacker Innsbruck,
17,Fri Mar 5 2021,,Kapfenberger SV,,,Vorwärts Steyr,
17,Fri Mar 5 2021,,SKU Amstetten,,,SV Lafnitz,
17,Fri Mar 5 2021,,Austria Lustenau,,,FC Blau Weiß Linz,
17,Fri Mar 5 2021,,SK Austria Klagenfurt,,,FC Dornbirn,
17,Fri Mar 5 2021,,FC Liefering,,,SV Horn,
17,Fri Mar 5 2021,,FC Juniors OÖ,,,Rapid Wien II,
18,Fri Mar 12 2021,,Young Violets,,,SK Austria Klagenfurt,
18,Fri Mar 12 2021,,FC Wacker Innsbruck,,,FC Liefering,
18,Fri Mar 12 2021,,FC Dornbirn,,,SKU Amstetten,
18,Fri Mar 12 2021,,FC Juniors OÖ,,,Austria Lustenau,
18,Fri Mar 12 2021,,SV Lafnitz,,,SV Horn,
18,Fri Mar 12 2021,,Vorwärts Steyr,,,Grazer AK,
18,Fri Mar 12 2021,,FC Blau Weiß Linz,,,Kapfenberger SV,
18,Fri Mar 12 2021,,Floridsdorfer AC,,,Rapid Wien II,
19,Fri Mar 19 2021,,SV Horn,,,Young Violets,
19,Fri Mar 19 2021,,Austria Lustenau,,,FC Wacker Innsbruck,
19,Fri Mar 19 2021,,SK Austria Klagenfurt,,,Vorwärts Steyr,
19,Fri Mar 19 2021,,Grazer AK,,,SV Lafnitz,
19,Fri Mar 19 2021,,FC Liefering,,,FC Juniors OÖ,
19,Fri Mar 19 2021,,SKU Amstetten,,,FC Blau Weiß Linz,
19,Fri Mar 19 2021,,Rapid Wien II,,,FC Dornbirn,
19,Fri Mar 19 2021,,Kapfenberger SV,,,Floridsdorfer AC,
20,Fri Apr 2 2021,,Floridsdorfer AC,,,SK Austria Klagenfurt,
20,Fri Apr 2 2021,,Grazer AK,,,FC Liefering,
20,Fri Apr 2 2021,,FC Wacker Innsbruck,,,SKU Amstetten,
20,Fri Apr 2 2021,,FC Dornbirn,,,FC Blau Weiß Linz,
20,Fri Apr 2 2021,,Vorwärts Steyr,,,Austria Lustenau,
20,Fri Apr 2 2021,,FC Juniors OÖ,,,SV Horn,
20,Fri Apr 2 2021,,Young Violets,,,Kapfenberger SV,
20,Fri Apr 2 2021,,SV Lafnitz,,,Rapid Wien II,
21,Mon Apr 5 2021,,Austria Lustenau,,,Young Violets,
21,Mon Apr 5 2021,,FC Blau Weiß Linz,,,FC Wacker Innsbruck,
21,Mon Apr 5 2021,,Rapid Wien II,,,Vorwärts Steyr,
21,Mon Apr 5 2021,,SK Austria Klagenfurt,,,SV Lafnitz,
21,Mon Apr 5 2021,,Kapfenberger SV,,,FC Juniors OÖ,
21,Mon Apr 5 2021,,SV Horn,,,FC Dornbirn,
21,Mon Apr 5 2021,,FC Liefering,,,Floridsdorfer AC,
21,Mon Apr 5 2021,,SKU Amstetten,,,Grazer AK,
22,Fri Apr 9 2021,,SV Lafnitz,,,FC Liefering,
22,Fri Apr 9 2021,,FC Juniors OÖ,,,SKU Amstetten,
22,Fri Apr 9 2021,,FC Wacker Innsbruck,,,FC Dornbirn,
22,Fri Apr 9 2021,,Vorwärts Steyr,,,SV Horn,
22,Fri Apr 9 2021,,Young Violets,,,Floridsdorfer AC,
22,Fri Apr 9 2021,,FC Blau Weiß Linz,,,Grazer AK,
22,Fri Apr 9 2021,,SK Austria Klagenfurt,,,Kapfenberger SV,
22,Fri Apr 9 2021,,Austria Lustenau,,,Rapid Wien II,
23,Tue Apr 13 2021,,SKU Amstetten,,,SK Austria Klagenfurt,
23,Tue Apr 13 2021,,FC Liefering,,,Young Violets,
23,Tue Apr 13 2021,,SV Horn,,,FC Wacker Innsbruck,
23,Tue Apr 13 2021,,Floridsdorfer AC,,,Vorwärts Steyr,
23,Tue Apr 13 2021,,Kapfenberger SV,,,SV Lafnitz,
23,Tue Apr 13 2021,,Grazer AK,,,FC Juniors OÖ,
23,Tue Apr 13 2021,,Rapid Wien II,,,FC Blau Weiß Linz,
23,Tue Apr 13 2021,,FC Dornbirn,,,Austria Lustenau,
24,Fri Apr 16 2021,,SKU Amstetten,,,FC Liefering,
24,Fri Apr 16 2021,,Young Violets,,,FC Wacker Innsbruck,
24,Fri Apr 16 2021,,FC Blau Weiß Linz,,,Vorwärts Steyr,
24,Fri Apr 16 2021,,SV Lafnitz,,,FC Dornbirn,
24,Fri Apr 16 2021,,Rapid Wien II,,,SV Horn,
24,Fri Apr 16 2021,,FC Juniors OÖ,,,Floridsdorfer AC,
24,Fri Apr 16 2021,,SK Austria Klagenfurt,,,Grazer AK,
24,Fri Apr 16 2021,,Austria Lustenau,,,Kapfenberger SV,
25,Fri Apr 23 2021,,FC Wacker Innsbruck,,,SK Austria Klagenfurt,
25,Fri Apr 23 2021,,Kapfenberger SV,,,FC Liefering,
25,Fri Apr 23 2021,,Young Violets,,,SKU Amstetten,
25,Fri Apr 23 2021,,Vorwärts Steyr,,,SV Lafnitz,
25,Fri Apr 23 2021,,FC Dornbirn,,,FC Juniors OÖ,
25,Fri Apr 23 2021,,SV Horn,,,FC Blau Weiß Linz,
25,Fri Apr 23 2021,,Floridsdorfer AC,,,Austria Lustenau,
25,Fri Apr 23 2021,,Grazer AK,,,Rapid Wien II,
26,Fri Apr 30 2021,,Austria Lustenau,,,SK Austria Klagenfurt,
26,Fri Apr 30 2021,,SV Lafnitz,,,Young Violets,
26,Fri Apr 30 2021,,Rapid Wien II,,,FC Wacker Innsbruck,
26,Fri Apr 30 2021,,FC Juniors OÖ,,,Vorwärts Steyr,
26,Fri Apr 30 2021,,FC Liefering,,,FC Dornbirn,
26,Fri Apr 30 2021,,Grazer AK,,,SV Horn,
26,Fri Apr 30 2021,,FC Blau Weiß Linz,,,Floridsdorfer AC,
26,Fri Apr 30 2021,,SKU Amstetten,,,Kapfenberger SV,
27,Fri May 7 2021,,Vorwärts Steyr,,,FC Liefering,
27,Fri May 7 2021,,Austria Lustenau,,,SKU Amstetten,
27,Fri May 7 2021,,FC Blau Weiß Linz,,,SV Lafnitz,
27,Fri May 7 2021,,SK Austria Klagenfurt,,,FC Juniors OÖ,
27,Fri May 7 2021,,Young Violets,,,FC Dornbirn,
27,Fri May 7 2021,,Floridsdorfer AC,,,SV Horn,
27,Fri May 7 2021,,FC Wacker Innsbruck,,,Grazer AK,
27,Fri May 7 2021,,Kapfenberger SV,,,Rapid Wien II,
28,Wed May 12 2021,,FC Liefering,,,SK Austria Klagenfurt,
28,Wed May 12 2021,,Rapid Wien II,,,Young Violets,
28,Wed May 12 2021,,SV Lafnitz,,,FC Wacker Innsbruck,
28,Wed May 12 2021,,FC Dornbirn,,,Vorwärts Steyr,
28,Wed May 12 2021,,FC Juniors OÖ,,,FC Blau Weiß Linz,
28,Wed May 12 2021,,Grazer AK,,,Austria Lustenau,
28,Wed May 12 2021,,SKU Amstetten,,,Floridsdorfer AC,
28,Wed May 12 2021,,SV Horn,,,Kapfenberger SV,
29,Sat May 15 2021,,Austria Lustenau,,,FC Liefering,
29,Sat May 15 2021,,FC Blau Weiß Linz,,,Young Violets,
29,Sat May 15 2021,,Vorwärts Steyr,,,FC Wacker Innsbruck,
29,Sat May 15 2021,,FC Juniors OÖ,,,SV Lafnitz,
29,Sat May 15 2021,,Kapfenberger SV,,,FC Dornbirn,
29,Sat May 15 2021,,SK Austria Klagenfurt,,,SV Horn,
29,Sat May 15 2021,,Floridsdorfer AC,,,Grazer AK,
29,Sat May 15 2021,,SKU Amstetten,,,Rapid Wien II,
30,Fri May 21 2021,,Rapid Wien II,,,SK Austria Klagenfurt,
30,Fri May 21 2021,,SV Horn,,,SKU Amstetten,
30,Fri May 21 2021,,Young Violets,,,Vorwärts Steyr,
30,Fri May 21 2021,,FC Wacker Innsbruck,,,FC Juniors OÖ,
30,Fri May 21 2021,,FC Liefering,,,FC Blau Weiß Linz,
30,Fri May 21 2021,,SV Lafnitz,,,Austria Lustenau,
30,Fri May 21 2021,,FC Dornbirn,,,Floridsdorfer AC,
30,Fri May 21 2021,,Grazer AK,,,Kapfenberger SV,
