Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,Comments,UTC
,4,Tue Oct 20 2020,21:00,CEST/+0200,AC Pisa,1-1,0-0,AC Monza,,,2020-10-20T19:00Z
,4,Tue Oct 20 2020,21:00,CEST/+0200,AS Cittadella,2-0,1-0,Pordenone Calcio,,,2020-10-20T19:00Z
,4,Tue Oct 20 2020,21:00,CEST/+0200,Ascoli Calcio,2-1,2-0,AC Reggiana 1919,,,2020-10-20T19:00Z
,4,Tue Oct 20 2020,21:00,CEST/+0200,Chievo Verona,1-0,1-0,Brescia Calcio,,,2020-10-20T19:00Z
,4,Tue Oct 20 2020,21:00,CEST/+0200,Empoli FC,2-1,0-1,SPAL 2013 Ferrara,,,2020-10-20T19:00Z
,4,Tue Oct 20 2020,21:00,CEST/+0200,Venezia FC,4-0,1-0,Delfino Pescara,,,2020-10-20T19:00Z
,4,Tue Oct 20 2020,21:00,CEST/+0200,Frosinone Calcio,0-0,0-0,Virtus Entella,,,2020-10-20T19:00Z
,4,Tue Oct 20 2020,21:00,CEST/+0200,L.R. Vicenza Virtus,1-1,1-1,US Salernitana 1919,,,2020-10-20T19:00Z
,4,Wed Oct 21 2020,19:00,CEST/+0200,US Lecce,2-2,0-2,US Cremonese,,,2020-10-21T17:00Z
,5,Fri Oct 23 2020,21:00,CEST/+0200,Empoli FC,3-1,1-1,AC Pisa,,,2020-10-23T19:00Z
,5,Sat Oct 24 2020,16:00,CEST/+0200,Delfino Pescara,0-2,0-1,Frosinone Calcio,,,2020-10-24T14:00Z
,5,Sat Oct 24 2020,14:00,CEST/+0200,Pordenone Calcio,2-2,0-1,Reggina 1914,,,2020-10-24T12:00Z
,5,Sat Oct 24 2020,14:00,CEST/+0200,SPAL 2013 Ferrara,3-2,1-1,L.R. Vicenza Virtus,,,2020-10-24T12:00Z
,5,Sat Oct 24 2020,14:00,CEST/+0200,AC Monza,1-2,1-0,Chievo Verona,,,2020-10-24T12:00Z
,5,Sat Oct 24 2020,14:00,CEST/+0200,US Salernitana 1919,1-0,0-0,Ascoli Calcio,,,2020-10-24T12:00Z
,5,Sun Oct 25 2020,16:00,CET/+0100,Cosenza Calcio,1-1,0-1,US Lecce,,,2020-10-25T15:00Z
,6,Sat Oct 31 2020,16:00,CET/+0100,L.R. Vicenza Virtus,4-4,2-2,AC Pisa,,,2020-10-31T15:00Z
,6,Sat Oct 31 2020,16:00,CET/+0100,Chievo Verona,2-0,1-0,Cosenza Calcio,,,2020-10-31T15:00Z
,6,Sat Oct 31 2020,16:00,CET/+0100,Brescia Calcio,2-2,0-0,Virtus Entella,,,2020-10-31T15:00Z
,6,Sat Oct 31 2020,16:00,CET/+0100,Ascoli Calcio,0-1,0-1,Pordenone Calcio,,,2020-10-31T15:00Z
,6,Sat Oct 31 2020,,,US Salernitana 1919,3-0 (*),,AC Reggiana 1919,,awd.,
,6,Sat Oct 31 2020,14:00,CET/+0100,AS Cittadella,1-2,1-2,AC Monza,,,2020-10-31T13:00Z
,6,Sun Nov 1 2020,15:00,CET/+0100,Reggina 1914,0-1,0-1,SPAL 2013 Ferrara,,,2020-11-01T14:00Z
