Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,Comments,UTC
,21,Fri Feb 5 2021,21:00,CET/+0100,US Lecce,1-2,1-1,Ascoli Calcio,,,2021-02-05T20:00Z
,21,Sat Feb 6 2021,14:00,CET/+0100,Brescia Calcio,3-3,3-0,AS Cittadella,,,2021-02-06T13:00Z
,21,Sat Feb 6 2021,14:00,CET/+0100,Cosenza Calcio,1-1,1-0,SPAL 2013 Ferrara,,,2021-02-06T13:00Z
,21,Sat Feb 6 2021,14:00,CET/+0100,Delfino Pescara,0-2,0-0,Reggina 1914,,,2021-02-06T13:00Z
,21,Sat Feb 6 2021,14:00,CET/+0100,Frosinone Calcio,1-2,0-1,Venezia FC,,,2021-02-06T13:00Z
,21,Sat Feb 6 2021,14:00,CET/+0100,US Cremonese,2-1,2-1,AC Pisa,,,2021-02-06T13:00Z
,21,Sat Feb 6 2021,14:00,CET/+0100,US Salernitana 1919,1-1,1-0,Chievo Verona,,,2021-02-06T13:00Z
,21,Sat Feb 6 2021,16:00,CET/+0100,AC Monza,1-1,0-1,Empoli FC,,,2021-02-06T15:00Z
,21,Sat Feb 6 2021,18:00,CET/+0100,Pordenone Calcio,1-2,0-1,L.R. Vicenza Virtus,,,2021-02-06T17:00Z
,21,Sun Feb 7 2021,21:00,CET/+0100,AC Reggiana 1919,2-1,0-0,Virtus Entella,,,2021-02-07T20:00Z
,22,Tue Feb 9 2021,19:00,CET/+0100,AC Pisa,2-2,0-0,US Salernitana 1919,,,2021-02-09T18:00Z
,22,Tue Feb 9 2021,19:00,CET/+0100,AS Cittadella,1-1,1-0,Cosenza Calcio,,,2021-02-09T18:00Z
,22,Tue Feb 9 2021,19:00,CET/+0100,Empoli FC,2-2,0-0,Delfino Pescara,,,2021-02-09T18:00Z
,22,Tue Feb 9 2021,19:00,CET/+0100,Venezia FC,3-1,1-0,US Cremonese,,,2021-02-09T18:00Z
,22,Tue Feb 9 2021,19:00,CET/+0100,L.R. Vicenza Virtus,1-2,0-0,AC Monza,,,2021-02-09T18:00Z
,22,Tue Feb 9 2021,19:00,CET/+0100,SPAL 2013 Ferrara,1-3,1-1,Pordenone Calcio,,,2021-02-09T18:00Z
,22,Tue Feb 9 2021,19:00,CET/+0100,US Lecce,2-2,0-0,Brescia Calcio,,,2021-02-09T18:00Z
,22,Tue Feb 9 2021,21:00,CET/+0100,Ascoli Calcio,1-1,0-0,Frosinone Calcio,,,2021-02-09T20:00Z
,22,Wed Feb 10 2021,19:00,CET/+0100,Reggina 1914,1-0,1-0,Virtus Entella,,,2021-02-10T18:00Z
,22,Wed Feb 10 2021,21:00,CET/+0100,Chievo Verona,1-0,0-0,AC Reggiana 1919,,,2021-02-10T20:00Z
,23,Fri Feb 12 2021,21:00,CET/+0100,AC Monza,0-2,0-2,AC Pisa,,,2021-02-12T20:00Z
,23,Sat Feb 13 2021,12:00,CET/+0100,US Salernitana 1919,1-1,0-0,L.R. Vicenza Virtus,,,2021-02-13T11:00Z
,23,Sat Feb 13 2021,14:00,CET/+0100,Delfino Pescara,0-2,0-1,Venezia FC,,,2021-02-13T13:00Z
,23,Sat Feb 13 2021,14:00,CET/+0100,Pordenone Calcio,0-1,0-1,AS Cittadella,,,2021-02-13T13:00Z
,23,Sat Feb 13 2021,14:00,CET/+0100,US Cremonese,1-2,1-1,US Lecce,,,2021-02-13T13:00Z
,23,Sat Feb 13 2021,16:00,CET/+0100,SPAL 2013 Ferrara,1-1,0-1,Empoli FC,,,2021-02-13T15:00Z
,23,Sun Feb 14 2021,17:00,CET/+0100,AC Reggiana 1919,1-0,0-0,Ascoli Calcio,,,2021-02-14T16:00Z
,23,Sun Feb 14 2021,18:00,CET/+0100,Brescia Calcio,1-0,1-0,Chievo Verona,,,2021-02-14T17:00Z
,23,Sun Feb 14 2021,15:00,CET/+0100,Virtus Entella,2-3,1-2,Frosinone Calcio,,,2021-02-14T14:00Z
,23,Mon Feb 15 2021,21:00,CET/+0100,Cosenza Calcio,2-2,1-2,Reggina 1914,,,2021-02-15T20:00Z
,24,Fri Feb 19 2021,21:00,CET/+0100,Frosinone Calcio,0-0,0-0,Delfino Pescara,,,2021-02-19T20:00Z
,24,Sat Feb 20 2021,14:00,CET/+0100,AS Cittadella,0-3,0-2,AC Reggiana 1919,,,2021-02-20T13:00Z
,24,Sat Feb 20 2021,14:00,CET/+0100,Ascoli Calcio,0-2,0-2,US Salernitana 1919,,,2021-02-20T13:00Z
,24,Sat Feb 20 2021,14:00,CET/+0100,Brescia Calcio,1-2,1-0,US Cremonese,,,2021-02-20T13:00Z
,24,Sat Feb 20 2021,14:00,CET/+0100,Venezia FC,3-2,1-2,Virtus Entella,,,2021-02-20T13:00Z
,24,Sat Feb 20 2021,14:00,CET/+0100,L.R. Vicenza Virtus,2-2,0-2,SPAL 2013 Ferrara,,,2021-02-20T13:00Z
,24,Sat Feb 20 2021,16:00,CET/+0100,Chievo Verona,0-1,0-0,AC Monza,,,2021-02-20T15:00Z
,24,Sat Feb 20 2021,18:00,CET/+0100,AC Pisa,1-1,1-0,Empoli FC,,,2021-02-20T17:00Z
,24,Sun Feb 21 2021,21:00,CET/+0100,US Lecce,3-1,1-1,Cosenza Calcio,,,2021-02-21T20:00Z
,24,Sun Feb 21 2021,15:00,CET/+0100,Reggina 1914,1-0,0-0,Pordenone Calcio,,,2021-02-21T14:00Z
,25,Fri Feb 26 2021,21:00,CET/+0100,Empoli FC,1-1,0-1,Venezia FC,,,2021-02-26T20:00Z
,25,Fri Feb 26 2021,19:00,CET/+0100,AC Reggiana 1919,0-0,0-0,US Salernitana 1919,,,2021-02-26T18:00Z
,25,Sat Feb 27 2021,14:00,CET/+0100,AC Pisa,2-2,0-2,L.R. Vicenza Virtus,,,2021-02-27T13:00Z
,25,Sat Feb 27 2021,14:00,CET/+0100,Cosenza Calcio,1-0,1-0,Chievo Verona,,,2021-02-27T13:00Z
,25,Sat Feb 27 2021,14:00,CET/+0100,Delfino Pescara,1-1,0-1,US Lecce,,,2021-02-27T13:00Z
,25,Sat Feb 27 2021,14:00,CET/+0100,Pordenone Calcio,1-1,1-0,Ascoli Calcio,,,2021-02-27T13:00Z
,25,Sat Feb 27 2021,14:00,CET/+0100,SPAL 2013 Ferrara,1-4,0-2,Reggina 1914,,,2021-02-27T13:00Z
,25,Sat Feb 27 2021,14:00,CET/+0100,US Cremonese,4-0,2-0,Frosinone Calcio,,,2021-02-27T13:00Z
,25,Sat Feb 27 2021,16:00,CET/+0100,AC Monza,0-0,0-0,AS Cittadella,,,2021-02-27T15:00Z
,25,Sat Feb 27 2021,18:00,CET/+0100,Virtus Entella,1-1,0-1,Brescia Calcio,,,2021-02-27T17:00Z
,26,Mon Mar 1 2021,21:00,CET/+0100,Venezia FC,2-1,1-1,AC Reggiana 1919,,,2021-03-01T20:00Z
,26,Tue Mar 2 2021,17:00,CET/+0100,Frosinone Calcio,2-2,1-2,AC Monza,,,2021-03-02T16:00Z
,26,Tue Mar 2 2021,19:00,CET/+0100,AS Cittadella,0-1,0-0,Delfino Pescara,,,2021-03-02T18:00Z
,26,Tue Mar 2 2021,19:00,CET/+0100,Ascoli Calcio,0-2,0-2,AC Pisa,,,2021-03-02T18:00Z
,26,Tue Mar 2 2021,19:00,CET/+0100,Brescia Calcio,2-0,0-0,Cosenza Calcio,,,2021-03-02T18:00Z
,26,Tue Mar 2 2021,19:00,CET/+0100,Chievo Verona,3-0,2-0,Pordenone Calcio,,,2021-03-02T18:00Z
,26,Tue Mar 2 2021,19:00,CET/+0100,Reggina 1914,0-3,0-1,Empoli FC,,,2021-03-02T18:00Z
,26,Tue Mar 2 2021,19:00,CET/+0100,US Lecce,0-0,0-0,Virtus Entella,,,2021-03-02T18:00Z
,26,Tue Mar 2 2021,19:00,CET/+0100,US Salernitana 1919,0-0,0-0,SPAL 2013 Ferrara,,,2021-03-02T18:00Z
,26,Tue Mar 2 2021,21:00,CET/+0100,L.R. Vicenza Virtus,3-1,2-0,US Cremonese,,,2021-03-02T20:00Z
,27,Sat Mar 6 2021,14:00,CET/+0100,AC Pisa,0-0,0-0,Reggina 1914,,,2021-03-06T13:00Z
,27,Sat Mar 6 2021,14:00,CET/+0100,Cosenza Calcio,1-2,1-1,Frosinone Calcio,,,2021-03-06T13:00Z
,27,Sat Mar 6 2021,14:00,CET/+0100,Delfino Pescara,0-1,0-1,SPAL 2013 Ferrara,,,2021-03-06T13:00Z
,27,Sat Mar 6 2021,14:00,CET/+0100,US Cremonese,0-1,0-1,US Salernitana 1919,,,2021-03-06T13:00Z
,27,Sat Mar 6 2021,14:00,CET/+0100,Virtus Entella,0-0,0-0,Ascoli Calcio,,,2021-03-06T13:00Z
,27,Sat Mar 6 2021,16:00,CET/+0100,Venezia FC,0-1,0-1,Brescia Calcio,,,2021-03-06T15:00Z
,27,Sat Mar 6 2021,18:00,CET/+0100,AC Monza,2-0,1-0,Pordenone Calcio,,,2021-03-06T17:00Z
,27,Sun Mar 7 2021,21:00,CET/+0100,AC Reggiana 1919,0-4,0-3,US Lecce,,,2021-03-07T20:00Z
,27,Sun Mar 7 2021,15:00,CET/+0100,Empoli FC,1-1,1-0,AS Cittadella,,,2021-03-07T14:00Z
,27,Mon Mar 8 2021,19:00,CET/+0100,Chievo Verona,1-2,0-2,L.R. Vicenza Virtus,,,2021-03-08T18:00Z
,28,Fri Mar 12 2021,19:00,CET/+0100,AS Cittadella,2-0,2-0,AC Pisa,,,2021-03-12T18:00Z
,28,Fri Mar 12 2021,21:00,CET/+0100,SPAL 2013 Ferrara,0-0,0-0,Virtus Entella,,,2021-03-12T20:00Z
,28,Sat Mar 13 2021,14:00,CET/+0100,Ascoli Calcio,1-1,0-0,Venezia FC,,,2021-03-13T13:00Z
,28,Sat Mar 13 2021,14:00,CET/+0100,Frosinone Calcio,0-1,0-0,Brescia Calcio,,,2021-03-13T13:00Z
,28,Sat Mar 13 2021,14:00,CET/+0100,Pordenone Calcio,0-0,0-0,Delfino Pescara,,,2021-03-13T13:00Z
,28,Sat Mar 13 2021,14:00,CET/+0100,Reggina 1914,1-0,0-0,AC Monza,,,2021-03-13T13:00Z
,28,Sat Mar 13 2021,14:00,CET/+0100,US Cremonese,3-0,1-0,AC Reggiana 1919,,,2021-03-13T13:00Z
,28,Sat Mar 13 2021,14:00,CET/+0100,US Lecce,4-2,4-1,Chievo Verona,,,2021-03-13T13:00Z
,28,Sat Mar 13 2021,16:00,CET/+0100,US Salernitana 1919,0-0,0-0,Cosenza Calcio,,,2021-03-13T15:00Z
,28,Sat Mar 13 2021,18:00,CET/+0100,L.R. Vicenza Virtus,0-2,0-1,Empoli FC,,,2021-03-13T17:00Z
,29,Mon Mar 15 2021,21:00,CET/+0100,AC Pisa,3-0,1-0,SPAL 2013 Ferrara,,,2021-03-15T20:00Z
,29,Tue Mar 16 2021,16:00,CET/+0100,Virtus Entella,0-2,0-0,US Cremonese,,,2021-03-16T15:00Z
,29,Tue Mar 16 2021,17:00,CET/+0100,Cosenza Calcio,1-1,1-0,L.R. Vicenza Virtus,,,2021-03-16T16:00Z
,29,Tue Mar 16 2021,17:00,CET/+0100,Venezia FC,2-3,1-1,US Lecce,,,2021-03-16T16:00Z
,29,Tue Mar 16 2021,19:00,CET/+0100,AS Cittadella,0-0,0-0,US Salernitana 1919,,,2021-03-16T18:00Z
,29,Tue Mar 16 2021,19:00,CET/+0100,Brescia Calcio,1-0,0-0,Reggina 1914,,,2021-03-16T18:00Z
,29,Tue Mar 16 2021,19:00,CET/+0100,Chievo Verona,0-0,0-0,Frosinone Calcio,,,2021-03-16T18:00Z
,29,Tue Mar 16 2021,19:00,CET/+0100,Empoli FC,1-0,0-0,Pordenone Calcio,,,2021-03-16T18:00Z
,29,Tue Mar 16 2021,19:00,CET/+0100,AC Monza,2-0,1-0,AC Reggiana 1919,,,2021-03-16T18:00Z
,29,Tue Mar 16 2021,21:00,CET/+0100,Delfino Pescara,2-3,1-1,Ascoli Calcio,,,2021-03-16T20:00Z
,30,Fri Mar 19 2021,21:00,CET/+0100,Ascoli Calcio,0-0,0-0,US Cremonese,,,2021-03-19T20:00Z
,30,Sat Mar 20 2021,14:00,CET/+0100,Empoli FC,1-0,1-0,Virtus Entella,,,2021-03-20T13:00Z
,30,Sat Mar 20 2021,14:00,CET/+0100,Frosinone Calcio,0-3,0-0,US Lecce,,,2021-03-20T13:00Z
,30,Sat Mar 20 2021,14:00,CET/+0100,L.R. Vicenza Virtus,1-0,0-0,Delfino Pescara,,,2021-03-20T13:00Z
,30,Sat Mar 20 2021,14:00,CET/+0100,AC Reggiana 1919,1-1,0-1,Cosenza Calcio,,,2021-03-20T13:00Z
,30,Sat Mar 20 2021,16:00,CET/+0100,AC Monza,1-4,0-2,Venezia FC,,,2021-03-20T15:00Z
,30,Sat Mar 20 2021,18:00,CET/+0100,SPAL 2013 Ferrara,1-0,0-0,AS Cittadella,,,2021-03-20T17:00Z
,30,Sun Mar 21 2021,21:00,CET/+0100,US Salernitana 1919,1-0,1-0,Brescia Calcio,,,2021-03-21T20:00Z
,30,Sun Mar 21 2021,15:00,CET/+0100,Reggina 1914,1-1,0-0,Chievo Verona,,,2021-03-21T14:00Z
,31,Fri Apr 2 2021,19:00,CEST/+0200,US Lecce,2-0,1-0,US Salernitana 1919,,,2021-04-02T17:00Z
,31,Fri Apr 2 2021,15:00,CEST/+0200,Cosenza Calcio,2-1,1-1,Ascoli Calcio,,,2021-04-02T13:00Z
,31,Fri Apr 2 2021,17:00,CEST/+0200,Delfino Pescara,3-1,1-0,AC Pisa,,,2021-04-02T15:00Z
,31,Fri Apr 2 2021,17:00,CEST/+0200,Frosinone Calcio,0-0,0-0,AC Reggiana 1919,,,2021-04-02T15:00Z
,31,Fri Apr 2 2021,19:00,CEST/+0200,Brescia Calcio,4-1,3-1,Pordenone Calcio,,,2021-04-02T17:00Z
,31,Fri Apr 2 2021,19:00,CEST/+0200,Chievo Verona,1-1,0-0,SPAL 2013 Ferrara,,,2021-04-02T17:00Z
,31,Fri Apr 2 2021,19:00,CEST/+0200,Venezia FC,0-2,0-0,Reggina 1914,,,2021-04-02T17:00Z
,31,Fri Apr 2 2021,19:00,CEST/+0200,L.R. Vicenza Virtus,1-0,1-0,AS Cittadella,,,2021-04-02T17:00Z
,31,Fri Apr 2 2021,19:00,CEST/+0200,Virtus Entella,1-1,0-0,AC Monza,,,2021-04-02T17:00Z
,32,Mon Apr 5 2021,21:00,CEST/+0200,US Salernitana 1919,1-0,0-0,Frosinone Calcio,,,2021-04-05T19:00Z
,32,Mon Apr 5 2021,19:00,CEST/+0200,SPAL 2013 Ferrara,1-1,1-1,Venezia FC,,,2021-04-05T17:00Z
,32,Mon Apr 5 2021,12:30,CEST/+0200,Pordenone Calcio,3-0,2-0,Virtus Entella,,,2021-04-05T10:30Z
,32,Mon Apr 5 2021,15:00,CEST/+0200,AC Pisa,0-1,0-0,US Lecce,,,2021-04-05T13:00Z
,32,Mon Apr 5 2021,15:00,CEST/+0200,AS Cittadella,1-1,0-0,Reggina 1914,,,2021-04-05T13:00Z
,32,Mon Apr 5 2021,15:00,CEST/+0200,Ascoli Calcio,2-1,0-0,L.R. Vicenza Virtus,,,2021-04-05T13:00Z
,32,Mon Apr 5 2021,15:00,CEST/+0200,Cosenza Calcio,0-1,0-1,US Cremonese,,,2021-04-05T13:00Z
,32,Mon Apr 5 2021,15:00,CEST/+0200,AC Monza,1-1,1-0,Delfino Pescara,,,2021-04-05T13:00Z
,32,Mon Apr 5 2021,17:00,CEST/+0200,AC Reggiana 1919,2-2,0-1,Brescia Calcio,,,2021-04-05T15:00Z
,33,Fri Apr 9 2021,21:00,CEST/+0200,AC Reggiana 1919,0-1,0-1,Empoli FC,,,2021-04-09T19:00Z
,33,Sat Apr 10 2021,14:00,CEST/+0200,Virtus Entella,0-3,0-2,US Salernitana 1919,,,2021-04-10T12:00Z
,33,Sat Apr 10 2021,16:00,CEST/+0200,Frosinone Calcio,1-1,0-1,AS Cittadella,,,2021-04-10T14:00Z
,33,Sat Apr 10 2021,14:00,CEST/+0200,Ascoli Calcio,1-0,0-0,AC Monza,,,2021-04-10T12:00Z
,33,Sat Apr 10 2021,14:00,CEST/+0200,US Lecce,1-2,1-1,SPAL 2013 Ferrara,,,2021-04-10T12:00Z
,33,Sat Apr 10 2021,14:00,CEST/+0200,US Cremonese,2-1,1-1,Pordenone Calcio,,,2021-04-10T12:00Z
,33,Sat Apr 10 2021,14:00,CEST/+0200,Brescia Calcio,1-1,1-0,Delfino Pescara,,,2021-04-10T12:00Z
,33,Sun Apr 11 2021,19:00,CEST/+0200,Venezia FC,3-0,1-0,Cosenza Calcio,,,2021-04-11T17:00Z
,33,Sun Apr 11 2021,15:00,CEST/+0200,Reggina 1914,3-0,2-0,L.R. Vicenza Virtus,,,2021-04-11T13:00Z
,33,Mon Apr 12 2021,19:00,CEST/+0200,Chievo Verona,2-0,1-0,AC Pisa,,,2021-04-12T17:00Z
,31,Tue Apr 13 2021,16:00,CEST/+0200,US Cremonese,2-2,1-1,Empoli FC,,,2021-04-13T14:00Z
,34,Fri Apr 16 2021,21:00,CEST/+0200,SPAL 2013 Ferrara,1-2,1-1,Ascoli Calcio,,,2021-04-16T19:00Z
,34,Sat Apr 17 2021,16:00,CEST/+0200,AS Cittadella,1-0,0-0,Chievo Verona,,,2021-04-17T14:00Z
,34,Sat Apr 17 2021,14:00,CEST/+0200,Reggina 1914,2-1,1-1,AC Reggiana 1919,,,2021-04-17T12:00Z
,34,Sat Apr 17 2021,14:00,CEST/+0200,AC Pisa,3-0,0-0,Cosenza Calcio,,,2021-04-17T12:00Z
,34,Sat Apr 17 2021,14:00,CEST/+0200,Empoli FC,4-2,3-1,Brescia Calcio,,,2021-04-17T12:00Z
,34,Sat Apr 17 2021,14:00,CEST/+0200,L.R. Vicenza Virtus,1-2,0-0,US Lecce,,,2021-04-17T12:00Z
,34,Sat Apr 17 2021,14:00,CEST/+0200,US Salernitana 1919,2-1,0-1,Venezia FC,,,2021-04-17T12:00Z
,34,Sat Apr 17 2021,14:00,CEST/+0200,AC Monza,2-1,2-0,US Cremonese,,,2021-04-17T12:00Z
,34,Sat Apr 17 2021,18:00,CEST/+0200,Pordenone Calcio,2-0,2-0,Frosinone Calcio,,,2021-04-17T16:00Z
,30,Sat Apr 24 2021,16:00,CEST/+0200,Pordenone Calcio,2-2,1-2,AC Pisa,,,2021-04-24T14:00Z
,32,Tue Apr 27 2021,16:00,CEST/+0200,Empoli FC,2-2,1-0,Chievo Verona,,,2021-04-27T14:00Z
,34,Tue Apr 27 2021,14:00,CEST/+0200,Delfino Pescara,1-1,0-1,Virtus Entella,,,2021-04-27T12:00Z
,35,Sat May 1 2021,14:00,CEST/+0200,Ascoli Calcio,2-0,1-0,Empoli FC,,,2021-05-01T12:00Z
,35,Sat May 1 2021,14:00,CEST/+0200,Brescia Calcio,3-1,1-0,SPAL 2013 Ferrara,,,2021-05-01T12:00Z
,35,Sat May 1 2021,14:00,CEST/+0200,Cosenza Calcio,3-0,3-0,Delfino Pescara,,,2021-05-01T12:00Z
,35,Sat May 1 2021,14:00,CEST/+0200,Venezia FC,3-1,1-0,Chievo Verona,,,2021-05-01T12:00Z
,35,Sat May 1 2021,14:00,CEST/+0200,Frosinone Calcio,3-1,1-1,AC Pisa,,,2021-05-01T12:00Z
,35,Sat May 1 2021,14:00,CEST/+0200,AC Reggiana 1919,1-0,0-0,Pordenone Calcio,,,2021-05-01T12:00Z
,35,Sat May 1 2021,14:00,CEST/+0200,US Cremonese,1-1,1-0,Reggina 1914,,,2021-05-01T12:00Z
,35,Sat May 1 2021,14:00,CEST/+0200,US Lecce,1-3,1-1,AS Cittadella,,,2021-05-01T12:00Z
,35,Sat May 1 2021,14:00,CEST/+0200,US Salernitana 1919,1-3,0-0,AC Monza,,,2021-05-01T12:00Z
,35,Sat May 1 2021,14:00,CEST/+0200,Virtus Entella,1-2,0-1,L.R. Vicenza Virtus,,,2021-05-01T12:00Z
,36,Tue May 4 2021,14:00,CEST/+0200,AC Pisa,2-2,2-0,Venezia FC,,,2021-05-04T12:00Z
,36,Tue May 4 2021,14:00,CEST/+0200,AS Cittadella,1-0,0-0,Virtus Entella,,,2021-05-04T12:00Z
,36,Tue May 4 2021,14:00,CEST/+0200,Chievo Verona,1-1,1-0,US Cremonese,,,2021-05-04T12:00Z
,36,Tue May 4 2021,14:00,CEST/+0200,Delfino Pescara,1-0,1-0,AC Reggiana 1919,,,2021-05-04T12:00Z
,36,Tue May 4 2021,14:00,CEST/+0200,Empoli FC,4-0,2-0,Cosenza Calcio,,,2021-05-04T12:00Z
,36,Tue May 4 2021,14:00,CEST/+0200,L.R. Vicenza Virtus,0-3,0-2,Brescia Calcio,,,2021-05-04T12:00Z
,36,Tue May 4 2021,14:00,CEST/+0200,Pordenone Calcio,1-2,0-1,US Salernitana 1919,,,2021-05-04T12:00Z
,36,Tue May 4 2021,14:00,CEST/+0200,Reggina 1914,2-2,1-1,Ascoli Calcio,,,2021-05-04T12:00Z
,36,Tue May 4 2021,14:00,CEST/+0200,SPAL 2013 Ferrara,0-1,0-0,Frosinone Calcio,,,2021-05-04T12:00Z
,36,Tue May 4 2021,14:00,CEST/+0200,AC Monza,1-0,1-0,US Lecce,,,2021-05-04T12:00Z
,37,Fri May 7 2021,14:00,CEST/+0200,Ascoli Calcio,2-0,2-0,AS Cittadella,,,2021-05-07T12:00Z
,37,Fri May 7 2021,14:00,CEST/+0200,Brescia Calcio,4-3,1-1,AC Pisa,,,2021-05-07T12:00Z
,37,Fri May 7 2021,14:00,CEST/+0200,Cosenza Calcio,0-3,0-0,AC Monza,,,2021-05-07T12:00Z
,37,Fri May 7 2021,14:00,CEST/+0200,Venezia FC,0-0,0-0,Pordenone Calcio,,,2021-05-07T12:00Z
,37,Fri May 7 2021,14:00,CEST/+0200,Frosinone Calcio,1-1,0-0,L.R. Vicenza Virtus,,,2021-05-07T12:00Z
,37,Fri May 7 2021,14:00,CEST/+0200,AC Reggiana 1919,1-2,0-1,SPAL 2013 Ferrara,,,2021-05-07T12:00Z
,37,Fri May 7 2021,14:00,CEST/+0200,US Cremonese,3-0,1-0,Delfino Pescara,,,2021-05-07T12:00Z
,37,Fri May 7 2021,14:00,CEST/+0200,US Lecce,2-2,2-2,Reggina 1914,,,2021-05-07T12:00Z
,37,Fri May 7 2021,14:00,CEST/+0200,US Salernitana 1919,2-0,1-0,Empoli FC,,,2021-05-07T12:00Z
,37,Fri May 7 2021,14:00,CEST/+0200,Virtus Entella,1-3,1-2,Chievo Verona,,,2021-05-07T12:00Z
,38,Mon May 10 2021,14:00,CEST/+0200,AC Pisa,3-2,1-1,Virtus Entella,,,2021-05-10T12:00Z
,38,Mon May 10 2021,14:00,CEST/+0200,AS Cittadella,1-1,0-1,Venezia FC,,,2021-05-10T12:00Z
,38,Mon May 10 2021,14:00,CEST/+0200,Chievo Verona,3-0,1-0,Ascoli Calcio,,,2021-05-10T12:00Z
,38,Mon May 10 2021,14:00,CEST/+0200,Delfino Pescara,0-3,0-0,US Salernitana 1919,,,2021-05-10T12:00Z
,38,Mon May 10 2021,14:00,CEST/+0200,Empoli FC,2-1,0-1,US Lecce,,,2021-05-10T12:00Z
,38,Mon May 10 2021,14:00,CEST/+0200,L.R. Vicenza Virtus,2-1,1-1,AC Reggiana 1919,,,2021-05-10T12:00Z
,38,Mon May 10 2021,14:00,CEST/+0200,Pordenone Calcio,2-0,0-0,Cosenza Calcio,,,2021-05-10T12:00Z
,38,Mon May 10 2021,14:00,CEST/+0200,Reggina 1914,0-4,0-2,Frosinone Calcio,,,2021-05-10T12:00Z
,38,Mon May 10 2021,14:00,CEST/+0200,SPAL 2013 Ferrara,1-0,0-0,US Cremonese,,,2021-05-10T12:00Z
,38,Mon May 10 2021,14:00,CEST/+0200,AC Monza,0-2,0-0,Brescia Calcio,,,2021-05-10T12:00Z
Aufstieg,Round 1,Thu May 13 2021,21:00,CEST/+0200,Venezia FC,1-1,0-1,Chievo Verona,3-2,,2021-05-13T19:00Z
Aufstieg,Round 1,Thu May 13 2021,18:00,CEST/+0200,AS Cittadella,1-0,1-0,Brescia Calcio,,,2021-05-13T16:00Z
Aufstieg,Semifinals,Mon May 17 2021,20:45,CEST/+0200,Venezia FC,1-0,0-0,US Lecce,,,2021-05-17T18:45Z
Aufstieg,Semifinals,Mon May 17 2021,18:30,CEST/+0200,AS Cittadella,3-0,2-0,AC Monza,,,2021-05-17T16:30Z
Aufstieg,Semifinals,Thu May 20 2021,20:45,CEST/+0200,AC Monza,2-0,0-0,AS Cittadella,,,2021-05-20T18:45Z
Aufstieg,Semifinals,Thu May 20 2021,18:30,CEST/+0200,US Lecce,1-1,0-1,Venezia FC,,,2021-05-20T16:30Z
Aufstieg,Final,Sun May 23 2021,21:15,CEST/+0200,AS Cittadella,0-1,0-0,Venezia FC,,,2021-05-23T19:15Z
Aufstieg,Final,Thu May 27 2021,21:15,CEST/+0200,Venezia FC,1-1,0-1,AS Cittadella,,,2021-05-27T19:15Z
