Stage,Round,Date,Time,Team 1,FT,Team 2
Regular Season,22,Wed Jan 27 2021,,AS Eupen,,Royal Antwerp FC
Regular Season,22,Wed Jan 27 2021,,KRC Genk,,SV Zulte Waregem
Regular Season,22,Wed Jan 27 2021,,KV Oostende,,Standard Liège
Regular Season,22,Wed Jan 27 2021,,Royal Excel Mouscron,,RSC Anderlecht
Regular Season,22,Wed Jan 27 2021,,Sporting Charleroi,,Oud-Heverlee Leuven
Regular Season,22,Wed Jan 27 2021,,Waasland-Beveren,,KV Mechelen
Regular Season,23,Sat Jan 30 2021,,Royal Antwerp FC,,Waasland-Beveren
Regular Season,23,Sat Jan 30 2021,,Club Brugge KV,,Standard Liège
Regular Season,23,Sat Jan 30 2021,,AS Eupen,,Royal Excel Mouscron
Regular Season,23,Sat Jan 30 2021,,KV Kortrijk,,Sporting Charleroi
Regular Season,23,Sat Jan 30 2021,,KV Mechelen,,KRC Genk
Regular Season,23,Sat Jan 30 2021,,Oud-Heverlee Leuven,,K Beerschot VA
Regular Season,23,Sat Jan 30 2021,,RSC Anderlecht,,KAA Gent
Regular Season,23,Sat Jan 30 2021,,SV Zulte Waregem,,KV Oostende
Regular Season,23,Sat Jan 30 2021,,Sint-Truidense VV,,Cercle Brugge
Regular Season,24,Sat Feb 6 2021,,KAA Gent,,AS Eupen
Regular Season,24,Sat Feb 6 2021,,K Beerschot VA,,Royal Antwerp FC
Regular Season,24,Sat Feb 6 2021,,Cercle Brugge,,KV Mechelen
Regular Season,24,Sat Feb 6 2021,,KRC Genk,,RSC Anderlecht
Regular Season,24,Sat Feb 6 2021,,KV Oostende,,Sint-Truidense VV
Regular Season,24,Sat Feb 6 2021,,Royal Excel Mouscron,,KV Kortrijk
Regular Season,24,Sat Feb 6 2021,,Sporting Charleroi,,SV Zulte Waregem
Regular Season,24,Sat Feb 6 2021,,Standard Liège,,Oud-Heverlee Leuven
Regular Season,24,Sat Feb 6 2021,,Waasland-Beveren,,Club Brugge KV
Regular Season,25,Wed Feb 10 2021,,Royal Antwerp FC,,Cercle Brugge
Regular Season,25,Wed Feb 10 2021,,Club Brugge KV,,KV Oostende
Regular Season,25,Wed Feb 10 2021,,AS Eupen,,K Beerschot VA
Regular Season,25,Wed Feb 10 2021,,KRC Genk,,KAA Gent
Regular Season,25,Wed Feb 10 2021,,KV Kortrijk,,Sint-Truidense VV
Regular Season,25,Wed Feb 10 2021,,KV Mechelen,,Standard Liège
Regular Season,25,Wed Feb 10 2021,,Royal Excel Mouscron,,Waasland-Beveren
Regular Season,25,Wed Feb 10 2021,,RSC Anderlecht,,Sporting Charleroi
Regular Season,25,Wed Feb 10 2021,,SV Zulte Waregem,,Oud-Heverlee Leuven
Regular Season,26,Sat Feb 13 2021,,KV Oostende,,KRC Genk
Regular Season,26,Sat Feb 13 2021,,K Beerschot VA,,KV Mechelen
Regular Season,26,Sat Feb 13 2021,,Cercle Brugge,,RSC Anderlecht
Regular Season,26,Sat Feb 13 2021,,KAA Gent,,Royal Excel Mouscron
Regular Season,26,Sat Feb 13 2021,,Oud-Heverlee Leuven,,KV Kortrijk
Regular Season,26,Sat Feb 13 2021,,Sporting Charleroi,,Club Brugge KV
