Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Sat Aug 22 2020,15:00,Toulouse FC,0-1,0-0,USL Dunkerque,
1,Sat Aug 22 2020,19:00,AC Ajaccio,0-1,0-0,LB Châteauroux,
1,Sat Aug 22 2020,19:00,AJ Auxerre,0-2,0-1,FC Sochaux,
1,Sat Aug 22 2020,19:00,Clermont Foot 63,0-0,0-0,SM Caen,
1,Sat Aug 22 2020,19:00,EA Guingamp,0-1,0-1,Chamois Niortais,
1,Sat Aug 22 2020,19:00,FC Chambly,0-3,0-1,Paris FC,
1,Sat Aug 22 2020,19:00,Valenciennes FC,3-0,2-0,Pau FC,
1,Sat Aug 22 2020,19:00,Rodez AF,1-0,0-0,Grenoble Foot 38,
1,Sat Aug 22 2020,19:00,Amiens SC,1-0,0-0,AS Nancy Lorraine,
1,Mon Aug 24 2020,20:45,ESTAC Troyes,2-0,0-0,Havre AC,
2,Sat Aug 29 2020,15:00,AS Nancy Lorraine,2-2,0-0,EA Guingamp,
2,Sat Aug 29 2020,15:00,SM Caen,1-0,1-0,AC Ajaccio,
2,Sat Aug 29 2020,19:00,Havre AC,1-0,1-0,Amiens SC,
2,Sat Aug 29 2020,19:00,Chamois Niortais,1-1,0-1,FC Chambly,
2,Sat Aug 29 2020,19:00,Paris FC,1-0,0-0,Valenciennes FC,
2,Sat Aug 29 2020,19:00,Pau FC,1-1,0-0,Rodez AF,
2,Sat Aug 29 2020,19:00,FC Sochaux,2-1,1-0,ESTAC Troyes,
2,Sat Aug 29 2020,19:00,Grenoble Foot 38,5-3,4-2,Toulouse FC,
2,Sat Aug 29 2020,19:00,LB Châteauroux,1-2,0-0,AJ Auxerre,
2,Sat Aug 29 2020,19:00,USL Dunkerque,1-1,1-0,Clermont Foot 63,
3,Sat Sep 12 2020,15:00,EA Guingamp,1-3,0-2,Havre AC,
3,Sat Sep 12 2020,19:00,AJ Auxerre,0-1,0-0,Clermont Foot 63,
3,Sat Sep 12 2020,19:00,ESTAC Troyes,2-0,1-0,Pau FC,
3,Sat Sep 12 2020,19:00,FC Chambly,1-2,1-0,Grenoble Foot 38,
3,Sat Sep 12 2020,19:00,Chamois Niortais,1-0,0-0,AS Nancy Lorraine,
3,Sat Sep 12 2020,19:00,Valenciennes FC,1-0,0-0,LB Châteauroux,
3,Sat Sep 12 2020,19:00,Rodez AF,0-3,0-1,SM Caen,
3,Sat Sep 12 2020,19:00,Amiens SC,1-2,0-1,Paris FC,
3,Mon Sep 14 2020,20:45,Toulouse FC,0-0,0-0,FC Sochaux,
4,Sat Sep 19 2020,19:00,USL Dunkerque,1-0,0-0,Valenciennes FC,
4,Sat Sep 19 2020,15:00,Clermont Foot 63,1-1,1-0,Toulouse FC,
4,Sat Sep 19 2020,19:00,Havre AC,0-1,0-0,Chamois Niortais,
4,Sat Sep 19 2020,19:00,Paris FC,0-2,0-0,AS Nancy Lorraine,
4,Sat Sep 19 2020,19:00,Pau FC,0-1,0-0,EA Guingamp,
4,Sat Sep 19 2020,19:00,FC Sochaux,2-2,0-2,Rodez AF,
4,Sat Sep 19 2020,19:00,Grenoble Foot 38,2-0,1-0,AC Ajaccio,
4,Sat Sep 19 2020,19:00,LB Châteauroux,0-0,0-0,Amiens SC,
4,Sat Sep 19 2020,19:00,SM Caen,0-0,0-0,FC Chambly,
4,Mon Sep 21 2020,20:45,AJ Auxerre,2-1,1-0,ESTAC Troyes,
5,Sat Sep 26 2020,19:00,Amiens SC,0-0,0-0,Pau FC,
5,Sat Sep 26 2020,15:00,Toulouse FC,3-1,0-0,AJ Auxerre,
5,Sat Sep 26 2020,19:00,AC Ajaccio,1-1,1-0,FC Sochaux,
5,Sat Sep 26 2020,19:00,AS Nancy Lorraine,0-1,0-0,Havre AC,
5,Sat Sep 26 2020,19:00,EA Guingamp,1-0,1-0,Grenoble Foot 38,
5,Sat Sep 26 2020,19:00,FC Chambly,2-1,0-1,LB Châteauroux,
5,Sat Sep 26 2020,19:00,Chamois Niortais,2-2,1-0,Paris FC,
5,Sat Sep 26 2020,19:00,Valenciennes FC,1-0,1-0,SM Caen,
5,Sat Sep 26 2020,19:00,Rodez AF,2-1,1-0,USL Dunkerque,
5,Mon Sep 28 2020,20:45,ESTAC Troyes,1-0,1-0,Clermont Foot 63,
3,Wed Sep 30 2020,19:00,AC Ajaccio,1-0,0-0,USL Dunkerque,
6,Sat Oct 3 2020,15:00,Toulouse FC,0-0,0-0,ESTAC Troyes,
6,Sat Oct 3 2020,15:30,SM Caen,1-0,1-0,Amiens SC,
6,Sat Oct 3 2020,19:00,AJ Auxerre,5-1,4-1,AC Ajaccio,
6,Sat Oct 3 2020,19:00,Clermont Foot 63,3-0,2-0,Rodez AF,
6,Sat Oct 3 2020,19:00,Paris FC,3-0,1-0,Havre AC,
6,Sat Oct 3 2020,19:00,Pau FC,1-1,1-0,AS Nancy Lorraine,
6,Sat Oct 3 2020,19:00,FC Sochaux,3-2,1-1,FC Chambly,
6,Sat Oct 3 2020,19:00,Grenoble Foot 38,2-0,1-0,Valenciennes FC,
6,Sat Oct 3 2020,19:00,LB Châteauroux,2-0,1-0,Chamois Niortais,
6,Sat Oct 3 2020,19:00,USL Dunkerque,1-0,0-0,EA Guingamp,
7,Fri Oct 16 2020,19:00,FC Chambly,0-3,0-2,Clermont Foot 63,
7,Sat Oct 17 2020,15:00,Valenciennes FC,0-0,0-0,FC Sochaux,
7,Sat Oct 17 2020,19:00,AC Ajaccio,0-1,0-0,Toulouse FC,
7,Sat Oct 17 2020,19:00,Havre AC,1-1,1-1,LB Châteauroux,
7,Sat Oct 17 2020,19:00,AS Nancy Lorraine,2-1,2-0,USL Dunkerque,
7,Sat Oct 17 2020,19:00,Chamois Niortais,3-0,1-0,SM Caen,
7,Sat Oct 17 2020,19:00,Paris FC,1-0,0-0,Pau FC,
7,Sat Oct 17 2020,19:00,Rodez AF,0-1,0-0,ESTAC Troyes,
7,Sat Oct 17 2020,19:00,Amiens SC,1-0,0-0,Grenoble Foot 38,
7,Mon Oct 19 2020,20:45,EA Guingamp,2-0,0-0,AJ Auxerre,
8,Sat Oct 24 2020,15:00,SM Caen,1-0,0-0,EA Guingamp,
8,Sat Oct 24 2020,19:00,AJ Auxerre,4-0,3-0,FC Chambly,
8,Sat Oct 24 2020,19:00,Clermont Foot 63,0-2,0-0,AC Ajaccio,
8,Sat Oct 24 2020,19:00,ESTAC Troyes,1-1,1-1,Valenciennes FC,
8,Sat Oct 24 2020,19:00,Pau FC,4-1,2-1,Chamois Niortais,
8,Sat Oct 24 2020,19:00,Toulouse FC,3-0,1-0,Rodez AF,
8,Sat Oct 24 2020,19:00,LB Châteauroux,1-2,1-2,Paris FC,
8,Sat Oct 24 2020,19:00,USL Dunkerque,0-1,0-1,Havre AC,
8,Mon Oct 26 2020,20:45,FC Sochaux,0-2,0-0,Amiens SC,
9,Sat Oct 31 2020,19:00,AS Nancy Lorraine,2-1,0-1,LB Châteauroux,
9,Sat Oct 31 2020,15:00,Paris FC,3-1,1-1,SM Caen,
9,Sat Oct 31 2020,19:00,AC Ajaccio,0-4,0-1,ESTAC Troyes,
9,Sat Oct 31 2020,19:00,Havre AC,1-0,1-0,Pau FC,
9,Sat Oct 31 2020,19:00,Rodez AF,2-2,2-1,AJ Auxerre,
9,Sat Oct 31 2020,19:00,EA Guingamp,0-0,0-0,FC Sochaux,
9,Sat Oct 31 2020,19:00,FC Chambly,0-1,0-0,USL Dunkerque,
9,Sat Oct 31 2020,19:00,Valenciennes FC,1-3,1-1,Clermont Foot 63,
9,Mon Nov 2 2020,20:45,Amiens SC,0-1,0-0,Toulouse FC,
10,Sat Nov 7 2020,19:00,USL Dunkerque,0-1,0-1,Paris FC,
10,Sat Nov 7 2020,19:00,SM Caen,2-1,1-1,AS Nancy Lorraine,
10,Sat Nov 7 2020,15:00,Clermont Foot 63,0-0,0-0,EA Guingamp,
10,Sat Nov 7 2020,15:00,Grenoble Foot 38,2-1,1-0,Havre AC,
10,Sat Nov 7 2020,19:00,AJ Auxerre,2-1,1-0,Amiens SC,
10,Sat Nov 7 2020,19:00,ESTAC Troyes,2-2,2-1,FC Chambly,
10,Sat Nov 7 2020,19:00,FC Sochaux,3-4,1-2,Chamois Niortais,
10,Sat Nov 7 2020,19:00,Toulouse FC,4-5,2-2,Valenciennes FC,
10,Sat Nov 7 2020,19:00,LB Châteauroux,0-3,0-3,Pau FC,
10,Sat Nov 7 2020,19:00,Rodez AF,0-1,0-0,AC Ajaccio,
11,Sat Nov 21 2020,19:00,Paris FC,0-3,0-3,AJ Auxerre,
11,Sat Nov 21 2020,19:00,LB Châteauroux,2-1,0-1,FC Sochaux,
11,Sat Nov 21 2020,15:00,Havre AC,1-2,1-0,SM Caen,
11,Sat Nov 21 2020,19:00,FC Chambly,1-1,0-0,Toulouse FC,
11,Sat Nov 21 2020,19:00,Chamois Niortais,1-2,1-2,USL Dunkerque,
11,Sat Nov 21 2020,19:00,Amiens SC,1-1,1-0,Clermont Foot 63,
11,Sat Nov 21 2020,19:00,Pau FC,0-2,0-2,Grenoble Foot 38,
11,Sat Nov 21 2020,19:00,Valenciennes FC,1-1,1-0,Rodez AF,
11,Mon Nov 23 2020,20:45,EA Guingamp,2-2,0-1,AC Ajaccio,
8,Tue Nov 24 2020,19:00,Grenoble Foot 38,1-0,1-0,AS Nancy Lorraine,
12,Sat Nov 28 2020,19:00,USL Dunkerque,2-2,2-1,Pau FC,
12,Sat Nov 28 2020,19:00,Rodez AF,1-1,1-0,EA Guingamp,
12,Sat Nov 28 2020,15:00,Toulouse FC,2-1,1-1,Chamois Niortais,
12,Sat Nov 28 2020,15:00,Grenoble Foot 38,0-0,0-0,Paris FC,
12,Sat Nov 28 2020,19:00,AC Ajaccio,0-0,0-0,FC Chambly,
12,Sat Nov 28 2020,19:00,AJ Auxerre,1-1,1-1,Valenciennes FC,
12,Sat Nov 28 2020,19:00,Clermont Foot 63,2-0,1-0,AS Nancy Lorraine,
12,Sat Nov 28 2020,19:00,ESTAC Troyes,2-1,2-0,Amiens SC,
12,Sat Nov 28 2020,19:00,FC Sochaux,4-0,3-0,Havre AC,
12,Sat Nov 28 2020,19:00,SM Caen,1-1,0-0,LB Châteauroux,
13,Tue Dec 1 2020,19:00,Amiens SC,1-0,1-0,USL Dunkerque,
13,Tue Dec 1 2020,19:00,FC Chambly,1-0,0-0,Rodez AF,
13,Tue Dec 1 2020,19:00,Havre AC,1-1,0-1,AJ Auxerre,
13,Tue Dec 1 2020,19:00,AS Nancy Lorraine,1-3,1-0,Toulouse FC,
13,Tue Dec 1 2020,19:00,EA Guingamp,1-2,0-1,ESTAC Troyes,
13,Tue Dec 1 2020,19:00,LB Châteauroux,0-1,0-0,Grenoble Foot 38,
13,Tue Dec 1 2020,19:00,Chamois Niortais,1-0,1-0,Clermont Foot 63,
13,Tue Dec 1 2020,19:00,Paris FC,0-0,0-0,FC Sochaux,
13,Tue Dec 1 2020,19:00,Pau FC,1-0,1-0,SM Caen,
13,Tue Dec 1 2020,19:00,Valenciennes FC,1-1,0-1,AC Ajaccio,
14,Sat Dec 5 2020,19:00,FC Sochaux,1-1,0-0,AS Nancy Lorraine,
14,Sat Dec 5 2020,19:00,USL Dunkerque,2-0,1-0,LB Châteauroux,
14,Sat Dec 5 2020,15:00,ESTAC Troyes,2-1,2-0,Paris FC,
14,Sat Dec 5 2020,19:00,AJ Auxerre,6-0,2-0,Chamois Niortais,
14,Sat Dec 5 2020,19:00,Clermont Foot 63,3-0,1-0,Pau FC,
14,Sat Dec 5 2020,19:00,FC Chambly,1-2,1-0,Valenciennes FC,
14,Sat Dec 5 2020,19:00,Rodez AF,1-2,1-0,Amiens SC,
14,Sat Dec 5 2020,19:00,Toulouse FC,2-2,0-0,EA Guingamp,
14,Sat Dec 5 2020,19:00,SM Caen,1-1,0-1,Grenoble Foot 38,
14,Mon Dec 7 2020,20:45,AC Ajaccio,1-1,0-1,Havre AC,
