Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,Comments,UTC
Apertura,1,Fri Jul 24 2020,19:30,CDT/-0500,Club Necaxa,0-3,0-2,UANL Tigres,,,2020-07-25T00:30Z
Apertura,1,Sat Jul 25 2020,21:00,CDT/-0500,Club Tijuana,3-1,1-1,Atlas Guadalajara,,,2020-07-26T02:00Z
Apertura,1,Sat Jul 25 2020,21:00,CDT/-0500,Cruz Azul,2-0,1-0,Santos Laguna,,,2020-07-26T02:00Z
Apertura,1,Sat Jul 25 2020,19:00,CDT/-0500,Deportivo Guadalajara,0-0,0-0,Club León,,,2020-07-26T00:00Z
Apertura,1,Sun Jul 26 2020,12:00,CDT/-0500,Pumas UNAM,3-2,1-0,Gallos Blancos,,,2020-07-26T17:00Z
Apertura,1,Mon Jul 27 2020,20:00,CDT/-0500,CF Pachuca,1-2,0-0,CF América,,,2020-07-28T01:00Z
Apertura,1,Mon Jul 27 2020,22:00,CDT/-0500,Mazatlán FC,1-4,1-1,Puebla FC,,,2020-07-28T03:00Z
Apertura,1,Mon Jul 27 2020,18:00,CDT/-0500,Atlético San Luis,1-1,1-0,FC Juárez,,,2020-07-27T23:00Z
Apertura,1,Tue Jul 28 2020,19:00,CDT/-0500,CF Monterrey,3-1,2-0,Deportivo Toluca,,,2020-07-29T00:00Z
Apertura,2,Fri Jul 31 2020,19:30,CDT/-0500,Puebla FC,1-1,0-0,Cruz Azul,,,2020-08-01T00:30Z
Apertura,2,Fri Jul 31 2020,21:30,CDT/-0500,FC Juárez,1-0,0-0,Club Necaxa,,,2020-08-01T02:30Z
Apertura,2,Sat Aug 1 2020,21:00,CDT/-0500,CF América,4-0,1-0,Club Tijuana,,,2020-08-02T02:00Z
Apertura,2,Sat Aug 1 2020,19:00,CDT/-0500,UANL Tigres,1-1,0-0,CF Pachuca,,,2020-08-02T00:00Z
Apertura,2,Sun Aug 2 2020,12:00,CDT/-0500,Deportivo Toluca,3-2,2-1,Atlético San Luis,,,2020-08-02T17:00Z
Apertura,2,Sun Aug 2 2020,17:00,CDT/-0500,Gallos Blancos,1-1,0-0,Mazatlán FC,,,2020-08-02T22:00Z
Apertura,2,Sun Aug 2 2020,19:00,CDT/-0500,Santos Laguna,2-0,1-0,Deportivo Guadalajara,,,2020-08-03T00:00Z
Apertura,2,Mon Aug 3 2020,21:00,CDT/-0500,Club León,1-0,0-0,CF Monterrey,,,2020-08-04T02:00Z
Apertura,2,Mon Aug 3 2020,19:00,CDT/-0500,Atlas Guadalajara,1-2,0-1,Pumas UNAM,,,2020-08-04T00:00Z
Apertura,3,Thu Aug 6 2020,21:06,CDT/-0500,Club Tijuana,0-0,0-0,UANL Tigres,,,2020-08-07T02:06Z
Apertura,3,Thu Aug 6 2020,19:00,CDT/-0500,CF Pachuca,1-0,1-0,Gallos Blancos,,,2020-08-07T00:00Z
Apertura,3,Fri Aug 7 2020,19:30,CDT/-0500,Club Necaxa,1-1,0-1,CF América,,,2020-08-08T00:30Z
Apertura,3,Fri Aug 7 2020,21:30,CDT/-0500,Mazatlán FC,2-1,2-1,Deportivo Toluca,,,2020-08-08T02:30Z
Apertura,3,Sat Aug 8 2020,19:06,CDT/-0500,CF Monterrey,2-2,1-1,Santos Laguna,,,2020-08-09T00:06Z
