Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Fri Aug 21 2020,19:00,ASK-BSC Bruck/Leitha,3-0,2-0,1. Wiener Neustädter SC,
1,Fri Aug 21 2020,19:00,SV Leobendorf,1-0,1-0,SC Neusiedl/See 1919,
1,Sat Aug 22 2020,15:00,FC Mauerwerk,3-1,2-1,ASV Draßburg,
1,Sat Aug 22 2020,18:00,SC Wiener Viktoria,1-2,0-1,FC Admira Wacker II,
2,Tue Aug 25 2020,19:00,ASK-BSC Bruck/Leitha,3-0,2-0,SC Wiener Viktoria,
2,Tue Aug 25 2020,19:30,FCM Traiskirchen,0-2,0-0,FC Mannsdorf/Großenzersdorf,
2,Tue Sep 1 2020,19:30,ASV Draßburg,3-4,1-0,SV Leobendorf,
3,Fri Sep 4 2020,19:30,SC Neusiedl/See 1919,3-0,1-0,ASV Draßburg,
3,Fri Sep 4 2020,19:30,Wiener Sport-Club,2-1,1-0,ASK-BSC Bruck/Leitha,
3,Sat Sep 5 2020,16:30,SV Leobendorf,2-1,1-1,SC Team Wiener Linien,
3,Sat Sep 5 2020,17:30,SV Stripfing/Weiden,3-0,1-0,FC Mannsdorf/Großenzersdorf,
3,Sat Sep 5 2020,18:00,SC Wiener Viktoria,0-0,0-0,1. Wiener Neustädter SC,
3,Tue Sep 8 2020,19:00,FCM Traiskirchen,3-1,0-1,FC Admira Wacker II,
4,Fri Sep 11 2020,19:30,1. Wiener Neustädter SC,0-1,0-0,ASV Draßburg,
4,Sat Sep 12 2020,17:00,FC Admira Wacker II,1-2,1-1,SV Stripfing/Weiden,
4,Sat Sep 12 2020,18:00,SC Wiener Viktoria,0-3,0-2,Wiener Sport-Club,
4,Sat Sep 12 2020,18:00,SC Team Wiener Linien,2-0,1-0,SC Neusiedl/See 1919,
1,Tue Sep 15 2020,19:30,Wiener Sport-Club,2-1,1-0,FC Mannsdorf/Großenzersdorf,
2,Tue Sep 15 2020,19:30,1. Wiener Neustädter SC,2-0,2-0,SC Neusiedl/See 1919,
4,Tue Sep 15 2020,19:30,ASK-BSC Bruck/Leitha,2-1,1-1,FCM Traiskirchen,
5,Fri Sep 18 2020,19:30,ASV Draßburg,1-2,0-1,SC Team Wiener Linien,
5,Fri Sep 18 2020,19:30,Wiener Sport-Club,1-0,1-0,1. Wiener Neustädter SC,
5,Fri Sep 18 2020,19:30,FCM Traiskirchen,3-1,1-1,SC Wiener Viktoria,
5,Sat Sep 19 2020,16:30,SV Stripfing/Weiden,2-1,1-1,ASK-BSC Bruck/Leitha,
5,Sat Sep 19 2020,16:30,SV Leobendorf,3-2,,FC Mannsdorf/Großenzersdorf,
6,Fri Sep 25 2020,19:30,ASK-BSC Bruck/Leitha,4-2,3-1,FC Mauerwerk,
6,Fri Sep 25 2020,19:30,1. Wiener Neustädter SC,0-2,0-1,SC Team Wiener Linien,
6,Fri Sep 25 2020,19:30,Wiener Sport-Club,1-1,1-1,FCM Traiskirchen,
6,Sat Sep 26 2020,17:00,FC Mannsdorf/Großenzersdorf,3-0,0-0,SC Neusiedl/See 1919,
7,Fri Oct 2 2020,,SC Neusiedl/See 1919,,,FC Admira Wacker II,postponed
7,Fri Oct 2 2020,19:30,ASV Draßburg,2-2,2-2,FC Mannsdorf/Großenzersdorf,
7,Fri Oct 2 2020,19:30,FCM Traiskirchen,5-0,1-0,1. Wiener Neustädter SC,
7,Sat Oct 3 2020,16:30,SV Stripfing/Weiden,0-2,0-2,Wiener Sport-Club,
7,Sat Oct 3 2020,16:30,SV Leobendorf,2-0,0-0,ASK-BSC Bruck/Leitha,
7,Sun Oct 4 2020,16:00,FC Mauerwerk,0-3,0-0,SC Wiener Viktoria,
8,Fri Oct 9 2020,19:00,ASK-BSC Bruck/Leitha,6-1,3-1,SC Neusiedl/See 1919,
8,Fri Oct 9 2020,19:30,FCM Traiskirchen,0-1,0-0,SV Stripfing/Weiden,
8,Fri Oct 9 2020,19:30,Wiener Sport-Club,0-1,0-0,FC Mauerwerk,
8,Fri Oct 9 2020,19:30,FC Mannsdorf/Großenzersdorf,2-1,0-0,SC Team Wiener Linien,
8,Sat Oct 10 2020,16:00,FC Admira Wacker II,2-2,1-1,ASV Draßburg,
8,Sat Oct 10 2020,17:00,SC Wiener Viktoria,0-3,0-0,SV Leobendorf,
4,Tue Oct 13 2020,,FC Mannsdorf/Großenzersdorf,,,FC Mauerwerk,postponed
9,Sat Oct 17 2020,18:00,SC Team Wiener Linien,0-1,0-1,FC Admira Wacker II,
9,Sun Oct 18 2020,15:30,FC Mauerwerk,0-4,0-3,FCM Traiskirchen,
9,Tue Oct 20 2020,19:00,ASV Draßburg,1-4,1-1,ASK-BSC Bruck/Leitha,
9,Tue Oct 20 2020,19:30,SC Neusiedl/See 1919,2-1,1-1,SC Wiener Viktoria,
