Round,Date,Time,Team 1,FT,HT,Team 2
5,Sat Oct 24 2020,15:30,1. FC Union Berlin,1-1,1-1,SC Freiburg
5,Sat Oct 24 2020,15:30,1. FSV Mainz 05,2-3,2-1,Bor. Mönchengladbach
5,Sat Oct 24 2020,18:30,Borussia Dortmund,3-0,0-0,FC Schalke 04
5,Sun Oct 25 2020,18:00,Werder Bremen,1-1,1-1,1899 Hoffenheim
5,Sun Oct 25 2020,15:30,VfL Wolfsburg,2-1,2-0,Arminia Bielefeld
5,Mon Oct 26 2020,20:30,Bayer Leverkusen,3-1,1-0,FC Augsburg
6,Fri Oct 30 2020,20:30,FC Schalke 04,1-1,1-0,VfB Stuttgart
6,Sat Oct 31 2020,15:30,Eintracht Frankfurt,1-1,0-0,Werder Bremen
6,Sat Oct 31 2020,15:30,1. FC Köln,1-2,0-2,Bayern München
6,Sat Oct 31 2020,15:30,FC Augsburg,3-1,1-0,1. FSV Mainz 05
6,Sat Oct 31 2020,15:30,Arminia Bielefeld,0-2,0-0,Borussia Dortmund
6,Sat Oct 31 2020,18:30,Bor. Mönchengladbach,1-0,0-0,RB Leipzig
6,Sun Nov 1 2020,18:00,Hertha BSC,1-1,1-1,VfL Wolfsburg
6,Sun Nov 1 2020,15:30,SC Freiburg,2-4,1-2,Bayer Leverkusen
6,Mon Nov 2 2020,20:30,1899 Hoffenheim,1-3,0-0,1. FC Union Berlin
7,Fri Nov 6 2020,20:30,Werder Bremen,1-1,0-0,1. FC Köln
7,Sat Nov 7 2020,15:30,RB Leipzig,3-0,1-0,SC Freiburg
7,Sat Nov 7 2020,15:30,1. FC Union Berlin,5-0,3-0,Arminia Bielefeld
7,Sat Nov 7 2020,15:30,1. FSV Mainz 05,2-2,2-1,FC Schalke 04
7,Sat Nov 7 2020,15:30,FC Augsburg,0-3,0-1,Hertha BSC
7,Sat Nov 7 2020,15:30,VfB Stuttgart,2-2,2-0,Eintracht Frankfurt
7,Sat Nov 7 2020,18:30,Borussia Dortmund,2-3,1-1,Bayern München
7,Sun Nov 8 2020,18:00,Bayer Leverkusen,4-3,2-2,Bor. Mönchengladbach
7,Sun Nov 8 2020,15:30,VfL Wolfsburg,2-1,2-0,1899 Hoffenheim
8,Sat Nov 21 2020,15:30,Bayern München,1-1,0-1,Werder Bremen
8,Sat Nov 21 2020,15:30,Bor. Mönchengladbach,1-1,1-0,FC Augsburg
8,Sat Nov 21 2020,15:30,1899 Hoffenheim,3-3,1-2,VfB Stuttgart
8,Sat Nov 21 2020,15:30,FC Schalke 04,0-2,0-2,VfL Wolfsburg
8,Sat Nov 21 2020,15:30,Arminia Bielefeld,1-2,0-1,Bayer Leverkusen
8,Sat Nov 21 2020,18:30,Eintracht Frankfurt,1-1,1-0,RB Leipzig
8,Sat Nov 21 2020,20:30,Hertha BSC,2-5,1-0,Borussia Dortmund
8,Sun Nov 22 2020,18:00,1. FC Köln,1-2,1-1,1. FC Union Berlin
8,Sun Nov 22 2020,15:30,SC Freiburg,1-3,0-3,1. FSV Mainz 05
9,Fri Nov 27 2020,20:30,VfL Wolfsburg,5-3,3-2,Werder Bremen
9,Sat Nov 28 2020,15:30,Borussia Dortmund,1-2,0-1,1. FC Köln
9,Sat Nov 28 2020,15:30,RB Leipzig,2-1,1-0,Arminia Bielefeld
9,Sat Nov 28 2020,15:30,1. FC Union Berlin,3-3,2-2,Eintracht Frankfurt
9,Sat Nov 28 2020,15:30,FC Augsburg,1-1,0-0,SC Freiburg
9,Sat Nov 28 2020,15:30,VfB Stuttgart,1-3,1-2,Bayern München
9,Sat Nov 28 2020,18:30,Bor. Mönchengladbach,4-1,2-1,FC Schalke 04
9,Sun Nov 29 2020,18:00,1. FSV Mainz 05,1-1,1-0,1899 Hoffenheim
9,Sun Nov 29 2020,15:30,Bayer Leverkusen,0-0,0-0,Hertha BSC
10,Fri Dec 4 2020,20:30,Hertha BSC,3-1,0-1,1. FC Union Berlin
10,Sat Dec 5 2020,15:30,Eintracht Frankfurt,1-1,1-0,Borussia Dortmund
10,Sat Dec 5 2020,15:30,1. FC Köln,2-2,2-1,VfL Wolfsburg
10,Sat Dec 5 2020,15:30,Arminia Bielefeld,2-1,2-0,1. FSV Mainz 05
10,Sat Dec 5 2020,18:30,Bayern München,3-3,2-2,RB Leipzig
10,Sat Dec 5 2020,15:30,SC Freiburg,2-2,1-1,Bor. Mönchengladbach
10,Sun Dec 6 2020,15:30,Werder Bremen,1-2,0-1,VfB Stuttgart
10,Sun Dec 6 2020,18:00,FC Schalke 04,0-3,0-1,Bayer Leverkusen
10,Mon Dec 7 2020,20:30,1899 Hoffenheim,3-1,1-1,FC Augsburg
11,Fri Dec 11 2020,20:30,VfL Wolfsburg,2-1,0-0,Eintracht Frankfurt
11,Sat Dec 12 2020,15:30,RB Leipzig,2-0,2-0,Werder Bremen
11,Sat Dec 12 2020,15:30,Bor. Mönchengladbach,1-1,0-0,Hertha BSC
11,Sat Dec 12 2020,15:30,SC Freiburg,2-0,0-0,Arminia Bielefeld
11,Sat Dec 12 2020,15:30,1. FSV Mainz 05,0-1,0-0,1. FC Köln
11,Sat Dec 12 2020,18:30,1. FC Union Berlin,1-1,1-0,Bayern München
11,Sat Dec 12 2020,15:30,Borussia Dortmund,1-5,1-1,VfB Stuttgart
11,Sun Dec 13 2020,15:30,FC Augsburg,2-2,1-0,FC Schalke 04
11,Sun Dec 13 2020,18:00,Bayer Leverkusen,4-1,2-0,1899 Hoffenheim
12,Tue Dec 15 2020,20:30,Hertha BSC,0-0,0-0,1. FSV Mainz 05
12,Tue Dec 15 2020,20:30,Werder Bremen,1-2,1-1,Borussia Dortmund
12,Tue Dec 15 2020,20:30,VfB Stuttgart,2-2,0-1,1. FC Union Berlin
12,Tue Dec 15 2020,18:30,Eintracht Frankfurt,3-3,3-1,Bor. Mönchengladbach
12,Wed Dec 16 2020,18:30,FC Schalke 04,0-2,0-0,SC Freiburg
12,Wed Dec 16 2020,20:30,Bayern München,2-1,1-1,VfL Wolfsburg
12,Wed Dec 16 2020,20:30,1899 Hoffenheim,0-1,0-0,RB Leipzig
12,Wed Dec 16 2020,20:30,1. FC Köln,0-4,0-2,Bayer Leverkusen
12,Wed Dec 16 2020,20:30,Arminia Bielefeld,0-1,0-0,FC Augsburg
13,Fri Dec 18 2020,20:30,1. FC Union Berlin,2-1,0-0,Borussia Dortmund
13,Sat Dec 19 2020,15:30,Bor. Mönchengladbach,1-2,1-0,1899 Hoffenheim
13,Sat Dec 19 2020,15:30,FC Schalke 04,0-1,0-0,Arminia Bielefeld
13,Sat Dec 19 2020,15:30,1. FSV Mainz 05,0-1,0-0,Werder Bremen
13,Sat Dec 19 2020,15:30,FC Augsburg,0-2,0-0,Eintracht Frankfurt
13,Sat Dec 19 2020,18:30,Bayer Leverkusen,1-2,1-1,Bayern München
13,Sat Dec 19 2020,15:30,RB Leipzig,0-0,0-0,1. FC Köln
13,Sun Dec 20 2020,15:30,SC Freiburg,4-1,1-0,Hertha BSC
13,Sun Dec 20 2020,18:00,VfL Wolfsburg,1-0,0-0,VfB Stuttgart
14,Sat Jan 2 2021,15:30,1899 Hoffenheim,1-3,0-3,SC Freiburg
14,Sat Jan 2 2021,15:30,Eintracht Frankfurt,2-1,1-1,Bayer Leverkusen
14,Sat Jan 2 2021,15:30,1. FC Köln,0-1,0-0,FC Augsburg
14,Sat Jan 2 2021,15:30,Werder Bremen,0-2,0-2,1. FC Union Berlin
14,Sat Jan 2 2021,15:30,Arminia Bielefeld,0-1,0-0,Bor. Mönchengladbach
14,Sat Jan 2 2021,18:30,Hertha BSC,3-0,1-0,FC Schalke 04
14,Sat Jan 2 2021,20:30,VfB Stuttgart,0-1,0-0,RB Leipzig
14,Sun Jan 3 2021,18:00,Bayern München,5-2,0-2,1. FSV Mainz 05
14,Sun Jan 3 2021,15:30,Borussia Dortmund,2-0,0-0,VfL Wolfsburg
15,Fri Jan 8 2021,20:30,Bor. Mönchengladbach,3-2,2-2,Bayern München
15,Sat Jan 9 2021,15:30,SC Freiburg,5-0,2-0,1. FC Köln
15,Sat Jan 9 2021,15:30,1. FC Union Berlin,2-2,1-1,VfL Wolfsburg
15,Sat Jan 9 2021,15:30,FC Schalke 04,4-0,1-0,1899 Hoffenheim
15,Sat Jan 9 2021,15:30,1. FSV Mainz 05,0-2,0-1,Eintracht Frankfurt
15,Sat Jan 9 2021,18:30,RB Leipzig,1-3,0-0,Borussia Dortmund
15,Sat Jan 9 2021,15:30,Bayer Leverkusen,1-1,0-0,Werder Bremen
15,Sun Jan 10 2021,18:00,Arminia Bielefeld,1-0,0-0,Hertha BSC
15,Sun Jan 10 2021,15:30,FC Augsburg,1-4,0-2,VfB Stuttgart
16,Fri Jan 15 2021,20:30,1. FC Union Berlin,1-0,0-0,Bayer Leverkusen
16,Sat Jan 16 2021,15:30,1899 Hoffenheim,0-0,0-0,Arminia Bielefeld
16,Sat Jan 16 2021,15:30,VfL Wolfsburg,2-2,2-1,RB Leipzig
16,Sat Jan 16 2021,15:30,1. FC Köln,0-0,0-0,Hertha BSC
16,Sat Jan 16 2021,15:30,Werder Bremen,2-0,0-0,FC Augsburg
16,Sat Jan 16 2021,18:30,VfB Stuttgart,2-2,0-1,Bor. Mönchengladbach
16,Sat Jan 16 2021,15:30,Borussia Dortmund,1-1,0-0,1. FSV Mainz 05
16,Sun Jan 17 2021,18:00,Eintracht Frankfurt,3-1,1-1,FC Schalke 04
16,Sun Jan 17 2021,15:30,Bayern München,2-1,1-0,SC Freiburg
17,Tue Jan 19 2021,18:30,Bor. Mönchengladbach,1-0,0-0,Werder Bremen
17,Tue Jan 19 2021,20:30,Bayer Leverkusen,2-1,1-0,Borussia Dortmund
17,Tue Jan 19 2021,20:30,Hertha BSC,0-3,0-1,1899 Hoffenheim
17,Tue Jan 19 2021,20:30,1. FSV Mainz 05,0-2,0-0,VfL Wolfsburg
17,Wed Jan 20 2021,20:30,RB Leipzig,1-0,0-0,1. FC Union Berlin
17,Wed Jan 20 2021,20:30,SC Freiburg,2-2,1-1,Eintracht Frankfurt
17,Wed Jan 20 2021,20:30,FC Augsburg,0-1,0-1,Bayern München
17,Wed Jan 20 2021,20:30,Arminia Bielefeld,3-0,1-0,VfB Stuttgart
17,Wed Jan 20 2021,18:30,FC Schalke 04,1-2,0-1,1. FC Köln
18,Fri Jan 22 2021,20:30,Bor. Mönchengladbach,4-2,2-2,Borussia Dortmund
18,Sat Jan 23 2021,15:30,1. FSV Mainz 05,3-2,2-2,RB Leipzig
18,Sat Jan 23 2021,15:30,Bayer Leverkusen,0-1,0-1,VfL Wolfsburg
18,Sat Jan 23 2021,15:30,Arminia Bielefeld,1-5,1-3,Eintracht Frankfurt
18,Sat Jan 23 2021,15:30,FC Augsburg,2-1,1-1,1. FC Union Berlin
18,Sat Jan 23 2021,15:30,SC Freiburg,2-1,2-1,VfB Stuttgart
18,Sat Jan 23 2021,18:30,Hertha BSC,1-4,1-2,Werder Bremen
18,Sun Jan 24 2021,18:00,1899 Hoffenheim,3-0,2-0,1. FC Köln
18,Sun Jan 24 2021,15:30,FC Schalke 04,0-4,0-1,Bayern München
19,Fri Jan 29 2021,20:30,VfB Stuttgart,2-0,0-0,1. FSV Mainz 05
19,Sat Jan 30 2021,15:30,1. FC Union Berlin,1-1,1-0,Bor. Mönchengladbach
19,Sat Jan 30 2021,15:30,Bayern München,4-1,2-1,1899 Hoffenheim
19,Sat Jan 30 2021,15:30,Eintracht Frankfurt,3-1,0-0,Hertha BSC
19,Sat Jan 30 2021,15:30,Werder Bremen,1-1,0-1,FC Schalke 04
19,Sat Jan 30 2021,15:30,Borussia Dortmund,3-1,1-1,FC Augsburg
19,Sat Jan 30 2021,18:30,RB Leipzig,1-0,0-0,Bayer Leverkusen
19,Sun Jan 31 2021,18:00,VfL Wolfsburg,3-0,2-0,SC Freiburg
19,Sun Jan 31 2021,15:30,1. FC Köln,3-1,2-0,Arminia Bielefeld
20,Fri Feb 5 2021,20:00,Hertha BSC,0-1,0-1,Bayern München
20,Sat Feb 6 2021,15:30,SC Freiburg,2-1,0-0,Borussia Dortmund
20,Sat Feb 6 2021,15:30,FC Schalke 04,0-3,0-1,RB Leipzig
20,Sat Feb 6 2021,15:30,FC Augsburg,0-2,0-1,VfL Wolfsburg
20,Sat Feb 6 2021,15:30,1. FSV Mainz 05,1-0,1-0,1. FC Union Berlin
20,Sat Feb 6 2021,15:30,Bayer Leverkusen,5-2,2-0,VfB Stuttgart
20,Sat Feb 6 2021,18:30,Bor. Mönchengladbach,1-2,1-1,1. FC Köln
20,Sun Feb 7 2021,15:30,1899 Hoffenheim,1-3,0-1,Eintracht Frankfurt
21,Fri Feb 12 2021,20:30,RB Leipzig,2-1,2-0,FC Augsburg
21,Sat Feb 13 2021,18:30,1. FC Union Berlin,0-0,0-0,FC Schalke 04
21,Sat Feb 13 2021,15:30,Borussia Dortmund,2-2,1-1,1899 Hoffenheim
21,Sat Feb 13 2021,15:30,Werder Bremen,0-0,0-0,SC Freiburg
21,Sat Feb 13 2021,15:30,VfB Stuttgart,1-1,1-0,Hertha BSC
21,Sat Feb 13 2021,15:30,Bayer Leverkusen,2-2,1-0,1. FSV Mainz 05
21,Sun Feb 14 2021,15:30,Eintracht Frankfurt,2-0,0-0,1. FC Köln
21,Sun Feb 14 2021,18:00,VfL Wolfsburg,0-0,0-0,Bor. Mönchengladbach
21,Mon Feb 15 2021,20:30,Bayern München,3-3,0-2,Arminia Bielefeld
22,Fri Feb 19 2021,20:30,Arminia Bielefeld,0-3,0-1,VfL Wolfsburg
22,Sat Feb 20 2021,18:30,FC Schalke 04,0-4,0-2,Borussia Dortmund
22,Sat Feb 20 2021,15:30,Eintracht Frankfurt,2-1,2-0,Bayern München
22,Sat Feb 20 2021,15:30,SC Freiburg,0-1,0-0,1. FC Union Berlin
22,Sat Feb 20 2021,15:30,Bor. Mönchengladbach,1-2,1-1,1. FSV Mainz 05
22,Sat Feb 20 2021,15:30,1. FC Köln,0-1,0-0,VfB Stuttgart
22,Sun Feb 21 2021,13:30,FC Augsburg,1-1,1-0,Bayer Leverkusen
22,Sun Feb 21 2021,15:30,Hertha BSC,0-3,0-1,RB Leipzig
22,Sun Feb 21 2021,18:00,1899 Hoffenheim,4-0,2-0,Werder Bremen
23,Fri Feb 26 2021,20:30,Werder Bremen,2-1,0-1,Eintracht Frankfurt
23,Sat Feb 27 2021,15:30,Bayern München,5-1,2-0,1. FC Köln
23,Sat Feb 27 2021,15:30,VfL Wolfsburg,2-0,1-0,Hertha BSC
23,Sat Feb 27 2021,15:30,VfB Stuttgart,5-1,3-1,FC Schalke 04
23,Sat Feb 27 2021,15:30,Borussia Dortmund,3-0,0-0,Arminia Bielefeld
23,Sat Feb 27 2021,18:30,RB Leipzig,3-2,0-2,Bor. Mönchengladbach
23,Sun Feb 28 2021,15:30,1. FSV Mainz 05,0-1,0-1,FC Augsburg
23,Sun Feb 28 2021,13:30,1. FC Union Berlin,1-1,1-1,1899 Hoffenheim
23,Sun Feb 28 2021,18:00,Bayer Leverkusen,1-2,0-0,SC Freiburg
24,Fri Mar 5 2021,20:30,FC Schalke 04,0-0,0-0,1. FSV Mainz 05
24,Sat Mar 6 2021,15:30,1899 Hoffenheim,2-1,2-1,VfL Wolfsburg
24,Sat Mar 6 2021,15:30,SC Freiburg,0-3,0-1,RB Leipzig
24,Sat Mar 6 2021,15:30,Bor. Mönchengladbach,0-1,0-0,Bayer Leverkusen
24,Sat Mar 6 2021,18:30,Bayern München,4-2,2-2,Borussia Dortmund
24,Sat Mar 6 2021,15:30,Hertha BSC,2-1,0-1,FC Augsburg
24,Sat Mar 6 2021,15:30,Eintracht Frankfurt,1-1,0-0,VfB Stuttgart
24,Sun Mar 7 2021,15:30,1. FC Köln,1-1,0-0,Werder Bremen
24,Sun Mar 7 2021,18:00,Arminia Bielefeld,0-0,0-0,1. FC Union Berlin
20,Wed Mar 10 2021,18:30,Arminia Bielefeld,0-2,0-0,Werder Bremen
25,Fri Mar 12 2021,20:30,FC Augsburg,3-1,0-0,Bor. Mönchengladbach
25,Sat Mar 13 2021,15:30,Werder Bremen,1-3,0-2,Bayern München
25,Sat Mar 13 2021,15:30,1. FSV Mainz 05,1-0,0-0,SC Freiburg
25,Sat Mar 13 2021,15:30,VfL Wolfsburg,5-0,1-0,FC Schalke 04
25,Sat Mar 13 2021,15:30,1. FC Union Berlin,2-1,0-1,1. FC Köln
25,Sat Mar 13 2021,18:30,Borussia Dortmund,2-0,0-0,Hertha BSC
25,Sun Mar 14 2021,15:30,RB Leipzig,1-1,0-0,Eintracht Frankfurt
25,Sun Mar 14 2021,18:00,VfB Stuttgart,2-0,1-0,1899 Hoffenheim
25,Sun Mar 14 2021,13:30,Bayer Leverkusen,1-2,0-1,Arminia Bielefeld
26,Fri Mar 19 2021,20:30,Arminia Bielefeld,0-1,0-0,RB Leipzig
26,Sat Mar 20 2021,15:30,1. FC Köln,2-2,1-1,Borussia Dortmund
26,Sat Mar 20 2021,15:30,Werder Bremen,1-2,1-2,VfL Wolfsburg
26,Sat Mar 20 2021,15:30,Eintracht Frankfurt,5-2,4-2,1. FC Union Berlin
26,Sat Mar 20 2021,15:30,Bayern München,4-0,4-0,VfB Stuttgart
26,Sat Mar 20 2021,18:30,FC Schalke 04,0-3,0-1,Bor. Mönchengladbach
26,Sun Mar 21 2021,15:30,Hertha BSC,3-0,3-0,Bayer Leverkusen
26,Sun Mar 21 2021,18:00,SC Freiburg,2-0,0-0,FC Augsburg
26,Sun Mar 21 2021,13:30,1899 Hoffenheim,1-2,1-2,1. FSV Mainz 05
27,Sat Apr 3 2021,15:30,FC Augsburg,2-1,2-0,1899 Hoffenheim
27,Sat Apr 3 2021,15:30,Borussia Dortmund,1-2,1-1,Eintracht Frankfurt
27,Sat Apr 3 2021,15:30,Bayer Leverkusen,2-1,1-0,FC Schalke 04
27,Sat Apr 3 2021,15:30,VfL Wolfsburg,1-0,0-0,1. FC Köln
27,Sat Apr 3 2021,15:30,1. FSV Mainz 05,1-1,0-0,Arminia Bielefeld
27,Sat Apr 3 2021,18:30,RB Leipzig,0-1,0-1,Bayern München
27,Sat Apr 3 2021,20:30,Bor. Mönchengladbach,2-1,0-1,SC Freiburg
27,Sun Apr 4 2021,18:00,1. FC Union Berlin,1-1,1-1,Hertha BSC
27,Sun Apr 4 2021,15:30,VfB Stuttgart,1-0,0-0,Werder Bremen
28,Fri Apr 9 2021,20:30,Arminia Bielefeld,1-0,0-0,SC Freiburg
28,Sat Apr 10 2021,15:30,Werder Bremen,1-4,0-3,RB Leipzig
28,Sat Apr 10 2021,15:30,Hertha BSC,2-2,1-2,Bor. Mönchengladbach
28,Sat Apr 10 2021,15:30,Eintracht Frankfurt,4-3,2-1,VfL Wolfsburg
28,Sat Apr 10 2021,15:30,Bayern München,1-1,0-0,1. FC Union Berlin
28,Sat Apr 10 2021,18:30,VfB Stuttgart,2-3,1-0,Borussia Dortmund
28,Sun Apr 11 2021,18:00,1. FC Köln,2-3,1-1,1. FSV Mainz 05
28,Sun Apr 11 2021,15:30,FC Schalke 04,1-0,1-0,FC Augsburg
28,Mon Apr 12 2021,20:30,1899 Hoffenheim,0-0,0-0,Bayer Leverkusen
29,Fri Apr 16 2021,20:30,RB Leipzig,0-0,0-0,1899 Hoffenheim
29,Sat Apr 17 2021,15:30,VfL Wolfsburg,2-3,1-3,Bayern München
29,Sat Apr 17 2021,15:30,Bor. Mönchengladbach,4-0,1-0,Eintracht Frankfurt
29,Sat Apr 17 2021,15:30,SC Freiburg,4-0,2-0,FC Schalke 04
29,Sat Apr 17 2021,15:30,FC Augsburg,0-0,0-0,Arminia Bielefeld
29,Sat Apr 17 2021,15:30,1. FC Union Berlin,2-1,2-0,VfB Stuttgart
29,Sat Apr 17 2021,18:30,Bayer Leverkusen,3-0,1-0,1. FC Köln
29,Sun Apr 18 2021,15:30,Borussia Dortmund,4-1,3-1,Werder Bremen
30,Tue Apr 20 2021,18:30,1. FC Köln,2-1,0-0,RB Leipzig
30,Tue Apr 20 2021,20:30,Bayern München,2-0,2-0,Bayer Leverkusen
30,Tue Apr 20 2021,20:30,Arminia Bielefeld,1-0,0-0,FC Schalke 04
30,Tue Apr 20 2021,20:30,Eintracht Frankfurt,2-0,1-0,FC Augsburg
30,Wed Apr 21 2021,20:30,Werder Bremen,0-1,0-1,1. FSV Mainz 05
30,Wed Apr 21 2021,20:30,1899 Hoffenheim,3-2,0-2,Bor. Mönchengladbach
30,Wed Apr 21 2021,20:30,VfB Stuttgart,1-3,0-2,VfL Wolfsburg
30,Wed Apr 21 2021,20:30,Borussia Dortmund,2-0,1-0,1. FC Union Berlin
31,Fri Apr 23 2021,20:30,FC Augsburg,2-3,0-3,1. FC Köln
31,Sat Apr 24 2021,15:30,1. FC Union Berlin,3-1,0-0,Werder Bremen
31,Sat Apr 24 2021,15:30,1. FSV Mainz 05,2-1,2-0,Bayern München
31,Sat Apr 24 2021,15:30,VfL Wolfsburg,0-2,0-1,Borussia Dortmund
31,Sat Apr 24 2021,15:30,SC Freiburg,1-1,0-1,1899 Hoffenheim
31,Sat Apr 24 2021,18:30,Bayer Leverkusen,3-1,0-0,Eintracht Frankfurt
31,Sun Apr 25 2021,18:00,Bor. Mönchengladbach,5-0,3-0,Arminia Bielefeld
31,Sun Apr 25 2021,15:30,RB Leipzig,2-0,0-0,VfB Stuttgart
29,Mon May 3 2021,18:00,1. FSV Mainz 05,1-1,1-1,Hertha BSC
30,Thu May 6 2021,18:30,Hertha BSC,3-0,2-0,SC Freiburg
32,Fri May 7 2021,20:30,VfB Stuttgart,2-1,1-0,FC Augsburg
32,Sat May 8 2021,15:30,Borussia Dortmund,3-2,1-0,RB Leipzig
32,Sat May 8 2021,15:30,Werder Bremen,0-0,0-0,Bayer Leverkusen
32,Sat May 8 2021,15:30,VfL Wolfsburg,3-0,1-0,1. FC Union Berlin
32,Sat May 8 2021,15:30,1899 Hoffenheim,4-2,0-2,FC Schalke 04
32,Sat May 8 2021,18:30,Bayern München,6-0,4-0,Bor. Mönchengladbach
32,Sun May 9 2021,18:00,Hertha BSC,0-0,0-0,Arminia Bielefeld
32,Sun May 9 2021,13:30,1. FC Köln,1-4,0-2,SC Freiburg
32,Sun May 9 2021,15:30,Eintracht Frankfurt,1-1,0-1,1. FSV Mainz 05
31,Wed May 12 2021,18:00,FC Schalke 04,1-2,1-1,Hertha BSC
33,Sat May 15 2021,15:30,Arminia Bielefeld,1-1,1-1,1899 Hoffenheim
33,Sat May 15 2021,15:30,FC Schalke 04,4-3,1-1,Eintracht Frankfurt
33,Sat May 15 2021,15:30,Bayer Leverkusen,1-1,1-0,1. FC Union Berlin
33,Sat May 15 2021,15:30,Hertha BSC,0-0,0-0,1. FC Köln
33,Sat May 15 2021,15:30,FC Augsburg,2-0,0-0,Werder Bremen
33,Sat May 15 2021,15:30,Bor. Mönchengladbach,1-2,1-0,VfB Stuttgart
33,Sat May 15 2021,15:30,SC Freiburg,2-2,1-1,Bayern München
33,Sun May 16 2021,18:00,1. FSV Mainz 05,1-3,0-2,Borussia Dortmund
33,Sun May 16 2021,20:30,RB Leipzig,2-2,0-2,VfL Wolfsburg
34,Sat May 22 2021,15:30,1. FC Union Berlin,2-1,0-0,RB Leipzig
34,Sat May 22 2021,15:30,Werder Bremen,2-4,0-1,Bor. Mönchengladbach
34,Sat May 22 2021,15:30,Borussia Dortmund,3-1,1-0,Bayer Leverkusen
34,Sat May 22 2021,15:30,Eintracht Frankfurt,3-1,0-0,SC Freiburg
34,Sat May 22 2021,15:30,1899 Hoffenheim,2-1,0-1,Hertha BSC
34,Sat May 22 2021,15:30,1. FC Köln,1-0,0-0,FC Schalke 04
34,Sat May 22 2021,15:30,VfL Wolfsburg,2-3,0-1,1. FSV Mainz 05
34,Sat May 22 2021,15:30,Bayern München,5-2,4-0,FC Augsburg
34,Sat May 22 2021,15:30,VfB Stuttgart,0-2,0-0,Arminia Bielefeld
