Round,Date,Time,Team 1,FT,HT,Team 2
1,Fri Sep 18 2020,20:30,Bayern München,8-0,3-0,FC Schalke 04
1,Sat Sep 19 2020,15:30,Eintracht Frankfurt,1-1,0-0,Arminia Bielefeld
1,Sat Sep 19 2020,15:30,1. FC Union Berlin,1-3,0-1,FC Augsburg
1,Sat Sep 19 2020,15:30,1. FC Köln,2-3,1-2,1899 Hoffenheim
1,Sat Sep 19 2020,15:30,Werder Bremen,1-4,0-2,Hertha BSC
1,Sat Sep 19 2020,15:30,VfB Stuttgart,2-3,0-2,SC Freiburg
1,Sat Sep 19 2020,18:30,Borussia Dortmund,3-0,1-0,Bor. Mönchengladbach
1,Sun Sep 20 2020,18:00,VfL Wolfsburg,0-0,0-0,Bayer Leverkusen
1,Sun Sep 20 2020,15:30,RB Leipzig,3-1,2-0,1. FSV Mainz 05
2,Fri Sep 25 2020,20:30,Hertha BSC,1-3,0-2,Eintracht Frankfurt
2,Sat Sep 26 2020,15:30,Bayer Leverkusen,1-1,1-1,RB Leipzig
2,Sat Sep 26 2020,15:30,1. FSV Mainz 05,1-4,1-1,VfB Stuttgart
2,Sat Sep 26 2020,15:30,FC Augsburg,2-0,1-0,Borussia Dortmund
2,Sat Sep 26 2020,15:30,Arminia Bielefeld,1-0,0-0,1. FC Köln
2,Sat Sep 26 2020,18:30,FC Schalke 04,1-3,0-2,Werder Bremen
2,Sat Sep 26 2020,15:30,Bor. Mönchengladbach,1-1,0-0,1. FC Union Berlin
2,Sun Sep 27 2020,18:00,SC Freiburg,1-1,1-1,VfL Wolfsburg
2,Sun Sep 27 2020,15:30,1899 Hoffenheim,4-1,2-1,Bayern München
3,Fri Oct 2 2020,20:30,1. FC Union Berlin,4-0,1-0,1. FSV Mainz 05
3,Sat Oct 3 2020,15:30,Eintracht Frankfurt,2-1,0-1,1899 Hoffenheim
3,Sat Oct 3 2020,15:30,1. FC Köln,1-3,0-2,Bor. Mönchengladbach
3,Sat Oct 3 2020,15:30,Werder Bremen,1-0,1-0,Arminia Bielefeld
3,Sat Oct 3 2020,15:30,VfB Stuttgart,1-1,0-1,Bayer Leverkusen
3,Sat Oct 3 2020,18:30,RB Leipzig,4-0,3-0,FC Schalke 04
3,Sat Oct 3 2020,15:30,Borussia Dortmund,4-0,1-0,SC Freiburg
3,Sun Oct 4 2020,18:00,Bayern München,4-3,1-0,Hertha BSC
3,Sun Oct 4 2020,15:30,VfL Wolfsburg,0-0,0-0,FC Augsburg
4,Sat Oct 17 2020,15:30,1899 Hoffenheim,0-1,0-0,Borussia Dortmund
4,Sat Oct 17 2020,15:30,SC Freiburg,1-1,1-1,Werder Bremen
4,Sat Oct 17 2020,15:30,Hertha BSC,0-2,0-1,VfB Stuttgart
4,Sat Oct 17 2020,15:30,1. FSV Mainz 05,0-1,0-1,Bayer Leverkusen
4,Sat Oct 17 2020,15:30,FC Augsburg,0-2,0-1,RB Leipzig
4,Sat Oct 17 2020,18:30,Arminia Bielefeld,1-4,0-3,Bayern München
4,Sat Oct 17 2020,20:30,Bor. Mönchengladbach,1-1,0-0,VfL Wolfsburg
4,Sun Oct 18 2020,18:00,FC Schalke 04,1-1,0-0,1. FC Union Berlin
4,Sun Oct 18 2020,15:30,1. FC Köln,1-1,0-1,Eintracht Frankfurt
5,Fri Oct 23 2020,20:30,VfB Stuttgart,1-1,1-1,1. FC Köln
5,Sat Oct 24 2020,15:30,Bayern München,5-0,2-0,Eintracht Frankfurt
5,Sat Oct 24 2020,15:30,RB Leipzig,2-1,1-1,Hertha BSC
