Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Apertura,1,Tue Aug 18 2020,19:00,CDT/-0500,Alebrijes de Oaxaca,1-0,0-0,Leones Negros,,,2020-08-19T00:00Z
Apertura,1,Tue Aug 18 2020,21:00,CDT/-0500,Dorados de Sinaloa,1-2,0-0,Club Celaya,,,2020-08-19T02:00Z
Apertura,1,Tue Aug 18 2020,17:00,CDT/-0500,Tapatío,0-2,0-0,Cimarrones de Sonora,,,2020-08-18T22:00Z
Apertura,1,Wed Aug 19 2020,19:00,CDT/-0500,Mineros de Zacatecas,1-2,0-0,Coyotes de Tlaxcala,,,2020-08-20T00:00Z
Apertura,1,Wed Aug 19 2020,21:00,CDT/-0500,Correcaminos UAT,0-0,0-0,Pumas Tabasco,,,2020-08-20T02:00Z
Apertura,1,Wed Aug 19 2020,17:00,CDT/-0500,Tepatitlán,2-2,0-0,Atlético Morelia,,,2020-08-19T22:00Z
Apertura,1,Thu Aug 20 2020,21:00,CDT/-0500,Cancún FC,1-0,1-0,TM Fútbol Club,,,2020-08-21T02:00Z
Apertura,2,Tue Aug 25 2020,17:00,CDT/-0500,Club Celaya,2-1,1-1,Correcaminos UAT,,,2020-08-25T22:00Z
Apertura,2,Tue Aug 25 2020,19:05,CDT/-0500,Atlético Morelia,0-2,0-0,Pumas Tabasco,,,2020-08-26T00:05Z
Apertura,2,Tue Aug 25 2020,21:05,CDT/-0500,Alebrijes de Oaxaca,1-3,0-1,Dorados de Sinaloa,,,2020-08-26T02:05Z
Apertura,2,Wed Aug 26 2020,19:00,CDT/-0500,Venados FC,0-0,0-0,Tapatío,,,2020-08-27T00:00Z
Apertura,2,Thu Aug 27 2020,21:00,CDT/-0500,Cimarrones de Sonora,2-1,0-0,Cancún FC,,,2020-08-28T02:00Z
Apertura,2,Sun Aug 30 2020,19:00,CDT/-0500,TM Fútbol Club,0-0,0-0,Tepatitlán,,,2020-08-31T00:00Z
Apertura,2,Sun Aug 30 2020,17:00,CDT/-0500,Leones Negros,1-1,0-0,Mineros de Zacatecas,,,2020-08-30T22:00Z
Apertura,3,Tue Sep 1 2020,21:05,CDT/-0500,TM Fútbol Club,1-1,1-1,Venados FC,,,2020-09-02T02:05Z
Apertura,3,Tue Sep 1 2020,19:05,CDT/-0500,Cancún FC,2-0,0-0,Correcaminos UAT,,,2020-09-02T00:05Z
Apertura,3,Tue Sep 1 2020,17:00,CDT/-0500,Tapatío,3-3,2-1,Atlético Morelia,,,2020-09-01T22:00Z
Apertura,3,Wed Sep 2 2020,18:30,CDT/-0500,Pumas Tabasco,3-3,2-1,Mineros de Zacatecas,,,2020-09-02T23:30Z
