Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Preliminary round,Wed Nov 11 2020,18:00,CET/+0100,AUGC Deportiva Ceuta,0-3,,Racing Murcia FC,,,2020-11-11T17:00Z
Preliminary round,Wed Nov 11 2020,18:00,CET/+0100,CF Rusadir,1-2,,CD Rincón,,,2020-11-11T17:00Z
Preliminary round,Wed Nov 11 2020,19:00,CET/+0100,Real Titánico,0-2,,Anaitasuna FT,,,2020-11-11T18:00Z
Preliminary round,Wed Nov 11 2020,19:00,CET/+0100,Racing Rioja CF,3-0,,CD Colegios Diocesanos,,,2020-11-11T18:00Z
Preliminary round,Wed Nov 11 2020,19:00,CET/+0100,CF Montañesa,0-1,,CD Cantolagua,,,2020-11-11T18:00Z
Preliminary round,Wed Nov 11 2020,19:00,CET/+0100,CD Cardassar,,,AD CF Épila,,4-3,2020-11-11T18:00Z
Preliminary round,Wed Nov 11 2020,19:30,CET/+0100,UD Tomares,3-0,,CP Chinato,,,2020-11-11T18:30Z
Preliminary round,Wed Nov 11 2020,20:00,CET/+0100,Miengo FC,0-1,,CD Ribadumia,,,2020-11-11T19:00Z
Preliminary round,Wed Nov 11 2020,20:00,CET/+0100,Móstoles CF,0-0,0-0,CD Marchamalo,0-0,4-5,2020-11-11T19:00Z
Preliminary round,Wed Nov 11 2020,21:30,CET/+0100,UD Guía,0-1,,CD Buñol,,,2020-11-11T20:30Z
Round 1,Tue Dec 15 2020,18:00,CET/+0100,CA Pulpileño,1-2,0-0,CD Lugo,,,2020-12-15T17:00Z
Round 1,Tue Dec 15 2020,19:00,CET/+0100,CD Marchamalo,1-1,0-1,SD Huesca,2-3,,2020-12-15T18:00Z
Round 1,Tue Dec 15 2020,19:00,CET/+0100,UD Tomares,0-6,0-2,CA Osasuna,,,2020-12-15T18:00Z
Round 1,Tue Dec 15 2020,19:00,CET/+0100,CD Cantolagua,0-5,0-2,Real Valladolid,,,2020-12-15T18:00Z
Round 1,Tue Dec 15 2020,19:00,CET/+0100,Sestao River,0-0,0-0,CD Tenerife,0-2,,2020-12-15T18:00Z
Round 1,Tue Dec 15 2020,19:00,CET/+0100,Club Portugalete,1-0,0-0,SD Ponferradina,,,2020-12-15T18:00Z
Round 1,Tue Dec 15 2020,20:00,CET/+0100,Ciudad de Lucena,0-3,0-3,Sevilla FC,,,2020-12-15T19:00Z
Round 1,Tue Dec 15 2020,20:00,CET/+0100,Ourense CF,0-0,0-0,CD Leganés,0-1,,2020-12-15T19:00Z
Round 1,Tue Dec 15 2020,20:30,CET/+0100,CD Coria,2-3,1-2,Real Oviedo,,,2020-12-15T19:30Z
Round 1,Wed Dec 16 2020,15:15,CET/+0100,Coruxo FC,0-4,0-1,Málaga CF,,,2020-12-16T14:15Z
Round 1,Wed Dec 16 2020,15:30,CET/+0100,CD Lealtad,1-2,0-1,AD Alcorcón,,,2020-12-16T14:30Z
Round 1,Wed Dec 16 2020,16:00,CET/+0100,Burgos CF,2-0,0-0,FC Andorra,,,2020-12-16T15:00Z
Round 1,Wed Dec 16 2020,18:00,CET/+0100,Quintanar del Rey,1-2,0-0,Sporting Gijón,,,2020-12-16T17:00Z
Round 1,Wed Dec 16 2020,18:00,CET/+0100,CE L'Hospitalet,1-4,0-2,UD Almería,,,2020-12-16T17:00Z
Round 1,Wed Dec 16 2020,18:00,CET/+0100,San Fernando CD,0-2,0-2,CD Castellón,,,2020-12-16T17:00Z
Round 1,Wed Dec 16 2020,18:00,CET/+0100,Córdoba CF,1-0,0-0,Albacete,,,2020-12-16T17:00Z
Round 1,Wed Dec 16 2020,18:30,CET/+0100,CD Numancia,4-1,2-0,Lorca Deportiva,,,2020-12-16T17:30Z
Round 1,Wed Dec 16 2020,19:00,CET/+0100,Racing Murcia FC,0-5,0-2,Levante UD,,,2020-12-16T18:00Z
Round 1,Wed Dec 16 2020,19:00,CET/+0100,CD Cardassar,0-3,0-2,Atlético Madrid,,,2020-12-16T18:00Z
Round 1,Wed Dec 16 2020,19:00,CET/+0100,Terrassa FC,2-2,1-0,Valencia CF,2-4,,2020-12-16T18:00Z
Round 1,Wed Dec 16 2020,19:00,CET/+0100,Las Rozas CF,1-0,1-0,CD Mirandés,,,2020-12-16T18:00Z
Round 1,Wed Dec 16 2020,19:00,CET/+0100,Gimnástica Torrelavega,0-2,0-0,Real Zaragoza,,,2020-12-16T18:00Z
Round 1,Wed Dec 16 2020,19:00,CET/+0100,UE Llagostera,0-0,0-0,Espanyol Barcelona,0-1,,2020-12-16T18:00Z
Round 1,Wed Dec 16 2020,19:00,CET/+0100,CD Ibiza,0-2,0-0,CE Sabadell,,,2020-12-16T18:00Z
Round 1,Wed Dec 16 2020,19:00,CET/+0100,Atlético Baleares,0-1,0-0,CF Fuenlabrada,,,2020-12-16T18:00Z
Round 1,Wed Dec 16 2020,19:00,CET/+0100,SD Amorebieta,1-0,1-0,UD Logroñés,,,2020-12-16T18:00Z
Round 1,Wed Dec 16 2020,19:00,CET/+0100,Inter de Madrid,0-3,0-1,Linares Deportivo,,,2020-12-16T18:00Z
Round 1,Wed Dec 16 2020,19:30,CET/+0100,CD Guijuelo,0-1,0-0,RCD Mallorca,,,2020-12-16T18:30Z
Round 1,Wed Dec 16 2020,19:30,CET/+0100,Rayo Majadahonda,1-2,0-0,Yeclano Deportivo,,,2020-12-16T18:30Z
Round 1,Wed Dec 16 2020,20:00,CET/+0100,Marbella FC,1-0,0-0,Lleida Esportiu,,,2020-12-16T19:00Z
Round 1,Wed Dec 16 2020,20:30,CET/+0100,CD Calahorra,0-1,0-0,CF La Nucía,,,2020-12-16T19:30Z
Round 1,Wed Dec 16 2020,21:00,CET/+0100,CD Buñol,1-2,1-0,Elche CF,,,2020-12-16T20:00Z
