Round,Date,Time,Team 1,FT,HT,Team 2,Comments
1,Sat Sep 19 2020,18:00,ACF Fiorentina,1-0,0-0,Torino FC,
1,Sat Sep 19 2020,20:45,Hellas Verona,3-0 (*),,AS Roma,awd.
1,Sun Sep 20 2020,12:30,Parma Calcio 1913,0-2,0-0,SSC Napoli,
1,Sun Sep 20 2020,15:00,Genoa CFC,4-1,3-1,FC Crotone,
1,Sun Sep 20 2020,18:00,Sassuolo Calcio,1-1,0-0,Cagliari Calcio,
1,Sun Sep 20 2020,20:45,Juventus,3-0,1-0,Sampdoria,
1,Mon Sep 21 2020,20:45,AC Milan,2-0,1-0,Bologna FC,
2,Sat Sep 26 2020,15:00,Torino FC,2-4,2-3,Atalanta,
2,Sat Sep 26 2020,18:00,Cagliari Calcio,0-2,0-1,Lazio Roma,
2,Sat Sep 26 2020,18:00,Sampdoria,2-3,2-1,Benevento Calcio,
2,Sat Sep 26 2020,20:45,Inter,4-3,1-1,ACF Fiorentina,
2,Sun Sep 27 2020,12:30,Spezia Calcio,1-4,1-1,Sassuolo Calcio,
2,Sun Sep 27 2020,15:00,Hellas Verona,1-0,0-0,Udinese Calcio,
2,Sun Sep 27 2020,18:00,FC Crotone,0-2,0-1,AC Milan,
2,Sun Sep 27 2020,18:00,SSC Napoli,6-0,1-0,Genoa CFC,
2,Sun Sep 27 2020,20:45,AS Roma,2-2,2-1,Juventus,
2,Mon Sep 28 2020,20:45,Bologna FC,4-1,2-0,Parma Calcio 1913,
1,Wed Sep 30 2020,18:00,Benevento Calcio,2-5,1-4,Inter,
1,Wed Sep 30 2020,18:00,Udinese Calcio,0-2,0-1,Spezia Calcio,
1,Wed Sep 30 2020,20:45,Lazio Roma,1-4,0-3,Atalanta,
3,Fri Oct 2 2020,20:45,ACF Fiorentina,1-2,0-1,Sampdoria,
3,Sat Oct 3 2020,15:00,Sassuolo Calcio,4-1,1-0,FC Crotone,
3,Sat Oct 3 2020,20:45,Udinese Calcio,0-1,0-0,AS Roma,
3,Sun Oct 4 2020,,Juventus,3-0 (*),,SSC Napoli,awd.
3,Sun Oct 4 2020,12:30,Atalanta,5-2,4-1,Cagliari Calcio,
3,Sun Oct 4 2020,15:00,Benevento Calcio,1-0,0-0,Bologna FC,
3,Sun Oct 4 2020,15:00,Lazio Roma,1-1,0-1,Inter,
3,Sun Oct 4 2020,15:00,Parma Calcio 1913,1-0,1-0,Hellas Verona,
3,Sun Oct 4 2020,18:00,AC Milan,3-0,0-0,Spezia Calcio,
4,Sat Oct 17 2020,15:00,SSC Napoli,4-1,4-0,Atalanta,
4,Sat Oct 17 2020,18:00,Inter,1-2,1-2,AC Milan,
4,Sat Oct 17 2020,18:00,Sampdoria,3-0,2-0,Lazio Roma,
4,Sat Oct 17 2020,20:45,FC Crotone,1-1,1-1,Juventus,
4,Sun Oct 18 2020,12:30,Bologna FC,3-4,2-1,Sassuolo Calcio,
4,Sun Oct 18 2020,15:00,Spezia Calcio,2-2,1-2,ACF Fiorentina,
4,Sun Oct 18 2020,15:00,Torino FC,2-3,1-2,Cagliari Calcio,
4,Sun Oct 18 2020,18:00,Udinese Calcio,3-2,1-1,Parma Calcio 1913,
4,Sun Oct 18 2020,20:45,AS Roma,5-2,2-1,Benevento Calcio,
4,Mon Oct 19 2020,20:45,Hellas Verona,0-0,0-0,Genoa CFC,
5,Fri Oct 23 2020,20:45,Sassuolo Calcio,3-3,0-1,Torino FC,
5,Sat Oct 24 2020,15:00,Atalanta,1-3,0-1,Sampdoria,
5,Sat Oct 24 2020,18:00,Genoa CFC,0-2,0-0,Inter,
5,Sat Oct 24 2020,20:45,Lazio Roma,2-1,0-0,Bologna FC,
5,Sun Oct 25 2020,12:30,Cagliari Calcio,4-2,3-2,FC Crotone,
5,Sun Oct 25 2020,15:00,Benevento Calcio,1-2,1-0,SSC Napoli,
5,Sun Oct 25 2020,15:00,Parma Calcio 1913,2-2,1-2,Spezia Calcio,
5,Sun Oct 25 2020,18:00,ACF Fiorentina,3-2,2-1,Udinese Calcio,
5,Sun Oct 25 2020,20:45,Juventus,1-1,0-0,Hellas Verona,
5,Mon Oct 26 2020,20:45,AC Milan,3-3,1-1,AS Roma,
6,Sat Oct 31 2020,15:00,FC Crotone,1-2,1-2,Atalanta,
6,Sat Oct 31 2020,18:00,Inter,2-2,0-0,Parma Calcio 1913,
6,Sat Oct 31 2020,20:45,Bologna FC,3-2,1-1,Cagliari Calcio,
6,Sun Nov 1 2020,12:30,Udinese Calcio,1-2,0-1,AC Milan,
6,Sun Nov 1 2020,15:00,Spezia Calcio,1-4,1-1,Juventus,
6,Sun Nov 1 2020,15:00,Torino FC,3-4,2-1,Lazio Roma,
6,Sun Nov 1 2020,18:00,SSC Napoli,0-2,0-0,Sassuolo Calcio,
6,Sun Nov 1 2020,18:00,AS Roma,2-0,1-0,ACF Fiorentina,
6,Sun Nov 1 2020,20:45,Sampdoria,1-1,1-1,Genoa CFC,
6,Mon Nov 2 2020,20:45,Hellas Verona,3-1,1-0,Benevento Calcio,
3,Wed Nov 4 2020,17:00,Genoa CFC,1-2,0-2,Torino FC,
7,Fri Nov 6 2020,20:45,Sassuolo Calcio,0-0,0-0,Udinese Calcio,
