Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,Comments,UTC
Apertura,1,Tue Jul 27 2021,19:05,CDT/-0500,Venados FC,1-2,1-2,Club Celaya,,,,2021-07-28T00:05Z
Apertura,1,Tue Jul 27 2021,21:05,CDT/-0500,Cimarrones de Sonora,0-0,0-0,Tapatío,,,,2021-07-28T02:05Z
Apertura,1,Tue Jul 27 2021,17:00,CDT/-0500,Coyotes de Tlaxcala,1-1,1-1,Dorados de Sinaloa,,,,2021-07-27T22:00Z
Apertura,1,Wed Jul 28 2021,21:05,CDT/-0500,CF Monterrey II,1-2,1-1,Cancún FC,,,,2021-07-29T02:05Z
Apertura,1,Wed Jul 28 2021,19:05,CDT/-0500,TM Fútbol Club,3-2,2-2,Leones Negros,,,,2021-07-29T00:05Z
Apertura,1,Thu Jul 29 2021,16:00,CDT/-0500,Atlético Morelia,2-2,1-2,Mineros de Zacatecas,,,,2021-07-29T21:00Z
Apertura,1,Fri Jul 30 2021,19:05,CDT/-0500,Pumas Tabasco,0-0,0-0,Alebrijes de Oaxaca,,,,2021-07-31T00:05Z
Apertura,1,Sun Aug 1 2021,16:00,CDT/-0500,Atlante,3-0,2-0,Correcaminos UAT,,,,2021-08-01T21:00Z
Apertura,2,Tue Aug 3 2021,17:00,CDT/-0500,Club Celaya,0-0,0-0,TM Fútbol Club,,,,2021-08-03T22:00Z
Apertura,2,Tue Aug 3 2021,19:05,CDT/-0500,Alebrijes de Oaxaca,0-1,0-1,Cimarrones de Sonora,,,,2021-08-04T00:05Z
Apertura,2,Tue Aug 3 2021,21:05,CDT/-0500,Dorados de Sinaloa,3-1,2-0,Atlético Morelia,,,,2021-08-04T02:05Z
Apertura,2,Wed Aug 4 2021,19:05,CDT/-0500,Venados FC,1-0,0-0,Coyotes de Tlaxcala,,,,2021-08-05T00:05Z
Apertura,2,Wed Aug 4 2021,21:05,CDT/-0500,Correcaminos UAT,2-1,0-1,Tepatitlán,,,,2021-08-05T02:05Z
Apertura,2,Wed Aug 4 2021,17:00,CDT/-0500,Mineros de Zacatecas,2-1,1-0,Leones Negros,,,,2021-08-04T22:00Z
Apertura,2,Thu Aug 5 2021,19:00,CDT/-0500,Tapatío,1-2,0-0,Pumas Tabasco,,,,2021-08-06T00:00Z
Apertura,2,Sun Aug 8 2021,17:00,CDT/-0500,Atlante,2-1,0-0,CF Monterrey II,,,,2021-08-08T22:00Z
Apertura,3,Tue Aug 10 2021,17:00,CDT/-0500,Atlético Morelia,2-1,1-0,Club Celaya,,,,2021-08-10T22:00Z
Apertura,3,Tue Aug 10 2021,19:00,CDT/-0500,Cancún FC,0-1,0-0,Correcaminos UAT,,,,2021-08-11T00:00Z
Apertura,3,Tue Aug 10 2021,21:05,CDT/-0500,TM Fútbol Club,3-0,2-0,Venados FC,,,,2021-08-11T02:05Z
Apertura,3,Wed Aug 11 2021,21:05,CDT/-0500,Cimarrones de Sonora,2-0,2-0,Atlante,,,,2021-08-12T02:05Z
Apertura,3,Wed Aug 11 2021,17:00,CDT/-0500,Coyotes de Tlaxcala,1-1,0-1,Alebrijes de Oaxaca,,,,2021-08-11T22:00Z
Apertura,3,Thu Aug 12 2021,20:00,CDT/-0500,Leones Negros,0-0,0-0,Dorados de Sinaloa,,,,2021-08-13T01:00Z
Apertura,3,Thu Aug 12 2021,16:00,CDT/-0500,Tepatitlán,3-2,2-1,Mineros de Zacatecas,,,,2021-08-12T21:00Z
Apertura,3,Fri Aug 13 2021,17:00,CDT/-0500,CF Monterrey II,2-0,1-0,Tapatío,,,,2021-08-13T22:00Z
Apertura,4,Tue Aug 17 2021,19:05,CDT/-0500,Venados FC,1-1,0-0,CF Monterrey II,,,,2021-08-18T00:05Z
Apertura,4,Tue Aug 17 2021,21:05,CDT/-0500,Club Celaya,3-0,0-0,Coyotes de Tlaxcala,,,,2021-08-18T02:05Z
Apertura,4,Tue Aug 17 2021,17:00,CDT/-0500,Mineros de Zacatecas,1-2,1-1,Pumas Tabasco,,,,2021-08-17T22:00Z
Apertura,4,Wed Aug 18 2021,17:00,CDT/-0500,Alebrijes de Oaxaca,2-3,1-1,Tepatitlán,,,,2021-08-18T22:00Z
Apertura,4,Wed Aug 18 2021,19:05,CDT/-0500,Correcaminos UAT,2-2,1-0,Leones Negros,,,,2021-08-19T00:05Z
Apertura,4,Wed Aug 18 2021,21:05,CDT/-0500,Dorados de Sinaloa,4-1,2-1,Cimarrones de Sonora,,,,2021-08-19T02:05Z
Apertura,4,Thu Aug 19 2021,19:00,CDT/-0500,Atlante,1-0,1-0,Cancún FC,,,,2021-08-20T00:00Z
Apertura,4,Thu Aug 19 2021,17:00,CDT/-0500,Tapatío,0-3,0-1,Atlético Morelia,,,,2021-08-19T22:00Z
Apertura,5,Tue Aug 24 2021,19:05,CDT/-0500,Pumas Tabasco,0-2,0-2,Dorados de Sinaloa,,,,2021-08-25T00:05Z
Apertura,5,Tue Aug 24 2021,21:05,CDT/-0500,TM Fútbol Club,1-1,0-0,Tapatío,,,,2021-08-25T02:05Z
Apertura,5,Tue Aug 24 2021,17:00,CDT/-0500,Tepatitlán,2-0,0-0,Venados FC,,,,2021-08-24T22:00Z
Apertura,5,Wed Aug 25 2021,17:00,CDT/-0500,Coyotes de Tlaxcala,0-0,0-0,Atlante,,,,2021-08-25T22:00Z
Apertura,5,Wed Aug 25 2021,19:05,CDT/-0500,Cancún FC,3-1,2-0,Mineros de Zacatecas,,,,2021-08-26T00:05Z
Apertura,5,Wed Aug 25 2021,21:05,CDT/-0500,CF Monterrey II,1-0,1-0,Club Celaya,,,,2021-08-26T02:05Z
Apertura,5,Thu Aug 26 2021,21:00,CDT/-0500,Atlético Morelia,2-1,1-1,Correcaminos UAT,,,,2021-08-27T02:00Z
Apertura,5,Sun Aug 29 2021,16:00,CDT/-0500,Leones Negros,1-1,0-0,Alebrijes de Oaxaca,,,,2021-08-29T21:00Z
Apertura,6,Tue Aug 31 2021,19:05,CDT/-0500,Venados FC,2-0,2-0,Cimarrones de Sonora,,,,2021-09-01T00:05Z
Apertura,6,Tue Aug 31 2021,17:00,CDT/-0500,Mineros de Zacatecas,1-2,0-0,TM Fútbol Club,,,,2021-08-31T22:00Z
