Round,Date,Time,Team 1,FT,HT,Team 2
10,Fri Oct 1 2021,19:30,Wiener Sport-Club,6-0,3-0,FC Mauerwerk
10,Sat Oct 2 2021,16:00,TWL Elektra,0-1,0-0,First Vienna FC
10,Sat Oct 2 2021,16:30,SV Leobendorf,1-0,0-0,1. Wiener Neustädter SC
10,Sat Oct 2 2021,17:00,SC Wiener Viktoria,1-2,0-1,FCM Traiskirchen
10,Sat Oct 2 2021,16:00,SV Stripfing/Weiden,4-0,2-0,ASV Draßburg
11,Fri Oct 8 2021,19:30,FC Marchfeld Donauauen,0-3,0-1,SV Leobendorf
11,Fri Oct 8 2021,19:30,SC Neusiedl/See 1919,0-1,0-0,Wiener Sport-Club
11,Fri Oct 8 2021,19:30,ASV Draßburg,2-1,0-0,FC Admira Wacker II
11,Fri Oct 8 2021,19:30,FCM Traiskirchen,0-3,0-2,SV Stripfing/Weiden
11,Fri Oct 8 2021,19:30,1. Wiener Neustädter SC,0-1,0-1,TWL Elektra
11,Sat Oct 9 2021,16:00,First Vienna FC,1-0,0-0,ASK-BSC Bruck/Leitha
11,Sat Oct 9 2021,14:00,FC Mauerwerk,1-0,1-0,SC Wiener Viktoria
10,Tue Oct 12 2021,18:45,FC Admira Wacker II,0-2,0-0,FC Marchfeld Donauauen
12,Fri Oct 15 2021,19:30,ASV Draßburg,0-2,0-1,FCM Traiskirchen
12,Fri Oct 15 2021,19:30,Wiener Sport-Club,0-3,0-1,First Vienna FC
12,Fri Oct 15 2021,19:30,TWL Elektra,0-1,0-0,FC Marchfeld Donauauen
12,Fri Oct 15 2021,19:00,ASK-BSC Bruck/Leitha,5-1,3-0,1. Wiener Neustädter SC
12,Sat Oct 16 2021,17:00,SC Wiener Viktoria,4-0,1-0,SC Neusiedl/See 1919
12,Sat Oct 16 2021,15:30,SV Stripfing/Weiden,3-0,0-0,FC Mauerwerk
12,Sun Oct 17 2021,14:30,FC Admira Wacker II,1-3,1-1,SV Leobendorf
13,Fri Oct 22 2021,19:00,SV Leobendorf,1-1,0-0,TWL Elektra
13,Fri Oct 22 2021,19:00,First Vienna FC,0-0,0-0,SC Wiener Viktoria
13,Fri Oct 22 2021,19:30,FCM Traiskirchen,2-1,1-0,FC Admira Wacker II
13,Fri Oct 22 2021,19:30,FC Marchfeld Donauauen,3-3,1-0,ASK-BSC Bruck/Leitha
13,Sat Oct 23 2021,16:00,SC Neusiedl/See 1919,0-5,0-2,SV Stripfing/Weiden
13,Sat Oct 23 2021,19:00,1. Wiener Neustädter SC,1-2,1-1,Wiener Sport-Club
13,Sat Oct 23 2021,14:00,FC Mauerwerk,1-0,0-0,ASV Draßburg
26,Fri Mar 4 2022,19:30,TWL Elektra,1-0,1-0,SV Leobendorf
26,Fri Mar 4 2022,19:30,Wiener Sport-Club,1-0,0-0,1. Wiener Neustädter SC
26,Fri Mar 4 2022,19:00,ASK-BSC Bruck/Leitha,2-3,0-0,FC Marchfeld Donauauen
26,Sat Mar 5 2022,16:00,SC Wiener Viktoria,0-2,0-0,First Vienna FC
26,Sat Mar 5 2022,17:00,ASV Draßburg,1-3,1-1,FC Mauerwerk
26,Sat Mar 5 2022,15:30,SV Stripfing/Weiden,1-1,0-0,SC Neusiedl/See 1919
26,Sat Mar 5 2022,15:00,FC Admira Wacker II,2-2,0-1,FCM Traiskirchen
14,Fri Mar 11 2022,19:30,1. Wiener Neustädter SC,0-2,0-2,SC Wiener Viktoria
14,Fri Mar 11 2022,19:00,SC Neusiedl/See 1919,0-1,0-1,ASV Draßburg
14,Sat Mar 12 2022,17:00,First Vienna FC,0-0,0-0,SV Stripfing/Weiden
14,Sat Mar 12 2022,16:30,SV Leobendorf,1-0,0-0,ASK-BSC Bruck/Leitha
14,Sun Mar 13 2022,15:30,FC Mauerwerk,1-2,1-0,FCM Traiskirchen
15,Fri Mar 18 2022,19:30,Wiener Sport-Club,2-3,0-0,SV Leobendorf
15,Fri Mar 18 2022,19:30,ASV Draßburg,1-5,1-2,First Vienna FC
15,Fri Mar 18 2022,19:00,ASK-BSC Bruck/Leitha,2-2,0-2,TWL Elektra
15,Sat Mar 19 2022,16:00,SV Stripfing/Weiden,2-0,1-0,1. Wiener Neustädter SC
16,Fri Mar 25 2022,19:30,TWL Elektra,0-3,0-2,Wiener Sport-Club
