Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
,1,Fri Aug 20 2021,20:30,CEST/+0200,Frosinone Calcio,2-2,1-1,Parma Calcio 1913,,2021-08-20T18:30Z
,1,Sat Aug 21 2021,20:30,CEST/+0200,AS Cittadella,1-0,0-0,L.R. Vicenza,,2021-08-21T18:30Z
,1,Sat Aug 21 2021,18:00,CEST/+0200,Pordenone Calcio,0-1,0-1,AC Perugia Calcio,,2021-08-21T16:00Z
,1,Sun Aug 22 2021,18:00,CEST/+0200,Reggina 1914,0-0,0-0,AC Monza,,2021-08-22T16:00Z
,1,Sun Aug 22 2021,18:00,CEST/+0200,Ternana Calcio,0-2,0-2,Brescia Calcio,,2021-08-22T16:00Z
,1,Sun Aug 22 2021,20:30,CEST/+0200,Pisa SC,1-0,1-0,SPAL 2013 Ferrara,,2021-08-22T18:30Z
,1,Sun Aug 22 2021,20:30,CEST/+0200,Benevento Calcio,4-3,2-2,US Alessandria 1912,,2021-08-22T18:30Z
,1,Sun Aug 22 2021,20:30,CEST/+0200,FC Crotone,2-2,0-0,Como 1907,,2021-08-22T18:30Z
,1,Sun Aug 22 2021,20:30,CEST/+0200,US Cremonese,3-0,0-0,US Lecce,,2021-08-22T18:30Z
,1,Sun Aug 22 2021,20:30,CEST/+0200,Ascoli Calcio,1-0,1-0,Cosenza Calcio,,2021-08-22T18:30Z
,2,Fri Aug 27 2021,18:00,CEST/+0200,Pisa SC,2-0,0-0,US Alessandria 1912,,2021-08-27T16:00Z
,2,Fri Aug 27 2021,20:30,CEST/+0200,Brescia Calcio,5-1,2-0,Cosenza Calcio,,2021-08-27T18:30Z
,2,Sat Aug 28 2021,20:30,CEST/+0200,AC Perugia Calcio,2-3,1-1,Ascoli Calcio,,2021-08-28T18:30Z
,2,Sat Aug 28 2021,18:00,CEST/+0200,L.R. Vicenza,0-2,0-0,Frosinone Calcio,,2021-08-28T16:00Z
,2,Sun Aug 29 2021,20:30,CEST/+0200,Parma Calcio 1913,1-0,0-0,Benevento Calcio,,2021-08-29T18:30Z
,2,Sun Aug 29 2021,20:30,CEST/+0200,Reggina 1914,3-2,0-1,Ternana Calcio,,2021-08-29T18:30Z
,2,Sun Aug 29 2021,20:30,CEST/+0200,SPAL 2013 Ferrara,5-0,3-0,Pordenone Calcio,,2021-08-29T18:30Z
,2,Sun Aug 29 2021,20:30,CEST/+0200,AC Monza,1-0,0-0,US Cremonese,,2021-08-29T18:30Z
,2,Sun Aug 29 2021,20:30,CEST/+0200,US Lecce,1-1,1-1,Como 1907,,2021-08-29T18:30Z
,2,Sun Aug 29 2021,18:00,CEST/+0200,AS Cittadella,4-2,1-1,FC Crotone,,2021-08-29T16:00Z
,3,Fri Sep 10 2021,20:30,CEST/+0200,Benevento Calcio,0-0,0-0,US Lecce,,2021-09-10T18:30Z
,3,Sat Sep 11 2021,14:00,CEST/+0200,Como 1907,0-1,0-0,Ascoli Calcio,,2021-09-11T12:00Z
,3,Sat Sep 11 2021,14:00,CEST/+0200,Frosinone Calcio,0-0,0-0,AC Perugia Calcio,,2021-09-11T12:00Z
,3,Sat Sep 11 2021,14:00,CEST/+0200,SPAL 2013 Ferrara,1-1,1-0,AC Monza,,2021-09-11T12:00Z
,3,Sat Sep 11 2021,14:00,CEST/+0200,US Alessandria 1912,1-3,0-0,Brescia Calcio,,2021-09-11T12:00Z
,3,Sat Sep 11 2021,16:15,CEST/+0200,Ternana Calcio,1-4,1-2,Pisa SC,,2021-09-11T14:15Z
,3,Sat Sep 11 2021,18:30,CEST/+0200,FC Crotone,1-1,0-1,Reggina 1914,,2021-09-11T16:30Z
,3,Sun Sep 12 2021,16:15,CEST/+0200,US Cremonese,2-0,1-0,AS Cittadella,,2021-09-12T14:15Z
,3,Sun Sep 12 2021,20:30,CEST/+0200,Pordenone Calcio,0-4,0-2,Parma Calcio 1913,,2021-09-12T18:30Z
,3,Sun Sep 12 2021,14:00,CEST/+0200,Cosenza Calcio,2-1,1-0,L.R. Vicenza,,2021-09-12T12:00Z
,4,Fri Sep 17 2021,18:00,CEST/+0200,Como 1907,0-2,0-2,Frosinone Calcio,,2021-09-17T16:00Z
,4,Fri Sep 17 2021,20:30,CEST/+0200,Brescia Calcio,2-2,1-0,FC Crotone,,2021-09-17T18:30Z
,4,Sat Sep 18 2021,14:00,CEST/+0200,Ascoli Calcio,0-2,0-2,Benevento Calcio,,2021-09-18T12:00Z
,4,Sat Sep 18 2021,14:00,CEST/+0200,Reggina 1914,2-1,1-1,SPAL 2013 Ferrara,,2021-09-18T12:00Z
,4,Sat Sep 18 2021,14:00,CEST/+0200,AC Monza,1-1,1-0,Ternana Calcio,,2021-09-18T12:00Z
,4,Sat Sep 18 2021,14:00,CEST/+0200,US Lecce,3-2,1-1,US Alessandria 1912,,2021-09-18T12:00Z
,4,Sat Sep 18 2021,14:00,CEST/+0200,AC Perugia Calcio,1-1,0-0,Cosenza Calcio,,2021-09-18T12:00Z
,4,Sat Sep 18 2021,16:15,CEST/+0200,L.R. Vicenza,1-3,1-1,Pisa SC,,2021-09-18T14:15Z
,4,Sat Sep 18 2021,18:30,CEST/+0200,AS Cittadella,1-0,0-0,Pordenone Calcio,,2021-09-18T16:30Z
,4,Sun Sep 19 2021,20:30,CEST/+0200,Parma Calcio 1913,1-2,0-2,US Cremonese,,2021-09-19T18:30Z
,5,Mon Sep 20 2021,20:30,CEST/+0200,Frosinone Calcio,2-2,2-1,Brescia Calcio,,2021-09-20T18:30Z
,5,Tue Sep 21 2021,18:00,CEST/+0200,Benevento Calcio,4-1,1-1,AS Cittadella,,2021-09-21T16:00Z
,5,Tue Sep 21 2021,18:00,CEST/+0200,US Alessandria 1912,1-3,0-2,Ascoli Calcio,,2021-09-21T16:00Z
,5,Tue Sep 21 2021,20:30,CEST/+0200,Pisa SC,2-1,1-0,AC Monza,,2021-09-21T18:30Z
,5,Tue Sep 21 2021,20:30,CEST/+0200,FC Crotone,0-3,0-2,US Lecce,,2021-09-21T18:30Z
,5,Tue Sep 21 2021,20:30,CEST/+0200,Pordenone Calcio,1-1,1-0,Reggina 1914,,2021-09-21T18:30Z
,5,Tue Sep 21 2021,20:30,CEST/+0200,SPAL 2013 Ferrara,3-2,1-1,L.R. Vicenza,,2021-09-21T18:30Z
,5,Tue Sep 21 2021,20:30,CEST/+0200,Cosenza Calcio,2-0,1-0,Como 1907,,2021-09-21T18:30Z
,5,Wed Sep 22 2021,20:30,CEST/+0200,US Cremonese,0-3,0-2,AC Perugia Calcio,,2021-09-22T18:30Z
,5,Wed Sep 22 2021,18:00,CEST/+0200,Ternana Calcio,3-1,0-0,Parma Calcio 1913,,2021-09-22T16:00Z
,6,Sat Sep 25 2021,14:00,CEST/+0200,Ascoli Calcio,2-3,2-1,Brescia Calcio,,2021-09-25T12:00Z
,6,Sat Sep 25 2021,14:00,CEST/+0200,Como 1907,1-1,1-1,Benevento Calcio,,2021-09-25T12:00Z
,6,Sat Sep 25 2021,14:00,CEST/+0200,AC Monza,3-1,1-1,Pordenone Calcio,,2021-09-25T12:00Z
,6,Sat Sep 25 2021,16:15,CEST/+0200,Reggina 1914,0-0,0-0,Frosinone Calcio,,2021-09-25T14:15Z
,6,Sat Sep 25 2021,18:30,CEST/+0200,Cosenza Calcio,1-0,0-0,FC Crotone,,2021-09-25T16:30Z
,6,Sat Sep 25 2021,14:00,CEST/+0200,AS Cittadella,1-2,1-1,US Lecce,,2021-09-25T12:00Z
,6,Sun Sep 26 2021,14:00,CEST/+0200,AC Perugia Calcio,1-1,1-1,US Alessandria 1912,,2021-09-26T12:00Z
,6,Sun Sep 26 2021,16:15,CEST/+0200,Parma Calcio 1913,1-1,0-1,Pisa SC,,2021-09-26T14:15Z
,6,Sun Sep 26 2021,20:30,CEST/+0200,L.R. Vicenza,0-1,0-1,US Cremonese,,2021-09-26T18:30Z
,6,Sun Sep 26 2021,20:30,CEST/+0200,Ternana Calcio,1-0,1-0,SPAL 2013 Ferrara,,2021-09-26T18:30Z
,7,Fri Oct 1 2021,20:30,CEST/+0200,US Lecce,3-0,1-0,AC Monza,,2021-10-01T18:30Z
,7,Sat Oct 2 2021,14:00,CEST/+0200,FC Crotone,2-2,2-1,Ascoli Calcio,,2021-10-02T12:00Z
,7,Sat Oct 2 2021,14:00,CEST/+0200,Frosinone Calcio,0-1,0-0,AS Cittadella,,2021-10-02T12:00Z
,7,Sat Oct 2 2021,14:00,CEST/+0200,US Cremonese,2-0,1-0,Ternana Calcio,,2021-10-02T12:00Z
,7,Sat Oct 2 2021,14:00,CEST/+0200,US Alessandria 1912,1-0,0-0,Cosenza Calcio,,2021-10-02T12:00Z
,7,Sat Oct 2 2021,16:15,CEST/+0200,Pisa SC,2-0,1-0,Reggina 1914,,2021-10-02T14:15Z
,7,Sat Oct 2 2021,18:30,CEST/+0200,SPAL 2013 Ferrara,2-2,0-1,Parma Calcio 1913,,2021-10-02T16:30Z
,7,Sun Oct 3 2021,16:15,CEST/+0200,Pordenone Calcio,2-4,1-2,L.R. Vicenza,,2021-10-03T14:15Z
,7,Sun Oct 3 2021,20:30,CEST/+0200,Benevento Calcio,0-0,0-0,AC Perugia Calcio,,2021-10-03T18:30Z
,7,Sun Oct 3 2021,14:00,CEST/+0200,Brescia Calcio,2-4,1-1,Como 1907,,2021-10-03T12:00Z
,8,Sat Oct 16 2021,14:00,CEST/+0200,Ascoli Calcio,1-1,0-1,US Lecce,,2021-10-16T12:00Z
,8,Sat Oct 16 2021,14:00,CEST/+0200,FC Crotone,2-1,2-1,Pisa SC,,2021-10-16T12:00Z
,8,Sat Oct 16 2021,14:00,CEST/+0200,L.R. Vicenza,0-1,0-1,Reggina 1914,,2021-10-16T12:00Z
,8,Sat Oct 16 2021,14:00,CEST/+0200,Pordenone Calcio,1-3,0-2,Ternana Calcio,,2021-10-16T12:00Z
,8,Sat Oct 16 2021,16:15,CEST/+0200,AC Perugia Calcio,1-0,1-0,Brescia Calcio,,2021-10-16T14:15Z
,8,Sat Oct 16 2021,16:15,CEST/+0200,Cosenza Calcio,1-1,1-0,Frosinone Calcio,,2021-10-16T14:15Z
,8,Sat Oct 16 2021,18:30,CEST/+0200,Como 1907,2-0,0-0,US Alessandria 1912,,2021-10-16T16:30Z
,8,Sun Oct 17 2021,16:15,CEST/+0200,Parma Calcio 1913,0-0,0-0,AC Monza,,2021-10-17T14:15Z
,8,Sun Oct 17 2021,20:30,CEST/+0200,AS Cittadella,0-0,0-0,SPAL 2013 Ferrara,,2021-10-17T18:30Z
,8,Sun Oct 17 2021,14:00,CEST/+0200,US Cremonese,1-1,0-1,Benevento Calcio,,2021-10-17T12:00Z
,9,Fri Oct 22 2021,20:30,CEST/+0200,US Alessandria 1912,1-0,1-0,FC Crotone,,2021-10-22T18:30Z
,9,Sat Oct 23 2021,14:00,CEST/+0200,AC Monza,1-0,0-0,AS Cittadella,,2021-10-23T12:00Z
,9,Sat Oct 23 2021,14:00,CEST/+0200,Ternana Calcio,5-0,2-0,L.R. Vicenza,,2021-10-23T12:00Z
,9,Sat Oct 23 2021,14:00,CEST/+0200,US Lecce,0-0,0-0,AC Perugia Calcio,,2021-10-23T12:00Z
,9,Sat Oct 23 2021,14:00,CEST/+0200,Benevento Calcio,3-0,1-0,Cosenza Calcio,,2021-10-23T12:00Z
,9,Sat Oct 23 2021,16:15,CEST/+0200,Frosinone Calcio,2-1,1-0,Ascoli Calcio,,2021-10-23T14:15Z
,9,Sat Oct 23 2021,18:30,CEST/+0200,Brescia Calcio,1-0,0-0,US Cremonese,,2021-10-23T16:30Z
,9,Sun Oct 24 2021,16:15,CEST/+0200,Reggina 1914,2-1,1-0,Parma Calcio 1913,,2021-10-24T14:15Z
,9,Sun Oct 24 2021,20:30,CEST/+0200,SPAL 2013 Ferrara,1-1,0-1,Como 1907,,2021-10-24T18:30Z
,9,Sun Oct 24 2021,14:00,CEST/+0200,Pisa SC,1-1,0-0,Pordenone Calcio,,2021-10-24T12:00Z
,10,Wed Oct 27 2021,20:30,CEST/+0200,L.R. Vicenza,1-1,0-1,AC Monza,,2021-10-27T18:30Z
,10,Wed Oct 27 2021,18:00,CEST/+0200,Cosenza Calcio,3-1,2-1,Ternana Calcio,,2021-10-27T16:00Z
,10,Thu Oct 28 2021,18:00,CEST/+0200,Ascoli Calcio,0-1,0-0,SPAL 2013 Ferrara,,2021-10-28T16:00Z
,10,Thu Oct 28 2021,18:00,CEST/+0200,Brescia Calcio,1-1,0-0,US Lecce,,2021-10-28T16:00Z
,10,Thu Oct 28 2021,18:00,CEST/+0200,US Alessandria 1912,1-1,0-0,Frosinone Calcio,,2021-10-28T16:00Z
,10,Thu Oct 28 2021,20:30,CEST/+0200,AC Perugia Calcio,0-2,0-2,Reggina 1914,,2021-10-28T18:30Z
,10,Thu Oct 28 2021,20:30,CEST/+0200,AS Cittadella,1-2,0-1,Parma Calcio 1913,,2021-10-28T18:30Z
,10,Thu Oct 28 2021,20:30,CEST/+0200,Como 1907,1-0,1-0,Pordenone Calcio,,2021-10-28T18:30Z
