Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,UTC
,10,Thu Oct 28 2021,20:30,CEST/+0200,FC Crotone,0-2,0-1,Benevento Calcio,,2021-10-28T18:30Z
,10,Thu Oct 28 2021,20:30,CEST/+0200,US Cremonese,1-1,0-1,Pisa SC,,2021-10-28T18:30Z
,11,Mon Nov 1 2021,12:30,CET/+0100,Benevento Calcio,0-1,0-0,Brescia Calcio,,2021-11-01T11:30Z
,11,Mon Nov 1 2021,15:00,CET/+0100,Frosinone Calcio,2-1,1-1,FC Crotone,,2021-11-01T14:00Z
,11,Mon Nov 1 2021,15:00,CET/+0100,Reggina 1914,0-1,0-1,AS Cittadella,,2021-11-01T14:00Z
,11,Mon Nov 1 2021,15:00,CET/+0100,SPAL 2013 Ferrara,1-2,1-1,AC Perugia Calcio,,2021-11-01T14:00Z
,11,Mon Nov 1 2021,15:00,CET/+0100,AC Monza,1-0,1-0,US Alessandria 1912,,2021-11-01T14:00Z
,11,Mon Nov 1 2021,15:00,CET/+0100,Ternana Calcio,1-2,0-1,Como 1907,,2021-11-01T14:00Z
,11,Mon Nov 1 2021,15:00,CET/+0100,US Lecce,3-1,2-0,Cosenza Calcio,,2021-11-01T14:00Z
,11,Mon Nov 1 2021,18:00,CET/+0100,Pisa SC,1-1,1-1,Ascoli Calcio,,2021-11-01T17:00Z
,11,Mon Nov 1 2021,18:00,CET/+0100,Parma Calcio 1913,1-0,1-0,L.R. Vicenza,,2021-11-01T17:00Z
,11,Mon Nov 1 2021,18:00,CET/+0100,Pordenone Calcio,2-2,1-2,US Cremonese,,2021-11-01T17:00Z
,12,Fri Nov 5 2021,20:30,CET/+0100,Cosenza Calcio,0-1,0-0,Reggina 1914,,2021-11-05T19:30Z
,12,Sat Nov 6 2021,14:00,CET/+0100,Ascoli Calcio,2-1,2-0,L.R. Vicenza,,2021-11-06T13:00Z
,12,Sat Nov 6 2021,14:00,CET/+0100,Como 1907,4-1,4-0,AC Perugia Calcio,,2021-11-06T13:00Z
,12,Sat Nov 6 2021,14:00,CET/+0100,US Alessandria 1912,0-2,0-2,Ternana Calcio,,2021-11-06T13:00Z
,12,Sat Nov 6 2021,14:00,CET/+0100,US Cremonese,1-1,1-1,SPAL 2013 Ferrara,,2021-11-06T13:00Z
,12,Sat Nov 6 2021,16:15,CET/+0100,Brescia Calcio,1-0,0-0,Pordenone Calcio,,2021-11-06T15:15Z
,12,Sat Nov 6 2021,18:30,CET/+0100,Benevento Calcio,1-4,0-2,Frosinone Calcio,,2021-11-06T17:30Z
,12,Sun Nov 7 2021,16:15,CET/+0100,FC Crotone,1-1,0-1,AC Monza,,2021-11-07T15:15Z
,12,Sun Nov 7 2021,20:30,CET/+0100,AS Cittadella,2-0,0-0,Pisa SC,,2021-11-07T19:30Z
,12,Sun Nov 7 2021,14:00,CET/+0100,US Lecce,4-0,4-0,Parma Calcio 1913,,2021-11-07T13:00Z
,13,Sat Nov 20 2021,14:00,CET/+0100,Frosinone Calcio,0-0,0-0,US Lecce,,2021-11-20T13:00Z
,13,Sat Nov 20 2021,14:00,CET/+0100,Pordenone Calcio,0-1,0-1,Ascoli Calcio,,2021-11-20T13:00Z
,13,Sat Nov 20 2021,14:00,CET/+0100,SPAL 2013 Ferrara,2-3,2-3,US Alessandria 1912,,2021-11-20T13:00Z
,13,Sat Nov 20 2021,14:00,CET/+0100,Ternana Calcio,1-1,0-1,AS Cittadella,,2021-11-20T13:00Z
,13,Sat Nov 20 2021,16:15,CET/+0100,AC Perugia Calcio,2-0,1-0,FC Crotone,,2021-11-20T15:15Z
,13,Sat Nov 20 2021,18:30,CET/+0100,L.R. Vicenza,2-3,1-2,Brescia Calcio,,2021-11-20T17:30Z
,13,Sun Nov 21 2021,14:00,CET/+0100,Parma Calcio 1913,1-1,1-0,Cosenza Calcio,,2021-11-21T13:00Z
,13,Sun Nov 21 2021,16:15,CET/+0100,AC Monza,3-2,2-0,Como 1907,,2021-11-21T15:15Z
,13,Sun Nov 21 2021,20:30,CET/+0100,Pisa SC,1-0,1-0,Benevento Calcio,,2021-11-21T19:30Z
,13,Sun Nov 21 2021,14:00,CET/+0100,Reggina 1914,1-2,1-0,US Cremonese,,2021-11-21T13:00Z
,14,Fri Nov 26 2021,20:30,CET/+0100,US Lecce,3-3,2-1,Ternana Calcio,,2021-11-26T19:30Z
,14,Fri Nov 26 2021,18:00,CET/+0100,FC Crotone,0-1,0-0,L.R. Vicenza,,2021-11-26T17:00Z
,14,Sat Nov 27 2021,14:00,CET/+0100,Ascoli Calcio,1-1,1-1,AC Monza,,2021-11-27T13:00Z
,14,Sat Nov 27 2021,14:00,CET/+0100,Benevento Calcio,4-0,2-0,Reggina 1914,,2021-11-27T13:00Z
,14,Sat Nov 27 2021,14:00,CET/+0100,Frosinone Calcio,2-2,0-0,Pordenone Calcio,,2021-11-27T13:00Z
,14,Sat Nov 27 2021,14:00,CET/+0100,US Alessandria 1912,1-0,0-0,US Cremonese,,2021-11-27T13:00Z
,14,Sat Nov 27 2021,14:00,CET/+0100,Cosenza Calcio,0-1,0-0,SPAL 2013 Ferrara,,2021-11-27T13:00Z
,14,Sat Nov 27 2021,16:15,CET/+0100,Brescia Calcio,0-1,0-0,Pisa SC,,2021-11-27T15:15Z
,14,Sat Nov 27 2021,18:30,CET/+0100,AC Perugia Calcio,1-1,1-0,AS Cittadella,,2021-11-27T17:30Z
,14,Sun Nov 28 2021,20:30,CET/+0100,Como 1907,1-1,0-0,Parma Calcio 1913,,2021-11-28T19:30Z
,15,Mon Nov 29 2021,20:30,CET/+0100,Ternana Calcio,1-0,1-0,FC Crotone,,2021-11-29T19:30Z
,15,Tue Nov 30 2021,18:00,CET/+0100,Pisa SC,1-1,1-0,AC Perugia Calcio,,2021-11-30T17:00Z
,15,Tue Nov 30 2021,18:00,CET/+0100,US Cremonese,1-1,0-0,Frosinone Calcio,,2021-11-30T17:00Z
,15,Tue Nov 30 2021,20:30,CET/+0100,L.R. Vicenza,2-3,0-1,Benevento Calcio,,2021-11-30T19:30Z
,15,Tue Nov 30 2021,20:30,CET/+0100,Pordenone Calcio,2-0,1-0,US Alessandria 1912,,2021-11-30T19:30Z
,15,Tue Nov 30 2021,20:30,CET/+0100,Reggina 1914,1-2,1-1,Ascoli Calcio,,2021-11-30T19:30Z
,15,Tue Nov 30 2021,20:30,CET/+0100,SPAL 2013 Ferrara,1-3,1-1,US Lecce,,2021-11-30T19:30Z
,15,Tue Nov 30 2021,20:30,CET/+0100,AC Monza,4-1,3-0,Cosenza Calcio,,2021-11-30T19:30Z
,15,Wed Dec 1 2021,20:30,CET/+0100,AS Cittadella,2-2,1-0,Como 1907,,2021-12-01T19:30Z
,15,Wed Dec 1 2021,18:00,CET/+0100,Parma Calcio 1913,0-1,0-1,Brescia Calcio,,2021-12-01T17:00Z
,16,Fri Dec 3 2021,20:30,CET/+0100,AC Perugia Calcio,1-0,0-0,L.R. Vicenza,,2021-12-03T19:30Z
,16,Sat Dec 4 2021,14:00,CET/+0100,FC Crotone,1-2,0-1,SPAL 2013 Ferrara,,2021-12-04T13:00Z
,16,Sat Dec 4 2021,14:00,CET/+0100,Frosinone Calcio,1-1,1-0,Ternana Calcio,,2021-12-04T13:00Z
,16,Sat Dec 4 2021,14:00,CET/+0100,Cosenza Calcio,0-2,0-1,US Cremonese,,2021-12-04T13:00Z
,16,Sat Dec 4 2021,16:15,CET/+0100,US Lecce,2-0,1-0,Reggina 1914,,2021-12-04T15:15Z
,16,Sat Dec 4 2021,14:00,CET/+0100,Benevento Calcio,2-1,0-0,Pordenone Calcio,,2021-12-04T13:00Z
,16,Sun Dec 5 2021,14:00,CET/+0100,Ascoli Calcio,0-0,0-0,Parma Calcio 1913,,2021-12-05T13:00Z
,16,Sun Dec 5 2021,14:00,CET/+0100,Como 1907,0-1,0-1,Pisa SC,,2021-12-05T13:00Z
,16,Sun Dec 5 2021,16:15,CET/+0100,Brescia Calcio,0-2,0-1,AC Monza,,2021-12-05T15:15Z
,16,Sun Dec 5 2021,20:30,CET/+0100,US Alessandria 1912,0-1,0-1,AS Cittadella,,2021-12-05T19:30Z
,17,Fri Dec 10 2021,20:30,CET/+0100,Ternana Calcio,0-2,0-2,Benevento Calcio,,2021-12-10T19:30Z
,17,Fri Dec 10 2021,18:00,CET/+0100,US Cremonese,3-2,1-1,FC Crotone,,2021-12-10T17:00Z
,17,Sat Dec 11 2021,14:00,CET/+0100,SPAL 2013 Ferrara,0-2,0-0,Brescia Calcio,,2021-12-11T13:00Z
,17,Sat Dec 11 2021,14:00,CET/+0100,AC Monza,3-2,0-0,Frosinone Calcio,,2021-12-11T13:00Z
,17,Sat Dec 11 2021,14:00,CET/+0100,Pordenone Calcio,1-1,1-0,Cosenza Calcio,,2021-12-11T13:00Z
,17,Sat Dec 11 2021,16:15,CET/+0100,Pisa SC,1-0,0-0,US Lecce,,2021-12-11T15:15Z
,17,Sat Dec 11 2021,14:00,CET/+0100,AS Cittadella,2-0,1-0,Ascoli Calcio,,2021-12-11T13:00Z
,17,Sun Dec 12 2021,14:00,CET/+0100,Parma Calcio 1913,1-1,1-0,AC Perugia Calcio,,2021-12-12T13:00Z
,17,Sun Dec 12 2021,16:15,CET/+0100,L.R. Vicenza,0-1,0-1,Como 1907,,2021-12-12T15:15Z
,17,Sun Dec 12 2021,20:30,CET/+0100,Reggina 1914,0-4,0-2,US Alessandria 1912,,2021-12-12T19:30Z
,18,Sat Dec 18 2021,14:00,CET/+0100,Ascoli Calcio,1-4,1-2,US Cremonese,,2021-12-18T13:00Z
,18,Sat Dec 18 2021,14:00,CET/+0100,Como 1907,1-1,0-1,Reggina 1914,,2021-12-18T13:00Z
,18,Sat Dec 18 2021,14:00,CET/+0100,FC Crotone,4-1,2-1,Pordenone Calcio,,2021-12-18T13:00Z
,18,Sat Dec 18 2021,14:00,CET/+0100,Cosenza Calcio,0-2,0-1,Pisa SC,,2021-12-18T13:00Z
,18,Sat Dec 18 2021,16:15,CET/+0100,Frosinone Calcio,4-0,3-0,SPAL 2013 Ferrara,,2021-12-18T15:15Z
,18,Sun Dec 19 2021,14:00,CET/+0100,US Alessandria 1912,0-2,0-2,Parma Calcio 1913,,2021-12-19T13:00Z
,18,Sun Dec 19 2021,16:15,CET/+0100,AC Perugia Calcio,1-1,1-0,Ternana Calcio,,2021-12-19T15:15Z
,18,Sun Dec 19 2021,14:00,CET/+0100,Brescia Calcio,1-1,0-0,AS Cittadella,,2021-12-19T13:00Z
,18,Thu Jan 13 2022,20:30,CET/+0100,Benevento Calcio,3-1,2-0,AC Monza,,2022-01-13T19:30Z
,19,Fri Jan 14 2022,20:30,CET/+0100,Ternana Calcio,2-4,0-3,Ascoli Calcio,,2022-01-14T19:30Z
,19,Sat Jan 15 2022,14:00,CET/+0100,Reggina 1914,0-2,0-2,Brescia Calcio,,2022-01-15T13:00Z
,19,Sat Jan 15 2022,14:00,CET/+0100,US Cremonese,2-0,1-0,Como 1907,,2022-01-15T13:00Z
,19,Sat Jan 15 2022,16:15,CET/+0100,Pisa SC,1-3,1-0,Frosinone Calcio,,2022-01-15T15:15Z
,19,Sun Jan 16 2022,16:15,CET/+0100,Pordenone Calcio,0-1,0-1,US Lecce,,2022-01-16T15:15Z
,19,Sun Jan 16 2022,16:15,CET/+0100,AC Monza,2-2,1-0,AC Perugia Calcio,,2022-01-16T15:15Z
,19,Sun Jan 16 2022,16:15,CET/+0100,SPAL 2013 Ferrara,1-1,0-1,Benevento Calcio,,2022-01-16T15:15Z
,20,Fri Jan 21 2022,20:30,CET/+0100,Parma Calcio 1913,0-1,0-0,Frosinone Calcio,,2022-01-21T19:30Z
,20,Sat Jan 22 2022,14:00,CET/+0100,US Alessandria 1912,2-0,1-0,Benevento Calcio,,2022-01-22T13:00Z
,20,Sat Jan 22 2022,14:00,CET/+0100,AC Monza,1-0,0-0,Reggina 1914,,2022-01-22T13:00Z
,20,Sat Jan 22 2022,16:15,CET/+0100,AC Perugia Calcio,0-1,0-0,Pordenone Calcio,,2022-01-22T15:15Z
,20,Sat Jan 22 2022,14:00,CET/+0100,Cosenza Calcio,1-3,0-1,Ascoli Calcio,,2022-01-22T13:00Z
,20,Sat Jan 22 2022,14:00,CET/+0100,Brescia Calcio,1-1,1-1,Ternana Calcio,,2022-01-22T13:00Z
,20,Sat Jan 22 2022,14:00,CET/+0100,Como 1907,1-1,1-1,FC Crotone,,2022-01-22T13:00Z
,20,Sat Jan 22 2022,14:00,CET/+0100,SPAL 2013 Ferrara,0-0,0-0,Pisa SC,,2022-01-22T13:00Z
,20,Sun Jan 23 2022,16:15,CET/+0100,L.R. Vicenza,3-3,2-2,AS Cittadella,,2022-01-23T15:15Z
,20,Sun Jan 23 2022,18:30,CET/+0100,US Lecce,2-1,1-1,US Cremonese,,2022-01-23T17:30Z
,18,Wed Jan 26 2022,20:00,CET/+0100,US Lecce,2-1,2-0,L.R. Vicenza,,2022-01-26T19:00Z
,19,Sun Jan 30 2022,14:30,CET/+0100,L.R. Vicenza,2-1,1-1,US Alessandria 1912,,2022-01-30T13:30Z
,19,Sun Jan 30 2022,14:30,CET/+0100,Parma Calcio 1913,1-1,1-0,FC Crotone,,2022-01-30T13:30Z
,19,Sun Jan 30 2022,14:30,CET/+0100,AS Cittadella,1-1,1-1,Cosenza Calcio,,2022-01-30T13:30Z
,21,Sat Feb 5 2022,14:00,CET/+0100,Benevento Calcio,0-0,0-0,Parma Calcio 1913,,2022-02-05T13:00Z
,21,Sat Feb 5 2022,14:00,CET/+0100,Como 1907,1-1,1-1,US Lecce,,2022-02-05T13:00Z
,21,Sat Feb 5 2022,14:00,CET/+0100,FC Crotone,0-0,0-0,AS Cittadella,,2022-02-05T13:00Z
,21,Sat Feb 5 2022,14:00,CET/+0100,Ternana Calcio,2-0,2-0,Reggina 1914,,2022-02-05T13:00Z
,21,Sat Feb 5 2022,14:00,CET/+0100,US Alessandria 1912,1-1,1-1,Pisa SC,,2022-02-05T13:00Z
,21,Sat Feb 5 2022,14:00,CET/+0100,Cosenza Calcio,0-0,0-0,Brescia Calcio,,2022-02-05T13:00Z
,21,Sat Feb 5 2022,16:15,CET/+0100,Frosinone Calcio,2-0,1-0,L.R. Vicenza,,2022-02-05T15:15Z
,21,Sat Feb 5 2022,18:30,CET/+0100,Ascoli Calcio,0-1,0-1,AC Perugia Calcio,,2022-02-05T17:30Z
,21,Sun Feb 6 2022,16:15,CET/+0100,US Cremonese,3-2,1-0,AC Monza,,2022-02-06T15:15Z
