Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 13 2021,22:00,CEST/+0200,Real Zaragoza,0-0,0-0,UD Ibiza,2021-08-13T20:00Z
1,Fri Aug 13 2021,20:00,CEST/+0200,SD Huesca,2-0,1-0,SD Eibar,2021-08-13T18:00Z
1,Sat Aug 14 2021,19:30,CEST/+0200,Girona FC,2-0,0-0,SD Amorebieta,2021-08-14T17:30Z
1,Sat Aug 14 2021,22:00,CEST/+0200,SD Ponferradina,1-0,0-0,AD Alcorcón,2021-08-14T20:00Z
1,Sat Aug 14 2021,17:00,CEST/+0200,Real Sociedad B,1-0,0-0,CD Leganés,2021-08-14T15:00Z
1,Sun Aug 15 2021,17:00,CEST/+0200,Sporting Gijón,1-0,0-0,Burgos CF,2021-08-15T15:00Z
1,Sun Aug 15 2021,19:30,CEST/+0200,Real Oviedo,2-2,2-0,CD Lugo,2021-08-15T17:30Z
1,Sun Aug 15 2021,22:00,CEST/+0200,CF Fuenlabrada,1-2,0-1,CD Tenerife,2021-08-15T20:00Z
1,Sun Aug 15 2021,22:00,CEST/+0200,UD Las Palmas,1-1,0-0,Real Valladolid,2021-08-15T20:00Z
1,Mon Aug 16 2021,22:00,CEST/+0200,FC Cartagena,1-3,0-2,UD Almería,2021-08-16T20:00Z
1,Mon Aug 16 2021,20:00,CEST/+0200,Málaga CF,0-0,0-0,CD Mirandés,2021-08-16T18:00Z
2,Fri Aug 20 2021,22:00,CEST/+0200,UD Almería,2-1,2-1,Real Oviedo,2021-08-20T20:00Z
2,Fri Aug 20 2021,20:00,CEST/+0200,Real Valladolid,2-0,1-0,Real Zaragoza,2021-08-20T18:00Z
2,Sat Aug 21 2021,17:00,CEST/+0200,CD Lugo,0-0,0-0,Real Sociedad B,2021-08-21T15:00Z
2,Sat Aug 21 2021,19:30,CEST/+0200,CD Tenerife,0-0,0-0,Sporting Gijón,2021-08-21T17:30Z
2,Sat Aug 21 2021,22:00,CEST/+0200,AD Alcorcón,0-2,0-0,CF Fuenlabrada,2021-08-21T20:00Z
2,Sun Aug 22 2021,19:30,CEST/+0200,Girona FC,0-0,0-0,UD Las Palmas,2021-08-22T17:30Z
2,Sun Aug 22 2021,19:30,CEST/+0200,SD Eibar,0-1,0-0,SD Ponferradina,2021-08-22T17:30Z
2,Sun Aug 22 2021,22:00,CEST/+0200,SD Huesca,2-0,0-0,FC Cartagena,2021-08-22T20:00Z
2,Sun Aug 22 2021,17:00,CEST/+0200,UD Ibiza,2-2,1-0,Málaga CF,2021-08-22T15:00Z
2,Mon Aug 23 2021,22:00,CEST/+0200,CD Leganés,0-0,0-0,Burgos CF,2021-08-23T20:00Z
2,Mon Aug 23 2021,20:00,CEST/+0200,CD Mirandés,2-0,0-0,SD Amorebieta,2021-08-23T18:00Z
3,Fri Aug 27 2021,20:00,CEST/+0200,UD Las Palmas,2-1,2-0,SD Huesca,2021-08-27T18:00Z
3,Fri Aug 27 2021,22:00,CEST/+0200,Málaga CF,1-0,1-0,AD Alcorcón,2021-08-27T20:00Z
3,Sat Aug 28 2021,19:30,CEST/+0200,CD Leganés,1-2,0-0,UD Ibiza,2021-08-28T17:30Z
3,Sat Aug 28 2021,19:30,CEST/+0200,Real Oviedo,0-0,0-0,CD Tenerife,2021-08-28T17:30Z
3,Sat Aug 28 2021,22:00,CEST/+0200,SD Ponferradina,2-1,1-0,Girona FC,2021-08-28T20:00Z
3,Sat Aug 28 2021,17:00,CEST/+0200,Sporting Gijón,2-1,1-0,CD Mirandés,2021-08-28T15:00Z
3,Sun Aug 29 2021,17:00,CEST/+0200,SD Amorebieta,2-1,1-1,UD Almería,2021-08-29T15:00Z
3,Sun Aug 29 2021,19:30,CEST/+0200,CD Lugo,0-2,0-1,Real Valladolid,2021-08-29T17:30Z
3,Sun Aug 29 2021,19:30,CEST/+0200,Real Sociedad B,0-0,0-0,CF Fuenlabrada,2021-08-29T17:30Z
3,Sun Aug 29 2021,22:00,CEST/+0200,Burgos CF,0-1,0-0,SD Eibar,2021-08-29T20:00Z
3,Mon Aug 30 2021,22:00,CEST/+0200,Real Zaragoza,0-1,0-0,FC Cartagena,2021-08-30T20:00Z
4,Fri Sep 3 2021,21:00,CEST/+0200,Girona FC,1-2,0-1,Sporting Gijón,2021-09-03T19:00Z
4,Sat Sep 4 2021,16:00,CEST/+0200,SD Eibar,1-1,1-1,CD Leganés,2021-09-04T14:00Z
4,Sat Sep 4 2021,18:15,CEST/+0200,CD Tenerife,2-0,0-0,SD Ponferradina,2021-09-04T16:15Z
4,Sat Sep 4 2021,18:15,CEST/+0200,FC Cartagena,1-0,0-0,Real Sociedad B,2021-09-04T16:15Z
4,Sat Sep 4 2021,21:00,CEST/+0200,CF Fuenlabrada,1-1,1-1,CD Lugo,2021-09-04T19:00Z
4,Sat Sep 4 2021,21:00,CEST/+0200,UD Almería,2-0,0-0,Málaga CF,2021-09-04T19:00Z
4,Sun Sep 5 2021,16:00,CEST/+0200,UD Ibiza,1-1,0-1,SD Amorebieta,2021-09-05T14:00Z
4,Sun Sep 5 2021,18:15,CEST/+0200,AD Alcorcón,1-2,1-0,Real Zaragoza,2021-09-05T16:15Z
4,Sun Sep 5 2021,18:15,CEST/+0200,CD Mirandés,4-2,3-1,UD Las Palmas,2021-09-05T16:15Z
4,Sun Sep 5 2021,16:00,CEST/+0200,Burgos CF,3-0,3-0,Real Valladolid,2021-09-05T14:00Z
4,Mon Sep 6 2021,21:00,CEST/+0200,SD Huesca,1-2,0-1,Real Oviedo,2021-09-06T19:00Z
5,Fri Sep 10 2021,21:00,CEST/+0200,Sporting Gijón,2-1,1-0,CD Leganés,2021-09-10T19:00Z
5,Sat Sep 11 2021,16:00,CEST/+0200,Real Sociedad B,2-3,0-1,SD Eibar,2021-09-11T14:00Z
5,Sat Sep 11 2021,18:15,CEST/+0200,UD Las Palmas,1-1,0-1,UD Ibiza,2021-09-11T16:15Z
5,Sat Sep 11 2021,21:00,CEST/+0200,CD Mirandés,1-3,1-1,AD Alcorcón,2021-09-11T19:00Z
5,Sat Sep 11 2021,16:00,CEST/+0200,SD Amorebieta,2-2,1-1,Burgos CF,2021-09-11T14:00Z
5,Sun Sep 12 2021,14:00,CEST/+0200,Real Oviedo,2-0,1-0,FC Cartagena,2021-09-12T12:00Z
5,Sun Sep 12 2021,16:00,CEST/+0200,Real Valladolid,0-2,0-2,CD Tenerife,2021-09-12T14:00Z
5,Sun Sep 12 2021,18:15,CEST/+0200,SD Ponferradina,1-0,0-0,UD Almería,2021-09-12T16:15Z
5,Sun Sep 12 2021,20:30,CEST/+0200,CF Fuenlabrada,1-1,1-0,Real Zaragoza,2021-09-12T18:30Z
5,Sun Sep 12 2021,21:30,CEST/+0200,Málaga CF,2-0,1-0,Girona FC,2021-09-12T19:30Z
5,Mon Sep 13 2021,21:00,CEST/+0200,CD Lugo,3-2,1-2,SD Huesca,2021-09-13T19:00Z
6,Fri Sep 17 2021,21:00,CEST/+0200,AD Alcorcón,0-4,0-3,UD Almería,2021-09-17T19:00Z
6,Sat Sep 18 2021,16:00,CEST/+0200,UD Ibiza,1-1,1-0,Real Oviedo,2021-09-18T14:00Z
6,Sat Sep 18 2021,18:15,CEST/+0200,CD Leganés,1-0,1-0,SD Amorebieta,2021-09-18T16:15Z
6,Sat Sep 18 2021,18:15,CEST/+0200,Real Zaragoza,1-1,1-1,Real Sociedad B,2021-09-18T16:15Z
6,Sat Sep 18 2021,20:30,CEST/+0200,Girona FC,1-0,0-0,Real Valladolid,2021-09-18T18:30Z
6,Sat Sep 18 2021,21:00,CEST/+0200,FC Cartagena,2-1,1-1,CD Lugo,2021-09-18T19:00Z
6,Sun Sep 19 2021,16:00,CEST/+0200,SD Ponferradina,4-0,2-0,Málaga CF,2021-09-19T14:00Z
6,Sun Sep 19 2021,18:15,CEST/+0200,CD Tenerife,1-2,1-0,CD Mirandés,2021-09-19T16:15Z
6,Sun Sep 19 2021,18:15,CEST/+0200,SD Eibar,3-2,1-1,Sporting Gijón,2021-09-19T16:15Z
6,Sun Sep 19 2021,14:00,CEST/+0200,SD Huesca,0-0,0-0,CF Fuenlabrada,2021-09-19T12:00Z
6,Mon Sep 20 2021,21:00,CEST/+0200,Burgos CF,0-0,0-0,UD Las Palmas,2021-09-20T19:00Z
7,Fri Sep 24 2021,20:00,CEST/+0200,Real Sociedad B,0-2,0-1,SD Huesca,2021-09-24T18:00Z
7,Fri Sep 24 2021,21:00,CEST/+0200,UD Almería,3-1,0-0,CD Tenerife,2021-09-24T19:00Z
7,Sat Sep 25 2021,18:15,CEST/+0200,SD Amorebieta,1-1,1-1,SD Eibar,2021-09-25T16:15Z
7,Sat Sep 25 2021,18:15,CEST/+0200,UD Las Palmas,2-1,2-0,SD Ponferradina,2021-09-25T16:15Z
7,Sat Sep 25 2021,16:00,CEST/+0200,UD Ibiza,2-0,1-0,Burgos CF,2021-09-25T14:00Z
