Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Aug 13 2021,20:30,CEST/+0200,Bor. Mönchengladbach,1-1,1-1,Bayern München,2021-08-13T18:30Z
1,Sat Aug 14 2021,15:30,CEST/+0200,VfL Wolfsburg,1-0,1-0,VfL Bochum,2021-08-14T13:30Z
1,Sat Aug 14 2021,15:30,CEST/+0200,1. FC Union Berlin,1-1,1-1,Bayer Leverkusen,2021-08-14T13:30Z
1,Sat Aug 14 2021,15:30,CEST/+0200,VfB Stuttgart,5-1,2-0,SpVgg Greuther Fürth,2021-08-14T13:30Z
1,Sat Aug 14 2021,15:30,CEST/+0200,FC Augsburg,0-4,0-1,1899 Hoffenheim,2021-08-14T13:30Z
1,Sat Aug 14 2021,15:30,CEST/+0200,Arminia Bielefeld,0-0,0-0,SC Freiburg,2021-08-14T13:30Z
1,Sat Aug 14 2021,18:30,CEST/+0200,Borussia Dortmund,5-2,3-1,Eintracht Frankfurt,2021-08-14T16:30Z
1,Sun Aug 15 2021,17:30,CEST/+0200,1. FC Köln,3-1,1-1,Hertha BSC,2021-08-15T15:30Z
1,Sun Aug 15 2021,15:30,CEST/+0200,1. FSV Mainz 05,1-0,1-0,RB Leipzig,2021-08-15T13:30Z
2,Fri Aug 20 2021,20:30,CEST/+0200,RB Leipzig,4-0,1-0,VfB Stuttgart,2021-08-20T18:30Z
2,Sat Aug 21 2021,15:30,CEST/+0200,SC Freiburg,2-1,1-0,Borussia Dortmund,2021-08-21T13:30Z
2,Sat Aug 21 2021,15:30,CEST/+0200,Hertha BSC,1-2,0-0,VfL Wolfsburg,2021-08-21T13:30Z
2,Sat Aug 21 2021,15:30,CEST/+0200,VfL Bochum,2-0,1-0,1. FSV Mainz 05,2021-08-21T13:30Z
2,Sat Aug 21 2021,15:30,CEST/+0200,SpVgg Greuther Fürth,1-1,0-1,Arminia Bielefeld,2021-08-21T13:30Z
2,Sat Aug 21 2021,18:30,CEST/+0200,Bayer Leverkusen,4-0,2-0,Bor. Mönchengladbach,2021-08-21T16:30Z
2,Sat Aug 21 2021,15:30,CEST/+0200,Eintracht Frankfurt,0-0,0-0,FC Augsburg,2021-08-21T13:30Z
2,Sun Aug 22 2021,17:30,CEST/+0200,Bayern München,3-2,0-0,1. FC Köln,2021-08-22T15:30Z
2,Sun Aug 22 2021,15:30,CEST/+0200,1899 Hoffenheim,2-2,2-1,1. FC Union Berlin,2021-08-22T13:30Z
3,Fri Aug 27 2021,20:30,CEST/+0200,Borussia Dortmund,3-2,0-0,1899 Hoffenheim,2021-08-27T18:30Z
3,Sat Aug 28 2021,15:30,CEST/+0200,1. FSV Mainz 05,3-0,2-0,SpVgg Greuther Fürth,2021-08-28T13:30Z
3,Sat Aug 28 2021,15:30,CEST/+0200,FC Augsburg,1-4,1-2,Bayer Leverkusen,2021-08-28T13:30Z
3,Sat Aug 28 2021,15:30,CEST/+0200,Arminia Bielefeld,1-1,0-1,Eintracht Frankfurt,2021-08-28T13:30Z
3,Sat Aug 28 2021,15:30,CEST/+0200,1. FC Köln,2-1,0-0,VfL Bochum,2021-08-28T13:30Z
3,Sat Aug 28 2021,18:30,CEST/+0200,Bayern München,5-0,2-0,Hertha BSC,2021-08-28T16:30Z
3,Sat Aug 28 2021,15:30,CEST/+0200,VfB Stuttgart,2-3,2-3,SC Freiburg,2021-08-28T13:30Z
3,Sun Aug 29 2021,17:30,CEST/+0200,VfL Wolfsburg,1-0,0-0,RB Leipzig,2021-08-29T15:30Z
3,Sun Aug 29 2021,15:30,CEST/+0200,1. FC Union Berlin,2-1,2-0,Bor. Mönchengladbach,2021-08-29T13:30Z
4,Sat Sep 11 2021,15:30,CEST/+0200,Bayer Leverkusen,3-4,2-1,Borussia Dortmund,2021-09-11T13:30Z
4,Sat Sep 11 2021,15:30,CEST/+0200,1. FC Union Berlin,0-0,0-0,FC Augsburg,2021-09-11T13:30Z
4,Sat Sep 11 2021,15:30,CEST/+0200,SC Freiburg,1-1,0-1,1. FC Köln,2021-09-11T13:30Z
4,Sat Sep 11 2021,15:30,CEST/+0200,1899 Hoffenheim,0-2,0-1,1. FSV Mainz 05,2021-09-11T13:30Z
4,Sat Sep 11 2021,15:30,CEST/+0200,SpVgg Greuther Fürth,0-2,0-1,VfL Wolfsburg,2021-09-11T13:30Z
4,Sat Sep 11 2021,18:30,CEST/+0200,RB Leipzig,1-4,0-1,Bayern München,2021-09-11T16:30Z
4,Sun Sep 12 2021,17:30,CEST/+0200,VfL Bochum,1-3,0-2,Hertha BSC,2021-09-12T15:30Z
4,Sun Sep 12 2021,19:30,CEST/+0200,Bor. Mönchengladbach,3-1,1-1,Arminia Bielefeld,2021-09-12T17:30Z
4,Sun Sep 12 2021,15:30,CEST/+0200,Eintracht Frankfurt,1-1,0-0,VfB Stuttgart,2021-09-12T13:30Z
5,Fri Sep 17 2021,20:30,CEST/+0200,Hertha BSC,2-1,0-0,SpVgg Greuther Fürth,2021-09-17T18:30Z
5,Sat Sep 18 2021,15:30,CEST/+0200,Bayern München,7-0,4-0,VfL Bochum,2021-09-18T13:30Z
5,Sat Sep 18 2021,15:30,CEST/+0200,1. FSV Mainz 05,0-0,0-0,SC Freiburg,2021-09-18T13:30Z
5,Sat Sep 18 2021,15:30,CEST/+0200,FC Augsburg,1-0,0-0,Bor. Mönchengladbach,2021-09-18T13:30Z
5,Sat Sep 18 2021,15:30,CEST/+0200,Arminia Bielefeld,0-0,0-0,1899 Hoffenheim,2021-09-18T13:30Z
5,Sat Sep 18 2021,18:30,CEST/+0200,1. FC Köln,1-1,0-0,RB Leipzig,2021-09-18T16:30Z
