Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,Comments,UTC
Round 1,Fri Aug 6 2021,20:45,CEST/+0200,TSV 1860 München,1-1,0-0,SV Darmstadt 98,1-1,5-4,,2021-08-06T18:45Z
Round 1,Fri Aug 6 2021,20:45,CEST/+0200,Dynamo Dresden,2-1,0-0,SC Paderborn 07,,,,2021-08-06T18:45Z
Round 1,Sat Aug 7 2021,15:30,CEST/+0200,Weiche Flensburg 08,0-0,0-0,Holstein Kiel,2-4,,,2021-08-07T13:30Z
Round 1,Sat Aug 7 2021,15:30,CEST/+0200,1. FC Lok Leipzig,0-3,0-2,Bayer Leverkusen,,,,2021-08-07T13:30Z
Round 1,Sat Aug 7 2021,15:30,CEST/+0200,SV Sandhausen,0-4,0-2,RB Leipzig,,,,2021-08-07T13:30Z
Round 1,Sat Aug 7 2021,15:30,CEST/+0200,SpVgg Bayreuth,3-6,1-2,Arminia Bielefeld,,,,2021-08-07T13:30Z
Round 1,Sat Aug 7 2021,15:30,CEST/+0200,Greifswalder FC,2-4,1-1,FC Augsburg,,,,2021-08-07T13:30Z
Round 1,Sat Aug 7 2021,15:30,CEST/+0200,VfL Osnabrück,2-0,1-0,Werder Bremen,,,,2021-08-07T13:30Z
Round 1,Sat Aug 7 2021,15:30,CEST/+0200,Eintracht Norderstedt,0-4,0-2,Hannover 96,,,,2021-08-07T13:30Z
Round 1,Sat Aug 7 2021,15:30,CEST/+0200,Wuppertaler SV,1-1,1-0,VfL Bochum,1-2,,,2021-08-07T13:30Z
Round 1,Sat Aug 7 2021,15:30,CEST/+0200,BFC Dynamo,0-6,0-2,VfB Stuttgart,,,,2021-08-07T13:30Z
Round 1,Sat Aug 7 2021,18:30,CEST/+0200,SSV Ulm 1846,0-1,0-0,1. FC Nürnberg,,,,2021-08-07T16:30Z
Round 1,Sat Aug 7 2021,18:30,CEST/+0200,SV Babelsberg 03,2-2,1-1,SpVgg Greuther Fürth,2-2,5-4,,2021-08-07T16:30Z
Round 1,Sat Aug 7 2021,18:30,CEST/+0200,1. FC Magdeburg,2-3,1-2,FC St. Pauli,,,,2021-08-07T16:30Z
Round 1,Sat Aug 7 2021,20:45,CEST/+0200,SV Wehen Wiesbaden,0-3,0-2,Borussia Dortmund,,,,2021-08-07T18:45Z
Round 1,Sun Aug 8 2021,15:30,CEST/+0200,SV Meppen,0-1,0-0,Hertha BSC,,,,2021-08-08T13:30Z
Round 1,Sun Aug 8 2021,15:30,CEST/+0200,SV 07 Elversberg,1-1,0-0,1. FSV Mainz 05,2-2,7-8,,2021-08-08T13:30Z
Round 1,Sun Aug 8 2021,15:30,CEST/+0200,FC Carl Zeiss Jena,1-1,1-0,1. FC Köln,1-1,2-4,,2021-08-08T13:30Z
Round 1,Sun Aug 8 2021,15:30,CEST/+0200,FC 08 Villingen,1-4,1-1,FC Schalke 04,,,,2021-08-08T13:30Z
Round 1,Sun Aug 8 2021,15:30,CEST/+0200,Waldhof Mannheim,2-0,0-0,Eintracht Frankfurt,,,,2021-08-08T13:30Z
Round 1,Sun Aug 8 2021,15:30,CEST/+0200,Rot-Weiß Koblenz,0-3,0-2,Jahn Regensburg,,,,2021-08-08T13:30Z
Round 1,Sun Aug 8 2021,15:30,CEST/+0200,Türkgücü München,0-1,0-1,1. FC Union Berlin,,,,2021-08-08T13:30Z
Round 1,Sun Aug 8 2021,15:30,CEST/+0200,VfL Oldenburg,0-5,0-3,Fortuna Düsseldorf,,,,2021-08-08T13:30Z
Round 1,Sun Aug 8 2021,15:30,CEST/+0200,Preußen Münster,2-0 (*),,VfL Wolfsburg,,,awd.,2021-08-08T13:30Z
Round 1,Sun Aug 8 2021,18:30,CEST/+0200,Eintracht Braunschweig,1-2,1-1,Hamburger SV,,,,2021-08-08T16:30Z
Round 1,Sun Aug 8 2021,18:30,CEST/+0200,Würzburger Kickers,0-1,0-1,SC Freiburg,,,,2021-08-08T16:30Z
Round 1,Sun Aug 8 2021,18:30,CEST/+0200,Hansa Rostock,1-1,0-1,1. FC Heidenheim 1846,3-2,,,2021-08-08T16:30Z
Round 1,Mon Aug 9 2021,18:30,CEST/+0200,Viktoria Köln,1-1,1-1,1899 Hoffenheim,2-3,,,2021-08-09T16:30Z
Round 1,Mon Aug 9 2021,18:30,CEST/+0200,Sportfreunde Lotte,1-4,0-1,Karlsruher SC,,,,2021-08-09T16:30Z
Round 1,Mon Aug 9 2021,20:45,CEST/+0200,1. FC Kaiserslautern,0-1,0-1,Bor. Mönchengladbach,,,,2021-08-09T18:45Z
Round 1,Mon Aug 9 2021,18:30,CEST/+0200,FC Ingolstadt 04,2-1,1-0,Erzgebirge Aue,,,,2021-08-09T16:30Z
Round 1,Wed Aug 25 2021,20:15,CEST/+0200,Bremer SV,0-12,0-5,Bayern München,,,,2021-08-25T18:15Z
Round 2,Tue Oct 26 2021,18:30,CEST/+0200,SV Babelsberg 03,0-1,0-1,RB Leipzig,,,,2021-10-26T16:30Z
Round 2,Tue Oct 26 2021,18:30,CEST/+0200,TSV 1860 München,1-0,1-0,FC Schalke 04,,,,2021-10-26T16:30Z
Round 2,Tue Oct 26 2021,18:30,CEST/+0200,1899 Hoffenheim,5-1,2-0,Holstein Kiel,,,,2021-10-26T16:30Z
Round 2,Tue Oct 26 2021,20:00,CEST/+0200,Borussia Dortmund,2-0,0-0,FC Ingolstadt 04,,,,2021-10-26T18:00Z
Round 2,Tue Oct 26 2021,20:45,CEST/+0200,VfL Osnabrück,1-1,0-1,SC Freiburg,2-2,2-3,,2021-10-26T18:45Z
Round 2,Tue Oct 26 2021,20:45,CEST/+0200,1. FC Nürnberg,1-1,0-1,Hamburger SV,1-1,2-4,,2021-10-26T18:45Z
Round 2,Tue Oct 26 2021,20:45,CEST/+0200,1. FSV Mainz 05,2-2,0-1,Arminia Bielefeld,3-2,,,2021-10-26T18:45Z
Round 2,Tue Oct 26 2021,18:30,CEST/+0200,Preußen Münster,1-3,1-1,Hertha BSC,,,,2021-10-26T16:30Z
Round 2,Wed Oct 27 2021,18:30,CEST/+0200,Waldhof Mannheim,1-1,1-1,1. FC Union Berlin,1-3,,,2021-10-27T16:30Z
Round 2,Wed Oct 27 2021,18:30,CEST/+0200,VfL Bochum,2-2,1-0,FC Augsburg,2-2,5-4,,2021-10-27T16:30Z
Round 2,Wed Oct 27 2021,18:30,CEST/+0200,Dynamo Dresden,2-2,0-0,FC St. Pauli,2-3,,,2021-10-27T16:30Z
Round 2,Wed Oct 27 2021,18:30,CEST/+0200,Bayer Leverkusen,1-2,0-1,Karlsruher SC,,,,2021-10-27T16:30Z
Round 2,Wed Oct 27 2021,20:45,CEST/+0200,Hannover 96,3-0,1-0,Fortuna Düsseldorf,,,,2021-10-27T18:45Z
Round 2,Wed Oct 27 2021,20:45,CEST/+0200,Bor. Mönchengladbach,5-0,3-0,Bayern München,,,,2021-10-27T18:45Z
Round 2,Wed Oct 27 2021,20:45,CEST/+0200,Jahn Regensburg,2-2,0-1,Hansa Rostock,3-3,2-4,,2021-10-27T18:45Z
Round 2,Wed Oct 27 2021,20:45,CEST/+0200,VfB Stuttgart,0-2,0-0,1. FC Köln,,,,2021-10-27T18:45Z
Round of 16,Tue Jan 18 2022,18:30,CET/+0100,1. FC Köln,0-0,0-0,Hamburger SV,1-1,3-4,,2022-01-18T17:30Z
Round of 16,Tue Jan 18 2022,20:45,CET/+0100,FC St. Pauli,2-1,2-0,Borussia Dortmund,,,,2022-01-18T19:45Z
Round of 16,Tue Jan 18 2022,20:45,CET/+0100,VfL Bochum,3-1,0-1,1. FSV Mainz 05,,,,2022-01-18T19:45Z
Round of 16,Tue Jan 18 2022,18:30,CET/+0100,TSV 1860 München,0-1,0-0,Karlsruher SC,,,,2022-01-18T17:30Z
