Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Fri Jul 23 2021,18:30,CEST/+0200,SKU Amstetten,1-1,0-1,Floridsdorfer AC,2021-07-23T16:30Z
1,Fri Jul 23 2021,18:30,CEST/+0200,FC Juniors OÖ,2-4,1-3,SV Lafnitz,2021-07-23T16:30Z
1,Fri Jul 23 2021,18:30,CEST/+0200,SV Horn,2-1,1-0,Vorwärts Steyr,2021-07-23T16:30Z
1,Fri Jul 23 2021,18:30,CEST/+0200,Kapfenberger SV 1919,0-2,0-0,FC Liefering,2021-07-23T16:30Z
1,Fri Jul 23 2021,18:30,CEST/+0200,Austria Wien II,1-1,0-1,FC Wacker Innsbruck,2021-07-23T16:30Z
1,Sat Jul 24 2021,20:00,CEST/+0200,FC Blau Weiß Linz,2-1,1-0,FC Dornbirn,2021-07-24T18:00Z
1,Sun Jul 25 2021,10:30,CEST/+0200,Austria Lustenau,2-1,1-1,Grazer AK,2021-07-25T08:30Z
2,Fri Jul 30 2021,20:25,CEST/+0200,Floridsdorfer AC,1-2,0-1,Austria Wien II,2021-07-30T18:25Z
2,Fri Jul 30 2021,18:30,CEST/+0200,FC Liefering,2-1,0-0,SKN St. Pölten,2021-07-30T16:30Z
2,Fri Jul 30 2021,18:30,CEST/+0200,FC Wacker Innsbruck,2-0,1-0,Kapfenberger SV 1919,2021-07-30T16:30Z
2,Fri Jul 30 2021,18:30,CEST/+0200,SV Lafnitz,1-4,1-3,Austria Lustenau,2021-07-30T16:30Z
2,Fri Jul 30 2021,18:30,CEST/+0200,Grazer AK,1-1,1-1,SV Horn,2021-07-30T16:30Z
2,Fri Jul 30 2021,18:30,CEST/+0200,Rapid Wien II,0-0,0-0,FC Juniors OÖ,2021-07-30T16:30Z
2,Sat Jul 31 2021,20:00,CEST/+0200,FC Dornbirn,0-6,0-3,SKU Amstetten,2021-07-31T18:00Z
2,Sun Aug 1 2021,10:30,CEST/+0200,Vorwärts Steyr,0-4,0-2,FC Blau Weiß Linz,2021-08-01T08:30Z
1,Tue Aug 3 2021,18:30,CEST/+0200,SKN St. Pölten,1-2,1-0,Rapid Wien II,2021-08-03T16:30Z
3,Fri Aug 6 2021,18:30,CEST/+0200,Austria Wien II,0-0,0-0,Grazer AK,2021-08-06T16:30Z
3,Fri Aug 6 2021,18:30,CEST/+0200,SKU Amstetten,3-0,0-0,Vorwärts Steyr,2021-08-06T16:30Z
3,Fri Aug 6 2021,18:30,CEST/+0200,Austria Lustenau,2-1,2-1,FC Liefering,2021-08-06T16:30Z
3,Fri Aug 6 2021,18:30,CEST/+0200,Kapfenberger SV 1919,1-2,0-1,Floridsdorfer AC,2021-08-06T16:30Z
3,Fri Aug 6 2021,20:25,CEST/+0200,FC Blau Weiß Linz,1-1,0-0,SKN St. Pölten,2021-08-06T18:25Z
3,Sat Aug 7 2021,20:00,CEST/+0200,FC Wacker Innsbruck,0-0,0-0,SV Lafnitz,2021-08-07T18:00Z
3,Sat Aug 7 2021,14:30,CEST/+0200,FC Juniors OÖ,5-2,1-0,FC Dornbirn,2021-08-07T12:30Z
3,Sun Aug 8 2021,10:30,CEST/+0200,SV Horn,1-1,0-1,Rapid Wien II,2021-08-08T08:30Z
4,Fri Aug 13 2021,18:30,CEST/+0200,FC Liefering,1-1,0-1,SKU Amstetten,2021-08-13T16:30Z
4,Fri Aug 13 2021,18:30,CEST/+0200,Vorwärts Steyr,0-1,0-0,FC Wacker Innsbruck,2021-08-13T16:30Z
4,Fri Aug 13 2021,18:30,CEST/+0200,FC Dornbirn,1-1,0-0,Austria Wien II,2021-08-13T16:30Z
4,Fri Aug 13 2021,18:30,CEST/+0200,Floridsdorfer AC,3-1,3-0,Austria Lustenau,2021-08-13T16:30Z
4,Fri Aug 13 2021,18:30,CEST/+0200,Grazer AK,5-1,4-1,FC Juniors OÖ,2021-08-13T16:30Z
4,Fri Aug 13 2021,20:25,CEST/+0200,SV Lafnitz,3-1,2-1,FC Blau Weiß Linz,2021-08-13T18:25Z
