Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
,1,Fri Jul 23 2021,20:30,CEST/+0200,Sturm Graz,1-3,1-0,RB Salzburg,2021-07-23T18:30Z
,1,Sat Jul 24 2021,17:00,CEST/+0200,SCR Altach,0-1,0-1,LASK,2021-07-24T15:00Z
,1,Sat Jul 24 2021,17:00,CEST/+0200,WSG Tirol,1-1,0-0,FC Admira Wacker,2021-07-24T15:00Z
,1,Sat Jul 24 2021,17:00,CEST/+0200,Rapid Wien,0-2,0-1,TSV Hartberg,2021-07-24T15:00Z
,1,Sun Jul 25 2021,17:00,CEST/+0200,SK Austria Klagenfurt,1-1,0-1,Wolfsberger AC,2021-07-25T15:00Z
,1,Sun Jul 25 2021,17:00,CEST/+0200,SV Ried,2-1,0-0,Austria Wien,2021-07-25T15:00Z
,2,Sat Jul 31 2021,17:00,CEST/+0200,LASK,1-1,0-1,Rapid Wien,2021-07-31T15:00Z
,2,Sat Jul 31 2021,17:00,CEST/+0200,FC Admira Wacker,4-0,0-0,SK Austria Klagenfurt,2021-07-31T15:00Z
,2,Sat Jul 31 2021,17:00,CEST/+0200,TSV Hartberg,1-2,0-2,SCR Altach,2021-07-31T15:00Z
,2,Sun Aug 1 2021,17:00,CEST/+0200,Wolfsberger AC,1-4,1-4,Sturm Graz,2021-08-01T15:00Z
,2,Sun Aug 1 2021,17:00,CEST/+0200,RB Salzburg,7-1,2-0,SV Ried,2021-08-01T15:00Z
,2,Sun Aug 1 2021,17:00,CEST/+0200,Austria Wien,1-1,0-1,WSG Tirol,2021-08-01T15:00Z
,3,Sat Aug 7 2021,17:00,CEST/+0200,SK Austria Klagenfurt,4-3,2-1,TSV Hartberg,2021-08-07T15:00Z
,3,Sat Aug 7 2021,17:00,CEST/+0200,Sturm Graz,3-1,1-0,SCR Altach,2021-08-07T15:00Z
,3,Sat Aug 7 2021,17:00,CEST/+0200,SV Ried,2-1,2-0,FC Admira Wacker,2021-08-07T15:00Z
,3,Sun Aug 8 2021,17:00,CEST/+0200,WSG Tirol,1-1,1-0,LASK,2021-08-08T15:00Z
,3,Sun Aug 8 2021,17:00,CEST/+0200,RB Salzburg,1-0,0-0,Austria Wien,2021-08-08T15:00Z
,3,Sun Aug 8 2021,17:00,CEST/+0200,Rapid Wien,3-0,1-0,Wolfsberger AC,2021-08-08T15:00Z
,4,Sat Aug 14 2021,17:00,CEST/+0200,FC Admira Wacker,0-1,0-0,RB Salzburg,2021-08-14T15:00Z
,4,Sat Aug 14 2021,17:00,CEST/+0200,TSV Hartberg,1-1,0-1,SV Ried,2021-08-14T15:00Z
,4,Sat Aug 14 2021,17:00,CEST/+0200,Wolfsberger AC,2-2,1-1,WSG Tirol,2021-08-14T15:00Z
,4,Sun Aug 15 2021,17:00,CEST/+0200,LASK,1-3,0-0,Sturm Graz,2021-08-15T15:00Z
,4,Sun Aug 15 2021,17:00,CEST/+0200,Austria Wien,1-1,0-0,SK Austria Klagenfurt,2021-08-15T15:00Z
,4,Sun Aug 15 2021,17:00,CEST/+0200,SCR Altach,2-1,0-0,Rapid Wien,2021-08-15T15:00Z
,5,Sat Aug 21 2021,17:00,CEST/+0200,Wolfsberger AC,3-0,2-0,FC Admira Wacker,2021-08-21T15:00Z
,5,Sat Aug 21 2021,17:00,CEST/+0200,RB Salzburg,3-1,1-1,SK Austria Klagenfurt,2021-08-21T15:00Z
,5,Sat Aug 21 2021,17:00,CEST/+0200,WSG Tirol,0-0,0-0,SCR Altach,2021-08-21T15:00Z
,5,Sun Aug 22 2021,17:00,CEST/+0200,Sturm Graz,2-2,0-1,Austria Wien,2021-08-22T15:00Z
,5,Sun Aug 22 2021,17:00,CEST/+0200,LASK,1-1,0-0,TSV Hartberg,2021-08-22T15:00Z
,5,Sun Aug 22 2021,17:00,CEST/+0200,Rapid Wien,3-0,1-0,SV Ried,2021-08-22T15:00Z
,6,Sat Aug 28 2021,17:00,CEST/+0200,SK Austria Klagenfurt,2-1,2-1,WSG Tirol,2021-08-28T15:00Z
,6,Sat Aug 28 2021,17:00,CEST/+0200,TSV Hartberg,0-1,0-1,RB Salzburg,2021-08-28T15:00Z
,6,Sat Aug 28 2021,17:00,CEST/+0200,SCR Altach,1-2,1-2,Wolfsberger AC,2021-08-28T15:00Z
,6,Sun Aug 29 2021,17:00,CEST/+0200,FC Admira Wacker,1-1,0-1,Sturm Graz,2021-08-29T15:00Z
,6,Sun Aug 29 2021,17:00,CEST/+0200,SV Ried,1-0,1-0,LASK,2021-08-29T15:00Z
,6,Sun Aug 29 2021,17:00,CEST/+0200,Austria Wien,1-1,1-0,Rapid Wien,2021-08-29T15:00Z
,7,Sat Sep 11 2021,17:00,CEST/+0200,WSG Tirol,1-3,0-1,RB Salzburg,2021-09-11T15:00Z
,7,Sat Sep 11 2021,17:00,CEST/+0200,Rapid Wien,1-2,1-0,FC Admira Wacker,2021-09-11T15:00Z
,7,Sat Sep 11 2021,17:00,CEST/+0200,Wolfsberger AC,1-3,0-2,TSV Hartberg,2021-09-11T15:00Z
,7,Sun Sep 12 2021,14:30,CEST/+0200,SCR Altach,1-1,1-1,SV Ried,2021-09-12T12:30Z
,7,Sun Sep 12 2021,17:00,CEST/+0200,Sturm Graz,2-1,1-1,SK Austria Klagenfurt,2021-09-12T15:00Z
