Stage,Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,Comments,UTC
Apertura,1,Thu Jul 22 2021,21:00,CDT/-0500,Gallos Blancos,0-0,0-0,CF América,,,,2021-07-23T02:00Z
Apertura,1,Fri Jul 23 2021,21:00,CDT/-0500,FC Juárez,1-3,1-1,Deportivo Toluca,,,,2021-07-24T02:00Z
Apertura,1,Fri Jul 23 2021,19:00,CDT/-0500,Club Necaxa,0-3,0-2,Santos Laguna,,,,2021-07-24T00:00Z
Apertura,1,Sat Jul 24 2021,16:00,CDT/-0500,CF Pachuca,4-0,0-0,Club León,,,,2021-07-24T21:00Z
Apertura,1,Sat Jul 24 2021,21:00,CDT/-0500,Deportivo Guadalajara,1-2,0-1,Atlético San Luis,,,,2021-07-25T02:00Z
Apertura,1,Sun Jul 25 2021,19:06,CDT/-0500,CF Monterrey,1-1,0-0,Puebla FC,,,,2021-07-26T00:06Z
Apertura,1,Sun Jul 25 2021,21:06,CDT/-0500,Club Tijuana,1-2,0-1,UANL Tigres,,,,2021-07-26T02:06Z
Apertura,1,Sun Jul 25 2021,12:00,CDT/-0500,Pumas UNAM,0-0,0-0,Atlas Guadalajara,,,,2021-07-25T17:00Z
Apertura,1,Mon Jul 26 2021,20:00,CDT/-0500,Cruz Azul,0-2,0-1,Mazatlán FC,,,,2021-07-27T01:00Z
Apertura,2,Fri Jul 30 2021,19:00,CDT/-0500,Mazatlán FC,2-1,1-1,CF Pachuca,,,,2021-07-31T00:00Z
Apertura,2,Fri Jul 30 2021,21:05,CDT/-0500,Puebla FC,0-2,0-0,Deportivo Guadalajara,,,,2021-07-31T02:05Z
Apertura,2,Sat Jul 31 2021,19:00,CDT/-0500,CF América,2-1,1-0,Club Necaxa,,,,2021-08-01T00:00Z
Apertura,2,Sat Jul 31 2021,21:00,CDT/-0500,CF Monterrey,2-0,1-0,Pumas UNAM,,,,2021-08-01T02:00Z
Apertura,2,Sat Jul 31 2021,21:05,CDT/-0500,Atlas Guadalajara,2-0,0-0,FC Juárez,,,,2021-08-01T02:05Z
Apertura,2,Sat Jul 31 2021,17:00,CDT/-0500,Club León,2-1,1-0,Club Tijuana,,,,2021-07-31T22:00Z
Apertura,2,Sun Aug 1 2021,18:00,CDT/-0500,Santos Laguna,1-1,0-0,Cruz Azul,,,,2021-08-01T23:00Z
Apertura,2,Sun Aug 1 2021,12:00,CDT/-0500,Deportivo Toluca,3-1,1-1,UANL Tigres,,,,2021-08-01T17:00Z
Apertura,2,Mon Aug 2 2021,21:00,CDT/-0500,Atlético San Luis,1-1,1-0,Gallos Blancos,,,,2021-08-03T02:00Z
Apertura,3,Thu Aug 5 2021,21:05,CDT/-0500,Gallos Blancos,0-1,0-1,Club León,,,,2021-08-06T02:05Z
Apertura,3,Fri Aug 6 2021,19:00,CDT/-0500,Mazatlán FC,1-1,1-1,CF Monterrey,,,,2021-08-07T00:00Z
Apertura,3,Fri Aug 6 2021,21:05,CDT/-0500,Club Necaxa,1-2,1-1,Cruz Azul,,,,2021-08-07T02:05Z
Apertura,3,Fri Aug 6 2021,21:05,CDT/-0500,Club Tijuana,0-2,0-1,Deportivo Toluca,,,,2021-08-07T02:05Z
Apertura,3,Sat Aug 7 2021,19:00,CDT/-0500,CF América,2-0,1-0,Puebla FC,,,,2021-08-08T00:00Z
Apertura,3,Sat Aug 7 2021,21:00,CDT/-0500,UANL Tigres,1-1,0-1,Santos Laguna,,,,2021-08-08T02:00Z
Apertura,3,Sat Aug 7 2021,17:00,CDT/-0500,Deportivo Guadalajara,2-2,1-1,FC Juárez,,,,2021-08-07T22:00Z
Apertura,3,Sun Aug 8 2021,12:00,CDT/-0500,Pumas UNAM,1-3,1-2,Atlético San Luis,,,,2021-08-08T17:00Z
Apertura,3,Mon Aug 9 2021,21:00,CDT/-0500,CF Pachuca,0-1,0-1,Atlas Guadalajara,,,,2021-08-10T02:00Z
Apertura,4,Thu Aug 12 2021,21:00,CDT/-0500,Atlético San Luis,0-2,0-1,Club Necaxa,,,,2021-08-13T02:00Z
Apertura,4,Fri Aug 13 2021,21:00,CDT/-0500,FC Juárez,1-1,1-1,Club Tijuana,,,,2021-08-14T02:00Z
Apertura,4,Fri Aug 13 2021,19:00,CDT/-0500,Puebla FC,1-1,1-0,UANL Tigres,,,,2021-08-14T00:00Z
Apertura,4,Sat Aug 14 2021,17:00,CDT/-0500,Pumas UNAM,0-0,0-0,Gallos Blancos,,,,2021-08-14T22:00Z
Apertura,4,Sat Aug 14 2021,19:00,CDT/-0500,Club León,3-0,1-0,Mazatlán FC,,,,2021-08-15T00:00Z
Apertura,4,Sat Aug 14 2021,21:00,CDT/-0500,Cruz Azul,4-0,3-0,Deportivo Toluca,,,,2021-08-15T02:00Z
Apertura,4,Sat Aug 14 2021,21:06,CDT/-0500,CF Monterrey,3-1,1-0,CF Pachuca,,,,2021-08-15T02:06Z
Apertura,4,Sun Aug 15 2021,19:06,CDT/-0500,Santos Laguna,0-0,0-0,Deportivo Guadalajara,,,,2021-08-16T00:06Z
Apertura,4,Sun Aug 15 2021,17:00,CDT/-0500,Atlas Guadalajara,0-1,0-0,CF América,,,,2021-08-15T22:00Z
Apertura,5,Tue Aug 17 2021,19:00,CDT/-0500,UANL Tigres,3-0,1-0,Gallos Blancos,,,,2021-08-18T00:00Z
Apertura,5,Tue Aug 17 2021,21:00,CDT/-0500,Club Necaxa,3-0,1-0,Pumas UNAM,,,,2021-08-18T02:00Z
Apertura,5,Tue Aug 17 2021,21:06,CDT/-0500,Club Tijuana,1-1,1-0,Puebla FC,,,,2021-08-18T02:06Z
Apertura,5,Tue Aug 17 2021,17:00,CDT/-0500,Deportivo Toluca,2-2,2-2,Mazatlán FC,,,,2021-08-17T22:00Z
Apertura,5,Wed Aug 18 2021,19:00,CDT/-0500,Cruz Azul,1-1,0-0,CF Monterrey,,,,2021-08-19T00:00Z
Apertura,5,Wed Aug 18 2021,19:00,CDT/-0500,Santos Laguna,1-1,0-1,Atlas Guadalajara,,,,2021-08-19T00:00Z
Apertura,5,Wed Aug 18 2021,21:00,CDT/-0500,Deportivo Guadalajara,0-3,0-1,Club León,,,,2021-08-19T02:00Z
Apertura,5,Wed Aug 18 2021,21:00,CDT/-0500,FC Juárez,1-2,1-1,CF América,,,,2021-08-19T02:00Z
Apertura,6,Fri Aug 20 2021,21:00,CDT/-0500,Mazatlán FC,0-3,0-0,UANL Tigres,,,,2021-08-21T02:00Z
Apertura,6,Sat Aug 21 2021,17:00,CDT/-0500,Atlas Guadalajara,0-0,0-0,Deportivo Toluca,,,,2021-08-21T22:00Z
Apertura,6,Sat Aug 21 2021,19:00,CDT/-0500,Club León,1-1,0-1,Santos Laguna,,,,2021-08-22T00:00Z
Apertura,6,Sat Aug 21 2021,21:00,CDT/-0500,Atlético San Luis,0-0,0-0,Cruz Azul,,,,2021-08-22T02:00Z
Apertura,6,Sat Aug 21 2021,21:36,CDT/-0500,CF Monterrey,0-0,0-0,Deportivo Guadalajara,,,,2021-08-22T02:36Z
Apertura,6,Sun Aug 22 2021,19:00,CDT/-0500,Club Necaxa,1-0,0-0,FC Juárez,,,,2021-08-23T00:00Z
