Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Vorrunde,Sat Aug 7 2021,19:00,CEST/+0200,Como 1907,2-2,1-0,US Catanzaro,2-2,3-4,2021-08-07T17:00Z
Vorrunde,Sun Aug 8 2021,19:00,CEST/+0200,AC Perugia Calcio,1-0,0-0,FC Südtirol,,,2021-08-08T17:00Z
Vorrunde,Sun Aug 8 2021,20:30,CEST/+0200,Calcio Padova,0-0,0-0,US Alessandria 1912,0-2,,2021-08-08T18:30Z
Vorrunde,Sun Aug 8 2021,18:30,CEST/+0200,Ternana Calcio,1-1,0-1,US Avellino,1-1,4-3,2021-08-08T16:30Z
Round 1,Fri Aug 13 2021,18:00,CEST/+0200,Genoa CFC,3-2,2-2,AC Perugia Calcio,,,2021-08-13T16:00Z
Round 1,Fri Aug 13 2021,20:45,CEST/+0200,Udinese Calcio,3-1,1-0,Ascoli Calcio,,,2021-08-13T18:45Z
Round 1,Fri Aug 13 2021,21:00,CEST/+0200,ACF Fiorentina,4-0,3-0,Cosenza Calcio,,,2021-08-13T19:00Z
Round 1,Fri Aug 13 2021,17:45,CEST/+0200,Pordenone Calcio,1-3,0-2,Spezia Calcio,,,2021-08-13T15:45Z
Round 1,Sat Aug 14 2021,17:45,CEST/+0200,Benevento Calcio,1-1,1-0,SPAL 2013 Ferrara,2-1,,2021-08-14T15:45Z
Round 1,Sat Aug 14 2021,18:00,CEST/+0200,AS Cittadella,2-1,2-1,AC Monza,,,2021-08-14T16:00Z
Round 1,Sat Aug 14 2021,20:45,CEST/+0200,Hellas Verona,3-0,3-0,US Catanzaro,,,2021-08-14T18:45Z
Round 1,Sat Aug 14 2021,21:00,CEST/+0200,Cagliari Calcio,3-1,3-0,Pisa SC,,,2021-08-14T19:00Z
Round 1,Sun Aug 15 2021,18:00,CEST/+0200,Parma Calcio 1913,1-3,1-2,US Lecce,,,2021-08-15T16:00Z
Round 1,Sun Aug 15 2021,20:45,CEST/+0200,Venezia FC,0-0,0-0,Frosinone Calcio,1-1,8-7,2021-08-15T18:45Z
Round 1,Sun Aug 15 2021,21:00,CEST/+0200,Torino FC,0-0,0-0,US Cremonese,0-0,4-1,2021-08-15T19:00Z
Round 1,Sun Aug 15 2021,17:45,CEST/+0200,Empoli FC,4-2,3-1,L.R. Vicenza,,,2021-08-15T15:45Z
Round 1,Mon Aug 16 2021,18:00,CEST/+0200,Bologna FC,4-5,1-3,Ternana Calcio,,,2021-08-16T16:00Z
Round 1,Mon Aug 16 2021,20:45,CEST/+0200,US Salernitana 1919,2-0,1-0,Reggina 1914,,,2021-08-16T18:45Z
Round 1,Mon Aug 16 2021,21:00,CEST/+0200,Sampdoria,3-2,1-2,US Alessandria 1912,,,2021-08-16T19:00Z
Round 1,Mon Aug 16 2021,17:45,CEST/+0200,FC Crotone,2-2,1-0,Brescia Calcio,2-2,4-2,2021-08-16T15:45Z
Round 2,Tue Dec 14 2021,15:00,CET/+0100,Venezia FC,3-1,0-0,Ternana Calcio,,,2021-12-14T14:00Z
Round 2,Tue Dec 14 2021,18:00,CET/+0100,Udinese Calcio,4-0,3-0,FC Crotone,,,2021-12-14T17:00Z
Round 2,Tue Dec 14 2021,21:00,CET/+0100,Genoa CFC,1-0,0-0,US Salernitana 1919,,,2021-12-14T20:00Z
Round 2,Wed Dec 15 2021,18:00,CET/+0100,Cagliari Calcio,3-1,2-0,AS Cittadella,,,2021-12-15T17:00Z
Round 2,Wed Dec 15 2021,21:00,CET/+0100,ACF Fiorentina,2-1,1-0,Benevento Calcio,,,2021-12-15T20:00Z
Round 2,Wed Dec 15 2021,15:00,CET/+0100,Hellas Verona,3-4,1-1,Empoli FC,,,2021-12-15T14:00Z
