Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Preliminary round,Wed Nov 17 2021,15:00,CET/+0100,Nalón CF,1-1,0-1,SD Solares,1-1,3-4,2021-11-17T14:00Z
Preliminary round,Wed Nov 17 2021,19:00,CET/+0100,CD Utrillas,2-0,1-0,CD Injerto,,,2021-11-17T18:00Z
Preliminary round,Wed Nov 17 2021,19:30,CET/+0100,CD Aldeano,1-3,0-2,Unami CP,,,2021-11-17T18:30Z
Preliminary round,Wed Nov 17 2021,19:30,CET/+0100,Victoria CF,1-0,0-0,CD Hernani,,,2021-11-17T18:30Z
Preliminary round,Wed Nov 17 2021,20:00,CET/+0100,CF San Agustín,6-2,4-1,Mora CF,,,2021-11-17T19:00Z
Preliminary round,Wed Nov 17 2021,20:30,CET/+0100,CFJ Mollerussa,1-0,0-0,Penya Independent,,,2021-11-17T19:30Z
Preliminary round,Wed Nov 17 2021,20:30,CET/+0100,CFI Alicante,7-1,2-0,Ceuta 6 de Junio,,,2021-11-17T19:30Z
Preliminary round,Wed Nov 17 2021,20:30,CET/+0100,CD Villa de Fortuna,1-0,0-0,Atlético Espeleño,,,2021-11-17T19:30Z
Preliminary round,Wed Nov 17 2021,21:00,CET/+0100,Huracán Melilla,2-1,1-1,Atarfe Industrial CF,,,2021-11-17T20:00Z
Preliminary round,Wed Nov 17 2021,21:30,CET/+0100,CD Laguna,4-1,3-1,CF Jaraíz,,,2021-11-17T20:30Z
Round 1,Tue Nov 30 2021,16:00,CET/+0100,CD Cayón,0-2,0-0,SD Huesca,,,2021-11-30T15:00Z
Round 1,Tue Nov 30 2021,16:00,CET/+0100,CD Marchamalo,0-1,0-0,Real Valladolid,,,2021-11-30T15:00Z
Round 1,Tue Nov 30 2021,18:30,CET/+0100,Náxara CD,0-1,0-1,FC Andorra,,,2021-11-30T17:30Z
Round 1,Tue Nov 30 2021,19:00,CET/+0100,Victoria CF,0-8,0-4,Villarreal CF,,,2021-11-30T18:00Z
Round 1,Tue Nov 30 2021,19:00,CET/+0100,CD Laguna,0-7,0-4,Granada CF,,,2021-11-30T18:00Z
Round 1,Tue Nov 30 2021,19:00,CET/+0100,Unami CP,0-3,0-0,CD Alavés,,,2021-11-30T18:00Z
Round 1,Tue Nov 30 2021,20:00,CET/+0100,CD Teruel,0-1,0-1,AD Alcorcón,,,2021-11-30T19:00Z
Round 1,Tue Nov 30 2021,20:00,CET/+0100,Unión Club Ceares,0-1,0-1,Sporting Gijón,,,2021-11-30T19:00Z
Round 1,Tue Nov 30 2021,20:00,CET/+0100,Racing Rioja CF,0-2,0-0,FC Cartagena,,,2021-11-30T19:00Z
Round 1,Tue Nov 30 2021,20:30,CET/+0100,Atlético Sanluqueño CF,2-0,0-0,CE Sabadell,,,2021-11-30T19:30Z
Round 1,Tue Nov 30 2021,21:00,CET/+0100,CFJ Mollerussa,1-5,1-1,Getafe CF,,,2021-11-30T20:00Z
Round 1,Tue Nov 30 2021,21:00,CET/+0100,CD Ebro,0-5,0-2,RC Celta,,,2021-11-30T20:00Z
Round 1,Tue Nov 30 2021,21:00,CET/+0100,UD Montijo,0-1,0-0,Burgos CF,,,2021-11-30T20:00Z
Round 1,Tue Nov 30 2021,21:00,CET/+0100,Águilas FC,1-1,0-1,UD Almería,1-1,3-5,2021-11-30T20:00Z
Round 1,Tue Nov 30 2021,21:00,CET/+0100,Albacete,1-1,0-1,Racing Ferrol,2-1,,2021-11-30T20:00Z
Round 1,Tue Nov 30 2021,21:00,CET/+0100,CD Badajoz,0-3,0-1,CD Alcoyano,,,2021-11-30T20:00Z
Round 1,Wed Dec 1 2021,16:30,CET/+0100,CD Mensajero,0-1,0-0,Real Zaragoza,,,2021-12-01T15:30Z
Round 1,Wed Dec 1 2021,18:30,CET/+0100,Bergantiños FC,2-0,1-0,CD Tudelano,,,2021-12-01T17:30Z
Round 1,Wed Dec 1 2021,19:00,CET/+0100,SD Solares,2-3,0-2,Espanyol Barcelona,,,2021-12-01T18:00Z
Round 1,Wed Dec 1 2021,19:00,CET/+0100,Córdoba CF,0-0,0-0,Sevilla FC,0-1,,2021-12-01T18:00Z
Round 1,Wed Dec 1 2021,19:00,CET/+0100,Gimnástica Segoviana,0-0,0-0,RCD Mallorca,0-2,,2021-12-01T18:00Z
