Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Wed Dec 1 2021,19:00,CET/+0100,CD Brea,0-2,0-1,UD Ibiza,,,2021-12-01T18:00Z
Round 1,Wed Dec 1 2021,19:00,CET/+0100,Algeciras CF,1-2,0-2,Unionistas CF,,,2021-12-01T18:00Z
Round 1,Wed Dec 1 2021,20:00,CET/+0100,UD Alzira,0-1,0-0,CF Fuenlabrada,,,2021-12-01T19:00Z
Round 1,Wed Dec 1 2021,20:00,CET/+0100,CE Andratx,2-1,2-1,Real Oviedo,,,2021-12-01T19:00Z
Round 1,Wed Dec 1 2021,20:00,CET/+0100,AD San Juan,1-2,1-1,UD SS Reyes,,,2021-12-01T19:00Z
Round 1,Wed Dec 1 2021,20:00,CET/+0100,Atlético Mancha Real,2-1,0-0,Inter de Madrid,,,2021-12-01T19:00Z
Round 1,Wed Dec 1 2021,20:00,CET/+0100,UCAM Murcia CF,2-2,1-1,Deportivo La Coruña,3-4,,2021-12-01T19:00Z
Round 1,Wed Dec 1 2021,20:15,CET/+0100,CF Talavera,2-0,2-0,UE Cornellà,,,2021-12-01T19:15Z
Round 1,Wed Dec 1 2021,20:30,CET/+0100,CE Europa,0-1,0-1,SD Amorebieta,,,2021-12-01T19:30Z
Round 1,Wed Dec 1 2021,20:30,CET/+0100,CP Cacereño,1-2,0-0,SD Ponferradina,,,2021-12-01T19:30Z
Round 1,Wed Dec 1 2021,20:30,CET/+0100,CD Arenteiro,2-1,2-0,SD Logroñés,,,2021-12-01T19:30Z
Round 1,Wed Dec 1 2021,20:30,CET/+0100,CD Calahorra,4-5,1-0,Atlético Baleares,,,2021-12-01T19:30Z
Round 1,Wed Dec 1 2021,20:30,CET/+0100,Extremadura UD,1-4,0-2,Zamora CF,,,2021-12-01T19:30Z
Round 1,Wed Dec 1 2021,20:30,CET/+0100,Linares Deportivo,0-0,0-0,Gimnàstic de Tarragona,0-0,6-5,2021-12-01T19:30Z
Round 1,Wed Dec 1 2021,20:30,CET/+0100,San Fernando CD,2-3,1-2,CD Leonesa,,,2021-12-01T19:30Z
Round 1,Wed Dec 1 2021,21:00,CET/+0100,CFI Alicante,0-4,0-2,Real Betis,,,2021-12-01T20:00Z
Round 1,Wed Dec 1 2021,21:00,CET/+0100,CF Panadería Pulido,0-4,0-2,Real Sociedad,,,2021-12-01T20:00Z
Round 1,Wed Dec 1 2021,21:00,CET/+0100,CD San Roque,0-3,0-1,CD Mirandés,,,2021-12-01T20:00Z
Round 1,Thu Dec 2 2021,16:00,CET/+0100,Vélez CF,2-3,2-2,UD Las Palmas,,,2021-12-02T15:00Z
Round 1,Thu Dec 2 2021,19:00,CET/+0100,Huracán Melilla,0-8,0-4,Levante UD,,,2021-12-02T18:00Z
Round 1,Thu Dec 2 2021,19:00,CET/+0100,CF San Agustín,0-4,0-0,CA Osasuna,,,2021-12-02T18:00Z
Round 1,Thu Dec 2 2021,19:00,CET/+0100,CD Guijuelo,0-0,0-0,Rayo Vallecano,0-0,3-4,2021-12-02T18:00Z
Round 1,Thu Dec 2 2021,19:00,CET/+0100,SD Gernika,1-2,0-1,SD Eibar,,,2021-12-02T18:00Z
Round 1,Thu Dec 2 2021,19:30,CET/+0100,CD Utrillas,0-3,0-1,Valencia CF,,,2021-12-02T18:30Z
Round 1,Thu Dec 2 2021,19:30,CET/+0100,Peña Sport FC,0-3,0-2,Málaga CF,,,2021-12-02T18:30Z
Round 1,Thu Dec 2 2021,20:00,CET/+0100,SD Leioa,0-2,0-1,Elche CF,,,2021-12-02T19:00Z
Round 1,Thu Dec 2 2021,20:00,CET/+0100,CS Puertollano CF,1-5,1-2,Girona FC,,,2021-12-02T19:00Z
Round 1,Thu Dec 2 2021,20:00,CET/+0100,CD Cristo Atlético,2-0,2-0,Real Unión,,,2021-12-02T19:00Z
Round 1,Thu Dec 2 2021,20:00,CET/+0100,CA Pulpileño,0-1,0-1,CD Castellón,,,2021-12-02T19:00Z
Round 1,Thu Dec 2 2021,20:00,CET/+0100,UD Llanera,2-1,1-0,UD Logroñés,,,2021-12-02T19:00Z
Round 1,Thu Dec 2 2021,20:15,CET/+0100,Unión Adarve,2-2,1-2,CD Lugo,2-2,3-4,2021-12-02T19:15Z
Round 1,Thu Dec 2 2021,20:30,CET/+0100,CD Eldense,0-1,0-1,Rayo Majadahonda,,,2021-12-02T19:30Z
Round 1,Thu Dec 2 2021,20:45,CET/+0100,Xerez DFC,1-2,0-1,CD Leganés,,,2021-12-02T19:45Z
Round 1,Thu Dec 2 2021,21:00,CET/+0100,CD Villa de Fortuna,0-7,0-2,Cádiz CF,,,2021-12-02T20:00Z
Round 1,Thu Dec 2 2021,21:00,CET/+0100,CD Ibiza,1-1,0-0,CD Tenerife,1-2,,2021-12-02T20:00Z
Round 2,Tue Dec 14 2021,19:00,CET/+0100,UD SS Reyes,0-0,0-0,CF Fuenlabrada,0-0,4-5,2021-12-14T18:00Z
Round 2,Tue Dec 14 2021,20:00,CET/+0100,Rayo Majadahonda,1-0,0-0,Málaga CF,,,2021-12-14T19:00Z
Round 2,Tue Dec 14 2021,20:00,CET/+0100,SD Huesca,0-1,0-1,Girona FC,,,2021-12-14T19:00Z
Round 2,Tue Dec 14 2021,20:00,CET/+0100,Real Zaragoza,2-0,1-0,Burgos CF,,,2021-12-14T19:00Z
Round 2,Tue Dec 14 2021,21:00,CET/+0100,CD Cristo Atlético,1-2,1-0,Espanyol Barcelona,,,2021-12-14T20:00Z
Round 2,Tue Dec 14 2021,21:00,CET/+0100,CD Alcoyano,3-3,2-1,Levante UD,3-3,3-1,2021-12-14T20:00Z
Round 2,Tue Dec 14 2021,21:00,CET/+0100,Linares Deportivo,2-1,1-0,CD Alavés,,,2021-12-14T20:00Z
Round 2,Tue Dec 14 2021,19:00,CET/+0100,FC Andorra,1-1,1-1,RC Celta,1-2,,2021-12-14T18:00Z
Round 2,Wed Dec 15 2021,19:00,CET/+0100,Bergantiños FC,1-3,0-1,Rayo Vallecano,,,2021-12-15T18:00Z
Round 2,Wed Dec 15 2021,19:00,CET/+0100,CE Andratx,1-1,0-0,Sevilla FC,1-1,5-6,2021-12-15T18:00Z
Round 2,Wed Dec 15 2021,19:00,CET/+0100,Zamora CF,0-3,0-0,Real Sociedad,,,2021-12-15T18:00Z
Round 2,Wed Dec 15 2021,19:30,CET/+0100,CD Leonesa,1-1,1-0,CD Leganés,2-3,,2021-12-15T18:30Z
Round 2,Wed Dec 15 2021,20:00,CET/+0100,CD Castellón,1-2,0-1,FC Cartagena,,,2021-12-15T19:00Z
Round 2,Wed Dec 15 2021,20:00,CET/+0100,Sporting Gijón,1-1,1-0,AD Alcorcón,2-1,,2021-12-15T19:00Z
Round 2,Wed Dec 15 2021,20:00,CET/+0100,SD Ponferradina,1-1,0-0,UD Ibiza,2-1,,2021-12-15T19:00Z
Round 2,Wed Dec 15 2021,20:00,CET/+0100,Real Valladolid,3-1,1-1,UD Las Palmas,,,2021-12-15T19:00Z
Round 2,Wed Dec 15 2021,21:00,CET/+0100,Unionistas CF,0-1,0-0,Elche CF,,,2021-12-15T20:00Z
Round 2,Wed Dec 15 2021,21:00,CET/+0100,Atlético Sanluqueño CF,1-7,0-5,Villarreal CF,,,2021-12-15T20:00Z
Round 2,Wed Dec 15 2021,21:00,CET/+0100,CD Tenerife,1-2,0-1,SD Eibar,,,2021-12-15T20:00Z
Round 2,Thu Dec 16 2021,19:00,CET/+0100,UD Llanera,0-6,0-0,RCD Mallorca,,,2021-12-16T18:00Z
Round 2,Thu Dec 16 2021,19:00,CET/+0100,CD Arenteiro,1-1,1-1,Valencia CF,1-3,,2021-12-16T18:00Z
Round 2,Thu Dec 16 2021,19:00,CET/+0100,CF Talavera,2-2,1-1,Real Betis,2-4,,2021-12-16T18:00Z
Round 2,Thu Dec 16 2021,19:00,CET/+0100,SD Amorebieta,1-2,0-1,UD Almería,,,2021-12-16T18:00Z
Round 2,Thu Dec 16 2021,20:00,CET/+0100,CD Lugo,1-2,0-1,CD Mirandés,,,2021-12-16T19:00Z
Round 2,Thu Dec 16 2021,21:00,CET/+0100,Atlético Mancha Real,1-0,1-0,Granada CF,,,2021-12-16T20:00Z
Round 2,Thu Dec 16 2021,21:00,CET/+0100,Albacete,0-1,0-1,Cádiz CF,,,2021-12-16T20:00Z
Round 2,Thu Dec 16 2021,21:00,CET/+0100,Atlético Baleares,5-0,2-0,Getafe CF,,,2021-12-16T20:00Z
Round 2,Thu Dec 16 2021,21:00,CET/+0100,Deportivo La Coruña,1-2,1-1,CA Osasuna,,,2021-12-16T20:00Z
Round 3,Tue Jan 4 2022,21:00,CET/+0100,SD Ponferradina,1-1,0-1,Espanyol Barcelona,1-1,1-3,2022-01-04T20:00Z
Round 3,Wed Jan 5 2022,16:00,CET/+0100,FC Cartagena,1-2,0-1,Valencia CF,,,2022-01-05T15:00Z
Round 3,Wed Jan 5 2022,16:00,CET/+0100,SD Eibar,1-2,1-0,RCD Mallorca,,,2022-01-05T15:00Z
Round 3,Wed Jan 5 2022,16:00,CET/+0100,CD Leganés,2-3,0-2,Real Sociedad,,,2022-01-05T15:00Z
Round 3,Wed Jan 5 2022,19:30,CET/+0100,Linares Deportivo,1-2,1-0,FC Barcelona,,,2022-01-05T18:30Z
Round 3,Wed Jan 5 2022,20:00,CET/+0100,Atlético Baleares,2-1,1-0,RC Celta,,,2022-01-05T19:00Z
Round 3,Wed Jan 5 2022,20:00,CET/+0100,Real Valladolid,0-3,0-2,Real Betis,,,2022-01-05T19:00Z
Round 3,Wed Jan 5 2022,20:00,CET/+0100,CD Mirandés,0-1,0-0,Rayo Vallecano,,,2022-01-05T19:00Z
Round 3,Wed Jan 5 2022,21:30,CET/+0100,CD Alcoyano,1-3,0-1,Real Madrid,,,2022-01-05T20:30Z
Round 3,Thu Jan 6 2022,16:00,CET/+0100,CF Fuenlabrada,0-1,0-0,Cádiz CF,,,2022-01-06T15:00Z
Round 3,Thu Jan 6 2022,16:00,CET/+0100,Girona FC,1-0,1-0,CA Osasuna,,,2022-01-06T15:00Z
Round 3,Thu Jan 6 2022,18:00,CET/+0100,Sporting Gijón,2-1,0-0,Villarreal CF,,,2022-01-06T17:00Z
Round 3,Thu Jan 6 2022,18:00,CET/+0100,Real Zaragoza,0-2,0-1,Sevilla FC,,,2022-01-06T17:00Z
Round 3,Thu Jan 6 2022,20:00,CET/+0100,Atlético Mancha Real,0-2,0-2,Athletic Bilbao,,,2022-01-06T19:00Z
Round 3,Thu Jan 6 2022,20:00,CET/+0100,UD Almería,1-2,1-0,Elche CF,,,2022-01-06T19:00Z
Round 3,Thu Jan 6 2022,21:30,CET/+0100,Rayo Majadahonda,0-5,0-3,Atlético Madrid,,,2022-01-06T20:30Z
Round of 16,Sat Jan 15 2022,18:30,CET/+0100,Girona FC,1-2,1-1,Rayo Vallecano,,,2022-01-15T17:30Z
Round of 16,Sat Jan 15 2022,18:30,CET/+0100,Sporting Gijón,0-0,0-0,Cádiz CF,0-0,2-4,2022-01-15T17:30Z
Round of 16,Sat Jan 15 2022,16:00,CET/+0100,RCD Mallorca,2-1,1-0,Espanyol Barcelona,,,2022-01-15T15:00Z
Round of 16,Sun Jan 16 2022,16:00,CET/+0100,Real Betis,2-1,1-1,Sevilla FC,,,2022-01-16T15:00Z
Round of 16,Sun Jan 16 2022,12:00,CET/+0100,Atlético Baleares,0-1,0-1,Valencia CF,,,2022-01-16T11:00Z
Round of 16,Wed Jan 19 2022,21:00,CET/+0100,Real Sociedad,2-0,1-0,Atlético Madrid,,,2022-01-19T20:00Z
Round of 16,Thu Jan 20 2022,21:30,CET/+0100,Athletic Bilbao,2-2,1-1,FC Barcelona,3-2,,2022-01-20T20:30Z
Round of 16,Thu Jan 20 2022,19:00,CET/+0100,Elche CF,0-0,0-0,Real Madrid,1-2,,2022-01-20T18:00Z
Quarterfinals,Wed Feb 2 2022,21:00,CET/+0100,Valencia CF,2-1,1-0,Cádiz CF,,,2022-02-02T20:00Z
Quarterfinals,Wed Feb 2 2022,20:00,CET/+0100,Rayo Vallecano,1-0,1-0,RCD Mallorca,,,2022-02-02T19:00Z
Quarterfinals,Thu Feb 3 2022,20:00,CET/+0100,Real Sociedad,0-4,0-1,Real Betis,,,2022-02-03T19:00Z
Quarterfinals,Thu Feb 3 2022,21:30,CET/+0100,Athletic Bilbao,1-0,0-0,Real Madrid,,,2022-02-03T20:30Z
Semifinals,Wed Feb 9 2022,21:00,CET/+0100,Rayo Vallecano,1-2,1-1,Real Betis,,,2022-02-09T20:00Z
Semifinals,Thu Feb 10 2022,21:30,CET/+0100,Athletic Bilbao,1-1,1-0,Valencia CF,,,2022-02-10T20:30Z
Semifinals,Wed Mar 2 2022,21:30,CET/+0100,Valencia CF,1-0,1-0,Athletic Bilbao,,,2022-03-02T20:30Z
Semifinals,Thu Mar 3 2022,21:00,CET/+0100,Real Betis,1-1,0-0,Rayo Vallecano,,,2022-03-03T20:00Z
Final,Sat Apr 23 2022,22:00,CEST/+0200,Real Betis,1-1,1-1,Valencia CF,1-1,5-4,2022-04-23T20:00Z
