Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
1,Sat Aug 21 2021,18:30,CEST/+0200,Inter,4-0,2-0,Genoa CFC,2021-08-21T16:30Z
1,Sat Aug 21 2021,20:45,CEST/+0200,Empoli FC,1-3,1-3,Lazio Roma,2021-08-21T18:45Z
1,Sat Aug 21 2021,20:45,CEST/+0200,Torino FC,1-2,0-1,Atalanta,2021-08-21T18:45Z
1,Sat Aug 21 2021,18:30,CEST/+0200,Hellas Verona,2-3,0-1,Sassuolo Calcio,2021-08-21T16:30Z
1,Sun Aug 22 2021,18:30,CEST/+0200,Bologna FC,3-2,0-0,US Salernitana 1919,2021-08-22T16:30Z
1,Sun Aug 22 2021,18:30,CEST/+0200,Udinese Calcio,2-2,0-2,Juventus,2021-08-22T16:30Z
1,Sun Aug 22 2021,20:45,CEST/+0200,SSC Napoli,2-0,0-0,Venezia FC,2021-08-22T18:45Z
1,Sun Aug 22 2021,20:45,CEST/+0200,AS Roma,3-1,1-0,ACF Fiorentina,2021-08-22T18:45Z
1,Mon Aug 23 2021,20:45,CEST/+0200,Sampdoria,0-1,0-1,AC Milan,2021-08-23T18:45Z
1,Mon Aug 23 2021,18:30,CEST/+0200,Cagliari Calcio,2-2,0-1,Spezia Calcio,2021-08-23T16:30Z
2,Fri Aug 27 2021,18:30,CEST/+0200,Udinese Calcio,3-0,1-0,Venezia FC,2021-08-27T16:30Z
2,Fri Aug 27 2021,20:45,CEST/+0200,Hellas Verona,1-3,1-0,Inter,2021-08-27T18:45Z
2,Sat Aug 28 2021,18:30,CEST/+0200,Lazio Roma,6-1,3-1,Spezia Calcio,2021-08-28T16:30Z
2,Sat Aug 28 2021,20:45,CEST/+0200,ACF Fiorentina,2-1,1-0,Torino FC,2021-08-28T18:45Z
2,Sat Aug 28 2021,20:45,CEST/+0200,Juventus,0-1,0-1,Empoli FC,2021-08-28T18:45Z
2,Sat Aug 28 2021,18:30,CEST/+0200,Atalanta,0-0,0-0,Bologna FC,2021-08-28T16:30Z
2,Sun Aug 29 2021,18:30,CEST/+0200,Sassuolo Calcio,0-0,0-0,Sampdoria,2021-08-29T16:30Z
2,Sun Aug 29 2021,20:45,CEST/+0200,AC Milan,4-1,4-1,Cagliari Calcio,2021-08-29T18:45Z
2,Sun Aug 29 2021,20:45,CEST/+0200,US Salernitana 1919,0-4,0-0,AS Roma,2021-08-29T18:45Z
2,Sun Aug 29 2021,18:30,CEST/+0200,Genoa CFC,1-2,0-1,SSC Napoli,2021-08-29T16:30Z
3,Sat Sep 11 2021,15:00,CEST/+0200,Empoli FC,1-2,0-1,Venezia FC,2021-09-11T13:00Z
3,Sat Sep 11 2021,18:00,CEST/+0200,SSC Napoli,2-1,0-1,Juventus,2021-09-11T16:00Z
3,Sat Sep 11 2021,20:45,CEST/+0200,Atalanta,1-2,0-1,ACF Fiorentina,2021-09-11T18:45Z
3,Sun Sep 12 2021,15:00,CEST/+0200,Cagliari Calcio,2-3,1-0,Genoa CFC,2021-09-12T13:00Z
3,Sun Sep 12 2021,15:00,CEST/+0200,Torino FC,4-0,1-0,US Salernitana 1919,2021-09-12T13:00Z
3,Sun Sep 12 2021,15:00,CEST/+0200,Spezia Calcio,0-1,0-0,Udinese Calcio,2021-09-12T13:00Z
3,Sun Sep 12 2021,18:00,CEST/+0200,AC Milan,2-0,1-0,Lazio Roma,2021-09-12T16:00Z
3,Sun Sep 12 2021,20:45,CEST/+0200,AS Roma,2-1,1-0,Sassuolo Calcio,2021-09-12T18:45Z
3,Sun Sep 12 2021,12:30,CEST/+0200,Sampdoria,2-2,1-2,Inter,2021-09-12T10:30Z
3,Mon Sep 13 2021,20:45,CEST/+0200,Bologna FC,1-0,0-0,Hellas Verona,2021-09-13T18:45Z
4,Fri Sep 17 2021,20:45,CEST/+0200,Sassuolo Calcio,0-1,0-0,Torino FC,2021-09-17T18:45Z
4,Sat Sep 18 2021,15:00,CEST/+0200,Genoa CFC,1-2,0-0,ACF Fiorentina,2021-09-18T13:00Z
4,Sat Sep 18 2021,18:00,CEST/+0200,Inter,6-1,3-0,Bologna FC,2021-09-18T16:00Z
4,Sat Sep 18 2021,20:45,CEST/+0200,US Salernitana 1919,0-1,0-0,Atalanta,2021-09-18T18:45Z
4,Sun Sep 19 2021,12:30,CEST/+0200,Empoli FC,0-3,0-1,Sampdoria,2021-09-19T10:30Z
4,Sun Sep 19 2021,15:00,CEST/+0200,Venezia FC,1-2,0-1,Spezia Calcio,2021-09-19T13:00Z
4,Sun Sep 19 2021,18:00,CEST/+0200,Hellas Verona,3-2,0-1,AS Roma,2021-09-19T16:00Z
4,Sun Sep 19 2021,18:00,CEST/+0200,Lazio Roma,2-2,1-0,Cagliari Calcio,2021-09-19T16:00Z
4,Sun Sep 19 2021,20:45,CEST/+0200,Juventus,1-1,1-0,AC Milan,2021-09-19T18:45Z
4,Mon Sep 20 2021,20:45,CEST/+0200,Udinese Calcio,0-4,0-2,SSC Napoli,2021-09-20T18:45Z
5,Tue Sep 21 2021,20:45,CEST/+0200,ACF Fiorentina,1-3,1-0,Inter,2021-09-21T18:45Z
5,Tue Sep 21 2021,20:45,CEST/+0200,Atalanta,2-1,2-1,Sassuolo Calcio,2021-09-21T18:45Z
5,Tue Sep 21 2021,18:30,CEST/+0200,Bologna FC,2-2,0-0,Genoa CFC,2021-09-21T16:30Z
5,Wed Sep 22 2021,18:30,CEST/+0200,Spezia Calcio,2-3,1-1,Juventus,2021-09-22T16:30Z
5,Wed Sep 22 2021,18:30,CEST/+0200,US Salernitana 1919,2-2,1-2,Hellas Verona,2021-09-22T16:30Z
5,Wed Sep 22 2021,20:45,CEST/+0200,AC Milan,2-0,0-0,Venezia FC,2021-09-22T18:45Z
5,Wed Sep 22 2021,20:45,CEST/+0200,Cagliari Calcio,0-2,0-1,Empoli FC,2021-09-22T18:45Z
5,Thu Sep 23 2021,18:30,CEST/+0200,Sampdoria,0-4,0-2,SSC Napoli,2021-09-23T16:30Z
5,Thu Sep 23 2021,20:45,CEST/+0200,AS Roma,1-0,1-0,Udinese Calcio,2021-09-23T18:45Z
5,Thu Sep 23 2021,18:30,CEST/+0200,Torino FC,1-1,0-0,Lazio Roma,2021-09-23T16:30Z
6,Sat Sep 25 2021,18:00,CEST/+0200,Inter,2-2,1-2,Atalanta,2021-09-25T16:00Z
6,Sat Sep 25 2021,20:45,CEST/+0200,Genoa CFC,3-3,0-1,Hellas Verona,2021-09-25T18:45Z
6,Sat Sep 25 2021,15:00,CEST/+0200,Spezia Calcio,1-2,0-0,AC Milan,2021-09-25T13:00Z
6,Sun Sep 26 2021,12:30,CEST/+0200,Juventus,3-2,2-1,Sampdoria,2021-09-26T10:30Z
6,Sun Sep 26 2021,15:00,CEST/+0200,Empoli FC,4-2,2-1,Bologna FC,2021-09-26T13:00Z
