Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,ET,P,UTC
Round 1,Fri Jul 16 2021,17:00,CEST/+0200,WSC Hertha,1-4,1-1,RB Salzburg,,,2021-07-16T15:00Z
Round 1,Fri Jul 16 2021,18:00,CEST/+0200,FC Lauterach,0-5,0-2,SKN St. Pölten,,,2021-07-16T16:00Z
Round 1,Fri Jul 16 2021,18:00,CEST/+0200,SVG Reichenau,0-8,0-2,FC Wacker Innsbruck,,,2021-07-16T16:00Z
Round 1,Fri Jul 16 2021,19:00,CEST/+0200,ASK-BSC Bruck/Leitha,0-1,0-0,SV Stripfing/Weiden,,,2021-07-16T17:00Z
Round 1,Fri Jul 16 2021,19:00,CEST/+0200,SV Lafnitz,3-0,1-0,FCM Traiskirchen,,,2021-07-16T17:00Z
Round 1,Fri Jul 16 2021,19:00,CEST/+0200,SC Neusiedl/See 1919,0-4,0-3,FC Admira Wacker,,,2021-07-16T17:00Z
Round 1,Fri Jul 16 2021,19:00,CEST/+0200,FC Kitzbühel,0-2,0-0,Vorwärts Steyr,,,2021-07-16T17:00Z
Round 1,Fri Jul 16 2021,19:00,CEST/+0200,TuS Bad Gleichenberg,0-3,0-2,TSV Hartberg,,,2021-07-16T17:00Z
Round 1,Fri Jul 16 2021,19:00,CEST/+0200,SV Seekirchen,0-1,0-0,Floridsdorfer AC,,,2021-07-16T17:00Z
Round 1,Fri Jul 16 2021,19:00,CEST/+0200,VfB Hohenems,7-0,3-0,SV Fügen,,,2021-07-16T17:00Z
Round 1,Fri Jul 16 2021,19:00,CEST/+0200,SC Schwaz,1-0,1-0,SV Horn,,,2021-07-16T17:00Z
Round 1,Fri Jul 16 2021,19:30,CEST/+0200,SK Treibach,1-0,0-0,ASV Draßburg,,,2021-07-16T17:30Z
Round 1,Fri Jul 16 2021,19:30,CEST/+0200,SV Grödig,0-7,0-4,SV Ried,,,2021-07-16T17:30Z
Round 1,Fri Jul 16 2021,19:30,CEST/+0200,Wiener Sport-Club,0-3,0-2,Wolfsberger AC,,,2021-07-16T17:30Z
Round 1,Fri Jul 16 2021,19:30,CEST/+0200,SV Dellach/Gail,1-3,0-0,SC Weiz,,,2021-07-16T17:30Z
Round 1,Fri Jul 16 2021,20:30,CEST/+0200,Rapid Wien,6-0,2-0,SC Wiener Viktoria,,,2021-07-16T18:30Z
Round 1,Sat Jul 17 2021,11:00,CEST/+0200,SV Spittal/Drau,0-4,0-2,Austria Wien,,,2021-07-17T09:00Z
Round 1,Sat Jul 17 2021,16:00,CEST/+0200,ATSV Stadl-Paura,0-9,0-7,Sturm Graz,,,2021-07-17T14:00Z
Round 1,Sat Jul 17 2021,17:00,CEST/+0200,Schwarz-Weiß Bregenz,5-1,2-1,Union Vöcklamarkt,,,2021-07-17T15:00Z
Round 1,Sat Jul 17 2021,17:00,CEST/+0200,FC Deutschkreutz,0-3,0-1,SKU Amstetten,,,2021-07-17T15:00Z
Round 1,Sat Jul 17 2021,17:00,CEST/+0200,FC Wels,1-3,0-0,Austria Lustenau,,,2021-07-17T15:00Z
Round 1,Sat Jul 17 2021,17:30,CEST/+0200,SV Leobendorf,0-3,0-1,WSG Tirol,,,2021-07-17T15:30Z
Round 1,Sat Jul 17 2021,18:00,CEST/+0200,TWL Elektra,3-1,2-1,FC Gleisdorf 09,,,2021-07-17T16:00Z
