Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,Comments,UTC
1,Sat Jul 24 2021,14:00,CEST/+0200,Waldhof Mannheim,0-2,0-2,1. FC Magdeburg,,2021-07-24T12:00Z
1,Sat Jul 24 2021,14:00,CEST/+0200,TSV Havelse,0-1,0-1,1. FC Saarbrücken,,2021-07-24T12:00Z
1,Sat Jul 24 2021,14:00,CEST/+0200,1. FC Kaiserslautern,0-0,0-0,Eintracht Braunschweig,,2021-07-24T12:00Z
1,Sat Jul 24 2021,14:00,CEST/+0200,Hallescher FC,3-1,3-1,SV Meppen,,2021-07-24T12:00Z
1,Sat Jul 24 2021,14:00,CEST/+0200,FSV Zwickau,1-2,1-1,Borussia Dortmund II,,2021-07-24T12:00Z
1,Sat Jul 24 2021,14:00,CEST/+0200,TSV 1860 München,1-0,1-0,Würzburger Kickers,,2021-07-24T12:00Z
1,Sun Jul 25 2021,14:00,CEST/+0200,SC Verl,(*),,Türkgücü München,cancelled,2021-07-25T12:00Z
1,Sun Jul 25 2021,13:00,CEST/+0200,FC Viktoria 1889 Berlin,2-1,2-1,Viktoria Köln,,2021-07-25T11:00Z
1,Mon Jul 26 2021,19:00,CEST/+0200,SC Freiburg II,0-0,0-0,SV Wehen Wiesbaden,,2021-07-26T17:00Z
2,Sat Jul 31 2021,14:00,CEST/+0200,Borussia Dortmund II,1-1,1-0,Waldhof Mannheim,,2021-07-31T12:00Z
2,Sat Jul 31 2021,14:00,CEST/+0200,Viktoria Köln,1-1,0-0,FSV Zwickau,,2021-07-31T12:00Z
2,Sat Jul 31 2021,14:00,CEST/+0200,SV Meppen,1-0,1-0,1. FC Kaiserslautern,,2021-07-31T12:00Z
2,Sat Jul 31 2021,14:00,CEST/+0200,1. FC Magdeburg,0-0,0-0,SC Freiburg II,,2021-07-31T12:00Z
2,Sat Jul 31 2021,14:00,CEST/+0200,SV Wehen Wiesbaden,0-0,0-0,TSV 1860 München,,2021-07-31T12:00Z
2,Sat Jul 31 2021,14:00,CEST/+0200,1. FC Saarbrücken,1-2,1-2,VfL Osnabrück,,2021-07-31T12:00Z
2,Sun Aug 1 2021,13:00,CEST/+0200,Türkgücü München,(*),,Hallescher FC,cancelled,2021-08-01T11:00Z
2,Sun Aug 1 2021,14:00,CEST/+0200,Eintracht Braunschweig,0-4,0-2,FC Viktoria 1889 Berlin,,2021-08-01T12:00Z
2,Mon Aug 2 2021,19:00,CEST/+0200,Würzburger Kickers,0-1,0-0,SC Verl,,2021-08-02T17:00Z
2,Sun Aug 8 2021,13:00,CEST/+0200,MSV Duisburg,3-0,1-0,TSV Havelse,,2021-08-08T11:00Z
3,Fri Aug 13 2021,19:00,CEST/+0200,SC Freiburg II,2-5,2-3,Borussia Dortmund II,,2021-08-13T17:00Z
3,Sat Aug 14 2021,14:00,CEST/+0200,SC Verl,3-1,2-1,Viktoria Köln,,2021-08-14T12:00Z
3,Sat Aug 14 2021,14:00,CEST/+0200,TSV 1860 München,(*),,Türkgücü München,cancelled,2021-08-14T12:00Z
3,Sat Aug 14 2021,14:00,CEST/+0200,VfL Osnabrück,0-1,0-0,SV Wehen Wiesbaden,,2021-08-14T12:00Z
